45, Federal-gov,320818, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black
55, Private,121912, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
39, Private,83893, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
17, ?,138507, 10th,6, Never-married, ?, Own-child, White
47, Private,256522, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
52, Private,168381, HS-grad,9, Widowed, Other-service, Unmarried, Asian-Pac-Islander
24, Private,293579, HS-grad,9, Never-married, Sales, Own-child, Black
29, Private,285290, 11th,7, Never-married, Other-service, Unmarried, Black
25, Private,188488, HS-grad,9, Never-married, Machine-op-inspct, Other-relative, White
20, Private,324469, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White
23, Private,275244, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, Black
57, Private,265099, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
51, Private,146767, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White
33, Private,40681, Some-college,10, Never-married, Prof-specialty, Not-in-family, White
39, Private,174938, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
40, Private,240124, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
71, Private,269708, Bachelors,13, Divorced, Tech-support, Own-child, White
38, State-gov,34180, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
28, State-gov,225904, Prof-school,15, Never-married, Prof-specialty, Unmarried, White
57, Private,89392, Masters,14, Married-spouse-absent, Prof-specialty, Not-in-family, White
47, Private,46857, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
59, State-gov,105363, HS-grad,9, Never-married, Adm-clerical, Own-child, White
26, Private,195105, HS-grad,9, Never-married, Sales, Not-in-family, Other
35, Private,184117, Bachelors,13, Never-married, Adm-clerical, Own-child, White
61, Self-emp-inc,134768, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
17, ?,145886, 11th,7, Never-married, ?, Own-child, White
36, Private,153078, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander
62, ?,225652, 7th-8th,4, Married-civ-spouse, ?, Husband, White
34, Private,467108, Some-college,10, Never-married, Prof-specialty, Not-in-family, White
32, Self-emp-inc,199765, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
42, Private,173938, HS-grad,9, Separated, Sales, Own-child, White
39, Private,191161, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
58, Private,132606, 5th-6th,3, Divorced, Machine-op-inspct, Not-in-family, Black
61, Self-emp-not-inc,30073, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
40, Private,155190, 10th,6, Never-married, Craft-repair, Other-relative, Black
31, Private,42900, Bachelors,13, Never-married, Tech-support, Not-in-family, White
36, Private,191161, HS-grad,9, Never-married, Sales, Not-in-family, White
23, Private,181820, Some-college,10, Never-married, Machine-op-inspct, Own-child, White
33, Private,105974, HS-grad,9, Never-married, Craft-repair, Not-in-family, White
52, Private,146378, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
22, Private,103440, HS-grad,9, Never-married, Other-service, Not-in-family, White
51, Private,203435, Some-college,10, Divorced, Sales, Unmarried, White
31, Federal-gov,168312, Assoc-voc,11, Never-married, Exec-managerial, Not-in-family, White
49, Self-emp-inc,257764, HS-grad,9, Divorced, Exec-managerial, Unmarried, White
49, Private,171301, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, Black
53, Federal-gov,225339, Some-college,10, Widowed, Adm-clerical, Not-in-family, Black
52, Private,152234, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander
20, Private,444554, 10th,6, Never-married, Handlers-cleaners, Own-child, White
26, Private,403788, Assoc-acdm,12, Never-married, Other-service, Own-child, Black
61, ?,190997, HS-grad,9, Married-civ-spouse, ?, Husband, White
43, Private,221550, Masters,14, Never-married, Other-service, Not-in-family, White
46, Self-emp-inc,98929, Bachelors,13, Married-civ-spouse, Sales, Husband, White
43, Local-gov,169203, Assoc-voc,11, Never-married, Adm-clerical, Not-in-family, White
41, Private,102332, HS-grad,9, Divorced, Sales, Unmarried, Black
44, Self-emp-not-inc,230684, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
54, Private,449257, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
65, Private,198766, Masters,14, Married-civ-spouse, Sales, Husband, White
32, Private,97429, Bachelors,13, Divorced, Exec-managerial, Unmarried, White
25, Private,208999, Some-college,10, Separated, Adm-clerical, Own-child, White
23, Private,37072, Bachelors,13, Never-married, Sales, Not-in-family, White
25, Local-gov,163101, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
19, Private,119075, Some-college,10, Never-married, Handlers-cleaners, Own-child, White
37, Self-emp-not-inc,137314, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
45, Private,127303, Some-college,10, Never-married, Machine-op-inspct, Own-child, White
37, Private,349116, HS-grad,9, Never-married, Sales, Not-in-family, Black
40, Self-emp-not-inc,266324, Some-college,10, Divorced, Exec-managerial, Other-relative, White
19, ?,194095, Some-college,10, Never-married, ?, Own-child, White
17, Private,46496, 11th,7, Never-married, Other-service, Own-child, White
27, Private,29904, Bachelors,13, Never-married, Tech-support, Not-in-family, White
40, Local-gov,289403, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, Black
59, Private,226922, HS-grad,9, Divorced, Sales, Unmarried, White
19, Federal-gov,234151, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black
43, Private,238287, 10th,6, Never-married, Machine-op-inspct, Not-in-family, Black
42, Private,230624, 10th,6, Never-married, Transport-moving, Unmarried, White
54, Private,398212, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black
54, Self-emp-not-inc,114758, Masters,14, Married-civ-spouse, Sales, Husband, White
51, Private,246519, 10th,6, Married-civ-spouse, Handlers-cleaners, Husband, White
50, Private,137815, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
40, Private,260696, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
55, Private,325007, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White
50, Private,113176, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
31, Private,66815, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
42, ?,51795, HS-grad,9, Divorced, ?, Unmarried, Black
24, Private,241523, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
30, Private,30226, 11th,7, Divorced, Sales, Own-child, White
39, Local-gov,352628, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Wife, White
37, Private,143912, HS-grad,9, Divorced, Transport-moving, Not-in-family, White
33, Private,130021, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
48, Private,329778, HS-grad,9, Widowed, Other-service, Unmarried, White
43, Self-emp-inc,196945, HS-grad,9, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander
39, Private,24342, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
53, Private,34368, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
52, Self-emp-not-inc,173839, 10th,6, Married-civ-spouse, Exec-managerial, Husband, White
28, State-gov,73211, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander
32, Private,86723, HS-grad,9, Never-married, Other-service, Not-in-family, White
31, Private,179186, Bachelors,13, Married-civ-spouse, Sales, Husband, Black
31, Private,127610, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White
47, Private,115070, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
19, ?,172582, Some-college,10, Never-married, ?, Own-child, White
40, Private,256202, Assoc-voc,11, Married-civ-spouse, Handlers-cleaners, Husband, Black
40, Private,202872, Assoc-acdm,12, Never-married, Adm-clerical, Own-child, White
41, Private,184102, 11th,7, Divorced, Other-service, Not-in-family, White
53, Federal-gov,130703, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black
46, Private,134727, 11th,7, Divorced, Machine-op-inspct, Unmarried, Amer-Indian-Eskimo
45, Self-emp-inc,36228, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White
39, Private,297847, 9th,5, Married-civ-spouse, Other-service, Wife, Black
19, Private,213644, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White
57, Private,173796, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
49, Private,147322, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Wife, White
59, Private,296253, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White
32, Private,180871, Assoc-voc,11, Divorced, Sales, Not-in-family, White
18, ?,169882, Some-college,10, Never-married, ?, Own-child, White
35, State-gov,211115, Some-college,10, Never-married, Protective-serv, Not-in-family, Black
58, Self-emp-inc,183870, 10th,6, Married-civ-spouse, Transport-moving, Wife, White
28, Private,441620, Bachelors,13, Never-married, Other-service, Not-in-family, White
36, Federal-gov,218542, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, White
41, Self-emp-not-inc,141327, Masters,14, Divorced, Prof-specialty, Unmarried, White
47, Private,67716, HS-grad,9, Married-civ-spouse, Sales, Husband, White
50, Self-emp-inc,175339, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
61, ?,347089, HS-grad,9, Married-civ-spouse, ?, Husband, White
36, Private,336595, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
38, Private,27997, Assoc-voc,11, Divorced, Craft-repair, Not-in-family, White
56, Self-emp-not-inc,145574, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
50, Private,30447, Assoc-voc,11, Married-civ-spouse, Transport-moving, Husband, White
45, Self-emp-not-inc,256866, Some-college,10, Married-civ-spouse, Sales, Husband, White
44, Self-emp-not-inc,120837, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
51, Private,185283, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
44, Self-emp-inc,229466, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
25, Private,298225, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
60, Private,185749, 11th,7, Widowed, Transport-moving, Unmarried, Black
17, ?,333100, 10th,6, Never-married, ?, Own-child, White
49, Self-emp-inc,125892, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
46, Private,563883, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black
56, Private,311249, HS-grad,9, Widowed, Adm-clerical, Unmarried, Black
25, Private,221757, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
22, Private,310152, Some-college,10, Never-married, Transport-moving, Not-in-family, White
76, ?,211453, HS-grad,9, Widowed, ?, Not-in-family, Black
41, Self-emp-inc,94113, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
48, Self-emp-inc,192945, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
46, Private,161508, 10th,6, Never-married, Machine-op-inspct, Not-in-family, Black
30, Private,177675, Some-college,10, Never-married, Craft-repair, Not-in-family, White
39, Private,51100, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
40, Private,100584, 10th,6, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo
70, Federal-gov,163003, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black
35, Private,67728, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
49, Private,101320, Masters,14, Divorced, Exec-managerial, Not-in-family, White
24, Private,42706, Assoc-voc,11, Never-married, Protective-serv, Not-in-family, White
40, Private,228535, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White
61, Private,120939, Prof-school,15, Married-civ-spouse, Transport-moving, Husband, White
25, Private,98283, Bachelors,13, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander
28, Local-gov,216481, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
69, State-gov,208869, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
22, Private,207940, Some-college,10, Never-married, Handlers-cleaners, Own-child, White
47, Private,34248, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
38, Private,83727, HS-grad,9, Divorced, Other-service, Unmarried, White
26, Private,183077, Assoc-voc,11, Never-married, Adm-clerical, Own-child, White
17, Private,197850, 11th,7, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander
33, Self-emp-not-inc,235271, Some-college,10, Never-married, Other-service, Not-in-family, White
43, Self-emp-not-inc,35236, HS-grad,9, Married-spouse-absent, Craft-repair, Not-in-family, White
58, Private,255822, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
53, Self-emp-inc,263925, HS-grad,9, Married-civ-spouse, Sales, Husband, White
26, Private,256263, HS-grad,9, Never-married, Craft-repair, Not-in-family, White
43, Local-gov,293535, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black
31, Private,209448, 10th,6, Married-civ-spouse, Farming-fishing, Husband, White
30, Private,57651, HS-grad,9, Never-married, Adm-clerical, Unmarried, White
25, Private,174592, HS-grad,9, Never-married, Other-service, Own-child, White
57, Federal-gov,278763, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
37, Private,175232, Masters,14, Divorced, Exec-managerial, Unmarried, White
32, Private,402812, Some-college,10, Married-civ-spouse, Sales, Husband, White
26, Private,101150, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White
45, Private,103538, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
53, State-gov,156877, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
27, Private,23940, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, Amer-Indian-Eskimo
28, Self-emp-inc,210295, 11th,7, Married-civ-spouse, Craft-repair, Husband, White
32, Private,80058, 11th,7, Divorced, Sales, Not-in-family, White
35, Private,187119, Bachelors,13, Divorced, Sales, Not-in-family, White
36, Self-emp-not-inc,105021, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
19, Private,225775, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
