37, Self-emp-inc,395831, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
39, Private,379350, 10th,6, Married-civ-spouse, Craft-repair, Husband, White
50, Private,21095, Some-college,10, Divorced, Other-service, Unmarried, Asian-Pac-Islander
58, Self-emp-not-inc,211547, 12th,8, Divorced, Sales, Not-in-family, White
36, Private,85272, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Wife, White
45, Private,46406, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
54, Private,53833, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
26, Private,161007, Bachelors,13, Never-married, Adm-clerical, Own-child, White
60, Private,53707, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White
46, Private,370119, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
26, Private,310907, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White
32, Private,375833, 11th,7, Never-married, Craft-repair, Other-relative, White
38, Local-gov,107513, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
48, Self-emp-not-inc,58683, Some-college,10, Married-civ-spouse, Sales, Husband, White
44, Self-emp-not-inc,179557, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
37, Private,70240, HS-grad,9, Never-married, Other-service, Own-child, Asian-Pac-Islander
44, Private,147206, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
31, Private,175548, HS-grad,9, Never-married, Other-service, Not-in-family, Other
61, Self-emp-not-inc,163174, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
51, Private,126010, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
52, Private,147876, Bachelors,13, Married-civ-spouse, Sales, Wife, White
45, Private,428350, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White
36, ?,200904, Assoc-acdm,12, Married-civ-spouse, ?, Wife, Black
39, Private,328466, 11th,7, Married-civ-spouse, Other-service, Husband, White
67, Local-gov,258973, HS-grad,9, Divorced, Other-service, Not-in-family, White
40, State-gov,345969, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White
27, Private,127796, 5th-6th,3, Never-married, Farming-fishing, Not-in-family, White
37, Private,405723, 1st-4th,2, Married-civ-spouse, Machine-op-inspct, Husband, White
57, Private,175942, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
27, Private,284196, 10th,6, Divorced, Other-service, Not-in-family, White
28, Private,89718, HS-grad,9, Never-married, Sales, Not-in-family, White
34, Self-emp-inc,175761, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
54, Private,206369, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
52, Private,158993, HS-grad,9, Divorced, Other-service, Other-relative, Black
42, Private,285066, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
48, Private,126754, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
65, State-gov,209280, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
55, Self-emp-not-inc,52888, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White
71, Self-emp-inc,133821, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
33, Private,240763, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Black
30, Private,39054, HS-grad,9, Married-civ-spouse, Sales, Husband, White
35, Private,119272, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
59, Private,143372, 10th,6, Divorced, Adm-clerical, Not-in-family, Black
19, Private,323421, Some-college,10, Never-married, Handlers-cleaners, Own-child, White
36, Self-emp-not-inc,136028, 9th,5, Married-civ-spouse, Craft-repair, Husband, White
26, Self-emp-not-inc,163189, HS-grad,9, Never-married, Sales, Own-child, White
34, Local-gov,202729, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
41, Private,421871, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black
44, Private,120277, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
26, ?,211798, HS-grad,9, Separated, ?, Unmarried, White
47, Private,198901, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
18, Private,214617, Some-college,10, Never-married, Sales, Own-child, White
55, Self-emp-not-inc,179715, 10th,6, Married-civ-spouse, Craft-repair, Husband, White
49, Local-gov,107231, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
44, Private,110355, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
43, Private,184378, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
62, Private,273454, 7th-8th,4, Married-civ-spouse, Protective-serv, Husband, White
44, Private,443040, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black
39, ?,71701, HS-grad,9, Divorced, ?, Unmarried, White
50, Self-emp-inc,160151, Some-college,10, Married-civ-spouse, Sales, Husband, White
35, Private,107991, 11th,7, Never-married, Sales, Not-in-family, White
52, Private,94391, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
46, Private,99835, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
44, Private,43711, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White
43, Private,83756, Some-college,10, Never-married, Exec-managerial, Unmarried, White
51, Private,120914, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White
20, Private,180052, Some-college,10, Never-married, Sales, Own-child, White
47, Private,170846, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, White
43, Private,37937, Masters,14, Divorced, Exec-managerial, Unmarried, White
64, ?,168340, HS-grad,9, Married-civ-spouse, ?, Husband, White
24, Private,38455, Some-college,10, Never-married, Craft-repair, Not-in-family, White
27, Federal-gov,128059, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
32, Private,420895, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
37, Private,166744, HS-grad,9, Divorced, Other-service, Unmarried, White
26, Private,238768, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
43, Private,176270, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
50, Private,140592, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White
20, Self-emp-not-inc,211466, HS-grad,9, Never-married, Transport-moving, Own-child, White
37, Private,188540, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
43, Private,39581, HS-grad,9, Never-married, Other-service, Not-in-family, Black
37, Private,171150, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
53, Private,117496, 9th,5, Divorced, Other-service, Not-in-family, White
44, Private,145160, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
25, Private,28520, HS-grad,9, Never-married, Other-service, Not-in-family, White
17, Private,103851, 11th,7, Never-married, Adm-clerical, Own-child, White
19, Private,375077, HS-grad,9, Never-married, Sales, Own-child, White
53, State-gov,281590, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White
44, Private,151504, Some-college,10, Married-civ-spouse, Sales, Husband, White
51, Private,415287, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black
49, Private,32212, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White
35, Private,123606, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White
44, Private,202565, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
54, Private,177927, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
37, Private,256723, Some-college,10, Divorced, Adm-clerical, Unmarried, Black
18, Private,46247, Some-college,10, Never-married, Other-service, Own-child, White
24, Private,266926, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White
29, Private,112031, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
22, ?,376277, Some-college,10, Divorced, ?, Not-in-family, White
35, Private,168817, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White
56, Private,187487, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
32, ?,158784, 7th-8th,4, Widowed, ?, Not-in-family, White
24, Private,67222, Bachelors,13, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander
43, Private,201723, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
73, Private,267408, HS-grad,9, Widowed, Sales, Other-relative, White
47, Federal-gov,168191, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
49, Private,105444, 12th,8, Married-civ-spouse, Machine-op-inspct, Husband, White
38, Private,156728, Bachelors,13, Married-civ-spouse, Sales, Husband, White
31, Private,148600, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black
39, Private,19914, Some-college,10, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo
42, Private,190767, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White
41, Private,233955, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
35, Private,30381, Bachelors,13, Married-civ-spouse, Sales, Husband, White
38, Private,187069, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
31, Private,367314, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
51, Local-gov,101119, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
38, Private,86551, Bachelors,13, Divorced, Sales, Not-in-family, White
40, Local-gov,218995, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
21, Private,57711, HS-grad,9, Never-married, Other-service, Not-in-family, White
44, Private,303521, Some-college,10, Divorced, Craft-repair, Not-in-family, White
55, Private,199067, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
29, Private,247445, HS-grad,9, Divorced, Sales, Not-in-family, White
49, Private,186078, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White
31, Private,77634, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White
24, Private,180060, Masters,14, Never-married, Exec-managerial, Own-child, White
46, Private,56482, Some-college,10, Never-married, Exec-managerial, Not-in-family, Black
26, Private,314177, HS-grad,9, Never-married, Sales, Not-in-family, Black
35, Private,239755, Bachelors,13, Never-married, Other-service, Not-in-family, White
27, Private,377680, Assoc-voc,11, Never-married, Sales, Not-in-family, White
64, Self-emp-not-inc,134960, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
26, Private,294493, Bachelors,13, Never-married, Craft-repair, Other-relative, White
21, Private,32616, HS-grad,9, Never-married, Other-service, Not-in-family, White
45, Private,182655, Bachelors,13, Divorced, Other-service, Not-in-family, White
57, Local-gov,52267, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
30, Private,117963, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
45, Private,98881, 11th,7, Married-civ-spouse, Other-service, Wife, White
50, Private,196963, 7th-8th,4, Divorced, Craft-repair, Not-in-family, White
38, Private,166988, Bachelors,13, Never-married, Adm-clerical, Own-child, White
43, Self-emp-not-inc,193459, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
42, Private,182342, Some-college,10, Widowed, Exec-managerial, Not-in-family, White
32, Private,496743, Bachelors,13, Never-married, Prof-specialty, Own-child, White
20, Private,154781, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
27, Private,219371, HS-grad,9, Never-married, Other-service, Not-in-family, White
45, Private,99179, 11th,7, Widowed, Adm-clerical, Unmarried, White
40, Private,224910, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White
38, Private,304651, HS-grad,9, Divorced, Transport-moving, Not-in-family, White
37, Private,349689, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
60, Private,106850, 10th,6, Divorced, Machine-op-inspct, Not-in-family, White
53, Self-emp-not-inc,196328, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Black
25, Private,169323, Bachelors,13, Married-civ-spouse, Exec-managerial, Own-child, White
47, Self-emp-not-inc,162924, Bachelors,13, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander
40, Self-emp-not-inc,34037, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White
51, ?,167651, HS-grad,9, Married-civ-spouse, ?, Husband, White
19, Private,197384, Some-college,10, Never-married, Other-service, Own-child, White
42, Private,251795, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White
65, ?,266081, HS-grad,9, Married-civ-spouse, ?, Husband, White
41, Private,165309, Bachelors,13, Divorced, Adm-clerical, Unmarried, White
28, Private,215873, 10th,6, Never-married, Machine-op-inspct, Own-child, Black
46, Private,133938, Masters,14, Divorced, Exec-managerial, Not-in-family, White
49, Private,159816, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White
24, Private,228424, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, Black
32, Private,195576, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White
71, Private,105200, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
26, Private,167350, Some-college,10, Married-civ-spouse, Tech-support, Husband, White
29, Private,52199, HS-grad,9, Married-spouse-absent, Protective-serv, Not-in-family, White
50, Private,171338, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
51, Private,120173, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
17, ?,158762, 10th,6, Never-married, ?, Own-child, White
49, Private,169818, HS-grad,9, Married-civ-spouse, Other-service, Wife, Black
31, Private,288419, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White
23, Private,207546, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White
59, Local-gov,147707, HS-grad,9, Widowed, Farming-fishing, Unmarried, White
17, ?,228373, 10th,6, Never-married, ?, Own-child, White
43, Private,193882, Some-college,10, Married-civ-spouse, Sales, Husband, White
38, Private,31033, Bachelors,13, Married-civ-spouse, Sales, Husband, White
37, Private,272950, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
29, Private,183523, 10th,6, Never-married, Other-service, Own-child, White
39, Private,238415, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
31, Private,19302, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White
42, Local-gov,339671, Bachelors,13, Married-spouse-absent, Prof-specialty, Not-in-family, White
35, Local-gov,103260, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White
39, Private,79331, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander
40, Private,135056, Assoc-acdm,12, Divorced, Adm-clerical, Unmarried, White
66, Private,142723, 5th-6th,3, Married-spouse-absent, Handlers-cleaners, Unmarried, White
30, Federal-gov,188569, 9th,5, Married-civ-spouse, Tech-support, Husband, White
43, Private,57322, Assoc-acdm,12, Divorced, Craft-repair, Not-in-family, White
47, Private,178309, 9th,5, Never-married, Other-service, Unmarried, White
45, Private,166107, Masters,14, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander
31, Private,53042, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Black
33, Private,155343, HS-grad,9, Married-civ-spouse, Sales, Husband, White
32, Private,35595, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
28, Private,429507, Assoc-acdm,12, Married-civ-spouse, Handlers-cleaners, Husband, Black
50, Federal-gov,159670, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
63, Private,151210, 7th-8th,4, Divorced, Sales, Not-in-family, White
