31, Private,259931, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White
45, Local-gov,160472, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
23, ?,123983, Bachelors,13, Never-married, ?, Own-child, Other
47, Private,297884, 10th,6, Widowed, Machine-op-inspct, Not-in-family, White
59, Private,99131, HS-grad,9, Widowed, Prof-specialty, Not-in-family, White
32, Private,44392, Assoc-acdm,12, Married-civ-spouse, Handlers-cleaners, Husband, White
82, ?,29441, 7th-8th,4, Widowed, ?, Not-in-family, White
49, Private,199029, Bachelors,13, Married-civ-spouse, Sales, Husband, White
74, Federal-gov,181508, HS-grad,9, Widowed, Other-service, Not-in-family, White
22, Private,190625, Some-college,10, Never-married, Adm-clerical, Own-child, White
32, Private,194740, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
34, Private,27380, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White
59, Private,160631, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
36, Private,224531, Bachelors,13, Married-civ-spouse, Sales, Husband, White
59, Private,283005, 11th,7, Divorced, Adm-clerical, Unmarried, White
47, Self-emp-inc,101926, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White
53, Local-gov,135102, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
25, Self-emp-not-inc,113436, Some-college,10, Never-married, Craft-repair, Unmarried, White
44, Private,248973, Bachelors,13, Divorced, Adm-clerical, Not-in-family, Black
57, Self-emp-not-inc,225334, Prof-school,15, Married-civ-spouse, Sales, Wife, White
42, Self-emp-not-inc,157562, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White
58, Local-gov,310085, 10th,6, Married-civ-spouse, Transport-moving, Husband, White
39, Private,129597, Bachelors,13, Married-civ-spouse, Sales, Husband, White
32, ?,53042, HS-grad,9, Never-married, ?, Own-child, Black
45, Private,204205, 7th-8th,4, Divorced, Machine-op-inspct, Not-in-family, White
47, Private,169324, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, Black
52, ?,134447, Some-college,10, Married-civ-spouse, ?, Husband, White
56, Self-emp-not-inc,236731, 1st-4th,2, Separated, Exec-managerial, Not-in-family, White
52, Private,141301, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White
34, Private,235124, HS-grad,9, Never-married, Other-service, Unmarried, Black
36, Self-emp-not-inc,367020, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White
41, Private,149102, HS-grad,9, Married-spouse-absent, Craft-repair, Not-in-family, White
30, Private,423770, Some-college,10, Never-married, Prof-specialty, Own-child, White
44, Private,211759, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Other
17, ?,110998, Some-college,10, Never-married, ?, Own-child, Asian-Pac-Islander
34, Private,56883, Some-college,10, Never-married, Other-service, Unmarried, White
41, Private,223062, Some-college,10, Separated, Other-service, Not-in-family, Black
29, Private,406662, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White
25, Private,206600, 9th,5, Never-married, Machine-op-inspct, Other-relative, White
42, Local-gov,147510, Bachelors,13, Separated, Prof-specialty, Unmarried, White
48, Private,235646, Some-college,10, Married-civ-spouse, Sales, Husband, White
26, Private,187577, Assoc-voc,11, Never-married, Sales, Not-in-family, White
64, Self-emp-inc,132832, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
46, Self-emp-inc,278322, Bachelors,13, Married-civ-spouse, Sales, Husband, White
38, Private,278924, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
49, State-gov,203039, 11th,7, Married-civ-spouse, Adm-clerical, Husband, White
23, Private,145651, Some-college,10, Never-married, Sales, Own-child, Black
46, Local-gov,144531, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
30, Private,91145, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, White
49, Self-emp-not-inc,211762, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
47, ?,111563, Assoc-voc,11, Divorced, ?, Not-in-family, White
44, Private,180985, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
31, Private,207537, HS-grad,9, Divorced, Craft-repair, Own-child, White
19, Private,417657, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
45, Private,189890, Assoc-acdm,12, Divorced, Prof-specialty, Unmarried, White
34, Private,223212, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
26, Private,108658, HS-grad,9, Never-married, Craft-repair, Not-in-family, White
38, Self-emp-not-inc,190023, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
31, Private,222130, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
36, Self-emp-inc,164866, Assoc-acdm,12, Separated, Exec-managerial, Not-in-family, White
31, Private,170983, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
30, Private,186269, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White
37, Private,286026, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White
30, Private,403433, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black
21, ?,224209, HS-grad,9, Married-civ-spouse, ?, Wife, Black
73, Private,123160, 10th,6, Widowed, Other-service, Not-in-family, White
38, Federal-gov,99527, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
30, Private,123178, 10th,6, Never-married, Craft-repair, Not-in-family, White
33, Private,231043, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
52, Local-gov,317733, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
58, Private,241056, Some-college,10, Divorced, Adm-clerical, Unmarried, White
34, Local-gov,220066, Masters,14, Never-married, Prof-specialty, Not-in-family, White
35, Private,180342, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
59, Federal-gov,31840, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
45, Private,183168, Bachelors,13, Divorced, Exec-managerial, Unmarried, White
27, Private,386036, Some-college,10, Never-married, Transport-moving, Not-in-family, White
31, Local-gov,446358, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White
45, Private,28035, Some-college,10, Never-married, Farming-fishing, Other-relative, White
40, Private,282155, HS-grad,9, Separated, Other-service, Other-relative, White
27, Private,192384, Prof-school,15, Married-civ-spouse, Adm-clerical, Husband, White
19, Private,383637, HS-grad,9, Never-married, Other-service, Own-child, White
29, Private,457402, 5th-6th,3, Never-married, Other-service, Not-in-family, White
34, Self-emp-inc,80249, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
32, State-gov,159537, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White
49, Private,240859, 11th,7, Married-civ-spouse, Craft-repair, Husband, White
33, Private,83446, 11th,7, Divorced, Exec-managerial, Unmarried, White
74, ?,29866, 7th-8th,4, Married-civ-spouse, ?, Husband, White
62, Private,185503, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
39, Self-emp-not-inc,68781, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
43, Private,220589, HS-grad,9, Divorced, Exec-managerial, Unmarried, White
22, Private,51136, Some-college,10, Never-married, Tech-support, Not-in-family, White
24, Private,54560, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
76, ?,28221, HS-grad,9, Married-civ-spouse, ?, Husband, White
25, Private,201413, Some-college,10, Never-married, Other-service, Unmarried, Black
19, Private,40425, Some-college,10, Never-married, Sales, Not-in-family, White
