63, Local-gov,28856, 7th-8th,4, Married-civ-spouse, Other-service, Husband, White
48, Private,164966, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander
36, ?,94954, Assoc-voc,11, Widowed, ?, Not-in-family, White
34, Private,202046, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
28, Private,161538, Bachelors,13, Never-married, Tech-support, Not-in-family, White
67, Private,105252, Bachelors,13, Widowed, Exec-managerial, Not-in-family, White
37, Private,200153, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
44, Private,32185, HS-grad,9, Never-married, Transport-moving, Unmarried, White
25, Private,178326, Some-college,10, Never-married, Sales, Not-in-family, White
21, Private,255957, Some-college,10, Never-married, Exec-managerial, Not-in-family, White
40, State-gov,188693, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
78, Private,182977, HS-grad,9, Widowed, Other-service, Not-in-family, Black
34, Private,159929, HS-grad,9, Divorced, Handlers-cleaners, Own-child, White
49, Private,123207, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
22, Private,284317, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White
23, ?,184699, HS-grad,9, Never-married, ?, Unmarried, Black
60, Self-emp-not-inc,154474, HS-grad,9, Never-married, Farming-fishing, Unmarried, White
45, Local-gov,318280, HS-grad,9, Widowed, Protective-serv, Not-in-family, White
63, Private,254907, Assoc-voc,11, Divorced, Other-service, Not-in-family, White
41, Private,349221, HS-grad,9, Never-married, Craft-repair, Own-child, Black
47, Private,335973, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
44, Private,126701, HS-grad,9, Divorced, Craft-repair, Unmarried, White
51, Private,122159, Some-college,10, Widowed, Prof-specialty, Not-in-family, White
46, Private,187370, Bachelors,13, Never-married, Sales, Not-in-family, White
41, Private,194636, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White
50, Self-emp-not-inc,124793, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
47, Private,192835, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
35, Private,290226, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White
56, Private,112840, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
45, Private,89325, Masters,14, Divorced, Prof-specialty, Not-in-family, White
48, Federal-gov,33109, Bachelors,13, Divorced, Exec-managerial, Unmarried, White
40, Private,82465, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
39, Self-emp-inc,329980, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
20, Private,148294, Some-college,10, Never-married, Other-service, Own-child, White
50, Private,168212, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
38, State-gov,343642, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White
23, Local-gov,115244, Bachelors,13, Never-married, Prof-specialty, Own-child, White
31, Private,162572, HS-grad,9, Never-married, Other-service, Own-child, White
58, Private,356067, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
66, Private,271567, HS-grad,9, Separated, Machine-op-inspct, Not-in-family, Black
39, Self-emp-inc,180804, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
54, Self-emp-not-inc,123011, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
26, Private,109186, Some-college,10, Married-civ-spouse, Sales, Husband, White
51, Private,220537, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White
34, Private,124827, Assoc-voc,11, Never-married, Transport-moving, Own-child, White
50, Private,767403, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
42, Private,118494, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
38, Private,173208, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
48, Private,107373, 7th-8th,4, Married-civ-spouse, Handlers-cleaners, Husband, White
33, Private,26973, Assoc-voc,11, Married-civ-spouse, Tech-support, Wife, White
51, Private,191965, HS-grad,9, Widowed, Other-service, Unmarried, White
22, Private,122346, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
19, ?,117201, HS-grad,9, Never-married, ?, Own-child, White
41, Private,198316, Some-college,10, Never-married, Craft-repair, Not-in-family, White
48, Local-gov,123075, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
42, Private,209370, HS-grad,9, Separated, Sales, Not-in-family, White
34, Private,33117, Some-college,10, Married-civ-spouse, Other-service, Husband, White
23, Private,129042, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, Black
56, Private,169133, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
30, Private,201624, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black
45, Private,368561, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
48, Private,207848, 10th,6, Married-civ-spouse, Adm-clerical, Wife, White
48, Self-emp-inc,138370, Masters,14, Married-spouse-absent, Sales, Not-in-family, Asian-Pac-Islander
31, Private,93106, Assoc-voc,11, Never-married, Adm-clerical, Not-in-family, White
20, State-gov,223515, Assoc-acdm,12, Never-married, Other-service, Own-child, White
27, Private,389713, Some-college,10, Never-married, Sales, Not-in-family, White
32, Private,206365, HS-grad,9, Never-married, Other-service, Not-in-family, Black
76, ?,431192, 7th-8th,4, Widowed, ?, Not-in-family, White
19, ?,241616, HS-grad,9, Never-married, ?, Unmarried, White
66, Self-emp-inc,150726, 9th,5, Married-civ-spouse, Exec-managerial, Husband, White
37, Private,123785, HS-grad,9, Never-married, Other-service, Not-in-family, White
34, Private,289984, HS-grad,9, Divorced, Priv-house-serv, Unmarried, Black
34, ?,164309, 11th,7, Married-civ-spouse, ?, Wife, White
90, Private,137018, HS-grad,9, Never-married, Other-service, Not-in-family, White
23, Private,137994, Some-college,10, Never-married, Machine-op-inspct, Own-child, Black
43, Private,341204, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
44, Private,167005, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
24, Private,34446, Some-college,10, Never-married, Tech-support, Not-in-family, White
28, Private,187160, Prof-school,15, Divorced, Prof-specialty, Unmarried, White
64, ?,196288, Assoc-acdm,12, Never-married, ?, Not-in-family, White
23, Private,217961, Some-college,10, Married-civ-spouse, Other-service, Husband, White
20, Private,74631, Some-college,10, Never-married, Sales, Not-in-family, White
36, Private,156667, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
61, Private,125155, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
53, Self-emp-not-inc,263925, Bachelors,13, Married-civ-spouse, Sales, Husband, White
30, Private,296453, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
52, Self-emp-not-inc,44728, Some-college,10, Married-civ-spouse, Sales, Husband, White
38, Private,193026, Some-college,10, Divorced, Craft-repair, Not-in-family, White
32, Private,87643, Bachelors,13, Married-civ-spouse, Sales, Husband, White
30, Self-emp-not-inc,106742, 12th,8, Married-civ-spouse, Transport-moving, Husband, White
41, Private,302122, Assoc-voc,11, Divorced, Craft-repair, Not-in-family, White
49, Local-gov,193960, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
45, Private,185385, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
43, Self-emp-not-inc,277647, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
61, Private,128848, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
54, Private,377701, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
34, Private,157886, Assoc-acdm,12, Separated, Other-service, Unmarried, White
49, Private,175958, Some-college,10, Married-civ-spouse, Sales, Husband, White
38, Private,223004, Some-college,10, Never-married, Other-service, Own-child, White
35, Private,199352, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
36, Private,29984, 12th,8, Married-civ-spouse, Transport-moving, Husband, White
30, Private,181651, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
36, Private,117312, Assoc-acdm,12, Divorced, Tech-support, Not-in-family, White
22, Local-gov,34029, Bachelors,13, Never-married, Prof-specialty, Own-child, White
38, Private,132879, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
37, Private,215310, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
48, State-gov,55863, Doctorate,16, Married-civ-spouse, Prof-specialty, Wife, White
17, Private,220384, 11th,7, Never-married, Adm-clerical, Own-child, White
19, Self-emp-not-inc,36012, Some-college,10, Never-married, Craft-repair, Own-child, White
27, Private,137645, Bachelors,13, Never-married, Sales, Not-in-family, Black
22, Private,191342, Bachelors,13, Never-married, Sales, Own-child, Asian-Pac-Islander
49, Private,31339, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
43, State-gov,227910, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Wife, White
43, Private,173728, Bachelors,13, Separated, Prof-specialty, Unmarried, White
19, Local-gov,167816, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White
58, Self-emp-not-inc,81642, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
41, Local-gov,195258, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White
31, Private,232475, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White
30, Private,241259, Assoc-voc,11, Married-civ-spouse, Transport-moving, Husband, White
32, Private,118161, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
29, Private,201954, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
42, Private,150533, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
38, Private,412296, HS-grad,9, Divorced, Craft-repair, Own-child, White
41, Federal-gov,133060, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White
44, Self-emp-not-inc,120539, Bachelors,13, Never-married, Sales, Not-in-family, White
31, Private,196025, Doctorate,16, Married-spouse-absent, Prof-specialty, Not-in-family, Asian-Pac-Islander
34, Private,107793, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
21, Private,163870, Some-college,10, Never-married, Adm-clerical, Own-child, White
22, Self-emp-not-inc,361280, Bachelors,13, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander
62, Private,92178, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White
19, ?,80710, HS-grad,9, Never-married, ?, Own-child, White
29, Self-emp-inc,260729, HS-grad,9, Married-civ-spouse, Sales, Wife, White
43, Private,182254, Some-college,10, Divorced, Prof-specialty, Unmarried, White
68, ?,140282, 7th-8th,4, Married-civ-spouse, ?, Husband, White
45, Self-emp-inc,149865, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White
39, Self-emp-inc,218184, 9th,5, Married-civ-spouse, Exec-managerial, Husband, White
41, Private,118619, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black
34, Self-emp-not-inc,196791, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Wife, White
34, Local-gov,167999, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
31, Private,51259, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
29, Private,131088, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
41, Private,118212, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
41, Private,293791, Assoc-voc,11, Married-civ-spouse, Transport-moving, Husband, White
35, Self-emp-inc,289430, Masters,14, Married-civ-spouse, Sales, Husband, White
33, Private,35378, Bachelors,13, Married-civ-spouse, Sales, Wife, White
37, State-gov,60227, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
69, Private,168139, HS-grad,9, Married-civ-spouse, Sales, Wife, White
34, Private,290763, HS-grad,9, Divorced, Handlers-cleaners, Own-child, White
60, Self-emp-inc,226355, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White
36, Private,51100, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
41, Private,227644, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
58, Local-gov,205267, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White
53, Private,288020, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
29, Private,140863, Some-college,10, Married-civ-spouse, Tech-support, Husband, White
45, Federal-gov,170915, HS-grad,9, Divorced, Tech-support, Not-in-family, White
34, State-gov,50178, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
36, Private,112497, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White
48, Private,95244, Some-college,10, Divorced, Other-service, Unmarried, Black
20, Private,117606, Assoc-voc,11, Never-married, Adm-clerical, Own-child, White
35, Private,89508, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
63, Federal-gov,124244, HS-grad,9, Widowed, Handlers-cleaners, Not-in-family, Black
41, Self-emp-not-inc,154374, Some-college,10, Divorced, Other-service, Unmarried, White
28, Private,294936, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
30, Private,347132, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, Black
34, ?,181934, HS-grad,9, Divorced, ?, Not-in-family, White
31, Private,316672, HS-grad,9, Never-married, Other-service, Unmarried, White
37, Private,189382, Assoc-voc,11, Never-married, Adm-clerical, Own-child, White
42, ?,184018, Some-college,10, Divorced, ?, Unmarried, White
31, Private,184307, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
46, Self-emp-not-inc,246212, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
35, Federal-gov,250504, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black
27, Private,138705, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
41, Private,328447, 1st-4th,2, Married-civ-spouse, Craft-repair, Husband, White
19, Private,194608, Some-college,10, Never-married, Other-service, Own-child, White
20, Private,230891, Some-college,10, Never-married, Sales, Not-in-family, White
59, Federal-gov,212448, HS-grad,9, Widowed, Sales, Unmarried, White
40, Private,214010, Bachelors,13, Never-married, Other-service, Not-in-family, White
56, Self-emp-not-inc,200235, Some-college,10, Married-civ-spouse, Sales, Husband, White
33, Private,354573, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
30, Self-emp-inc,205733, Some-college,10, Never-married, Exec-managerial, Not-in-family, White
46, Private,185041, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
61, Self-emp-inc,84409, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
50, Self-emp-inc,293196, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
25, Private,241626, HS-grad,9, Never-married, Other-service, Own-child, White
40, Private,520586, Some-college,10, Divorced, Adm-clerical, Unmarried, White
24, ?,35633, Some-college,10, Never-married, ?, Not-in-family, White
51, Private,302847, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
43, State-gov,165309, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
34, Private,117529, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
46, Private,106092, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
28, State-gov,445824, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White
26, Private,227332, Bachelors,13, Never-married, Transport-moving, Unmarried, Asian-Pac-Islander
20, Private,275691, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
44, Private,193459, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
51, Private,284329, HS-grad,9, Widowed, Transport-moving, Unmarried, White
33, Private,114691, Bachelors,13, Married-civ-spouse, Sales, Husband, White
54, Private,96062, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White
50, Private,133963, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White
33, Private,178506, HS-grad,9, Divorced, Adm-clerical, Not-in-family, Black
65, Private,350498, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
22, ?,131573, Some-college,10, Never-married, ?, Own-child, White
88, Self-emp-not-inc,206291, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
40, Private,182302, HS-grad,9, Divorced, Transport-moving, Not-in-family, White
51, Private,241346, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
50, Private,157043, 11th,7, Divorced, Other-service, Not-in-family, Black
25, Private,404616, Masters,14, Married-civ-spouse, Farming-fishing, Not-in-family, White
20, Private,411862, Assoc-voc,11, Never-married, Other-service, Not-in-family, White
47, Private,183013, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
58, ?,169982, Some-college,10, Married-civ-spouse, ?, Husband, White
22, Private,188544, Assoc-voc,11, Never-married, Adm-clerical, Own-child, White
50, State-gov,356619, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White
47, Private,45857, HS-grad,9, Never-married, Adm-clerical, Unmarried, White
24, Local-gov,289886, 11th,7, Never-married, Other-service, Not-in-family, Asian-Pac-Islander
50, ?,146015, HS-grad,9, Married-civ-spouse, ?, Husband, White
40, Private,216237, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White
36, Private,416745, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
32, Private,202952, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
44, Private,167725, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
51, ?,165637, Masters,14, Married-civ-spouse, ?, Husband, White
59, Federal-gov,43280, Some-college,10, Never-married, Exec-managerial, Own-child, Black
65, Private,118779, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
24, State-gov,191269, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
27, Local-gov,247507, Bachelors,13, Never-married, Prof-specialty, Own-child, White
51, Private,239155, Assoc-voc,11, Divorced, Other-service, Not-in-family, White
48, Private,182862, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
39, Private,33886, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
28, Private,444304, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White
19, Private,187161, Some-college,10, Never-married, Other-service, Own-child, White
49, Local-gov,116892, Bachelors,13, Divorced, Prof-specialty, Not-in-family, Black
51, Local-gov,176813, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White
59, Private,151616, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
18, Private,240747, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White
50, Private,75472, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
