53, Private,209022, 11th,7, Divorced, Other-service, Not-in-family, White
57, Private,145189, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
37, Private,233490, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White
32, Private,344129, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
62, Self-emp-not-inc,171315, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
31, Self-emp-not-inc,181485, Bachelors,13, Never-married, Sales, Not-in-family, Black
51, Private,255412, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
37, Private,262409, Masters,14, Divorced, Exec-managerial, Unmarried, White
45, Private,199590, 5th-6th,3, Married-civ-spouse, Transport-moving, Husband, White
47, Private,84726, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
31, ?,226883, HS-grad,9, Divorced, ?, Own-child, White
75, Self-emp-not-inc,184335, 11th,7, Married-civ-spouse, Exec-managerial, Husband, White
43, Private,102025, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Other
39, Private,183898, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White
30, Private,55291, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
27, Private,150025, 5th-6th,3, Never-married, Handlers-cleaners, Other-relative, White
44, Private,100584, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Amer-Indian-Eskimo
53, Local-gov,181755, Masters,14, Divorced, Prof-specialty, Not-in-family, White
40, Private,150528, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
18, Private,107277, 11th,7, Never-married, Sales, Own-child, White
33, Private,247205, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, Black
20, Private,291979, HS-grad,9, Never-married, Sales, Own-child, White
38, Private,270985, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black
48, Private,62605, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
46, Self-emp-not-inc,176863, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
51, Private,53197, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
35, Self-emp-not-inc,267776, HS-grad,9, Never-married, Other-service, Other-relative, White
24, Private,308205, 7th-8th,4, Never-married, Handlers-cleaners, Other-relative, White
30, Private,306383, Some-college,10, Divorced, Handlers-cleaners, Not-in-family, White
70, Private,35494, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
26, Private,291968, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
34, Private,80933, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
46, Private,271828, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
70, Private,121993, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
37, Local-gov,31023, Some-college,10, Married-civ-spouse, Other-service, Husband, White
36, Self-emp-not-inc,36425, Some-college,10, Divorced, Sales, Unmarried, White
23, Private,407684, 9th,5, Never-married, Machine-op-inspct, Other-relative, White
28, Private,241895, HS-grad,9, Married-civ-spouse, Sales, Husband, White
44, Self-emp-not-inc,158555, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
58, Private,140363, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White
53, Private,123429, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
23, Private,40060, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White
26, Private,290286, HS-grad,9, Never-married, Craft-repair, Not-in-family, Black
21, ?,249271, Some-college,10, Married-civ-spouse, ?, Husband, White
34, Local-gov,106169, Masters,14, Divorced, Prof-specialty, Not-in-family, White
43, Private,76487, 11th,7, Married-civ-spouse, Craft-repair, Husband, White
22, Private,437994, Some-college,10, Never-married, Other-service, Other-relative, Black
41, Private,113555, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo
36, Private,160120, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander
41, Local-gov,343079, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White
27, Private,406662, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
42, Self-emp-not-inc,37618, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
27, Private,114158, Assoc-voc,11, Never-married, Adm-clerical, Own-child, White
41, Private,115562, HS-grad,9, Divorced, Protective-serv, Own-child, White
32, Private,353994, Bachelors,13, Married-civ-spouse, Exec-managerial, Other-relative, Asian-Pac-Islander
21, Private,344891, Some-college,10, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander
44, Private,286750, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black
29, Private,194197, Bachelors,13, Never-married, Exec-managerial, Own-child, White
19, Self-emp-not-inc,206599, Some-college,10, Never-married, Other-service, Own-child, White
21, Local-gov,596776, Some-college,10, Never-married, Adm-clerical, Own-child, White
46, Private,56841, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
38, Private,112561, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
43, Private,147110, Some-college,10, Never-married, Adm-clerical, Unmarried, White
54, Self-emp-inc,175339, HS-grad,9, Married-civ-spouse, Sales, Husband, White
38, Private,234901, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
18, ?,298133, Some-college,10, Never-married, ?, Own-child, White
50, Private,217083, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
30, Private,97757, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Wife, White
30, Private,151868, 9th,5, Married-civ-spouse, Craft-repair, Husband, White
28, Local-gov,25864, HS-grad,9, Never-married, Exec-managerial, Unmarried, Amer-Indian-Eskimo
26, Private,109419, Assoc-voc,11, Never-married, Adm-clerical, Not-in-family, White
37, Federal-gov,203070, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
32, Private,107843, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
64, State-gov,264544, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White
18, Private,148644, HS-grad,9, Never-married, Sales, Own-child, White
30, Private,125762, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White
36, ?,53606, Assoc-voc,11, Married-civ-spouse, ?, Wife, White
18, Private,193741, 11th,7, Never-married, Other-service, Other-relative, Black
27, Private,588905, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
49, Private,115613, 9th,5, Married-civ-spouse, Other-service, Husband, White
46, State-gov,222374, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
37, Private,185359, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
30, Private,173647, Some-college,10, Divorced, Transport-moving, Not-in-family, White
29, Private,31166, HS-grad,9, Divorced, Prof-specialty, Not-in-family, Other
22, ?,517995, HS-grad,9, Never-married, ?, Own-child, White
25, Self-emp-not-inc,189027, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
38, Private,296125, HS-grad,9, Separated, Priv-house-serv, Unmarried, Black
32, ?,640383, Bachelors,13, Divorced, ?, Unmarried, White
35, Private,334291, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
56, Private,318450, Masters,14, Married-civ-spouse, Adm-clerical, Husband, White
29, Private,174163, Some-college,10, Divorced, Exec-managerial, Not-in-family, White
41, Private,119721, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White
47, Private,142719, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
23, Private,162593, Bachelors,13, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander
46, Self-emp-not-inc,236852, Bachelors,13, Married-civ-spouse, Sales, Husband, White
28, Local-gov,154863, HS-grad,9, Never-married, Protective-serv, Other-relative, Black
39, Private,168894, Bachelors,13, Divorced, Adm-clerical, Unmarried, White
42, Self-emp-not-inc,344920, Some-college,10, Married-civ-spouse, Farming-fishing, Wife, White
39, Private,33355, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
68, ?,196782, 7th-8th,4, Married-civ-spouse, ?, Husband, White
37, Self-emp-inc,291518, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
57, Private,170244, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White
22, Private,369549, Some-college,10, Never-married, Other-service, Not-in-family, Black
24, Private,23438, Assoc-voc,11, Never-married, Adm-clerical, Not-in-family, White
19, Private,202673, Some-college,10, Never-married, Handlers-cleaners, Own-child, White
55, Private,171780, Assoc-acdm,12, Divorced, Sales, Unmarried, Black
37, Local-gov,264503, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
37, Local-gov,244341, Some-college,10, Never-married, Adm-clerical, Unmarried, Black
28, Private,209109, Bachelors,13, Married-civ-spouse, Other-service, Husband, White
27, Private,187392, HS-grad,9, Never-married, Other-service, Not-in-family, White
40, State-gov,119578, Bachelors,13, Never-married, Prof-specialty, Unmarried, White
51, Private,195105, HS-grad,9, Divorced, Priv-house-serv, Own-child, White
52, Private,101752, Assoc-voc,11, Married-civ-spouse, Transport-moving, Husband, White
74, ?,95825, Some-college,10, Widowed, ?, Not-in-family, White
49, Self-emp-inc,362654, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
20, ?,29810, Some-college,10, Never-married, ?, Own-child, White
40, Federal-gov,77332, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
80, Private,87518, Some-college,10, Never-married, Prof-specialty, Not-in-family, White
63, Private,113324, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White
63, Private,96299, HS-grad,9, Divorced, Transport-moving, Unmarried, White
51, Private,237729, Some-college,10, Divorced, Adm-clerical, Unmarried, White
23, Private,200973, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
66, Self-emp-not-inc,212456, HS-grad,9, Widowed, Craft-repair, Not-in-family, White
33, Self-emp-not-inc,131568, HS-grad,9, Married-civ-spouse, Sales, Husband, White
49, Private,185859, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
20, Private,231981, Some-college,10, Never-married, Transport-moving, Not-in-family, White
33, Self-emp-inc,117963, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White
26, Private,78172, Some-college,10, Married-AF-spouse, Protective-serv, Husband, White
52, Private,164135, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
33, Private,171216, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
47, Private,140664, Bachelors,13, Divorced, Sales, Not-in-family, White
23, Private,249277, HS-grad,9, Never-married, Exec-managerial, Own-child, Black
53, Federal-gov,117847, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White
19, Private,52372, Some-college,10, Never-married, Other-service, Own-child, White
26, Federal-gov,95806, Some-college,10, Never-married, Craft-repair, Not-in-family, White
53, Private,137428, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, White
65, Private,169047, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White
68, Private,339168, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White
30, Private,504725, 10th,6, Never-married, Sales, Other-relative, White
28, Private,132870, 11th,7, Married-civ-spouse, Craft-repair, Husband, White
54, Local-gov,135840, 10th,6, Married-civ-spouse, Protective-serv, Husband, White
30, Private,35644, HS-grad,9, Never-married, Other-service, Own-child, White
22, Private,198148, Some-college,10, Never-married, Adm-clerical, Own-child, White
25, Private,220098, HS-grad,9, Never-married, Other-service, Own-child, White
19, Private,262515, 11th,7, Never-married, Other-service, Other-relative, White
19, ?,423863, Some-college,10, Never-married, ?, Own-child, White
32, Federal-gov,111567, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
23, Private,194096, Bachelors,13, Never-married, Exec-managerial, Own-child, White
51, Local-gov,420917, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
25, Private,197871, Some-college,10, Married-civ-spouse, Sales, Husband, White
46, Local-gov,253116, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black
38, Private,206535, Some-college,10, Divorced, Tech-support, Unmarried, White
26, State-gov,70447, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander
46, Private,201217, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White
25, Private,209970, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
20, Private,196745, Some-college,10, Never-married, Other-service, Own-child, White
29, Local-gov,175262, Masters,14, Married-civ-spouse, Prof-specialty, Other-relative, White
51, Self-emp-inc,304955, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
40, Private,181265, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
24, Private,200973, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
24, Self-emp-not-inc,37440, Bachelors,13, Never-married, Farming-fishing, Unmarried, White
31, Private,395170, Assoc-voc,11, Married-civ-spouse, Other-service, Wife, Amer-Indian-Eskimo
54, ?,32385, HS-grad,9, Divorced, ?, Not-in-family, White
34, Private,353213, Assoc-acdm,12, Separated, Craft-repair, Not-in-family, White
19, Private,38619, Some-college,10, Never-married, Farming-fishing, Own-child, White
21, Private,177711, HS-grad,9, Never-married, Transport-moving, Own-child, Black
21, Private,190761, 10th,6, Married-civ-spouse, Farming-fishing, Husband, White
23, Private,27776, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
37, Federal-gov,470663, Some-college,10, Never-married, Craft-repair, Not-in-family, White
40, Private,71738, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
57, Private,74156, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
48, Private,202467, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
24, Private,123983, 11th,7, Married-civ-spouse, Transport-moving, Husband, Asian-Pac-Islander
43, Private,193494, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
32, ?,169886, Bachelors,13, Never-married, ?, Not-in-family, White
40, Private,130571, HS-grad,9, Never-married, Other-service, Not-in-family, White
52, Self-emp-inc,90363, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
49, Private,83444, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White
45, Self-emp-not-inc,239093, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo
62, Local-gov,151369, HS-grad,9, Never-married, Craft-repair, Not-in-family, White
29, Private,56630, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Husband, White
49, Private,117095, HS-grad,9, Separated, Machine-op-inspct, Unmarried, White
55, Federal-gov,189985, Some-college,10, Divorced, Adm-clerical, Unmarried, Black
20, ?,34862, Some-college,10, Never-married, ?, Own-child, Amer-Indian-Eskimo
37, Self-emp-inc,126675, Bachelors,13, Never-married, Exec-managerial, Own-child, White
43, State-gov,199806, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
29, Private,57596, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
44, Private,103459, HS-grad,9, Married-civ-spouse, Sales, Wife, White
28, Private,282398, Some-college,10, Separated, Tech-support, Unmarried, White
38, Private,298841, Some-college,10, Never-married, Exec-managerial, Not-in-family, White
45, Private,33300, Assoc-voc,11, Married-civ-spouse, Sales, Husband, White
22, ?,306031, Some-college,10, Never-married, ?, Own-child, White
19, Private,306467, Some-college,10, Never-married, Other-service, Own-child, White
20, Private,189888, 12th,8, Never-married, Other-service, Not-in-family, White
60, Private,83861, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
30, Private,117393, HS-grad,9, Never-married, Sales, Not-in-family, White
22, Private,129934, Some-college,10, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander
51, Private,179010, Some-college,10, Divorced, Sales, Not-in-family, White
31, Private,375680, Bachelors,13, Never-married, Prof-specialty, Unmarried, Black
48, Private,316101, HS-grad,9, Divorced, Exec-managerial, Unmarried, White
43, Private,293305, Bachelors,13, Married-civ-spouse, Sales, Husband, White
51, Local-gov,175750, HS-grad,9, Divorced, Transport-moving, Unmarried, Black
41, Private,121718, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White
62, ?,94931, Assoc-voc,11, Married-civ-spouse, ?, Husband, White
50, State-gov,229272, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black
46, Private,142828, HS-grad,9, Married-civ-spouse, Sales, Wife, White
54, Private,22743, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
68, Private,76371, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
23, Self-emp-not-inc,216129, Assoc-acdm,12, Never-married, Craft-repair, Not-in-family, White
49, Private,107425, Masters,14, Never-married, Sales, Not-in-family, White
24, Private,611029, 10th,6, Married-civ-spouse, Handlers-cleaners, Husband, White
30, Local-gov,363032, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Black
38, Private,170020, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
34, Private,137900, HS-grad,9, Never-married, Sales, Not-in-family, White
22, Private,322674, Some-college,10, Never-married, Exec-managerial, Own-child, White
30, Private,23778, 7th-8th,4, Separated, Handlers-cleaners, Not-in-family, White
61, Private,147845, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, White
36, Private,175759, HS-grad,9, Divorced, Exec-managerial, Unmarried, White
51, Self-emp-inc,166459, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White
43, Private,128212, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander
54, Federal-gov,127455, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White
63, Private,134699, HS-grad,9, Widowed, Prof-specialty, Not-in-family, White
51, Private,254230, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
63, Self-emp-not-inc,159715, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White
51, Local-gov,116286, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
27, Private,146719, HS-grad,9, Divorced, Sales, Own-child, White
35, Private,361888, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White
31, ?,26553, Bachelors,13, Married-civ-spouse, ?, Wife, White
46, Self-emp-not-inc,32825, HS-grad,9, Separated, Craft-repair, Unmarried, White
53, Private,225768, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black
26, Federal-gov,393728, Some-college,10, Divorced, Adm-clerical, Own-child, White
43, Private,160369, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White
39, Private,191807, HS-grad,9, Married-civ-spouse, Sales, Husband, White
50, Federal-gov,176969, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White
54, Federal-gov,33863, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
62, ?,182687, Some-college,10, Married-civ-spouse, ?, Wife, White
57, State-gov,141459, Some-college,10, Divorced, Prof-specialty, Unmarried, White
19, ?,174233, Some-college,10, Never-married, ?, Own-child, Black
29, Local-gov,95393, HS-grad,9, Never-married, Other-service, Own-child, White
20, Private,221095, HS-grad,9, Never-married, Craft-repair, Other-relative, Black
