28, Private,186792, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
60, Private,156889, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
32, Private,549430, HS-grad,9, Never-married, Priv-house-serv, Unmarried, White
46, Private,29696, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
66, Private,98837, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White
37, Private,86150, Bachelors,13, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander
34, Private,204991, Some-college,10, Divorced, Exec-managerial, Own-child, White
45, Private,371886, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
35, Private,103605, 11th,7, Married-civ-spouse, Farming-fishing, Husband, White
63, ?,54851, HS-grad,9, Married-civ-spouse, ?, Husband, White
51, Local-gov,133050, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black
36, Local-gov,126569, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White
25, Federal-gov,144259, HS-grad,9, Never-married, Adm-clerical, Own-child, Black
51, Private,161482, HS-grad,9, Divorced, Other-service, Unmarried, White
25, Self-emp-not-inc,305449, Some-college,10, Never-married, Machine-op-inspct, Own-child, White
19, Private,125010, HS-grad,9, Never-married, Farming-fishing, Own-child, White
47, Private,304133, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
59, Local-gov,120617, HS-grad,9, Separated, Protective-serv, Unmarried, Black
34, Private,157747, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
40, Private,297396, Some-college,10, Separated, Exec-managerial, Unmarried, White
42, Private,121287, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White
28, ?,308493, HS-grad,9, Married-civ-spouse, ?, Wife, White
37, Private,49115, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
51, Self-emp-inc,208302, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White
25, Private,304032, HS-grad,9, Never-married, Adm-clerical, Own-child, White
31, Federal-gov,207301, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
37, Private,123211, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
42, Private,33521, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White
29, ?,410351, Bachelors,13, Never-married, ?, Not-in-family, White
35, Private,410034, Some-college,10, Divorced, Sales, Not-in-family, White
51, Private,175339, Bachelors,13, Married-civ-spouse, Sales, Husband, White
22, ?,27937, Some-college,10, Never-married, ?, Own-child, White
49, Private,168211, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
26, Private,125680, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander
56, Local-gov,160829, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
52, Private,266529, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
61, Self-emp-not-inc,115023, Masters,14, Married-civ-spouse, Craft-repair, Husband, White
