48, Private,138970, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
44, Self-emp-inc,95150, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
63, Private,102479, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White
44, Private,199191, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
31, Private,229636, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
26, Private,53833, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
37, Self-emp-inc,27997, HS-grad,9, Never-married, Transport-moving, Not-in-family, White
60, ?,124487, Some-college,10, Divorced, ?, Not-in-family, White
33, Private,111363, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
38, Private,107630, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
26, Private,134287, Assoc-voc,11, Never-married, Sales, Own-child, White
46, Self-emp-inc,283004, Assoc-voc,11, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander
24, Private,33616, HS-grad,9, Never-married, Other-service, Unmarried, White
47, Local-gov,121124, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
27, Private,188189, Some-college,10, Never-married, Tech-support, Not-in-family, White
46, Private,106255, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
47, Federal-gov,282830, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, Black
47, Private,243904, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
69, Private,165017, HS-grad,9, Widowed, Machine-op-inspct, Unmarried, White
32, Private,131584, HS-grad,9, Married-civ-spouse, Sales, Husband, White
51, Private,427781, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black
36, Private,334291, HS-grad,9, Married-civ-spouse, Sales, Husband, White
50, Local-gov,173224, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White
29, Private,87507, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
32, Private,187560, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
27, Private,204497, 10th,6, Divorced, Transport-moving, Not-in-family, Amer-Indian-Eskimo
60, Private,230545, 7th-8th,4, Divorced, Adm-clerical, Not-in-family, White
31, Private,118161, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
46, Private,150499, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White
40, Local-gov,96554, HS-grad,9, Never-married, Adm-clerical, Own-child, White
39, Private,288551, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black
69, Self-emp-not-inc,104003, 7th-8th,4, Married-civ-spouse, Sales, Husband, White
54, Self-emp-inc,124963, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
56, Private,198388, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
47, Federal-gov,126204, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
25, Private,91709, Assoc-acdm,12, Never-married, Tech-support, Not-in-family, White
34, Self-emp-not-inc,152109, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
24, Self-emp-not-inc,191954, 7th-8th,4, Never-married, Farming-fishing, Own-child, White
63, Private,108097, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
29, Local-gov,289991, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
64, Private,92115, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White
44, Private,320277, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
26, Private,33610, HS-grad,9, Never-married, Craft-repair, Other-relative, White
36, Private,168276, 10th,6, Divorced, Other-service, Not-in-family, White
55, State-gov,175127, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
37, Private,254973, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Wife, White
37, Private,95336, 10th,6, Never-married, Machine-op-inspct, Not-in-family, White
63, Private,346975, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White
33, Private,227282, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
19, Private,138153, Some-college,10, Never-married, Adm-clerical, Own-child, White
57, Local-gov,174132, Masters,14, Married-civ-spouse, Prof-specialty, Wife, Black
31, Private,182237, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White
20, ?,111252, Some-college,10, Never-married, ?, Own-child, White
58, Local-gov,217775, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
20, ?,168863, Some-college,10, Never-married, ?, Own-child, White
25, Private,394503, Some-college,10, Married-civ-spouse, Sales, Husband, White
40, Private,141657, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
18, Private,125441, 11th,7, Never-married, Other-service, Own-child, White
26, Private,172230, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
29, Private,282944, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
45, Local-gov,55377, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black
35, State-gov,49352, Some-college,10, Never-married, Adm-clerical, Own-child, White
32, Private,213887, Some-college,10, Divorced, Machine-op-inspct, Unmarried, White
61, Self-emp-not-inc,24046, HS-grad,9, Widowed, Other-service, Other-relative, White
26, State-gov,208122, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
56, Private,176118, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
22, Private,227994, Some-college,10, Married-spouse-absent, Adm-clerical, Own-child, Asian-Pac-Islander
49, Private,215389, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, Black
40, Private,99434, HS-grad,9, Married-civ-spouse, Other-service, Wife, White
37, Private,190964, HS-grad,9, Separated, Exec-managerial, Own-child, White
23, ?,113700, Bachelors,13, Never-married, ?, Own-child, White
28, Private,259840, Bachelors,13, Married-civ-spouse, Sales, Husband, White
27, Private,168827, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
34, Self-emp-inc,28984, Assoc-voc,11, Divorced, Sales, Unmarried, White
49, Private,182211, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White
41, Private,82393, Some-college,10, Never-married, Craft-repair, Own-child, Asian-Pac-Islander
28, Private,183639, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
38, Private,342448, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
47, State-gov,469907, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White
28, Local-gov,211920, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
44, State-gov,33658, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
41, Federal-gov,34178, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White
50, Private,400630, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
73, Self-emp-not-inc,161251, HS-grad,9, Widowed, Craft-repair, Not-in-family, White
21, Private,255685, Some-college,10, Never-married, Other-service, Own-child, Black
38, Private,199256, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
64, ?,143716, Masters,14, Married-civ-spouse, ?, Husband, White
47, Private,221666, Some-college,10, Divorced, Tech-support, Unmarried, White
52, Private,145409, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
24, Private,39615, Bachelors,13, Never-married, Sales, Not-in-family, White
44, Private,104440, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
27, Private,151382, 7th-8th,4, Divorced, Machine-op-inspct, Unmarried, White
61, Self-emp-not-inc,503675, Some-college,10, Married-civ-spouse, Sales, Husband, Black
58, Private,306233, Bachelors,13, Married-civ-spouse, Sales, Husband, White
51, Private,216475, Bachelors,13, Never-married, Sales, Not-in-family, White
49, Private,50748, Some-college,10, Divorced, Sales, Unmarried, White
23, Private,107190, Some-college,10, Never-married, Adm-clerical, Own-child, Black
19, Private,206874, Assoc-voc,11, Never-married, Adm-clerical, Own-child, Black
21, Private,83141, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White
56, Private,444089, 11th,7, Divorced, Sales, Not-in-family, White
35, Private,141896, 12th,8, Married-civ-spouse, Craft-repair, Husband, White
37, Federal-gov,33487, Some-college,10, Divorced, Tech-support, Unmarried, Amer-Indian-Eskimo
41, Private,65372, Doctorate,16, Divorced, Sales, Unmarried, White
30, Private,341346, 11th,7, Married-civ-spouse, Sales, Husband, White
35, Private,343403, Doctorate,16, Married-civ-spouse, Tech-support, Wife, White
47, Private,287480, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
59, Self-emp-inc,107287, 10th,6, Widowed, Exec-managerial, Unmarried, White
55, Private,199067, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White
22, ?,182771, Assoc-voc,11, Never-married, ?, Own-child, Asian-Pac-Islander
31, Private,159737, 10th,6, Never-married, Adm-clerical, Unmarried, Black
30, Private,110643, Masters,14, Married-civ-spouse, Adm-clerical, Husband, White
24, Private,117583, Bachelors,13, Never-married, Exec-managerial, Own-child, White
49, Self-emp-not-inc,43479, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
23, Private,203003, 7th-8th,4, Never-married, Craft-repair, Not-in-family, White
50, Private,133963, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
38, Private,227794, Bachelors,13, Never-married, Adm-clerical, Not-in-family, Black
20, Self-emp-not-inc,112137, Some-college,10, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander
49, Self-emp-not-inc,110457, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
45, Private,281565, HS-grad,9, Widowed, Other-service, Other-relative, Asian-Pac-Islander
46, Federal-gov,297906, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
19, Private,151506, HS-grad,9, Never-married, Other-service, Own-child, White
31, Federal-gov,139455, Bachelors,13, Never-married, Exec-managerial, Own-child, White
38, Private,26987, HS-grad,9, Divorced, Other-service, Unmarried, White
56, Self-emp-not-inc,233312, Masters,14, Married-civ-spouse, Craft-repair, Husband, White
24, Private,161092, Bachelors,13, Never-married, Exec-managerial, Own-child, White
58, Local-gov,98361, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
28, Private,188928, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
22, Private,164922, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
46, Private,185673, HS-grad,9, Divorced, Transport-moving, Not-in-family, White
30, Private,193598, Preschool,1, Never-married, Farming-fishing, Not-in-family, White
56, Private,274111, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
32, Private,245482, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander
56, Private,160932, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
50, Private,44368, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
28, ?,291374, HS-grad,9, Separated, ?, Unmarried, Black
30, Private,280927, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
24, Private,222993, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White
42, Federal-gov,25240, Assoc-voc,11, Divorced, Prof-specialty, Unmarried, Amer-Indian-Eskimo
31, Self-emp-not-inc,204052, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
18, Private,74054, 11th,7, Never-married, Sales, Own-child, Other
46, Private,169042, 10th,6, Never-married, Other-service, Not-in-family, White
31, Private,104509, Bachelors,13, Never-married, Sales, Not-in-family, White
38, Local-gov,185394, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White
44, Local-gov,254146, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
55, Self-emp-inc,227856, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
19, Private,183041, HS-grad,9, Never-married, Other-service, Own-child, White
45, Private,107682, Masters,14, Divorced, Exec-managerial, Not-in-family, White
50, Self-emp-inc,287598, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
53, Private,182186, 9th,5, Married-civ-spouse, Other-service, Husband, White
41, Self-emp-inc,194636, Bachelors,13, Married-civ-spouse, Sales, Husband, White
45, Private,112305, Some-college,10, Divorced, Other-service, Unmarried, Black
21, Private,212661, 10th,6, Never-married, Adm-clerical, Not-in-family, White
37, Private,32709, Bachelors,13, Married-civ-spouse, Tech-support, Wife, White
42, Federal-gov,46366, HS-grad,9, Separated, Adm-clerical, Unmarried, Black
37, Self-emp-not-inc,24106, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White
46, Private,170850, Bachelors,13, Divorced, Machine-op-inspct, Not-in-family, White
45, Self-emp-not-inc,40666, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White
32, Private,182975, Some-college,10, Never-married, Tech-support, Not-in-family, White
30, Private,345122, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
57, ?,208311, Bachelors,13, Married-civ-spouse, ?, Husband, White
37, Private,120045, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White
18, ?,201299, Some-college,10, Never-married, ?, Own-child, White
32, Private,152940, Some-college,10, Married-civ-spouse, Sales, Husband, White
43, Private,243580, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
46, Private,182128, Masters,14, Divorced, Prof-specialty, Unmarried, White
36, ?,176458, HS-grad,9, Divorced, ?, Unmarried, White
33, Private,101562, Masters,14, Never-married, Exec-managerial, Not-in-family, White
48, Private,108699, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
34, Private,175878, HS-grad,9, Married-civ-spouse, Sales, Husband, White
34, Local-gov,177675, Some-college,10, Never-married, Protective-serv, Not-in-family, White
33, Private,213887, HS-grad,9, Divorced, Farming-fishing, Not-in-family, White
36, Private,357619, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White
23, Private,435835, HS-grad,9, Never-married, Sales, Not-in-family, White
39, Private,165799, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
22, Private,71469, Assoc-acdm,12, Never-married, Sales, Own-child, White
19, Private,229745, HS-grad,9, Never-married, Farming-fishing, Own-child, White
47, Private,284916, HS-grad,9, Married-civ-spouse, Sales, Husband, White
46, Private,28419, Assoc-voc,11, Never-married, Transport-moving, Not-in-family, White
47, Private,26950, Masters,14, Divorced, Sales, Not-in-family, White
47, Self-emp-not-inc,107231, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
52, Local-gov,512103, Some-college,10, Divorced, Transport-moving, Not-in-family, White
38, Self-emp-not-inc,245090, 9th,5, Married-civ-spouse, Craft-repair, Husband, White
58, Private,314153, HS-grad,9, Married-civ-spouse, Sales, Husband, White
32, Private,243988, 5th-6th,3, Married-civ-spouse, Other-service, Husband, White
54, Self-emp-not-inc,82551, Assoc-voc,11, Married-civ-spouse, Tech-support, Other-relative, White
20, Private,42706, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
25, Private,235795, Assoc-acdm,12, Never-married, Sales, Not-in-family, White
25, Self-emp-not-inc,108001, 9th,5, Never-married, Craft-repair, Not-in-family, White
36, State-gov,112497, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White
69, Self-emp-not-inc,128206, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White
28, Private,224634, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White
20, Private,362999, Some-college,10, Never-married, Adm-clerical, Own-child, White
21, Private,346693, 7th-8th,4, Never-married, Farming-fishing, Unmarried, White
37, Private,175759, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White
21, Private,99199, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White
25, ?,219987, Assoc-acdm,12, Married-civ-spouse, ?, Husband, White
39, Private,143445, HS-grad,9, Married-civ-spouse, Other-service, Other-relative, Black
34, Private,118710, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White
33, Local-gov,224185, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
47, Private,118972, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
29, Private,165360, Assoc-voc,11, Never-married, Adm-clerical, Not-in-family, White
48, Private,38950, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White
42, Self-emp-inc,277256, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
29, Private,247151, 11th,7, Divorced, Machine-op-inspct, Unmarried, White
34, Private,213722, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
20, Private,209955, Some-college,10, Never-married, Other-service, Own-child, White
41, Private,174395, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
45, Private,138626, Some-college,10, Divorced, Exec-managerial, Not-in-family, White
22, ?,179973, Assoc-voc,11, Never-married, ?, Own-child, White
23, Private,200207, HS-grad,9, Divorced, Handlers-cleaners, Own-child, White
19, Private,156587, Some-college,10, Never-married, Adm-clerical, Own-child, White
24, Private,33016, Some-college,10, Never-married, Craft-repair, Own-child, White
20, Private,197496, Some-college,10, Never-married, Sales, Own-child, White
32, Private,153588, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
52, Private,99736, Masters,14, Divorced, Prof-specialty, Unmarried, White
36, Private,284166, HS-grad,9, Never-married, Sales, Unmarried, White
18, Private,716066, 10th,6, Never-married, Machine-op-inspct, Own-child, White
27, Private,188519, HS-grad,9, Divorced, Sales, Own-child, White
26, Private,109080, Some-college,10, Married-civ-spouse, Sales, Husband, White
52, Private,174421, Assoc-acdm,12, Divorced, Prof-specialty, Unmarried, White
24, Private,259351, Some-college,10, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo
42, Federal-gov,284403, HS-grad,9, Divorced, Adm-clerical, Not-in-family, Black
39, Private,85319, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White
20, ?,201766, Some-college,10, Never-married, ?, Own-child, White
20, State-gov,340475, Some-college,10, Never-married, Adm-clerical, Own-child, White
39, Private,487486, HS-grad,9, Widowed, Handlers-cleaners, Unmarried, White
68, ?,484298, 11th,7, Married-civ-spouse, ?, Husband, White
35, Private,170617, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, Black
54, Private,94055, Bachelors,13, Married-civ-spouse, Other-service, Husband, White
24, Private,117779, Bachelors,13, Never-married, Exec-managerial, Own-child, White
24, Private,209770, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
20, Private,317443, Some-college,10, Never-married, Adm-clerical, Own-child, Black
64, ?,140237, Preschool,1, Married-civ-spouse, ?, Husband, White
28, Private,107411, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
36, Self-emp-not-inc,122493, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
44, Self-emp-inc,195124, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
38, Private,101978, Some-college,10, Separated, Machine-op-inspct, Not-in-family, White
22, Private,335453, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
56, Private,318329, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
24, Private,100321, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
24, Self-emp-not-inc,81145, Some-college,10, Never-married, Other-service, Not-in-family, White
22, Private,62865, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White
21, Private,176262, Some-college,10, Never-married, Exec-managerial, Own-child, White
42, Private,168103, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
41, Local-gov,208174, Masters,14, Divorced, Prof-specialty, Unmarried, White
19, Private,188815, HS-grad,9, Never-married, Other-service, Own-child, White
67, Self-emp-not-inc,226092, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
20, Private,212668, Some-college,10, Never-married, Sales, Own-child, White
32, Private,381583, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Other
46, Private,239439, HS-grad,9, Separated, Machine-op-inspct, Own-child, Black
52, Private,172493, HS-grad,9, Never-married, Sales, Not-in-family, White
44, Private,239876, Bachelors,13, Divorced, Prof-specialty, Unmarried, Black
65, ?,221881, 11th,7, Married-civ-spouse, ?, Husband, White
37, Local-gov,218184, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
27, Self-emp-not-inc,206889, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
35, Private,110668, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, Black
30, Private,211028, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
64, Local-gov,202984, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
48, Private,20296, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
