40, State-gov,34218, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
50, Local-gov,183390, Bachelors,13, Separated, Prof-specialty, Not-in-family, White
27, Private,207418, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
22, ?,335453, Some-college,10, Never-married, ?, Own-child, White
29, Private,243660, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
28, Private,54243, HS-grad,9, Divorced, Transport-moving, Not-in-family, White
54, Private,50385, Bachelors,13, Divorced, Exec-managerial, Not-in-family, Black
47, State-gov,187581, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White
34, Private,37380, HS-grad,9, Married-spouse-absent, Machine-op-inspct, Unmarried, White
26, Private,247025, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White
53, ?,29231, 7th-8th,4, Married-civ-spouse, ?, Husband, White
23, State-gov,101094, Some-college,10, Never-married, Protective-serv, Own-child, White
42, Local-gov,176716, Masters,14, Divorced, Prof-specialty, Not-in-family, White
36, Self-emp-not-inc,118429, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
52, Federal-gov,221532, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White
22, ?,120572, Some-college,10, Never-married, ?, Own-child, White
27, Local-gov,124680, Masters,14, Never-married, Prof-specialty, Not-in-family, White
42, Private,153160, HS-grad,9, Widowed, Other-service, Unmarried, White
39, Private,114678, HS-grad,9, Divorced, Other-service, Unmarried, Black
49, State-gov,142856, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White
36, Private,29702, HS-grad,9, Married-civ-spouse, Sales, Husband, White
20, Private,277700, Preschool,1, Never-married, Other-service, Own-child, White
55, Self-emp-inc,67433, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
47, Private,121124, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White
33, Private,394447, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
36, Private,79649, Some-college,10, Married-civ-spouse, Sales, Husband, White
39, Private,203763, Doctorate,16, Divorced, Prof-specialty, Unmarried, White
55, Private,229029, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
21, ?,494638, Assoc-acdm,12, Never-married, ?, Own-child, White
48, Private,162816, Assoc-acdm,12, Married-civ-spouse, Transport-moving, Husband, White
30, Private,109117, Assoc-voc,11, Never-married, Handlers-cleaners, Own-child, White
24, Private,32732, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
57, Self-emp-not-inc,217692, HS-grad,9, Widowed, Craft-repair, Not-in-family, White
20, Private,34590, Some-college,10, Never-married, Farming-fishing, Own-child, White
18, ?,276864, Some-college,10, Never-married, ?, Own-child, White
56, Private,168625, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White
36, Private,91037, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
44, Private,171484, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White
57, Private,200453, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
57, Private,36990, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black
33, Private,198211, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White
61, ?,30475, 7th-8th,4, Married-civ-spouse, ?, Husband, White
39, Private,70995, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White
28, Private,245790, HS-grad,9, Never-married, Craft-repair, Own-child, White
31, Private,273324, Some-college,10, Never-married, Other-service, Own-child, White
60, Private,182687, Assoc-acdm,12, Divorced, Other-service, Not-in-family, White
36, Local-gov,247807, Assoc-voc,11, Never-married, Protective-serv, Not-in-family, White
58, Private,163113, HS-grad,9, Widowed, Sales, Not-in-family, White
50, Private,180522, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White
23, Local-gov,203353, Bachelors,13, Never-married, Exec-managerial, Own-child, White
30, Private,87469, HS-grad,9, Never-married, Other-service, Not-in-family, White
20, ?,216563, 11th,7, Never-married, ?, Other-relative, White
90, Private,87372, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
49, Local-gov,173584, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
47, Local-gov,80282, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
34, Private,319854, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White
37, Federal-gov,408229, HS-grad,9, Divorced, Tech-support, Unmarried, White
25, Private,431307, 10th,6, Married-civ-spouse, Protective-serv, Wife, Black
37, Private,134088, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White
47, Private,246396, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
34, Private,159255, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
34, Private,106014, Some-college,10, Never-married, Other-service, Not-in-family, White
35, Private,186934, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
39, Private,120130, Some-college,10, Separated, Machine-op-inspct, Own-child, White
32, State-gov,203849, 7th-8th,4, Married-civ-spouse, Handlers-cleaners, Husband, White
24, Private,207940, HS-grad,9, Married-civ-spouse, Other-service, Wife, White
28, Private,302406, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White
41, Self-emp-not-inc,144594, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White
69, ?,171050, HS-grad,9, Widowed, ?, Not-in-family, White
32, Private,459007, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
58, Private,372181, HS-grad,9, Divorced, Sales, Unmarried, White
47, Self-emp-not-inc,172034, HS-grad,9, Married-civ-spouse, Sales, Husband, White
41, Private,156566, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
35, Self-emp-inc,338320, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
24, Private,353696, Some-college,10, Never-married, Other-service, Own-child, White
46, Self-emp-not-inc,342907, HS-grad,9, Married-civ-spouse, Sales, Husband, Black
69, Self-emp-inc,169717, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
22, Private,103762, Bachelors,13, Never-married, Exec-managerial, Own-child, White
36, State-gov,47570, Masters,14, Never-married, Prof-specialty, Not-in-family, White
31, Private,119432, Bachelors,13, Married-civ-spouse, Sales, Husband, White
23, Local-gov,144165, Bachelors,13, Never-married, Prof-specialty, Own-child, Amer-Indian-Eskimo
35, Private,180647, Some-college,10, Never-married, Prof-specialty, Not-in-family, Black
37, Local-gov,312232, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White
35, State-gov,150488, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
18, Private,200876, 11th,7, Never-married, Transport-moving, Own-child, White
43, Private,188199, 9th,5, Divorced, Handlers-cleaners, Unmarried, White
53, State-gov,118793, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
54, Local-gov,204325, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White
29, Private,256671, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
46, Private,231515, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White
24, Private,100669, Some-college,10, Never-married, Handlers-cleaners, Own-child, Asian-Pac-Islander
30, Private,88913, Some-college,10, Separated, Other-service, Unmarried, Asian-Pac-Islander
23, Private,363219, Some-college,10, Never-married, Priv-house-serv, Not-in-family, White
27, ?,291547, Bachelors,13, Married-civ-spouse, ?, Not-in-family, Other
36, Private,308945, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
38, Self-emp-not-inc,100316, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
33, Private,296453, Masters,14, Married-civ-spouse, Tech-support, Husband, White
66, Private,298834, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White
45, Self-emp-not-inc,188694, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
68, ?,29240, HS-grad,9, Widowed, ?, Not-in-family, White
37, Private,186934, HS-grad,9, Married-civ-spouse, Sales, Husband, White
17, Private,154908, 10th,6, Never-married, Other-service, Own-child, White
31, Private,22201, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Amer-Indian-Eskimo
46, Private,216999, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
40, Private,186916, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
34, Private,116677, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White
56, Private,95763, 10th,6, Divorced, Craft-repair, Not-in-family, White
42, Private,266710, Some-college,10, Separated, Adm-clerical, Unmarried, Black
46, Private,117849, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
30, Private,242460, HS-grad,9, Separated, Craft-repair, Not-in-family, White
33, Self-emp-not-inc,202729, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
47, Private,181652, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White
57, Self-emp-not-inc,174760, Assoc-acdm,12, Married-spouse-absent, Farming-fishing, Unmarried, Amer-Indian-Eskimo
34, Private,56121, 11th,7, Divorced, Craft-repair, Unmarried, White
40, Private,390369, HS-grad,9, Divorced, Craft-repair, Own-child, White
33, Private,149726, HS-grad,9, Married-civ-spouse, Sales, Husband, White
22, Private,51262, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White
29, Private,190350, 12th,8, Never-married, Other-service, Unmarried, Black
53, Federal-gov,205288, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
36, Private,154835, HS-grad,9, Separated, Adm-clerical, Own-child, Asian-Pac-Islander
45, Private,89028, HS-grad,9, Divorced, Craft-repair, Not-in-family, Asian-Pac-Islander
36, Private,194630, Some-college,10, Divorced, Sales, Unmarried, White
18, Self-emp-not-inc,212207, HS-grad,9, Never-married, Farming-fishing, Own-child, White
27, Private,204788, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
30, Private,158688, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
34, Private,97723, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
36, Private,193026, Bachelors,13, Married-civ-spouse, Sales, Husband, White
36, Self-emp-not-inc,257250, 7th-8th,4, Never-married, Farming-fishing, Own-child, White
48, Private,355978, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
41, Self-emp-not-inc,200574, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
21, Private,376929, 5th-6th,3, Never-married, Priv-house-serv, Not-in-family, White
47, State-gov,123219, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
41, Private,82778, 1st-4th,2, Married-civ-spouse, Farming-fishing, Husband, White
61, Self-emp-not-inc,115882, 1st-4th,2, Married-civ-spouse, Craft-repair, Husband, White
64, Private,103021, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White
35, Private,297767, Some-college,10, Separated, Adm-clerical, Not-in-family, Black
44, Private,259479, HS-grad,9, Divorced, Transport-moving, Unmarried, White
20, Private,167787, Some-college,10, Never-married, Sales, Own-child, White
23, Local-gov,40021, Some-college,10, Divorced, Adm-clerical, Unmarried, White
52, Private,245275, 10th,6, Married-civ-spouse, Other-service, Wife, White
43, Private,37402, Masters,14, Never-married, Exec-managerial, Not-in-family, White
32, Private,103608, Bachelors,13, Married-civ-spouse, Handlers-cleaners, Husband, Asian-Pac-Islander
63, Private,137192, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander
29, Private,137618, Some-college,10, Never-married, Other-service, Not-in-family, White
42, Self-emp-inc,96509, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander
65, Private,196174, 10th,6, Divorced, Handlers-cleaners, Not-in-family, White
24, Private,172612, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
42, Private,141186, Some-college,10, Never-married, Other-service, Own-child, White
35, Private,228190, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black
40, Self-emp-inc,190290, Bachelors,13, Married-civ-spouse, Sales, Husband, White
38, Federal-gov,307404, Some-college,10, Divorced, Adm-clerical, Unmarried, White
26, Private,152436, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
46, Self-emp-not-inc,182541, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
39, Private,282153, Some-college,10, Never-married, Adm-clerical, Own-child, White
29, ?,41281, Bachelors,13, Married-spouse-absent, ?, Not-in-family, White
42, Private,162003, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White
36, Private,190759, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
26, Private,208122, Some-college,10, Divorced, Handlers-cleaners, Not-in-family, White
57, Private,173832, Bachelors,13, Married-civ-spouse, Sales, Husband, White
55, Private,129173, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black
35, Private,287548, Some-college,10, Married-civ-spouse, Sales, Husband, White
41, Private,216116, HS-grad,9, Separated, Adm-clerical, Unmarried, Black
24, Private,146706, Some-college,10, Never-married, Other-service, Not-in-family, White
47, Private,285200, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
34, Self-emp-inc,314375, Some-college,10, Married-civ-spouse, Sales, Husband, White
44, Private,203943, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black
18, ?,274746, HS-grad,9, Never-married, ?, Unmarried, White
27, Private,517000, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
36, Private,66173, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
21, Private,182823, Bachelors,13, Never-married, Sales, Own-child, White
29, Private,159479, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Other
25, Private,135568, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
73, Private,333676, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
45, Private,201699, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White
28, Private,96020, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White
43, Private,176138, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
47, Private,47496, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
20, Private,187158, Some-college,10, Never-married, Adm-clerical, Own-child, White
22, Private,249727, Some-college,10, Never-married, Transport-moving, Own-child, White
76, Self-emp-not-inc,237624, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White
24, Private,175254, Some-college,10, Never-married, Transport-moving, Not-in-family, Black
54, Self-emp-not-inc,42924, Some-college,10, Married-civ-spouse, Sales, Husband, White
30, Private,205950, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
33, Private,111985, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
30, Private,167476, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, White
40, Private,221172, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White
27, ?,188711, Some-college,10, Divorced, ?, Not-in-family, White
49, Private,199448, Assoc-voc,11, Divorced, Sales, Unmarried, White
30, Private,313038, HS-grad,9, Never-married, Craft-repair, Not-in-family, White
22, Private,148431, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Other
19, Private,112432, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
46, Private,57914, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
51, Private,145166, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
56, Private,247119, 7th-8th,4, Widowed, Machine-op-inspct, Unmarried, Other
53, Private,196278, Some-college,10, Widowed, Sales, Not-in-family, White
60, ?,366531, Assoc-voc,11, Widowed, ?, Not-in-family, White
27, Private,216481, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
46, Private,188027, Some-college,10, Never-married, Exec-managerial, Unmarried, White
37, Private,66686, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
41, Private,74775, Bachelors,13, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander
65, ?,325537, Assoc-voc,11, Married-civ-spouse, ?, Husband, White
30, Self-emp-not-inc,250499, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White
57, Self-emp-not-inc,192869, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
44, Self-emp-inc,121352, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
32, Self-emp-not-inc,70985, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
27, Self-emp-not-inc,123116, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
57, Local-gov,339163, Some-college,10, Widowed, Adm-clerical, Unmarried, White
59, Self-emp-not-inc,124771, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White
32, Private,167531, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander
90, ?,77053, HS-grad,9, Widowed, ?, Not-in-family, White
22, Private,199266, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
39, Private,190728, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
43, Private,99212, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White
38, Local-gov,421446, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Black
61, Private,215944, 9th,5, Divorced, Sales, Not-in-family, White
24, Private,72310, Some-college,10, Never-married, Sales, Own-child, White
25, Private,57512, Some-college,10, Never-married, Sales, Not-in-family, White
44, Private,89413, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
55, Local-gov,28151, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
90, Private,46786, Bachelors,13, Married-civ-spouse, Sales, Husband, White
30, Private,226943, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
44, Private,182402, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
36, Private,305352, 10th,6, Divorced, Craft-repair, Other-relative, Black
63, Self-emp-inc,189253, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
60, Private,296485, 5th-6th,3, Married-civ-spouse, Transport-moving, Husband, White
34, Self-emp-not-inc,204375, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White
49, Self-emp-not-inc,249585, 11th,7, Married-civ-spouse, Exec-managerial, Husband, White
47, Private,148995, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
42, Self-emp-inc,168071, HS-grad,9, Married-civ-spouse, Sales, Husband, White
53, Private,194995, 5th-6th,3, Married-civ-spouse, Craft-repair, Husband, White
23, Private,211049, Some-college,10, Never-married, Tech-support, Not-in-family, White
28, ?,196630, Assoc-voc,11, Separated, ?, Unmarried, White
20, Private,50397, Some-college,10, Married-civ-spouse, Sales, Husband, Black
43, Private,177905, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
32, Private,204374, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
43, Private,60001, Bachelors,13, Divorced, Sales, Unmarried, White
31, Private,223046, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
29, ?,44921, HS-grad,9, Married-civ-spouse, ?, Wife, White
24, Private,154571, Some-college,10, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander
39, Private,67136, Assoc-voc,11, Separated, Adm-clerical, Not-in-family, Asian-Pac-Islander
29, Private,188675, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black
20, Private,390817, 5th-6th,3, Never-married, Handlers-cleaners, Not-in-family, White
23, ?,145964, Some-college,10, Never-married, ?, Not-in-family, White
42, Private,30424, 11th,7, Separated, Other-service, Unmarried, White
53, Private,548361, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
20, Private,189148, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
