26, Private,164488, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
41, Local-gov,352056, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White
38, Private,174717, Bachelors,13, Married-civ-spouse, Sales, Husband, White
75, ?,173064, Bachelors,13, Married-civ-spouse, ?, Husband, White
29, Private,147755, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
52, Self-emp-not-inc,135716, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
47, Private,44216, HS-grad,9, Divorced, Exec-managerial, Unmarried, White
28, Private,37359, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White
24, Private,178255, Some-college,10, Married-civ-spouse, Priv-house-serv, Wife, White
30, State-gov,70617, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
30, Private,154950, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
40, Private,356934, Assoc-acdm,12, Divorced, Exec-managerial, Not-in-family, White
27, Private,271714, Some-college,10, Never-married, Other-service, Own-child, White
26, Private,247025, HS-grad,9, Never-married, Protective-serv, Unmarried, White
32, Private,107417, HS-grad,9, Never-married, Other-service, Not-in-family, White
36, State-gov,116554, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
26, Private,917220, 12th,8, Never-married, Transport-moving, Own-child, Black
25, Private,430084, Some-college,10, Never-married, Transport-moving, Not-in-family, Black
39, Private,202937, Some-college,10, Divorced, Tech-support, Not-in-family, White
27, Private,62737, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White
24, Private,508548, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
38, Self-emp-inc,275223, Bachelors,13, Married-civ-spouse, Sales, Husband, White
35, Self-emp-not-inc,381931, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
29, Private,246974, Assoc-voc,11, Never-married, Tech-support, Not-in-family, White
49, Private,105431, HS-grad,9, Divorced, Other-service, Not-in-family, Black
36, Private,146311, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White
47, Self-emp-not-inc,159869, Doctorate,16, Married-civ-spouse, Craft-repair, Husband, White
21, Private,204641, Some-college,10, Never-married, Other-service, Own-child, White
35, Private,66297, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander
38, Private,227615, 1st-4th,2, Married-civ-spouse, Handlers-cleaners, Husband, White
66, ?,107744, Some-college,10, Married-civ-spouse, ?, Husband, White
45, Private,360393, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
19, Private,263340, Some-college,10, Never-married, Other-service, Own-child, White
18, Private,141918, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
37, Private,294292, Prof-school,15, Married-civ-spouse, Exec-managerial, Husband, White
49, Private,128736, Bachelors,13, Never-married, Prof-specialty, Unmarried, White
33, Local-gov,511289, Assoc-voc,11, Married-civ-spouse, Protective-serv, Husband, White
27, Private,302406, Some-college,10, Married-civ-spouse, Sales, Husband, White
34, Local-gov,101517, Some-college,10, Divorced, Adm-clerical, Unmarried, White
54, State-gov,161334, Masters,14, Married-spouse-absent, Prof-specialty, Not-in-family, Asian-Pac-Islander
24, Self-emp-inc,189148, Some-college,10, Never-married, Transport-moving, Own-child, White
44, Self-emp-not-inc,103111, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
48, Self-emp-not-inc,51620, Bachelors,13, Separated, Craft-repair, Not-in-family, White
23, Private,31606, HS-grad,9, Never-married, Adm-clerical, Unmarried, White
29, Private,34292, HS-grad,9, Never-married, Other-service, Own-child, White
21, Private,107882, Assoc-acdm,12, Never-married, Other-service, Own-child, White
18, Private,39529, 12th,8, Never-married, Other-service, Own-child, White
18, Private,135315, 9th,5, Never-married, Sales, Own-child, Other
29, Private,107812, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
29, Private,229729, HS-grad,9, Never-married, Transport-moving, Not-in-family, White
41, Private,111891, HS-grad,9, Separated, Machine-op-inspct, Other-relative, Black
32, Private,340917, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White
61, Private,202952, 10th,6, Divorced, Other-service, Not-in-family, Black
79, Private,333230, HS-grad,9, Married-spouse-absent, Prof-specialty, Not-in-family, White
34, Private,114955, Assoc-acdm,12, Divorced, Machine-op-inspct, Not-in-family, White
46, Private,159869, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
50, Self-emp-not-inc,57758, Assoc-voc,11, Married-civ-spouse, Sales, Husband, White
29, Private,207064, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
23, Private,193090, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
64, Private,151364, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
70, Local-gov,88638, Masters,14, Never-married, Prof-specialty, Unmarried, White
28, Local-gov,304960, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White
51, Private,102828, Assoc-voc,11, Married-civ-spouse, Handlers-cleaners, Husband, White
20, ?,210029, Some-college,10, Never-married, ?, Own-child, White
34, State-gov,154246, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White
29, Private,142519, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
49, Private,104455, Bachelors,13, Married-spouse-absent, Other-service, Not-in-family, Asian-Pac-Islander
77, Self-emp-inc,192230, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
32, Private,292592, HS-grad,9, Never-married, Other-service, Own-child, White
27, Private,330132, Bachelors,13, Married-civ-spouse, Tech-support, Wife, White
22, Private,51111, Some-college,10, Never-married, Sales, Not-in-family, White
35, Local-gov,258037, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
42, Local-gov,188291, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White
35, State-gov,349066, HS-grad,9, Divorced, Machine-op-inspct, Own-child, White
62, ?,191188, HS-grad,9, Married-civ-spouse, ?, Husband, White
33, Private,133503, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
45, Private,146497, Some-college,10, Widowed, Exec-managerial, Unmarried, White
19, Private,240468, Some-college,10, Married-spouse-absent, Sales, Own-child, White
38, Private,175120, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
26, Private,416577, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black
29, Private,253814, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
33, Private,159247, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
35, Self-emp-not-inc,102471, HS-grad,9, Divorced, Farming-fishing, Not-in-family, White
42, Private,213464, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
20, Private,211968, Assoc-voc,11, Never-married, Other-service, Own-child, White
43, Federal-gov,32016, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
69, Private,512992, 11th,7, Married-civ-spouse, Prof-specialty, Husband, Black
39, Private,135020, HS-grad,9, Never-married, Transport-moving, Own-child, White
37, Private,109133, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
28, Private,142712, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
26, Federal-gov,76900, Bachelors,13, Never-married, Tech-support, Not-in-family, White
32, Private,112176, Some-college,10, Divorced, Sales, Own-child, White
43, Federal-gov,262233, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White
49, Private,122066, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
28, Private,194690, 7th-8th,4, Separated, Other-service, Own-child, White
35, Private,306678, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
19, ?,217769, Some-college,10, Never-married, ?, Own-child, White
35, Local-gov,308945, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
57, Private,46699, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
45, Private,377757, 9th,5, Married-civ-spouse, Transport-moving, Husband, White
23, Private,220993, HS-grad,9, Never-married, Sales, Not-in-family, White
45, Private,102147, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
42, Private,113770, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
35, Private,139012, Bachelors,13, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander
45, Private,148900, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
28, Federal-gov,329426, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
64, Self-emp-inc,181408, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
44, Local-gov,101950, Prof-school,15, Separated, Prof-specialty, Unmarried, White
59, Self-emp-not-inc,32537, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
41, Private,209547, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White
21, Private,202373, Some-college,10, Never-married, Sales, Own-child, Black
29, Self-emp-not-inc,151476, Assoc-voc,11, Never-married, Adm-clerical, Not-in-family, White
51, Self-emp-not-inc,174824, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White
22, Private,138768, HS-grad,9, Never-married, Adm-clerical, Own-child, White
49, Private,143482, HS-grad,9, Divorced, Other-service, Unmarried, White
53, Private,200190, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White
38, Private,168407, Some-college,10, Divorced, Adm-clerical, Unmarried, White
23, Private,148315, Some-college,10, Separated, Craft-repair, Own-child, White
20, Private,270517, HS-grad,9, Never-married, Other-service, Own-child, White
40, Private,53506, Bachelors,13, Divorced, Craft-repair, Own-child, White
25, Private,105693, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
27, Private,189589, Some-college,10, Divorced, Tech-support, Not-in-family, White
20, Private,164574, HS-grad,9, Never-married, Other-service, Own-child, White
37, Private,185744, HS-grad,9, Married-civ-spouse, Other-service, Wife, White
40, Local-gov,33155, HS-grad,9, Never-married, Other-service, Own-child, White
28, Private,215955, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
38, Self-emp-not-inc,233571, HS-grad,9, Separated, Other-service, Unmarried, White
42, Private,211253, Bachelors,13, Divorced, Exec-managerial, Unmarried, White
32, Federal-gov,191385, Assoc-acdm,12, Divorced, Protective-serv, Not-in-family, White
20, Private,137895, HS-grad,9, Married-civ-spouse, Sales, Husband, White
62, State-gov,159699, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
31, Private,295922, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
31, Self-emp-not-inc,175856, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
24, Private,216129, HS-grad,9, Never-married, Adm-clerical, Own-child, White
62, Local-gov,407669, 7th-8th,4, Widowed, Other-service, Not-in-family, Black
43, Local-gov,214242, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
21, Private,285457, Some-college,10, Never-married, Transport-moving, Own-child, White
30, Self-emp-inc,124420, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White
22, ?,246386, HS-grad,9, Never-married, ?, Unmarried, Black
18, Private,142751, 10th,6, Never-married, Handlers-cleaners, Not-in-family, White
59, Local-gov,283635, Masters,14, Divorced, Prof-specialty, Not-in-family, White
24, Self-emp-not-inc,322931, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, White
49, Private,76482, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
19, State-gov,431745, 11th,7, Never-married, Other-service, Own-child, White
48, Private,141944, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
32, Private,193042, Prof-school,15, Married-civ-spouse, Sales, Husband, White
33, Private,67006, 10th,6, Never-married, Machine-op-inspct, Not-in-family, White
23, Private,240398, Bachelors,13, Never-married, Sales, Not-in-family, Black
33, Federal-gov,182714, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White
50, Federal-gov,172046, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
30, Private,185177, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
32, Private,102858, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White
39, Private,84954, Some-college,10, Married-civ-spouse, Sales, Husband, White
21, Private,115895, Some-college,10, Never-married, Sales, Own-child, White
23, Private,184589, Bachelors,13, Never-married, Prof-specialty, Own-child, White
32, Private,282611, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
57, Private,218649, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
22, State-gov,157541, Some-college,10, Never-married, Prof-specialty, Not-in-family, White
70, Private,145419, HS-grad,9, Widowed, Adm-clerical, Unmarried, White
34, Private,122616, Some-college,10, Married-civ-spouse, Tech-support, Husband, White
53, Private,204584, Masters,14, Divorced, Sales, Not-in-family, White
21, Private,117210, Some-college,10, Never-married, Sales, Own-child, White
37, Private,69481, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White
60, Self-emp-not-inc,148492, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
23, Private,106957, 11th,7, Never-married, Craft-repair, Own-child, Asian-Pac-Islander
32, Private,29312, 10th,6, Married-civ-spouse, Transport-moving, Husband, White
57, Private,120302, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
65, ?,111916, HS-grad,9, Married-civ-spouse, ?, Husband, White
25, Private,182227, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
30, Private,219110, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
31, Private,200192, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
19, Private,427862, Some-college,10, Never-married, Other-service, Own-child, White
23, State-gov,33551, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White
44, Private,164043, HS-grad,9, Married-civ-spouse, Sales, Husband, White
43, ?,116632, Some-college,10, Married-civ-spouse, ?, Husband, White
42, Private,175133, Some-college,10, Never-married, Machine-op-inspct, Unmarried, Black
34, Self-emp-not-inc,289731, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White
32, Private,256362, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
25, Private,282612, Assoc-voc,11, Never-married, Tech-support, Unmarried, Black
21, Private,73679, Some-college,10, Never-married, Exec-managerial, Own-child, White
31, Private,237824, HS-grad,9, Married-spouse-absent, Priv-house-serv, Other-relative, Black
36, Local-gov,357720, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White
49, Self-emp-not-inc,155489, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
44, Private,138077, Bachelors,13, Divorced, Adm-clerical, Unmarried, White
42, Private,183479, Assoc-voc,11, Married-civ-spouse, Sales, Husband, White
30, Private,103596, HS-grad,9, Never-married, Protective-serv, Not-in-family, White
33, Private,172304, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White
36, Self-emp-not-inc,313853, Bachelors,13, Divorced, Other-service, Unmarried, Black
17, Private,294485, 10th,6, Never-married, Other-service, Own-child, White
20, Private,637080, Some-college,10, Never-married, Sales, Not-in-family, White
32, Private,385959, HS-grad,9, Never-married, Craft-repair, Own-child, White
33, Self-emp-not-inc,116539, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
37, Private,129263, Some-college,10, Divorced, Exec-managerial, Unmarried, White
60, Private,141253, 10th,6, Divorced, Farming-fishing, Not-in-family, White
35, State-gov,35626, Some-college,10, Divorced, Adm-clerical, Unmarried, White
43, Federal-gov,94937, Bachelors,13, Divorced, Adm-clerical, Unmarried, White
46, Private,220269, Some-college,10, Married-civ-spouse, Tech-support, Husband, White
29, Self-emp-not-inc,169544, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
36, Private,214604, Bachelors,13, Married-civ-spouse, Sales, Husband, White
27, Private,81540, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
50, Private,24013, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
22, Private,124940, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo
33, State-gov,313729, Masters,14, Never-married, Prof-specialty, Not-in-family, White
61, Private,192237, 10th,6, Divorced, Sales, Unmarried, White
28, ?,168524, Assoc-voc,11, Married-civ-spouse, ?, Own-child, White
41, Self-emp-not-inc,113324, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White
22, Private,215477, Some-college,10, Never-married, Transport-moving, Own-child, White
27, Private,199903, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
25, Private,431861, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
32, Private,105938, HS-grad,9, Never-married, Machine-op-inspct, Own-child, Black
28, Private,274679, Masters,14, Never-married, Prof-specialty, Not-in-family, White
25, Private,177499, Bachelors,13, Never-married, Craft-repair, Own-child, White
28, Private,206125, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
37, Local-gov,221740, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White
58, Private,202652, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White
39, Private,348960, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
33, Private,171876, Some-college,10, Divorced, Other-service, Unmarried, White
59, Private,157932, 10th,6, Married-civ-spouse, Craft-repair, Husband, White
58, Private,201344, Bachelors,13, Divorced, Craft-repair, Own-child, White
38, Private,354739, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
34, Private,40067, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
31, Private,326862, Some-college,10, Divorced, Craft-repair, Own-child, Black
48, Local-gov,189762, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
65, ?,149049, HS-grad,9, Married-civ-spouse, ?, Husband, White
45, Private,226246, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White
80, ?,29020, Prof-school,15, Married-civ-spouse, ?, Husband, White
23, Private,38251, HS-grad,9, Never-married, Other-service, Own-child, White
33, Private,196385, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
38, Self-emp-not-inc,217054, Some-college,10, Divorced, Farming-fishing, Not-in-family, White
44, Self-emp-not-inc,104973, Masters,14, Married-civ-spouse, Farming-fishing, Husband, White
48, Local-gov,238959, Masters,14, Divorced, Exec-managerial, Unmarried, Black
