58, Self-emp-not-inc,266707, 1st-4th,2, Married-civ-spouse, Transport-moving, Husband, White
26, State-gov,252284, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White
26, Private,256737, 11th,7, Married-civ-spouse, Transport-moving, Husband, White
33, Local-gov,96480, Masters,14, Never-married, Prof-specialty, Not-in-family, White
25, Private,234263, Bachelors,13, Never-married, Sales, Not-in-family, White
21, Private,109952, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White
24, Private,262570, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White
39, Self-emp-not-inc,65716, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, White
68, Private,201732, Some-college,10, Divorced, Adm-clerical, Unmarried, White
66, Self-emp-not-inc,174788, Some-college,10, Never-married, Sales, Not-in-family, White
38, Private,278924, Bachelors,13, Never-married, Farming-fishing, Not-in-family, White
41, Private,101593, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
71, ?,193863, 7th-8th,4, Widowed, ?, Other-relative, White
37, Private,342768, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
54, Self-emp-not-inc,242606, Masters,14, Married-civ-spouse, Sales, Husband, White
27, State-gov,176727, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
49, Private,99179, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
19, State-gov,354104, Some-college,10, Never-married, Prof-specialty, Own-child, White
25, Private,61956, Some-college,10, Never-married, Transport-moving, Not-in-family, White
47, Federal-gov,137917, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Black
40, Private,224658, Some-college,10, Married-civ-spouse, Sales, Other-relative, White
38, Private,51100, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White
25, Private,224361, HS-grad,9, Never-married, Other-service, Not-in-family, White
25, Private,362912, Some-college,10, Never-married, Craft-repair, Own-child, White
23, Private,218782, 10th,6, Never-married, Handlers-cleaners, Other-relative, Other
28, Private,103389, Masters,14, Divorced, Sales, Own-child, White
29, Private,308944, HS-grad,9, Married-spouse-absent, Craft-repair, Not-in-family, White
32, Private,140092, 11th,7, Married-civ-spouse, Craft-repair, Husband, White
34, Private,202210, HS-grad,9, Never-married, Other-service, Unmarried, Black
52, Private,416059, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black
33, Self-emp-not-inc,281030, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
19, Private,169758, Some-college,10, Never-married, Sales, Own-child, White
68, Private,193666, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
41, Private,139907, 10th,6, Never-married, Handlers-cleaners, Unmarried, White
18, Self-emp-inc,119422, HS-grad,9, Never-married, Other-service, Unmarried, Asian-Pac-Islander
29, Private,149324, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
40, Private,259307, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
51, Self-emp-not-inc,74160, Masters,14, Divorced, Prof-specialty, Unmarried, White
49, Private,134797, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
20, State-gov,41103, Some-college,10, Never-married, Other-service, Own-child, White
38, Local-gov,193026, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
57, Private,303986, 5th-6th,3, Never-married, Other-service, Not-in-family, White
35, Private,126569, Some-college,10, Married-civ-spouse, Sales, Husband, White
66, Private,166461, 11th,7, Married-civ-spouse, Sales, Husband, White
27, ?,61387, Bachelors,13, Married-civ-spouse, ?, Husband, White
25, Private,254746, Assoc-voc,11, Never-married, Adm-clerical, Not-in-family, White
77, ?,28678, Masters,14, Married-civ-spouse, ?, Husband, White
19, ?,180976, 10th,6, Never-married, ?, Unmarried, White
70, Private,282642, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
59, Self-emp-not-inc,136413, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White
25, Private,131463, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
44, Local-gov,177240, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White
37, Private,218490, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
75, ?,260543, 10th,6, Widowed, ?, Other-relative, Asian-Pac-Islander
21, ?,80680, HS-grad,9, Never-married, ?, Not-in-family, White
21, Private,20728, HS-grad,9, Never-married, Sales, Own-child, White
47, Federal-gov,117628, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
20, Private,91939, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Black
32, State-gov,175931, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
28, Private,309566, HS-grad,9, Never-married, Adm-clerical, Unmarried, White
53, Private,123703, HS-grad,9, Divorced, Transport-moving, Not-in-family, White
19, ?,369678, HS-grad,9, Never-married, ?, Not-in-family, Other
58, Private,29928, Some-college,10, Married-civ-spouse, Sales, Wife, White
22, Private,167868, HS-grad,9, Never-married, Sales, Not-in-family, White
23, Private,235894, 11th,7, Married-civ-spouse, Exec-managerial, Husband, White
21, Private,189888, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White
36, Private,111545, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
39, Private,175972, Some-college,10, Married-civ-spouse, Other-service, Wife, White
34, Local-gov,254270, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
41, Local-gov,185057, Masters,14, Never-married, Prof-specialty, Not-in-family, White
72, Private,157593, Bachelors,13, Married-civ-spouse, Sales, Husband, White
34, Private,101345, HS-grad,9, Married-civ-spouse, Other-service, Wife, White
51, Local-gov,176751, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
32, Self-emp-not-inc,97723, Assoc-voc,11, Never-married, Craft-repair, Not-in-family, White
38, Private,127601, Some-college,10, Widowed, Exec-managerial, Not-in-family, White
37, Private,227597, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
21, ?,143995, Some-college,10, Never-married, ?, Own-child, Black
21, Private,250051, Some-college,10, Never-married, Prof-specialty, Own-child, White
26, Private,284078, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
34, Private,207668, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White
18, Private,163787, Some-college,10, Never-married, Sales, Own-child, White
27, Private,119170, 11th,7, Never-married, Exec-managerial, Unmarried, White
20, Private,188612, Some-college,10, Never-married, Adm-clerical, Own-child, White
36, Private,114605, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Husband, White
31, ?,317761, Bachelors,13, Never-married, ?, Not-in-family, White
32, Private,164197, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
54, Private,329266, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
34, Local-gov,207383, Masters,14, Widowed, Prof-specialty, Not-in-family, White
46, Private,123598, Some-college,10, Married-civ-spouse, Sales, Husband, White
33, Private,259931, 11th,7, Separated, Machine-op-inspct, Other-relative, White
32, Private,134737, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
42, Private,106900, Assoc-voc,11, Never-married, Tech-support, Not-in-family, White
30, Private,87054, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
37, Private,82622, Some-college,10, Married-civ-spouse, Other-service, Husband, White
28, Private,181659, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
25, Private,321205, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
44, Self-emp-not-inc,231348, Some-college,10, Married-civ-spouse, Other-service, Husband, White
40, Private,276096, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
36, Private,290560, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
21, Private,307315, Some-college,10, Never-married, Adm-clerical, Unmarried, White
39, State-gov,99156, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
24, Private,237928, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
46, Private,153501, HS-grad,9, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo
47, ?,149700, Bachelors,13, Married-civ-spouse, ?, Husband, White
47, Private,189680, Bachelors,13, Married-civ-spouse, Sales, Husband, White
35, Private,374524, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
60, Self-emp-not-inc,127805, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, White
35, Private,150217, Bachelors,13, Married-civ-spouse, Other-service, Wife, White
33, Private,295649, HS-grad,9, Separated, Other-service, Unmarried, White
21, Private,197182, Assoc-acdm,12, Never-married, Prof-specialty, Not-in-family, White
37, Private,241998, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White
48, Federal-gov,156410, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black
58, Private,473836, 7th-8th,4, Widowed, Farming-fishing, Other-relative, White
21, Private,198431, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White
22, Private,113936, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
22, Private,318915, HS-grad,9, Never-married, Other-service, Unmarried, White
28, Self-emp-not-inc,175406, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White
33, ?,193172, Assoc-voc,11, Married-civ-spouse, ?, Own-child, White
23, Federal-gov,320294, HS-grad,9, Never-married, Prof-specialty, Not-in-family, White
58, State-gov,400285, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black
24, ?,283731, Bachelors,13, Never-married, ?, Own-child, White
38, Local-gov,227154, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander
49, Private,298659, HS-grad,9, Married-civ-spouse, Sales, Husband, White
47, Private,212120, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
50, Private,320510, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
21, Private,175800, HS-grad,9, Never-married, Prof-specialty, Unmarried, White
55, Private,170169, HS-grad,9, Separated, Adm-clerical, Not-in-family, White
47, Private,344157, 11th,7, Divorced, Handlers-cleaners, Not-in-family, White
19, Private,199441, HS-grad,9, Never-married, Prof-specialty, Not-in-family, White
47, Private,225456, HS-grad,9, Never-married, Tech-support, Other-relative, White
36, Private,61178, 11th,7, Married-civ-spouse, Craft-repair, Husband, White
28, Local-gov,175262, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White
42, Private,152568, HS-grad,9, Widowed, Sales, Unmarried, Amer-Indian-Eskimo
41, Private,182108, Masters,14, Never-married, Prof-specialty, Not-in-family, White
46, Private,273771, Bachelors,13, Married-civ-spouse, Sales, Husband, White
32, Private,208291, HS-grad,9, Married-civ-spouse, Sales, Husband, White
34, Private,224358, 10th,6, Never-married, Other-service, Unmarried, Black
33, Private,55176, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White
60, State-gov,152711, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
53, Private,68684, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
24, Private,185452, Bachelors,13, Never-married, Tech-support, Not-in-family, White
39, Federal-gov,175232, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White
23, Private,173851, Some-college,10, Never-married, Craft-repair, Not-in-family, White
50, Private,162327, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
36, Local-gov,51424, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
19, Private,123416, 12th,8, Separated, Prof-specialty, Own-child, White
26, Private,262656, HS-grad,9, Never-married, Adm-clerical, Own-child, White
38, Private,233194, HS-grad,9, Married-civ-spouse, Sales, Husband, Black
41, Private,290660, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
22, Private,151105, Some-college,10, Never-married, Sales, Other-relative, White
38, Private,179117, Assoc-acdm,12, Never-married, Machine-op-inspct, Not-in-family, Black
72, ?,33608, Some-college,10, Married-civ-spouse, ?, Husband, White
39, Private,317434, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
35, State-gov,126569, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
38, Local-gov,745768, Some-college,10, Divorced, Exec-managerial, Unmarried, Black
19, Private,69927, HS-grad,9, Married-civ-spouse, Other-service, Wife, Black
26, Private,302603, HS-grad,9, Never-married, Transport-moving, Own-child, White
52, Private,46788, Bachelors,13, Divorced, Craft-repair, Unmarried, White
41, Private,289886, 5th-6th,3, Married-civ-spouse, Other-service, Husband, Other
45, Private,179135, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
58, Federal-gov,175873, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White
34, Private,57426, Bachelors,13, Never-married, Sales, Not-in-family, White
36, Private,312206, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
19, Without-pay,344858, HS-grad,9, Never-married, Farming-fishing, Own-child, White
26, State-gov,177035, 11th,7, Divorced, Other-service, Unmarried, White
60, Private,88055, 10th,6, Married-civ-spouse, Transport-moving, Husband, White
35, Self-emp-not-inc,111095, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
39, Private,192251, 10th,6, Divorced, Other-service, Not-in-family, White
27, Private,29807, HS-grad,9, Separated, Handlers-cleaners, Unmarried, White
26, Federal-gov,211596, Masters,14, Never-married, Prof-specialty, Not-in-family, White
17, Private,268276, 12th,8, Never-married, Other-service, Own-child, White
59, Self-emp-not-inc,181070, HS-grad,9, Married-civ-spouse, Sales, Husband, White
53, Local-gov,20676, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Amer-Indian-Eskimo
35, Private,115803, 11th,7, Divorced, Transport-moving, Not-in-family, White
34, Local-gov,124827, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
36, Private,95336, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White
36, Private,257942, HS-grad,9, Married-civ-spouse, Sales, Husband, White
21, Private,72593, HS-grad,9, Never-married, Other-service, Own-child, White
29, Private,147340, Some-college,10, Never-married, Sales, Own-child, White
35, Private,185325, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
59, Self-emp-not-inc,357943, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
22, Private,215395, Some-college,10, Never-married, Other-service, Not-in-family, White
50, Local-gov,30682, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
24, Federal-gov,29591, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Other
36, Private,215392, Bachelors,13, Divorced, Tech-support, Not-in-family, White
31, Private,110554, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White
42, Self-emp-not-inc,133584, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
38, Private,210438, 7th-8th,4, Divorced, Sales, Unmarried, White
52, Private,256916, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
46, Private,73541, 10th,6, Divorced, Craft-repair, Not-in-family, White
23, Private,109952, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
54, Private,197975, 5th-6th,3, Married-civ-spouse, Sales, Husband, White
27, Private,401723, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Black
42, Private,179524, Bachelors,13, Separated, Other-service, Not-in-family, White
33, State-gov,296282, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
19, Private,145844, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White
59, Private,191965, 11th,7, Married-civ-spouse, Other-service, Wife, White
54, Private,96792, HS-grad,9, Widowed, Other-service, Unmarried, White
48, Private,185041, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, White
19, ?,233779, Some-college,10, Never-married, ?, Own-child, White
45, Private,347834, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
36, Private,215373, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
35, Self-emp-not-inc,169426, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White
47, Private,202856, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
33, Private,50276, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
48, Self-emp-not-inc,187454, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
