77, Self-emp-not-inc,209507, Some-college,10, Never-married, Craft-repair, Not-in-family, White
66, Private,127139, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
34, Private,41809, Some-college,10, Divorced, Adm-clerical, Unmarried, White
36, Private,297449, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White
46, Private,141483, HS-grad,9, Married-civ-spouse, Sales, Wife, White
42, Local-gov,117227, Masters,14, Divorced, Prof-specialty, Unmarried, White
46, Private,377401, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
34, Local-gov,167063, HS-grad,9, Never-married, Protective-serv, Own-child, White
43, Private,253759, Some-college,10, Married-civ-spouse, Tech-support, Wife, Black
42, Private,183096, Some-college,10, Divorced, Exec-managerial, Own-child, White
31, Private,269654, Bachelors,13, Never-married, Sales, Not-in-family, White
70, ?,293076, Some-college,10, Married-civ-spouse, ?, Husband, White
32, Private,34104, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
46, Federal-gov,80057, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
42, Self-emp-inc,369781, 7th-8th,4, Divorced, Craft-repair, Unmarried, White
21, Private,223811, Assoc-voc,11, Never-married, Exec-managerial, Own-child, White
24, Private,163053, Bachelors,13, Never-married, Sales, Not-in-family, White
23, Private,189461, HS-grad,9, Never-married, Sales, Other-relative, White
50, Local-gov,145166, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
37, Private,86310, Some-college,10, Divorced, Adm-clerical, Unmarried, White
19, ?,263224, 11th,7, Never-married, ?, Unmarried, White
44, Federal-gov,280362, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White
29, Private,301031, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black
30, Private,74966, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White
36, Private,254493, Some-college,10, Married-civ-spouse, Sales, Husband, White
49, Self-emp-not-inc,204241, Bachelors,13, Never-married, Sales, Not-in-family, White
29, Private,225024, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
45, Local-gov,148222, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Black
75, State-gov,113868, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, Black
42, Private,132633, HS-grad,9, Never-married, Priv-house-serv, Not-in-family, White
37, Private,44780, Assoc-acdm,12, Divorced, Exec-managerial, Not-in-family, White
51, Private,86373, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White
61, Local-gov,176753, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
33, Private,164707, Assoc-acdm,12, Never-married, Exec-managerial, Unmarried, White
50, Local-gov,370733, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black
59, Private,216851, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White
25, Private,137951, HS-grad,9, Never-married, Adm-clerical, Unmarried, White
22, Private,185279, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
56, Private,159724, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
44, Private,103233, Bachelors,13, Never-married, Adm-clerical, Unmarried, Black
35, Private,63509, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
57, Private,174353, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White
47, Self-emp-not-inc,168109, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
27, Private,159724, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
50, Self-emp-not-inc,105010, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
30, Private,179112, Bachelors,13, Never-married, Prof-specialty, Own-child, Black
46, Private,364913, 11th,7, Married-civ-spouse, Transport-moving, Husband, Black
48, Self-emp-inc,155664, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
61, Private,230568, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White
33, Private,86492, HS-grad,9, Never-married, Transport-moving, Not-in-family, White
40, Private,71305, HS-grad,9, Married-civ-spouse, Other-service, Husband, Black
58, Self-emp-inc,189933, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
46, Self-emp-inc,191978, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
35, Private,38948, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
51, Self-emp-inc,139127, Some-college,10, Divorced, Exec-managerial, Unmarried, White
37, Private,301568, 12th,8, Never-married, Other-service, Own-child, White
64, Private,149044, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
41, Private,197344, HS-grad,9, Never-married, Craft-repair, Not-in-family, White
18, Private,32244, 11th,7, Never-married, Handlers-cleaners, Own-child, White
44, Self-emp-not-inc,315406, 11th,7, Married-civ-spouse, Farming-fishing, Husband, White
41, State-gov,47170, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Amer-Indian-Eskimo
33, State-gov,208785, Some-college,10, Separated, Prof-specialty, Not-in-family, White
37, Private,196338, 9th,5, Separated, Priv-house-serv, Unmarried, White
34, Private,269243, Some-college,10, Never-married, Adm-clerical, Own-child, White
24, Federal-gov,215115, Bachelors,13, Never-married, Tech-support, Own-child, White
20, Private,117767, Some-college,10, Never-married, Handlers-cleaners, Own-child, White
38, Private,176101, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
28, Private,138283, Assoc-voc,11, Never-married, Other-service, Not-in-family, White
20, Self-emp-not-inc,132320, HS-grad,9, Never-married, Transport-moving, Own-child, White
22, Federal-gov,471452, Bachelors,13, Never-married, Tech-support, Own-child, White
55, Private,147653, Bachelors,13, Divorced, Adm-clerical, Unmarried, White
20, Private,49179, Some-college,10, Never-married, Prof-specialty, Not-in-family, White
26, Private,174921, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
20, Self-emp-inc,95997, HS-grad,9, Never-married, Farming-fishing, Own-child, White
40, Private,247245, 9th,5, Divorced, Other-service, Not-in-family, White
33, Private,67072, HS-grad,9, Married-civ-spouse, Sales, Husband, White
54, ?,95329, Some-college,10, Divorced, ?, Own-child, White
24, Private,107882, HS-grad,9, Never-married, Sales, Not-in-family, White
25, Private,241825, Some-college,10, Never-married, Exec-managerial, Own-child, White
18, Private,79443, 11th,7, Never-married, Other-service, Own-child, White
49, Self-emp-not-inc,233059, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
17, Private,226980, 12th,8, Never-married, Handlers-cleaners, Own-child, White
34, Self-emp-not-inc,181087, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
37, Private,305597, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
49, Federal-gov,311671, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
74, Private,129879, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White
37, Private,83375, HS-grad,9, Divorced, Farming-fishing, Not-in-family, White
20, Private,115824, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, White
40, Private,141657, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White
34, Private,50276, Bachelors,13, Never-married, Sales, Not-in-family, White
30, Private,177216, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Black
44, Private,228057, HS-grad,9, Separated, Adm-clerical, Not-in-family, White
40, Private,222848, 10th,6, Married-civ-spouse, Other-service, Wife, Black
58, Private,121111, HS-grad,9, Married-civ-spouse, Sales, Wife, White
44, Private,298885, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
42, Private,149909, Some-college,10, Married-civ-spouse, Sales, Husband, White
39, Private,387430, HS-grad,9, Never-married, Other-service, Not-in-family, White
19, Private,121972, HS-grad,9, Never-married, Other-service, Own-child, Black
41, Private,280167, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
29, State-gov,191355, Masters,14, Never-married, Prof-specialty, Not-in-family, White
34, Federal-gov,112115, Some-college,10, Never-married, Craft-repair, Other-relative, White
38, ?,104094, Some-college,10, Married-civ-spouse, ?, Husband, White
27, Private,211032, Preschool,1, Married-civ-spouse, Farming-fishing, Other-relative, White
54, Private,199307, Some-college,10, Divorced, Craft-repair, Unmarried, White
40, Private,205175, HS-grad,9, Widowed, Machine-op-inspct, Unmarried, Black
19, Private,257750, Some-college,10, Never-married, Sales, Other-relative, White
17, Private,191260, 11th,7, Never-married, Other-service, Own-child, White
33, Private,342730, Some-college,10, Married-civ-spouse, Sales, Husband, White
80, Private,249983, 7th-8th,4, Widowed, Other-service, Not-in-family, White
24, Self-emp-not-inc,161508, HS-grad,9, Never-married, Craft-repair, Own-child, White
28, Private,338376, Bachelors,13, Never-married, Prof-specialty, Own-child, White
55, Private,334308, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White
21, Private,133471, Some-college,10, Never-married, Exec-managerial, Own-child, White
51, Private,129177, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
19, Private,178811, HS-grad,9, Never-married, Machine-op-inspct, Own-child, Black
42, Private,178537, HS-grad,9, Never-married, Other-service, Not-in-family, White
60, Self-emp-not-inc,235535, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
20, ?,298155, Some-college,10, Never-married, ?, Own-child, Black
51, Private,145114, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
21, Private,194096, Some-college,10, Never-married, Other-service, Own-child, White
37, State-gov,191779, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
26, Private,159732, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White
42, Federal-gov,170230, Masters,14, Never-married, Exec-managerial, Not-in-family, White
40, Private,104719, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White
55, Private,163083, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
33, Private,403552, HS-grad,9, Never-married, Other-service, Not-in-family, Black
62, Private,218009, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
47, Private,179313, 10th,6, Divorced, Sales, Unmarried, White
26, Private,51961, 12th,8, Never-married, Sales, Other-relative, Black
59, Private,426001, HS-grad,9, Married-spouse-absent, Adm-clerical, Unmarried, White
70, Local-gov,176493, Some-college,10, Widowed, Adm-clerical, Not-in-family, White
26, Private,124068, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
47, Private,108510, 10th,6, Married-civ-spouse, Sales, Husband, White
25, Private,181528, Masters,14, Never-married, Exec-managerial, Not-in-family, White
52, Self-emp-inc,173754, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
46, Private,169699, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
67, Private,126849, 10th,6, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo
34, Private,204470, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
53, State-gov,116367, Some-college,10, Divorced, Adm-clerical, Other-relative, White
22, Private,117363, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
39, Local-gov,106297, HS-grad,9, Divorced, Adm-clerical, Own-child, White
54, Self-emp-not-inc,108933, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
24, Private,190143, Bachelors,13, Married-civ-spouse, Sales, Husband, White
37, Private,246677, HS-grad,9, Separated, Prof-specialty, Unmarried, White
38, Private,175360, 10th,6, Never-married, Prof-specialty, Not-in-family, White
41, Local-gov,210259, Masters,14, Never-married, Prof-specialty, Not-in-family, Black
36, Private,166304, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
43, Private,303051, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White
39, Private,49308, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White
26, Private,192262, Bachelors,13, Never-married, Sales, Own-child, White
49, Local-gov,192349, Masters,14, Never-married, Prof-specialty, Not-in-family, White
37, Self-emp-not-inc,48063, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
43, Private,170214, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
54, Federal-gov,51048, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White
53, Self-emp-inc,246562, 5th-6th,3, Married-civ-spouse, Sales, Husband, White
57, Local-gov,215175, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
28, Private,114967, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
29, Private,464536, Bachelors,13, Married-civ-spouse, Other-service, Husband, White
21, Private,451996, HS-grad,9, Never-married, Sales, Own-child, White
51, Private,138852, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
46, State-gov,353012, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
50, Self-emp-inc,321822, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
50, Self-emp-not-inc,324506, HS-grad,9, Widowed, Exec-managerial, Unmarried, Asian-Pac-Islander
36, Private,162256, HS-grad,9, Divorced, Exec-managerial, Unmarried, White
31, Local-gov,356689, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
20, Private,260199, HS-grad,9, Never-married, Adm-clerical, Own-child, White
36, Private,103605, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
38, Private,316211, HS-grad,9, Divorced, Craft-repair, Own-child, White
37, Private,308691, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
39, Private,194404, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
18, Private,334427, 10th,6, Never-married, Farming-fishing, Own-child, White
33, Private,213226, HS-grad,9, Divorced, Sales, Not-in-family, White
35, Private,342824, HS-grad,9, Never-married, Tech-support, Not-in-family, White
23, Private,33105, Some-college,10, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo
37, Private,147638, Bachelors,13, Separated, Other-service, Unmarried, Asian-Pac-Islander
25, Private,315643, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
51, Federal-gov,106257, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, Black
35, Private,342768, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
54, Private,108960, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White
66, ?,168071, HS-grad,9, Married-civ-spouse, ?, Husband, White
32, Private,136935, HS-grad,9, Never-married, Other-service, Unmarried, Black
37, Self-emp-not-inc,188774, Bachelors,13, Never-married, Protective-serv, Not-in-family, White
29, Private,280344, Bachelors,13, Married-civ-spouse, Sales, Husband, White
45, Private,202496, Bachelors,13, Married-civ-spouse, Handlers-cleaners, Husband, White
61, Self-emp-inc,134768, Some-college,10, Married-civ-spouse, Sales, Husband, White
40, Private,175686, Some-college,10, Divorced, Adm-clerical, Unmarried, White
24, Private,194748, HS-grad,9, Never-married, Transport-moving, Not-in-family, White
49, Private,61307, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, Other
51, Self-emp-not-inc,165001, Masters,14, Divorced, Exec-managerial, Unmarried, White
34, Private,325658, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
28, ?,201844, HS-grad,9, Separated, ?, Unmarried, White
20, Private,505980, Some-college,10, Never-married, Sales, Own-child, White
30, Private,185336, Some-college,10, Divorced, Adm-clerical, Unmarried, Black
49, Self-emp-inc,362795, Masters,14, Divorced, Prof-specialty, Unmarried, White
26, Private,126829, Some-college,10, Never-married, Sales, Not-in-family, White
63, Private,264600, 10th,6, Married-civ-spouse, Adm-clerical, Husband, White
36, Private,82743, Assoc-acdm,12, Never-married, Transport-moving, Not-in-family, White
63, Self-emp-not-inc,125178, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
22, Private,128487, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
40, Private,321758, HS-grad,9, Married-civ-spouse, Sales, Husband, White
31, Private,128220, 7th-8th,4, Widowed, Adm-clerical, Not-in-family, White
49, Private,176814, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
35, Private,188069, Masters,14, Never-married, Prof-specialty, Not-in-family, White
23, State-gov,156423, Bachelors,13, Never-married, Prof-specialty, Own-child, White
25, Private,169905, Assoc-voc,11, Never-married, Sales, Not-in-family, White
34, ?,157289, HS-grad,9, Married-civ-spouse, ?, Husband, White
28, Private,176972, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
44, Self-emp-not-inc,171424, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, White
33, Private,91811, HS-grad,9, Separated, Transport-moving, Not-in-family, White
21, Private,203924, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
55, Private,177484, 11th,7, Married-civ-spouse, Other-service, Husband, Black
17, ?,454614, 11th,7, Never-married, ?, Own-child, White
75, Self-emp-not-inc,242108, HS-grad,9, Divorced, Sales, Not-in-family, White
61, Private,132972, 9th,5, Never-married, Machine-op-inspct, Unmarried, Black
53, Private,157947, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
26, Local-gov,177482, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White
48, Private,246891, Some-college,10, Widowed, Sales, Unmarried, White
28, State-gov,158834, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
30, ?,203834, Bachelors,13, Never-married, ?, Not-in-family, Asian-Pac-Islander
29, Private,110442, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
25, Private,240676, Some-college,10, Divorced, Tech-support, Own-child, White
37, Private,192939, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
43, Local-gov,260696, Bachelors,13, Divorced, Prof-specialty, Unmarried, White
40, Local-gov,55363, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
34, Private,144949, 10th,6, Married-civ-spouse, Craft-repair, Husband, White
55, Private,116878, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
31, Local-gov,357954, Assoc-acdm,12, Never-married, Tech-support, Not-in-family, White
21, ?,170038, Some-college,10, Never-married, ?, Own-child, White
32, Self-emp-not-inc,190290, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
26, State-gov,203279, Prof-school,15, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander
26, Private,167761, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
44, Private,138845, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
49, Private,144844, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
21, ?,161930, HS-grad,9, Never-married, ?, Own-child, Black
26, Private,55743, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black
40, Self-emp-not-inc,117721, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
19, Self-emp-not-inc,116385, 11th,7, Never-married, Adm-clerical, Not-in-family, White
58, Private,301867, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
61, Private,238913, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White
28, Self-emp-not-inc,123983, Some-college,10, Married-civ-spouse, Sales, Own-child, Asian-Pac-Islander
26, Private,165510, Bachelors,13, Never-married, Farming-fishing, Own-child, White
64, Private,183513, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
42, Self-emp-inc,119281, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
41, Private,152629, Some-college,10, Married-civ-spouse, Tech-support, Husband, White
45, Private,110171, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White
39, Private,211440, Bachelors,13, Married-civ-spouse, Sales, Husband, White
41, Local-gov,359259, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
51, Private,125796, 11th,7, Separated, Other-service, Not-in-family, Black
34, Private,39609, Assoc-voc,11, Divorced, Adm-clerical, Unmarried, White
33, Private,111567, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
23, Private,44064, Some-college,10, Separated, Other-service, Not-in-family, White
35, Self-emp-not-inc,120066, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo
41, Private,132633, 11th,7, Divorced, Priv-house-serv, Unmarried, White
39, Private,192702, Masters,14, Never-married, Craft-repair, Not-in-family, White
41, Private,166813, Some-college,10, Married-civ-spouse, Sales, Husband, White
33, Self-emp-inc,40444, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
22, Private,290504, HS-grad,9, Never-married, Other-service, Other-relative, White
25, Private,178505, Some-college,10, Never-married, Exec-managerial, Other-relative, White
25, Private,175370, Some-college,10, Divorced, Machine-op-inspct, Own-child, White
77, Self-emp-not-inc,72931, 7th-8th,4, Married-spouse-absent, Adm-clerical, Not-in-family, White
33, ?,234542, Assoc-voc,11, Never-married, ?, Own-child, White
66, Private,284021, HS-grad,9, Widowed, Sales, Not-in-family, White
19, Private,277974, Some-college,10, Never-married, Sales, Own-child, White
44, Private,111275, HS-grad,9, Never-married, Other-service, Unmarried, Black
45, Self-emp-inc,191776, Masters,14, Divorced, Sales, Unmarried, White
28, Private,125527, Some-college,10, Never-married, Sales, Not-in-family, White
19, Private,38294, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, White
43, Private,313022, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black
39, Private,179668, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White
