35, ?,296738, 11th,7, Separated, ?, Not-in-family, White
25, State-gov,261979, HS-grad,9, Never-married, Prof-specialty, Not-in-family, White
51, Private,55507, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black
22, ?,291407, 12th,8, Never-married, ?, Own-child, Black
18, Private,353358, Some-college,10, Never-married, Other-service, Own-child, White
41, Private,67339, 11th,7, Married-civ-spouse, Handlers-cleaners, Husband, White
33, Private,235109, HS-grad,9, Never-married, Adm-clerical, Unmarried, White
33, Private,208180, Bachelors,13, Never-married, Sales, Not-in-family, White
67, State-gov,423561, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
47, Self-emp-not-inc,145290, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
24, Private,403671, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White
32, Local-gov,49325, 7th-8th,4, Married-civ-spouse, Other-service, Husband, White
29, Private,370494, HS-grad,9, Never-married, Other-service, Unmarried, White
25, Private,267012, Assoc-voc,11, Never-married, Sales, Not-in-family, White
33, Private,191856, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
55, Private,80445, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
31, Private,379798, Some-college,10, Married-civ-spouse, Sales, Husband, White
32, Local-gov,168387, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
18, Private,301948, HS-grad,9, Never-married, Protective-serv, Own-child, White
36, Private,274809, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
58, Private,233193, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White
34, Private,299635, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
19, Private,236396, 11th,7, Never-married, Handlers-cleaners, Not-in-family, White
21, Private,688355, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black
36, Self-emp-inc,37019, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White
37, Private,148015, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, Black
43, Private,122975, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, Black
52, State-gov,349795, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White
48, Private,229846, Assoc-voc,11, Divorced, Other-service, Not-in-family, White
43, Private,108945, Some-college,10, Divorced, Prof-specialty, Unmarried, White
22, Private,237498, HS-grad,9, Never-married, Other-service, Own-child, White
57, Private,188872, 5th-6th,3, Divorced, Transport-moving, Unmarried, White
37, Private,324019, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White
39, Private,82488, Some-college,10, Divorced, Sales, Unmarried, Asian-Pac-Islander
54, Private,206964, Some-college,10, Married-civ-spouse, Sales, Husband, White
27, Private,37088, Assoc-acdm,12, Never-married, Other-service, Not-in-family, White
21, Private,152540, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
65, Private,143554, Some-college,10, Separated, Adm-clerical, Not-in-family, White
30, Private,126242, Some-college,10, Married-civ-spouse, Other-service, Wife, White
22, Private,127185, 9th,5, Never-married, Machine-op-inspct, Not-in-family, White
26, Private,164018, Bachelors,13, Married-civ-spouse, Sales, Husband, White
25, Private,210184, 11th,7, Separated, Craft-repair, Own-child, White
35, ?,117528, Assoc-voc,11, Married-civ-spouse, ?, Wife, White
47, Private,124973, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White
23, Private,182117, Assoc-acdm,12, Never-married, Other-service, Own-child, White
42, Private,220049, HS-grad,9, Married-civ-spouse, Sales, Husband, Black
39, Self-emp-not-inc,247975, Some-college,10, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander
55, Private,50164, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White
24, State-gov,123160, Masters,14, Married-spouse-absent, Prof-specialty, Not-in-family, Asian-Pac-Islander
46, Self-emp-inc,219962, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White
53, Private,79324, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
44, Private,129100, 11th,7, Separated, Other-service, Unmarried, Black
40, Private,210275, HS-grad,9, Separated, Transport-moving, Unmarried, Black
48, Private,189462, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
26, Private,171114, Assoc-voc,11, Separated, Adm-clerical, Unmarried, White
22, Private,201799, HS-grad,9, Never-married, Sales, Own-child, White
35, ?,200426, HS-grad,9, Married-civ-spouse, ?, Wife, White
20, ?,24395, Some-college,10, Never-married, ?, Unmarried, White
43, Private,191149, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White
37, Local-gov,34173, HS-grad,9, Married-civ-spouse, Other-service, Wife, White
30, Private,350979, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander
41, Private,147314, HS-grad,9, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo
38, Private,136081, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
77, ?,232894, 9th,5, Married-civ-spouse, ?, Husband, Black
42, Self-emp-not-inc,373403, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
20, Private,120601, HS-grad,9, Never-married, Transport-moving, Own-child, Black
36, Private,130926, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White
32, Federal-gov,72338, Assoc-voc,11, Never-married, Prof-specialty, Other-relative, Asian-Pac-Islander
27, Private,129624, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
25, State-gov,328697, Some-college,10, Divorced, Protective-serv, Other-relative, White
40, Private,191196, Masters,14, Never-married, Exec-managerial, Not-in-family, White
18, ?,191117, 11th,7, Never-married, ?, Own-child, White
49, Private,110243, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
17, Private,181580, 11th,7, Never-married, Other-service, Own-child, White
29, Private,89030, HS-grad,9, Never-married, Sales, Unmarried, White
47, Private,345493, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
24, Self-emp-not-inc,277700, Some-college,10, Separated, Handlers-cleaners, Own-child, White
58, ?,198478, 7th-8th,4, Married-civ-spouse, ?, Husband, White
29, Private,250679, HS-grad,9, Never-married, Craft-repair, Not-in-family, White
45, Private,168837, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White
30, Private,142675, 12th,8, Married-civ-spouse, Craft-repair, Husband, White
19, Private,299050, Some-college,10, Never-married, Adm-clerical, Own-child, White
59, Private,107833, 10th,6, Married-civ-spouse, Transport-moving, Husband, White
47, Private,121958, 7th-8th,4, Married-spouse-absent, Other-service, Unmarried, White
41, Private,282948, Some-college,10, Married-civ-spouse, Tech-support, Husband, Black
28, Private,176683, Assoc-acdm,12, Never-married, Prof-specialty, Own-child, White
46, Private,34377, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White
40, Self-emp-not-inc,209833, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
66, State-gov,41506, 10th,6, Divorced, Other-service, Not-in-family, Black
30, Local-gov,125159, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black
44, Self-emp-not-inc,147206, Some-college,10, Never-married, Craft-repair, Own-child, White
58, Self-emp-not-inc,93664, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
21, Private,315065, 7th-8th,4, Never-married, Other-service, Other-relative, White
59, Private,381851, 9th,5, Widowed, Other-service, Unmarried, Black
35, Local-gov,185769, Some-college,10, Married-civ-spouse, Other-service, Husband, White
45, Private,186272, 9th,5, Married-civ-spouse, Adm-clerical, Husband, Black
30, Private,312667, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
33, Private,343925, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black
26, Private,195994, Some-college,10, Never-married, Sales, Not-in-family, White
48, Private,398843, Some-college,10, Separated, Sales, Unmarried, Black
31, Private,73514, HS-grad,9, Never-married, Sales, Own-child, Asian-Pac-Islander
36, Private,288049, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
48, Private,54759, HS-grad,9, Divorced, Prof-specialty, Unmarried, White
30, Private,155343, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
33, Private,401104, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
19, ?,124884, 9th,5, Never-married, ?, Not-in-family, White
37, Local-gov,287306, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Wife, Black
53, Private,113995, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
18, Private,146378, Some-college,10, Never-married, Other-service, Own-child, White
38, Private,111499, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
34, Private,34374, Some-college,10, Never-married, Other-service, Not-in-family, White
45, Private,162187, Bachelors,13, Married-civ-spouse, Sales, Husband, White
33, Local-gov,147654, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White
35, Private,182467, Assoc-voc,11, Married-civ-spouse, Craft-repair, Wife, White
22, Private,183970, HS-grad,9, Never-married, Handlers-cleaners, Own-child, Black
35, Private,332588, HS-grad,9, Divorced, Other-service, Unmarried, White
45, Private,26781, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo
17, Private,48610, 11th,7, Never-married, Farming-fishing, Own-child, White
50, Private,162632, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
38, Local-gov,91711, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
33, Private,198003, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
46, Private,179048, HS-grad,9, Married-civ-spouse, Sales, Husband, White
25, Private,262778, Bachelors,13, Never-married, Sales, Not-in-family, White
64, Private,102470, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
62, Self-emp-not-inc,123170, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
32, Private,164243, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White
17, Private,262511, 11th,7, Never-married, Sales, Own-child, White
61, Private,51170, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
40, State-gov,91949, Doctorate,16, Never-married, Prof-specialty, Not-in-family, Black
21, Private,123727, HS-grad,9, Never-married, Exec-managerial, Other-relative, White
39, Private,173175, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
35, Self-emp-not-inc,120301, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
29, Private,250967, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White
27, Federal-gov,285432, Assoc-acdm,12, Never-married, Transport-moving, Not-in-family, Black
20, Private,36235, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White
34, ?,317219, Some-college,10, Married-civ-spouse, ?, Wife, White
51, Local-gov,110965, Masters,14, Never-married, Prof-specialty, Own-child, White
45, Private,123283, HS-grad,9, Separated, Machine-op-inspct, Unmarried, Black
20, ?,249087, Some-college,10, Never-married, ?, Own-child, White
31, Private,152940, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
29, Private,376680, HS-grad,9, Never-married, Tech-support, Own-child, Black
56, Private,231232, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
55, Self-emp-not-inc,168625, Some-college,10, Divorced, Tech-support, Not-in-family, White
26, Private,33939, Some-college,10, Never-married, Tech-support, Own-child, White
46, Private,155659, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
32, Local-gov,190228, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
28, Private,216178, HS-grad,9, Married-civ-spouse, Sales, Husband, White
27, Private,587310, 7th-8th,4, Never-married, Other-service, Other-relative, White
23, Private,155919, 9th,5, Married-spouse-absent, Craft-repair, Not-in-family, White
59, Private,227386, 10th,6, Married-civ-spouse, Craft-repair, Husband, White
26, Private,138152, 12th,8, Never-married, Craft-repair, Other-relative, Other
36, Private,167482, 10th,6, Never-married, Handlers-cleaners, Not-in-family, White
18, Private,57957, HS-grad,9, Never-married, Sales, Own-child, White
33, Private,157747, 9th,5, Divorced, Handlers-cleaners, Not-in-family, White
60, Self-emp-not-inc,88570, Assoc-voc,11, Married-civ-spouse, Transport-moving, Wife, White
40, Private,273308, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, White
48, Private,216292, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
27, Self-emp-not-inc,131298, 10th,6, Married-civ-spouse, Craft-repair, Husband, White
19, Private,386378, Some-college,10, Never-married, Other-service, Own-child, White
38, Private,179668, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
26, Private,210812, Some-college,10, Divorced, Craft-repair, Not-in-family, White
45, Federal-gov,311671, Assoc-voc,11, Married-civ-spouse, Protective-serv, Husband, White
20, Private,215247, Some-college,10, Never-married, Adm-clerical, Own-child, White
32, Federal-gov,125856, HS-grad,9, Divorced, Craft-repair, Unmarried, White
22, Private,74631, Some-college,10, Never-married, Handlers-cleaners, Own-child, White
22, Private,24008, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
38, State-gov,354591, HS-grad,9, Never-married, Other-service, Unmarried, Black
34, Private,155343, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
46, Private,308334, 1st-4th,2, Widowed, Other-service, Unmarried, Other
39, Private,245361, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White
79, Self-emp-not-inc,158319, HS-grad,9, Widowed, Other-service, Not-in-family, White
60, ?,204486, Bachelors,13, Married-civ-spouse, ?, Husband, White
24, Private,314823, HS-grad,9, Never-married, Sales, Own-child, White
31, Private,211334, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
37, Self-emp-not-inc,73199, Bachelors,13, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander
23, Private,126550, HS-grad,9, Never-married, Craft-repair, Other-relative, White
31, Private,260782, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
29, Private,114224, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
22, State-gov,64292, Bachelors,13, Never-married, Prof-specialty, Own-child, White
69, ?,628797, Some-college,10, Widowed, ?, Not-in-family, White
55, Local-gov,219775, HS-grad,9, Divorced, Other-service, Unmarried, White
43, Private,212894, HS-grad,9, Divorced, Craft-repair, Other-relative, White
23, Private,260019, 7th-8th,4, Never-married, Farming-fishing, Unmarried, Other
29, Private,228075, HS-grad,9, Never-married, Adm-clerical, Unmarried, White
22, Private,239806, Assoc-voc,11, Never-married, Other-service, Other-relative, White
22, Private,324637, Some-college,10, Never-married, Sales, Not-in-family, White
25, Private,163620, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
29, Private,194200, Some-college,10, Never-married, Machine-op-inspct, Own-child, White
25, State-gov,129200, Some-college,10, Never-married, Transport-moving, Not-in-family, Black
33, Federal-gov,207172, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White
33, Private,135312, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
31, Private,100734, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White
30, Local-gov,226443, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
55, Private,110871, Bachelors,13, Married-civ-spouse, Sales, Husband, White
36, Private,192704, 12th,8, Never-married, Exec-managerial, Not-in-family, White
47, ?,224108, HS-grad,9, Widowed, ?, Unmarried, White
28, Private,78870, Bachelors,13, Never-married, Sales, Not-in-family, White
42, Private,107762, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
51, Private,183611, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White
62, Local-gov,249078, Bachelors,13, Divorced, Prof-specialty, Not-in-family, Black
65, Self-emp-inc,208452, Some-college,10, Married-civ-spouse, Sales, Husband, White
23, Private,302195, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
60, ?,199947, HS-grad,9, Married-civ-spouse, ?, Husband, White
47, Private,379118, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, Black
50, Self-emp-inc,174855, HS-grad,9, Divorced, Exec-managerial, Unmarried, White
70, ?,173736, Bachelors,13, Married-civ-spouse, ?, Husband, White
32, Self-emp-not-inc,39369, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
37, Federal-gov,196348, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
31, Private,340917, HS-grad,9, Never-married, Craft-repair, Unmarried, White
76, Private,97077, 10th,6, Widowed, Sales, Unmarried, Black
54, Private,200098, Bachelors,13, Divorced, Sales, Not-in-family, Black
32, Federal-gov,127651, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
31, Private,315128, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
31, Federal-gov,206823, Bachelors,13, Divorced, Protective-serv, Not-in-family, White
65, Self-emp-not-inc,316093, Prof-school,15, Divorced, Prof-specialty, Not-in-family, White
30, Private,112115, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
63, ?,203821, HS-grad,9, Married-civ-spouse, ?, Husband, White
21, Private,250051, Some-college,10, Never-married, Prof-specialty, Own-child, White
40, Federal-gov,298635, Masters,14, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander
26, State-gov,109193, Some-college,10, Never-married, Craft-repair, Not-in-family, White
18, Private,130849, 11th,7, Never-married, Other-service, Own-child, White
34, Local-gov,43959, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
66, Local-gov,222810, Some-college,10, Divorced, Other-service, Other-relative, White
44, Self-emp-not-inc,27242, Some-college,10, Never-married, Farming-fishing, Own-child, White
30, Private,53158, Assoc-acdm,12, Never-married, Tech-support, Not-in-family, White
36, Self-emp-not-inc,206520, Bachelors,13, Never-married, Craft-repair, Own-child, White
31, Private,164190, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
22, Private,287988, Some-college,10, Never-married, Sales, Not-in-family, White
28, ?,200819, 7th-8th,4, Divorced, ?, Own-child, White
23, Private,83891, HS-grad,9, Never-married, Sales, Own-child, Asian-Pac-Islander
49, Private,65087, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
39, Self-emp-not-inc,363418, Bachelors,13, Separated, Craft-repair, Own-child, White
67, ?,182378, Bachelors,13, Married-civ-spouse, ?, Husband, White
19, Private,278870, Some-college,10, Never-married, Handlers-cleaners, Own-child, White
30, Private,174789, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Husband, White
25, Private,228608, Some-college,10, Never-married, Craft-repair, Other-relative, Asian-Pac-Islander
24, Private,184400, HS-grad,9, Never-married, Transport-moving, Own-child, Asian-Pac-Islander
46, Private,263568, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
37, Private,117381, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
41, Federal-gov,83411, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
40, Self-emp-not-inc,49156, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
44, Private,421449, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
32, Private,238944, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
58, Private,188982, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black
48, Private,175925, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
34, Private,164190, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
29, Private,232914, Assoc-voc,11, Never-married, Adm-clerical, Own-child, Black
46, Self-emp-inc,120121, Bachelors,13, Married-civ-spouse, Sales, Husband, White
36, Local-gov,180805, HS-grad,9, Never-married, Transport-moving, Not-in-family, Asian-Pac-Islander
59, Local-gov,161944, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
