50, Self-emp-inc,127315, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
35, Private,133454, 10th,6, Divorced, Machine-op-inspct, Not-in-family, White
38, Private,104094, Some-college,10, Married-civ-spouse, Sales, Husband, White
29, Private,105422, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White
56, Private,142182, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
41, Private,336643, Some-college,10, Divorced, Exec-managerial, Not-in-family, White
62, Self-emp-inc,200577, Masters,14, Married-civ-spouse, Sales, Husband, White
27, Private,208703, HS-grad,9, Never-married, Protective-serv, Own-child, White
55, ?,193895, HS-grad,9, Divorced, ?, Not-in-family, White
25, Private,272428, HS-grad,9, Never-married, Sales, Not-in-family, White
33, Private,56701, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
26, Private,288592, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
43, Private,266439, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White
53, Federal-gov,276868, Masters,14, Married-civ-spouse, Adm-clerical, Husband, White
43, Private,131435, Bachelors,13, Divorced, Other-service, Not-in-family, White
56, Private,175127, HS-grad,9, Divorced, Craft-repair, Unmarried, White
25, Private,277444, Bachelors,13, Married-civ-spouse, Sales, Husband, White
60, Private,63296, Masters,14, Divorced, Prof-specialty, Other-relative, Black
28, Private,96337, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
21, Private,221955, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White
40, Private,197923, Bachelors,13, Never-married, Adm-clerical, Unmarried, Black
29, Private,632593, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black
20, Private,205970, Some-college,10, Never-married, Craft-repair, Own-child, White
25, Private,139730, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
18, Private,201901, 11th,7, Never-married, Sales, Own-child, White
32, State-gov,230224, Assoc-acdm,12, Married-civ-spouse, Other-service, Husband, White
27, Private,113464, 1st-4th,2, Never-married, Other-service, Own-child, Other
48, Private,94461, HS-grad,9, Widowed, Machine-op-inspct, Not-in-family, White
20, Private,271379, Some-college,10, Never-married, Sales, Own-child, White
55, Private,231738, HS-grad,9, Divorced, Sales, Not-in-family, White
33, Local-gov,198183, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
21, State-gov,140764, Some-college,10, Never-married, Adm-clerical, Own-child, White
43, Self-emp-not-inc,183479, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
35, Private,165767, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
39, Local-gov,139364, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
19, Private,227491, HS-grad,9, Never-married, Sales, Not-in-family, Asian-Pac-Islander
25, Private,222254, HS-grad,9, Never-married, Other-service, Not-in-family, Black
44, Private,193494, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
27, Private,29261, Assoc-acdm,12, Never-married, Craft-repair, Unmarried, White
39, Private,174368, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
69, Private,108196, 10th,6, Never-married, Craft-repair, Other-relative, White
34, Private,110622, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander
20, ?,201680, Some-college,10, Never-married, ?, Own-child, White
37, Private,130277, 5th-6th,3, Separated, Other-service, Unmarried, White
43, Local-gov,98130, Bachelors,13, Divorced, Prof-specialty, Own-child, White
62, ?,235521, HS-grad,9, Married-civ-spouse, ?, Husband, White
34, State-gov,595000, Masters,14, Married-civ-spouse, Prof-specialty, Wife, Black
31, Self-emp-not-inc,349148, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
42, State-gov,117583, Doctorate,16, Divorced, Prof-specialty, Not-in-family, White
26, Private,164583, HS-grad,9, Divorced, Sales, Unmarried, White
39, Private,340091, Some-college,10, Separated, Other-service, Unmarried, White
25, Private,49092, Bachelors,13, Never-married, Other-service, Own-child, White
54, Local-gov,186884, Some-college,10, Married-civ-spouse, Transport-moving, Husband, Black
44, State-gov,167265, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
34, State-gov,34104, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
21, Self-emp-inc,265116, Some-college,10, Never-married, Exec-managerial, Not-in-family, White
50, Private,128378, 5th-6th,3, Married-civ-spouse, Handlers-cleaners, Husband, White
33, Private,158416, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White
40, Self-emp-inc,169878, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Wife, White
44, Private,296728, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
33, Local-gov,342458, Assoc-acdm,12, Divorced, Protective-serv, Not-in-family, White
21, Local-gov,38771, Some-college,10, Never-married, Adm-clerical, Own-child, White
35, Self-emp-not-inc,269300, Bachelors,13, Never-married, Other-service, Not-in-family, Black
43, Private,111483, Some-college,10, Married-civ-spouse, Sales, Husband, White
57, ?,199114, 10th,6, Separated, ?, Not-in-family, White
51, Local-gov,33863, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
29, Private,132874, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
51, Local-gov,277024, HS-grad,9, Separated, Protective-serv, Not-in-family, Black
35, Private,112160, HS-grad,9, Married-civ-spouse, Sales, Husband, White
18, Private,703067, 11th,7, Never-married, Sales, Own-child, White
58, Private,127264, 10th,6, Married-civ-spouse, Craft-repair, Husband, White
57, Self-emp-inc,257200, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
19, Private,57206, HS-grad,9, Never-married, Sales, Own-child, White
37, Private,201319, Some-college,10, Separated, Other-service, Unmarried, White
38, Private,114079, HS-grad,9, Married-civ-spouse, Sales, Husband, White
45, Private,230979, Some-college,10, Married-spouse-absent, Adm-clerical, Not-in-family, White
27, Private,292472, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
64, ?,286732, 7th-8th,4, Widowed, ?, Not-in-family, White
38, Local-gov,134444, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White
30, Private,172403, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
46, Private,191357, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White
18, ?,279288, 10th,6, Never-married, ?, Other-relative, White
60, Private,389254, HS-grad,9, Married-civ-spouse, Sales, Husband, White
30, Private,303867, HS-grad,9, Separated, Transport-moving, Not-in-family, White
47, Private,164113, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black
39, Private,111499, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
42, Private,266084, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
27, Private,61580, Some-college,10, Divorced, Adm-clerical, Other-relative, White
44, Private,231348, Some-college,10, Divorced, Sales, Not-in-family, White
33, Private,164748, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White
54, Private,205337, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
58, Self-emp-not-inc,54566, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
45, Private,34419, Bachelors,13, Never-married, Transport-moving, Not-in-family, White
59, Private,116442, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
29, Private,290740, Assoc-acdm,12, Never-married, Priv-house-serv, Not-in-family, White
27, Private,255582, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White
44, Private,112517, Masters,14, Married-civ-spouse, Tech-support, Husband, White
44, Private,169397, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
33, Private,172664, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
27, Private,329005, HS-grad,9, Never-married, Craft-repair, Own-child, White
33, Private,123253, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
55, Private,81865, Assoc-voc,11, Divorced, Adm-clerical, Unmarried, Black
32, Self-emp-not-inc,173314, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, Other
31, Private,34572, Assoc-voc,11, Married-civ-spouse, Handlers-cleaners, Husband, White
57, Self-emp-inc,159028, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
30, Private,149184, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
78, ?,363134, HS-grad,9, Widowed, ?, Not-in-family, White
28, Private,308709, Bachelors,13, Never-married, Sales, Not-in-family, White
30, Self-emp-not-inc,257295, Some-college,10, Never-married, Sales, Other-relative, Asian-Pac-Islander
29, Private,168479, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
66, Private,142501, HS-grad,9, Never-married, Other-service, Other-relative, Black
60, Private,338345, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
31, Private,177675, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
26, Private,262617, HS-grad,9, Never-married, Craft-repair, Other-relative, White
24, Private,200997, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
29, Private,176683, Bachelors,13, Never-married, Sales, Not-in-family, White
44, Private,376072, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White
34, Local-gov,177675, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
59, Private,348430, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
23, Private,320451, Bachelors,13, Never-married, Exec-managerial, Own-child, Asian-Pac-Islander
23, Private,38151, 11th,7, Never-married, Other-service, Other-relative, White
55, Local-gov,123382, Assoc-voc,11, Separated, Prof-specialty, Unmarried, Black
39, Self-emp-inc,151029, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
39, Private,484475, 11th,7, Never-married, Craft-repair, Not-in-family, Black
57, Private,329792, 7th-8th,4, Divorced, Transport-moving, Unmarried, White
35, Private,148903, HS-grad,9, Divorced, Sales, Unmarried, White
39, Local-gov,301614, Assoc-voc,11, Married-civ-spouse, Protective-serv, Husband, White
47, Private,176319, HS-grad,9, Married-civ-spouse, Sales, Own-child, White
53, State-gov,53197, Doctorate,16, Married-civ-spouse, Adm-clerical, Husband, White
23, Private,291407, Some-college,10, Never-married, Sales, Own-child, Black
35, Private,204527, Masters,14, Never-married, Craft-repair, Not-in-family, White
44, Private,476391, Some-college,10, Divorced, Farming-fishing, Not-in-family, White
28, Private,224964, HS-grad,9, Never-married, Other-service, Own-child, White
26, Private,306225, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander
23, Private,292023, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White
32, Private,94041, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
49, Self-emp-inc,187563, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
36, Private,176101, Some-college,10, Never-married, Craft-repair, Own-child, White
36, Private,749105, HS-grad,9, Divorced, Other-service, Unmarried, White
41, ?,230020, 5th-6th,3, Married-civ-spouse, ?, Husband, Other
21, Private,216070, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, Amer-Indian-Eskimo
54, Self-emp-not-inc,105010, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
43, Private,198203, Some-college,10, Married-spouse-absent, Other-service, Not-in-family, Black
35, Local-gov,215419, Some-college,10, Divorced, Adm-clerical, Unmarried, White
31, Private,120460, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
46, Private,199316, Some-college,10, Married-civ-spouse, Craft-repair, Other-relative, Asian-Pac-Islander
46, Private,146919, HS-grad,9, Separated, Sales, Not-in-family, White
56, Private,174744, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
45, ?,189564, Masters,14, Married-civ-spouse, ?, Wife, White
21, Private,249957, HS-grad,9, Never-married, Adm-clerical, Own-child, White
51, Private,146574, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
47, State-gov,156417, Some-college,10, Divorced, Prof-specialty, Unmarried, White
42, Private,236110, 5th-6th,3, Married-spouse-absent, Craft-repair, Not-in-family, White
19, Private,63363, Some-college,10, Never-married, Sales, Own-child, White
25, Private,190107, Bachelors,13, Never-married, Craft-repair, Own-child, White
37, Private,126569, Masters,14, Married-civ-spouse, Tech-support, Husband, White
35, Private,176756, 12th,8, Married-civ-spouse, Other-service, Husband, Black
40, Private,115161, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
57, Self-emp-not-inc,138892, 11th,7, Married-civ-spouse, Sales, Husband, White
38, Private,256864, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White
48, Private,265083, 10th,6, Divorced, Sales, Not-in-family, White
34, Private,249948, Some-college,10, Divorced, Other-service, Not-in-family, White
46, Federal-gov,31141, Some-college,10, Divorced, Transport-moving, Not-in-family, White
30, Private,164190, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
45, State-gov,67544, Masters,14, Divorced, Protective-serv, Not-in-family, White
32, Self-emp-not-inc,174789, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
35, Private,199753, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White
62, Private,122246, Some-college,10, Never-married, Craft-repair, Not-in-family, White
56, ?,188166, HS-grad,9, Married-civ-spouse, ?, Husband, White
50, Private,96586, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White
25, Private,189590, Bachelors,13, Never-married, Tech-support, Not-in-family, White
41, Private,140590, Some-college,10, Never-married, Sales, Not-in-family, Black
35, Private,255702, HS-grad,9, Never-married, Other-service, Own-child, White
33, Private,260782, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
38, Private,169926, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Wife, White
37, State-gov,151322, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
56, Private,192869, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
19, Private,93604, 7th-8th,4, Never-married, Craft-repair, Own-child, White
31, Private,86958, 9th,5, Married-civ-spouse, Exec-managerial, Wife, White
53, Local-gov,228723, HS-grad,9, Divorced, Craft-repair, Not-in-family, Other
33, Private,192644, HS-grad,9, Separated, Handlers-cleaners, Unmarried, White
72, Private,284080, 1st-4th,2, Divorced, Other-service, Not-in-family, Black
54, Private,43269, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
30, Private,190040, Bachelors,13, Never-married, Machine-op-inspct, Not-in-family, White
51, Private,306108, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White
30, Private,220148, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
30, Private,381645, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
32, Private,216361, Some-college,10, Married-civ-spouse, Protective-serv, Husband, Black
30, Private,213722, Some-college,10, Never-married, Sales, Not-in-family, White
35, Private,112271, Masters,14, Married-civ-spouse, Adm-clerical, Husband, White
40, Private,208277, Some-college,10, Divorced, Adm-clerical, Own-child, White
38, State-gov,352628, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White
19, Private,129620, 10th,6, Never-married, Other-service, Other-relative, White
32, Private,249550, Some-college,10, Never-married, Prof-specialty, Not-in-family, White
49, Private,178749, Masters,14, Married-spouse-absent, Adm-clerical, Unmarried, White
76, ?,173542, Bachelors,13, Married-civ-spouse, ?, Husband, White
60, Private,167670, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
60, Private,81578, 9th,5, Married-civ-spouse, Sales, Husband, White
55, Private,160662, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White
41, Private,163322, Bachelors,13, Divorced, Tech-support, Not-in-family, White
24, Private,152189, HS-grad,9, Never-married, Craft-repair, Own-child, White
53, Private,106176, Masters,14, Married-civ-spouse, Sales, Husband, White
69, State-gov,159191, Some-college,10, Widowed, Adm-clerical, Not-in-family, White
71, ?,250263, Some-college,10, Married-civ-spouse, ?, Husband, White
41, Private,78410, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
32, Private,131379, HS-grad,9, Never-married, Other-service, Own-child, White
45, Private,166929, 11th,7, Married-civ-spouse, Craft-repair, Husband, White
59, Private,380357, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White
31, Private,79190, HS-grad,9, Never-married, Other-service, Own-child, White
40, Private,342164, HS-grad,9, Separated, Adm-clerical, Unmarried, White
44, Private,182616, Assoc-voc,11, Married-civ-spouse, Tech-support, Husband, White
63, Private,339473, Some-college,10, Divorced, Sales, Not-in-family, White
31, Local-gov,381153, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White
51, Private,300816, Bachelors,13, Never-married, Adm-clerical, Unmarried, White
51, Private,240988, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander
23, Private,149224, HS-grad,9, Never-married, Sales, Not-in-family, White
