51, Self-emp-not-inc, 125417, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 42, United-States, >50K
32, State-gov, 117927, Some-college, 10, Never-married, Adm-clerical, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
22, Private, 109815, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
35, Private, 61518, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 35, United-States, <=50K
40, Private, 115932, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, Ireland, >50K
18, Private, 39222, 11th, 7, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K
30, Federal-gov, 355789, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, Black, Female, 0, 0, 50, United-States, <=50K
42, State-gov, 211915, Some-college, 10, Separated, Tech-support, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
20, Private, 155775, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 30, United-States, <=50K
44, Self-emp-not-inc, 172479, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 15024, 0, 60, United-States, >50K
29, Private, 178272, HS-grad, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 129620, 10th, 6, Never-married, Other-service, Other-relative, White, Female, 0, 0, 30, United-States, <=50K
34, Local-gov, 177675, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 55, United-States, >50K
27, Private, 215873, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
45, Private, 116163, HS-grad, 9, Separated, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
40, Local-gov, 290660, Assoc-acdm, 12, Divorced, Exec-managerial, Not-in-family, White, Male, 8614, 0, 50, United-States, >50K
33, State-gov, 200289, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 19, India, <=50K
33, Private, 36539, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, >50K
29, Private, 242597, Bachelors, 13, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
27, Private, 188941, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 3908, 0, 40, United-States, <=50K
59, ?, 154236, HS-grad, 9, Married-civ-spouse, ?, Wife, White, Female, 7688, 0, 40, United-States, >50K
22, Private, 412156, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
25, Private, 242464, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
26, Private, 32276, HS-grad, 9, Never-married, Farming-fishing, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
22, Private, 124971, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
80, Private, 249983, 7th-8th, 4, Widowed, Other-service, Not-in-family, White, Female, 0, 0, 24, United-States, <=50K
54, Private, 225599, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 7298, 0, 40, India, >50K
21, Private, 275291, Some-college, 10, Never-married, Sales, Own-child, White, Male, 0, 0, 12, United-States, <=50K
62, Private, 170984, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, <=50K
38, Private, 136137, Some-college, 10, Married-civ-spouse, Exec-managerial, Other-relative, White, Male, 0, 0, 50, United-States, >50K
30, Private, 46712, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
42, Private, 284758, HS-grad, 9, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
33, Private, 279173, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, <=50K
41, Private, 49654, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 52, United-States, <=50K
18, Private, 230875, 11th, 7, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
35, Private, 263081, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 60, United-States, >50K
21, Private, 245572, 9th, 5, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, <=50K
55, Private, 160662, Doctorate, 16, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 80, United-States, >50K
34, Private, 737315, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
29, Local-gov, 190330, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 10, United-States, <=50K
26, Private, 192262, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
32, Private, 182323, 9th, 5, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
43, Private, 393354, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, Black, Female, 0, 0, 38, United-States, >50K
33, ?, 193172, Assoc-voc, 11, Married-civ-spouse, ?, Own-child, White, Female, 7688, 0, 50, United-States, >50K
20, Private, 200089, 5th-6th, 3, Never-married, Handlers-cleaners, Unmarried, White, Male, 0, 0, 30, Guatemala, <=50K
41, Private, 355918, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 65, United-States, >50K
21, Private, 236684, Some-college, 10, Never-married, Other-service, Other-relative, Black, Female, 0, 0, 8, United-States, <=50K
26, Private, 34393, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
35, Private, 160120, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Philippines, >50K
21, Private, 161210, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 50, United-States, <=50K
41, Local-gov, 37848, HS-grad, 9, Never-married, Other-service, Unmarried, White, Female, 0, 0, 25, United-States, <=50K
71, Private, 124959, HS-grad, 9, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
37, Self-emp-not-inc, 126738, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 72, United-States, <=50K
73, ?, 90557, 11th, 7, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 8, United-States, <=50K
48, Local-gov, 115497, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
43, ?, 405374, Some-college, 10, Separated, ?, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
39, Private, 224566, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K
21, Private, 131230, Some-college, 10, Never-married, Sales, Own-child, White, Male, 0, 0, 10, United-States, <=50K
28, ?, 389857, HS-grad, 9, Married-civ-spouse, ?, Other-relative, White, Male, 0, 0, 16, United-States, <=50K
35, Private, 30529, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
26, Private, 167106, HS-grad, 9, Never-married, Craft-repair, Other-relative, Asian-Pac-Islander, Male, 0, 0, 40, Hong, <=50K
48, Private, 235646, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 3103, 0, 40, United-States, >50K
26, State-gov, 234190, Some-college, 10, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 20, United-States, <=50K
53, Private, 92430, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
21, Private, 202214, Assoc-acdm, 12, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 10, United-States, <=50K
31, ?, 213771, HS-grad, 9, Widowed, ?, Unmarried, White, Female, 0, 0, 36, United-States, <=50K
46, Self-emp-inc, 191978, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 2392, 50, United-States, >50K
32, Private, 198068, 11th, 7, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 40, United-States, <=50K
46, Private, 305160, 1st-4th, 2, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, Mexico, <=50K
51, Private, 102828, Assoc-voc, 11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, Greece, <=50K
52, Private, 48947, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 45, United-States, <=50K
32, Private, 218322, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
22, Private, 31387, Bachelors, 13, Married-civ-spouse, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female, 2885, 0, 25, United-States, <=50K
59, Private, 115414, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
63, Private, 100099, 9th, 5, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
31, Local-gov, 226494, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
54, Private, 257337, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
23, Private, 176262, Assoc-voc, 11, Never-married, Adm-clerical, Other-relative, White, Female, 0, 0, 36, United-States, <=50K
37, Self-emp-not-inc, 48063, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, >50K
48, Private, 318331, HS-grad, 9, Never-married, Sales, Own-child, White, Male, 0, 0, 40, United-States, <=50K
32, Private, 329993, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, <=50K
40, Private, 379919, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
42, Self-emp-not-inc, 54202, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
29, Self-emp-not-inc, 169662, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
50, Private, 170050, 7th-8th, 4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
30, Private, 254905, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
30, Self-emp-inc, 178383, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 70, United-States, <=50K
23, Private, 27776, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 24, United-States, <=50K
41, Private, 185267, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
38, Private, 156550, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, United-States, <=50K
36, Private, 112497, 9th, 5, Married-civ-spouse, Sales, Own-child, White, Male, 0, 0, 50, United-States, >50K
62, Private, 368476, 5th-6th, 3, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 24, Mexico, <=50K
55, Self-emp-not-inc, 35340, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K
33, Private, 162572, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 55, United-States, >50K
42, State-gov, 55764, Assoc-acdm, 12, Divorced, Prof-specialty, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
36, Self-emp-not-inc, 136028, 9th, 5, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 30, United-States, <=50K
23, Private, 420973, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
23, Private, 54472, Some-college, 10, Married-spouse-absent, Other-service, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
49, Self-emp-not-inc, 168191, 7th-8th, 4, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 70, Italy, <=50K
41, Private, 152529, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
44, Private, 182402, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
29, Local-gov, 115585, Some-college, 10, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
51, Private, 673764, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 27828, 0, 40, United-States, >50K
20, Private, 184756, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 12, United-States, <=50K
46, Local-gov, 111558, Some-college, 10, Divorced, Machine-op-inspct, Own-child, White, Female, 0, 0, 40, United-States, <=50K
67, Private, 95113, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 37, United-States, >50K
56, Private, 92215, 9th, 5, Divorced, Craft-repair, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
34, State-gov, 154246, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, White, Male, 4865, 0, 55, United-States, <=50K
24, Private, 190293, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
34, Federal-gov, 345259, Doctorate, 16, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 99, United-States, <=50K
29, Self-emp-not-inc, 267661, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 70, United-States, <=50K
46, State-gov, 55377, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, Black, Male, 0, 0, 40, United-States, >50K
41, Private, 125461, Some-college, 10, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
57, Private, 153918, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
33, Private, 267859, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, El-Salvador, <=50K
50, Private, 149770, Masters, 14, Never-married, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
33, Federal-gov, 37546, Prof-school, 15, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 40, United-States, >50K
26, Private, 262617, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 48, United-States, <=50K
38, Self-emp-not-inc, 129573, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
23, Private, 119665, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K
51, Self-emp-inc, 258735, HS-grad, 9, Divorced, Protective-serv, Not-in-family, White, Male, 0, 0, 81, United-States, <=50K
20, Private, 344492, HS-grad, 9, Separated, Sales, Own-child, White, Female, 0, 0, 26, United-States, <=50K
45, Private, 112305, Some-college, 10, Divorced, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
30, Self-emp-inc, 84119, Bachelors, 13, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 43, United-States, <=50K
49, Self-emp-not-inc, 105614, HS-grad, 9, Divorced, Sales, Not-in-family, White, Male, 0, 0, 50, United-States, >50K
63, Private, 31389, 11th, 7, Never-married, Farming-fishing, Not-in-family, White, Male, 0, 0, 12, United-States, <=50K
78, ?, 33186, 7th-8th, 4, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 60, United-States, <=50K
24, Private, 464502, Assoc-acdm, 12, Never-married, Sales, Not-in-family, Black, Male, 0, 0, 40, ?, <=50K
45, Self-emp-inc, 121124, Prof-school, 15, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 50, United-States, >50K
