29, Private, 201155, 9th, 5, Never-married, Sales, Not-in-family, White, Female, 0, 0, 48, United-States, <=50K
17, ?, 250541, 11th, 7, Never-married, ?, Own-child, Black, Male, 0, 0, 8, United-States, <=50K
27, State-gov, 280618, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
28, Private, 239539, HS-grad, 9, Married-spouse-absent, Machine-op-inspct, Own-child, Asian-Pac-Islander, Male, 0, 0, 40, Philippines, <=50K
28, Private, 209641, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 32, United-States, <=50K
61, ?, 190997, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 6, United-States, <=50K
62, Local-gov, 167889, Doctorate, 16, Widowed, Prof-specialty, Unmarried, White, Female, 0, 0, 40, Iran, <=50K
24, Self-emp-not-inc, 102942, Some-college, 10, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
60, Private, 184183, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, White, Male, 4650, 0, 40, United-States, <=50K
41, ?, 129155, 11th, 7, Widowed, ?, Other-relative, Black, Female, 0, 0, 40, United-States, <=50K
35, Private, 265535, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 50, Jamaica, >50K
42, Private, 306496, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
72, ?, 113044, HS-grad, 9, Widowed, ?, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K
30, Private, 169186, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 60, United-States, <=50K
25, Private, 178478, Bachelors, 13, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
32, Private, 152109, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 48, United-States, <=50K
36, Private, 159016, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 38, United-States, <=50K
24, Local-gov, 176178, Assoc-acdm, 12, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 2, United-States, <=50K
47, Self-emp-not-inc, 112200, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, Black, Male, 10520, 0, 45, United-States, >50K
59, Private, 106748, 7th-8th, 4, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 99, United-States, <=50K
24, Private, 259510, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 5013, 0, 30, United-States, <=50K
19, Without-pay, 43887, HS-grad, 9, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 10, United-States, <=50K
40, Private, 367533, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 2580, 0, 40, United-States, <=50K
23, Private, 274797, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 25, United-States, <=50K
21, Private, 27049, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 20, United-States, <=50K
30, Private, 66278, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
40, Private, 260425, Assoc-acdm, 12, Separated, Tech-support, Unmarried, White, Female, 1471, 0, 32, United-States, <=50K
22, Private, 183257, Some-college, 10, Never-married, Sales, Own-child, Black, Female, 0, 0, 20, United-States, <=50K
43, Private, 218309, Bachelors, 13, Divorced, Sales, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
59, Private, 322691, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
28, Private, 177955, 11th, 7, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, Mexico, <=50K
40, Local-gov, 34540, Masters, 14, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 44, United-States, <=50K
48, Private, 192779, Some-college, 10, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
29, Private, 105694, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 42, United-States, <=50K
59, ?, 372020, Bachelors, 13, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, >50K
37, Self-emp-not-inc, 410919, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 35, United-States, <=50K
38, Self-emp-not-inc, 30916, Assoc-acdm, 12, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, <=50K
27, Private, 254500, Some-college, 10, Divorced, Adm-clerical, Unmarried, Black, Female, 0, 0, 36, United-States, <=50K
56, Self-emp-not-inc, 115422, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 122493, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 45, United-States, <=50K
27, Private, 218184, Some-college, 10, Never-married, Adm-clerical, Not-in-family, Black, Female, 0, 0, 40, Jamaica, <=50K
24, Private, 200295, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
46, Self-emp-not-inc, 368561, Assoc-acdm, 12, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
31, Private, 126501, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
29, Private, 54411, HS-grad, 9, Never-married, Farming-fishing, Not-in-family, White, Male, 0, 0, 50, ?, <=50K
34, Local-gov, 210164, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1740, 40, United-States, <=50K
21, Private, 118657, HS-grad, 9, Separated, Machine-op-inspct, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
29, Self-emp-inc, 190450, HS-grad, 9, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Germany, <=50K
29, State-gov, 243875, Assoc-voc, 11, Divorced, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K
21, Private, 337766, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 118681, HS-grad, 9, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 38, Puerto-Rico, <=50K
49, Private, 122066, 5th-6th, 3, Married-civ-spouse, Other-service, Husband, White, Male, 0, 2603, 40, Greece, <=50K
30, Self-emp-not-inc, 347166, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
64, Private, 180624, Assoc-acdm, 12, Never-married, Prof-specialty, Other-relative, White, Female, 0, 0, 30, United-States, <=50K
19, Private, 100999, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 30, United-States, <=50K
53, Private, 311350, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
41, State-gov, 108945, HS-grad, 9, Never-married, Transport-moving, Not-in-family, White, Female, 14344, 0, 40, United-States, >50K
36, Self-emp-not-inc, 177907, Doctorate, 16, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
19, ?, 105460, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 20, England, <=50K
28, Local-gov, 419740, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 52, United-States, <=50K
36, State-gov, 183735, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
42, Private, 228320, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 50, United-States, >50K
50, Private, 96586, Assoc-voc, 11, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
38, Private, 33105, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, Amer-Indian-Eskimo, Male, 0, 0, 70, United-States, >50K
35, Private, 194490, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 38, United-States, <=50K
41, Private, 282882, HS-grad, 9, Never-married, Sales, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
41, Private, 280167, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 70, United-States, >50K
60, Federal-gov, 119832, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 7298, 0, 40, United-States, >50K
37, Local-gov, 89491, Masters, 14, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
44, Private, 169980, 11th, 7, Married-civ-spouse, Other-service, Husband, Black, Male, 0, 0, 60, United-States, <=50K
54, Private, 138944, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 44, United-States, <=50K
40, Private, 170019, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, ?, <=50K
40, Private, 315321, HS-grad, 9, Divorced, Exec-managerial, Unmarried, White, Female, 0, 625, 52, United-States, <=50K
44, Private, 173682, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
33, Private, 155343, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 3103, 0, 40, United-States, >50K
53, Local-gov, 321770, HS-grad, 9, Married-spouse-absent, Transport-moving, Other-relative, White, Female, 0, 0, 35, United-States, <=50K
44, Local-gov, 263871, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
41, Private, 116103, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
41, Private, 406603, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 6, Iran, <=50K
56, State-gov, 81954, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
28, Private, 37821, Some-college, 10, Divorced, Sales, Unmarried, White, Female, 0, 0, 45, United-States, <=50K
26, Private, 63577, Some-college, 10, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K
19, State-gov, 156294, Some-college, 10, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 25, United-States, <=50K
69, Private, 185691, 11th, 7, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 20, United-States, <=50K
61, Private, 92691, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 3, United-States, <=50K
47, Private, 111961, HS-grad, 9, Married-civ-spouse, Other-service, Wife, Black, Female, 0, 0, 30, United-States, <=50K
51, Self-emp-inc, 258735, HS-grad, 9, Divorced, Protective-serv, Not-in-family, White, Male, 0, 0, 81, United-States, <=50K
20, ?, 34862, Some-college, 10, Never-married, ?, Own-child, Amer-Indian-Eskimo, Male, 0, 0, 72, United-States, <=50K
23, Private, 250037, Some-college, 10, Never-married, Farming-fishing, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
65, Private, 274916, HS-grad, 9, Widowed, Sales, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
22, Private, 203263, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 50, United-States, <=50K
41, Private, 324629, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, Yugoslavia, <=50K
25, Private, 441210, HS-grad, 9, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 40, United-States, <=50K
27, Private, 156266, 9th, 5, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, <=50K
49, State-gov, 154493, HS-grad, 9, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 44, United-States, <=50K
23, Private, 211049, Some-college, 10, Never-married, Tech-support, Not-in-family, White, Female, 4101, 0, 40, United-States, <=50K
22, Private, 100587, Some-college, 10, Never-married, Other-service, Own-child, Black, Female, 0, 0, 15, United-States, <=50K
25, Private, 198986, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
74, Private, 180455, Bachelors, 13, Widowed, Other-service, Not-in-family, White, Female, 0, 0, 8, United-States, <=50K
51, Self-emp-inc, 210736, HS-grad, 9, Never-married, Exec-managerial, Not-in-family, White, Male, 10520, 0, 40, United-States, >50K
37, Private, 176293, Some-college, 10, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K
46, State-gov, 421223, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
54, Private, 174102, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
38, Private, 175120, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
29, Private, 56630, Assoc-voc, 11, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
44, Private, 179136, HS-grad, 9, Never-married, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
57, Self-emp-not-inc, 175942, Some-college, 10, Widowed, Exec-managerial, Other-relative, White, Male, 0, 0, 25, United-States, <=50K
73, Private, 247355, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 16, Canada, <=50K
41, Private, 208470, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
20, Private, 203240, Assoc-acdm, 12, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K
56, Self-emp-not-inc, 210731, 7th-8th, 4, Divorced, Sales, Other-relative, White, Male, 0, 0, 20, Mexico, <=50K
53, Private, 29658, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
28, Private, 215955, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 3103, 0, 40, United-States, >50K
27, Private, 214858, 10th, 6, Married-civ-spouse, Craft-repair, Other-relative, White, Male, 0, 0, 55, United-States, <=50K
61, ?, 69285, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 37, United-States, <=50K
39, Private, 184117, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 7688, 0, 20, United-States, >50K
59, Private, 50223, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
28, ?, 168524, Assoc-voc, 11, Married-civ-spouse, ?, Own-child, White, Female, 0, 0, 40, United-States, <=50K
18, Private, 102182, 12th, 8, Never-married, Priv-house-serv, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K
42, State-gov, 222884, Bachelors, 13, Divorced, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
45, Local-gov, 189890, HS-grad, 9, Never-married, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
60, Private, 152369, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, United-States, <=50K
28, Private, 176972, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, >50K
33, Federal-gov, 29617, Some-college, 10, Divorced, Other-service, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
45, Private, 170846, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, >50K
50, Private, 204838, HS-grad, 9, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 38, United-States, <=50K
31, Private, 47151, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 56, United-States, <=50K
25, Private, 359985, 5th-6th, 3, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 33, Mexico, <=50K
74, State-gov, 236012, 7th-8th, 4, Widowed, Handlers-cleaners, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K
58, ?, 147653, Some-college, 10, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 36, United-States, <=50K
25, Local-gov, 182380, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
27, Federal-gov, 276776, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, >50K
35, ?, 153926, HS-grad, 9, Married-civ-spouse, ?, Wife, Black, Female, 0, 0, 40, United-States, <=50K
32, Self-emp-not-inc, 65278, Doctorate, 16, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
45, Private, 204205, 7th-8th, 4, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 48, United-States, <=50K
29, Private, 152461, Bachelors, 13, Never-married, Prof-specialty, Unmarried, White, Female, 14344, 0, 50, United-States, >50K
56, Self-emp-not-inc, 175964, Some-college, 10, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
56, ?, 132930, Masters, 14, Never-married, ?, Not-in-family, White, Female, 0, 0, 50, United-States, >50K
32, Private, 209317, HS-grad, 9, Separated, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, ?, <=50K
25, Private, 186925, Some-college, 10, Never-married, Other-service, Not-in-family, White, Male, 2597, 0, 48, United-States, <=50K
37, Private, 172538, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 57145, HS-grad, 9, Never-married, Other-service, Own-child, White, Female, 0, 0, 25, United-States, <=50K
37, Private, 167777, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 52, United-States, <=50K
26, State-gov, 106812, Assoc-voc, 11, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K
43, Self-emp-not-inc, 277488, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 30, United-States, <=50K
24, Private, 23438, Assoc-voc, 11, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 30, United-States, >50K
34, Self-emp-not-inc, 426431, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
18, State-gov, 389147, HS-grad, 9, Never-married, Sales, Not-in-family, Black, Female, 0, 0, 30, United-States, <=50K
37, Private, 154571, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, 0, 0, 40, ?, <=50K
48, Private, 398843, Some-college, 10, Separated, Sales, Unmarried, Black, Female, 0, 0, 35, United-States, <=50K
23, Private, 73514, HS-grad, 9, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female, 0, 0, 40, Vietnam, <=50K
54, Private, 398212, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, Black, Male, 5013, 0, 40, United-States, <=50K
45, State-gov, 190406, Prof-school, 15, Divorced, Prof-specialty, Unmarried, Black, Male, 25236, 0, 36, United-States, >50K
24, State-gov, 211049, 7th-8th, 4, Never-married, Tech-support, Unmarried, White, Female, 0, 0, 20, United-States, <=50K
46, Self-emp-not-inc, 342907, HS-grad, 9, Married-civ-spouse, Sales, Husband, Black, Male, 0, 0, 60, United-States, >50K
40, Private, 118001, 10th, 6, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 40, United-States, <=50K
40, Federal-gov, 26358, Assoc-acdm, 12, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
30, Private, 467108, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 44, United-States, >50K
74, Private, 84197, Masters, 14, Divorced, Sales, Not-in-family, White, Female, 0, 0, 10, United-States, <=50K
38, Private, 23892, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 0, 0, 40, United-States, <=50K
36, Private, 89040, 11th, 7, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 47, United-States, <=50K
52, Private, 114971, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
25, State-gov, 187508, Some-college, 10, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, <=50K
61, Private, 160942, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 3103, 0, 50, United-States, <=50K
36, Private, 123983, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 55, Japan, >50K
40, Private, 272343, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States, >50K
35, Private, 334999, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 45, United-States, <=50K
29, Private, 87523, HS-grad, 9, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, <=50K
59, Private, 152968, Some-college, 10, Separated, Adm-clerical, Other-relative, White, Male, 3325, 0, 40, United-States, <=50K
43, Private, 498079, Bachelors, 13, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
59, Federal-gov, 176317, 10th, 6, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 37, United-States, <=50K
67, Private, 154035, HS-grad, 9, Widowed, Handlers-cleaners, Other-relative, Black, Male, 0, 0, 32, United-States, <=50K
22, Private, 160120, 10th, 6, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male, 0, 0, 30, United-States, <=50K
37, Private, 123833, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K
21, Private, 182823, Bachelors, 13, Never-married, Sales, Own-child, White, Male, 0, 0, 30, United-States, <=50K
17, Private, 29571, 12th, 8, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 15, United-States, <=50K
50, Private, 123174, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, Black, Male, 0, 0, 37, ?, >50K
28, Private, 224506, Some-college, 10, Married-civ-spouse, Sales, Husband, Black, Male, 0, 0, 40, ?, <=50K
53, State-gov, 144586, Some-college, 10, Never-married, Protective-serv, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
33, Private, 159322, HS-grad, 9, Divorced, Other-service, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
20, State-gov, 223515, Assoc-acdm, 12, Never-married, Other-service, Own-child, White, Male, 0, 1719, 20, United-States, <=50K
39, Private, 111499, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
21, Private, 185582, Some-college, 10, Never-married, Sales, Own-child, White, Male, 0, 0, 43, United-States, <=50K
32, Federal-gov, 145983, Some-college, 10, Married-civ-spouse, Tech-support, Wife, White, Female, 0, 0, 40, United-States, <=50K
41, State-gov, 101603, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
45, Private, 327886, Prof-school, 15, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
30, Private, 151001, 5th-6th, 3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 3464, 0, 40, Mexico, <=50K
57, Private, 24384, 7th-8th, 4, Widowed, Other-service, Not-in-family, White, Female, 0, 0, 10, United-States, <=50K
41, Private, 266510, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K
30, Private, 182833, Some-college, 10, Never-married, Exec-managerial, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
29, Private, 535978, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, <=50K
44, Private, 242521, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 7688, 0, 50, United-States, >50K
49, Private, 235683, Some-college, 10, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 40, United-States, >50K
31, Private, 187560, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 15024, 0, 40, United-States, >50K
43, Private, 354408, 12th, 8, Married-civ-spouse, Adm-clerical, Husband, Black, Male, 0, 0, 40, United-States, <=50K
49, Private, 236913, HS-grad, 9, Widowed, Other-service, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
54, Self-emp-not-inc, 226735, HS-grad, 9, Married-civ-spouse, Other-service, Husband, Black, Male, 0, 0, 45, United-States, <=50K
49, Self-emp-not-inc, 199590, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, Mexico, <=50K
40, Self-emp-inc, 37869, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, <=50K
46, Private, 134727, 11th, 7, Divorced, Machine-op-inspct, Unmarried, Amer-Indian-Eskimo, Male, 0, 0, 43, Germany, <=50K
67, Self-emp-inc, 116517, Bachelors, 13, Widowed, Other-service, Unmarried, White, Female, 0, 0, 35, United-States, <=50K
58, Private, 142924, Masters, 14, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 24, United-States, >50K
17, ?, 86786, 10th, 6, Never-married, ?, Own-child, White, Female, 0, 0, 40, United-States, <=50K
42, Private, 34037, Doctorate, 16, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
41, Private, 58484, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, <=50K
34, Private, 93169, Some-college, 10, Divorced, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
47, Private, 223342, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 1504, 35, United-States, <=50K
