57, Self-emp-not-inc, 103529, Masters, 14, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 38, United-States, >50K
21, Private, 502837, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Female, 0, 0, 40, Peru, <=50K
37, Private, 186191, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 46, United-States, <=50K
31, Private, 131568, 7th-8th, 4, Divorced, Transport-moving, Unmarried, White, Male, 0, 0, 20, United-States, <=50K
22, Private, 50058, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
26, Private, 96467, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
19, ?, 182590, 10th, 6, Never-married, ?, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K
34, Private, 176648, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, Black, Male, 0, 0, 42, United-States, <=50K
39, Private, 75995, HS-grad, 9, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 45, United-States, <=50K
48, Self-emp-inc, 287647, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7688, 0, 55, United-States, >50K
55, Private, 259532, 7th-8th, 4, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, <=50K
44, Private, 228057, HS-grad, 9, Separated, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, Puerto-Rico, <=50K
44, Private, 261497, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, ?, <=50K
46, Private, 169042, 10th, 6, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 25, Ecuador, <=50K
51, Private, 508891, HS-grad, 9, Divorced, Machine-op-inspct, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
36, Private, 162302, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
26, Federal-gov, 95806, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 3325, 0, 40, United-States, <=50K
18, ?, 312634, 11th, 7, Never-married, ?, Own-child, White, Male, 0, 0, 25, United-States, <=50K
32, Private, 295589, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 1977, 40, United-States, >50K
65, Private, 94552, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
30, Private, 152453, 11th, 7, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, Mexico, <=50K
36, Private, 100681, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Male, 2463, 0, 40, United-States, <=50K
33, Private, 205649, Assoc-acdm, 12, Married-spouse-absent, Craft-repair, Not-in-family, White, Male, 0, 0, 20, United-States, <=50K
54, Private, 143804, 10th, 6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
48, Local-gov, 378221, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, Mexico, >50K
22, Private, 305498, HS-grad, 9, Divorced, Sales, Own-child, White, Female, 0, 0, 33, United-States, <=50K
48, Private, 174829, Assoc-acdm, 12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
26, Private, 77698, Some-college, 10, Married-civ-spouse, Prof-specialty, Wife, Asian-Pac-Islander, Female, 0, 0, 40, United-States, <=50K
22, ?, 195532, HS-grad, 9, Never-married, ?, Own-child, White, Female, 0, 0, 40, United-States, <=50K
40, Private, 91836, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
26, Private, 322614, Preschool, 1, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Male, 0, 1719, 40, Mexico, <=50K
31, Self-emp-not-inc, 162551, 12th, 8, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female, 0, 0, 50, ?, <=50K
46, Private, 75256, HS-grad, 9, Married-civ-spouse, Priv-house-serv, Wife, White, Female, 0, 0, 40, United-States, <=50K
61, Self-emp-not-inc, 36671, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 2352, 50, United-States, <=50K
38, Private, 301743, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
23, Private, 529223, Bachelors, 13, Never-married, Sales, Own-child, Black, Male, 0, 0, 10, United-States, <=50K
46, Private, 241844, 9th, 5, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
45, Private, 348854, Some-college, 10, Separated, Adm-clerical, Unmarried, White, Female, 0, 0, 27, United-States, <=50K
24, Private, 72119, Bachelors, 13, Never-married, Adm-clerical, Own-child, White, Male, 2202, 0, 30, United-States, <=50K
35, Private, 332588, HS-grad, 9, Divorced, Other-service, Unmarried, White, Female, 0, 0, 30, United-States, <=50K
23, Private, 186014, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 15, United-States, <=50K
50, Local-gov, 320386, Assoc-acdm, 12, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
18, Private, 120283, 12th, 8, Never-married, Sales, Own-child, White, Female, 0, 0, 24, United-States, <=50K
34, Federal-gov, 284703, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, 0, 0, 52, United-States, <=50K
64, Private, 159715, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 20, United-States, <=50K
53, Private, 254285, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
40, Federal-gov, 196456, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
61, ?, 69285, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 37, United-States, <=50K
48, Private, 164966, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, 0, 0, 40, India, >50K
48, Federal-gov, 100067, Some-college, 10, Widowed, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
57, Private, 20953, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 1902, 40, United-States, >50K
33, Private, 184306, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, <=50K
57, Private, 230899, 5th-6th, 3, Separated, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
32, Private, 158416, HS-grad, 9, Divorced, Sales, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
24, Private, 200997, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 45, United-States, <=50K
24, Private, 279472, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 7298, 0, 48, United-States, >50K
33, Local-gov, 422718, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
41, Local-gov, 242586, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
58, State-gov, 109567, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 1, United-States, >50K
32, Private, 192565, 11th, 7, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 55, United-States, <=50K
36, Private, 194630, Some-college, 10, Divorced, Sales, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
19, Private, 258470, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
44, Private, 523484, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, 40, United-States, >50K
57, Private, 316000, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
39, Federal-gov, 82622, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
28, Private, 791084, Some-college, 10, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 50, United-States, <=50K
34, Private, 36069, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 3908, 0, 46, United-States, <=50K
35, Private, 115803, 11th, 7, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
21, Private, 174907, Assoc-acdm, 12, Never-married, Sales, Own-child, White, Female, 0, 0, 32, United-States, <=50K
21, Private, 116788, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
27, Private, 171655, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 42, United-States, <=50K
30, Private, 333119, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
44, Private, 99203, 7th-8th, 4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
55, Private, 139843, HS-grad, 9, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 60, United-States, <=50K
59, Private, 121912, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
41, Private, 184846, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
22, Private, 153805, HS-grad, 9, Never-married, Other-service, Unmarried, Other, Male, 0, 0, 20, Puerto-Rico, <=50K
23, Private, 199070, HS-grad, 9, Never-married, Protective-serv, Own-child, Black, Male, 0, 0, 16, United-States, <=50K
23, Private, 175424, Some-college, 10, Never-married, Adm-clerical, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
25, Private, 190418, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 30, Canada, <=50K
33, Private, 207937, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 1092, 40, United-States, <=50K
43, Private, 112131, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
63, State-gov, 109735, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K
41, Self-emp-inc, 99212, HS-grad, 9, Separated, Exec-managerial, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
27, Private, 224849, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
32, Private, 207668, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 45, United-States, >50K
24, Private, 226668, HS-grad, 9, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo, Male, 0, 0, 35, United-States, <=50K
25, Private, 181598, 11th, 7, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, <=50K
31, Private, 49325, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
21, Private, 209955, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 48, United-States, <=50K
30, Private, 329425, Some-college, 10, Never-married, Protective-serv, Own-child, White, Male, 0, 0, 48, United-States, <=50K
44, Local-gov, 174684, HS-grad, 9, Divorced, Craft-repair, Unmarried, Black, Male, 0, 0, 40, United-States, <=50K
59, Private, 87510, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
67, ?, 163726, 5th-6th, 3, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 49, United-States, <=50K
46, Private, 145290, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
34, Private, 203488, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 45381, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 8, United-States, <=50K
36, Private, 184112, Prof-school, 15, Married-civ-spouse, Prof-specialty, Wife, White, Female, 15024, 0, 45, United-States, >50K
50, Private, 144968, HS-grad, 9, Never-married, Tech-support, Own-child, White, Male, 0, 0, 15, United-States, <=50K
51, ?, 157327, 5th-6th, 3, Married-civ-spouse, ?, Husband, Black, Male, 0, 0, 8, United-States, <=50K
55, State-gov, 200497, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
50, Private, 182907, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 25, United-States, <=50K
28, Private, 22422, HS-grad, 9, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
48, Private, 200471, Bachelors, 13, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 45, United-States, >50K
39, Private, 67433, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
37, Private, 282872, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1628, 40, United-States, <=50K
42, State-gov, 138162, Some-college, 10, Divorced, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K
59, State-gov, 268700, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
28, Private, 249362, 11th, 7, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, <=50K
23, Local-gov, 336010, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 32, United-States, <=50K
66, Local-gov, 75134, HS-grad, 9, Widowed, Adm-clerical, Unmarried, White, Female, 0, 0, 25, United-States, <=50K
29, Private, 413297, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 3411, 0, 70, Mexico, <=50K
42, State-gov, 104663, Doctorate, 16, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, Italy, >50K
46, State-gov, 27243, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7688, 0, 45, United-States, >50K
46, Self-emp-inc, 191978, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 2392, 50, United-States, >50K
31, Private, 91964, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
29, Federal-gov, 339002, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
24, ?, 247734, Bachelors, 13, Never-married, ?, Own-child, White, Male, 0, 0, 30, United-States, <=50K
33, Self-emp-not-inc, 295621, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, Black, Male, 0, 0, 25, United-States, >50K
29, State-gov, 106334, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, ?, <=50K
19, Private, 42069, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Male, 2176, 0, 45, United-States, <=50K
33, Self-emp-not-inc, 203784, Assoc-voc, 11, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 62, United-States, <=50K
35, ?, 317780, Some-college, 10, Never-married, ?, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
20, Private, 227626, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 60, United-States, <=50K
25, Private, 204338, HS-grad, 9, Never-married, Farming-fishing, Unmarried, White, Male, 0, 0, 30, ?, <=50K
46, ?, 443179, Bachelors, 13, Divorced, ?, Not-in-family, White, Female, 0, 0, 8, United-States, <=50K
20, Private, 32732, Some-college, 10, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
26, Private, 183077, Assoc-voc, 11, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
35, Private, 206951, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
31, Private, 398988, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
28, Self-emp-not-inc, 195607, HS-grad, 9, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 40, United-States, <=50K
62, Local-gov, 167889, Doctorate, 16, Widowed, Prof-specialty, Unmarried, White, Female, 0, 0, 40, Iran, <=50K
62, Private, 116104, HS-grad, 9, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 20, Germany, <=50K
45, Private, 167523, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 2179, 45, United-States, <=50K
61, Private, 51385, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
90, Private, 90523, HS-grad, 9, Widowed, Transport-moving, Unmarried, White, Male, 0, 0, 99, United-States, <=50K
65, Private, 174603, 5th-6th, 3, Widowed, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 10, Italy, <=50K
26, Private, 176520, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 53, United-States, <=50K
31, Private, 29662, Some-college, 10, Never-married, Sales, Not-in-family, White, Female, 0, 0, 60, United-States, <=50K
37, Private, 260093, HS-grad, 9, Never-married, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
49, State-gov, 72619, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 50, United-States, <=50K
57, Private, 182028, Assoc-acdm, 12, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
27, Private, 119793, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
43, Federal-gov, 262233, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
31, Private, 86492, Assoc-voc, 11, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 30, United-States, >50K
22, Private, 203894, Some-college, 10, Never-married, Transport-moving, Not-in-family, White, Female, 0, 0, 24, United-States, <=50K
36, Private, 150601, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, ?, <=50K
41, Self-emp-not-inc, 66632, Some-college, 10, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
17, ?, 213055, 11th, 7, Never-married, ?, Not-in-family, Other, Female, 0, 0, 20, United-States, <=50K
54, Private, 249860, 11th, 7, Divorced, Priv-house-serv, Unmarried, Black, Female, 0, 0, 10, United-States, <=50K
25, Private, 256263, Assoc-acdm, 12, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
34, Private, 198634, Assoc-voc, 11, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
43, Private, 185057, HS-grad, 9, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 30, United-States, >50K
52, Self-emp-not-inc, 123011, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
20, Private, 142233, HS-grad, 9, Never-married, Sales, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
40, Self-emp-not-inc, 27242, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 84, United-States, <=50K
44, Private, 63042, Bachelors, 13, Divorced, Exec-managerial, Own-child, White, Female, 0, 0, 50, United-States, >50K
19, Private, 175652, 11th, 7, Never-married, Other-service, Other-relative, White, Female, 0, 0, 15, United-States, <=50K
46, Private, 109209, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, >50K
66, Private, 101607, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 10, United-States, <=50K
37, Private, 203070, Some-college, 10, Separated, Adm-clerical, Own-child, White, Male, 0, 0, 62, United-States, <=50K
49, Self-emp-not-inc, 43479, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
41, Private, 171234, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 55, United-States, <=50K
50, Private, 230951, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Self-emp-not-inc, 301568, HS-grad, 9, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 35, United-States, >50K
23, Private, 182117, Assoc-acdm, 12, Never-married, Other-service, Own-child, White, Male, 0, 0, 60, United-States, <=50K
28, Private, 81540, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 243373, 12th, 8, Never-married, Sales, Other-relative, White, Male, 1055, 0, 40, United-States, <=50K
53, Local-gov, 293941, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
73, Self-emp-not-inc, 46514, HS-grad, 9, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 25, United-States, <=50K
46, Private, 192793, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
22, Private, 197838, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
73, State-gov, 96262, HS-grad, 9, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
31, Self-emp-not-inc, 234537, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, United-States, <=50K
59, Private, 395736, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, >50K
21, ?, 134746, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 35, United-States, <=50K
55, Private, 162205, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 5178, 0, 72, United-States, >50K
24, Private, 186213, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 50, United-States, >50K
21, State-gov, 99199, Masters, 14, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 15, United-States, <=50K
19, Private, 182355, Some-college, 10, Never-married, Adm-clerical, Own-child, Black, Female, 0, 0, 20, United-States, <=50K
36, Self-emp-not-inc, 182898, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7298, 0, 40, United-States, >50K
44, Local-gov, 254146, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
48, Private, 96359, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, Greece, >50K
21, Private, 275726, HS-grad, 9, Never-married, Craft-repair, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
28, Federal-gov, 56651, Bachelors, 13, Never-married, Prof-specialty, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
31, Local-gov, 189265, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
48, Private, 107231, Prof-school, 15, Married-civ-spouse, Exec-managerial, Husband, White, Male, 99999, 0, 50, United-States, >50K
44, Private, 143368, Some-college, 10, Never-married, Other-service, Not-in-family, Black, Male, 0, 0, 55, United-States, <=50K
44, Private, 173888, 7th-8th, 4, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 80, United-States, >50K
24, Private, 220944, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, United-States, <=50K
38, Local-gov, 252250, Assoc-acdm, 12, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 56, United-States, >50K
42, Private, 272910, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
21, Private, 364685, 11th, 7, Never-married, Tech-support, Own-child, White, Female, 0, 0, 35, United-States, <=50K
20, Local-gov, 194630, Some-college, 10, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
39, Private, 110713, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
51, Private, 128272, 9th, 5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 45, United-States, <=50K
23, Private, 192812, Bachelors, 13, Never-married, Tech-support, Own-child, White, Female, 0, 0, 40, United-States, <=50K
32, Private, 288273, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 70, Mexico, <=50K
26, Private, 43408, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
55, Local-gov, 48055, 12th, 8, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
43, Self-emp-inc, 62026, Prof-school, 15, Married-civ-spouse, Exec-managerial, Husband, White, Male, 99999, 0, 40, United-States, >50K
29, Local-gov, 132412, Bachelors, 13, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, <=50K
