22, Private, 215546, Assoc-acdm, 12, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 55, United-States, <=50K
24, Private, 161638, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 40, Ecuador, <=50K
20, ?, 376474, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 32, United-States, <=50K
65, Self-emp-inc, 338316, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
38, Private, 237608, Bachelors, 13, Never-married, Sales, Not-in-family, White, Female, 0, 2444, 45, United-States, >50K
52, Self-emp-not-inc, 175029, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 35, United-States, <=50K
17, Private, 173807, 11th, 7, Never-married, Craft-repair, Own-child, White, Female, 0, 0, 15, United-States, <=50K
27, Private, 292472, Some-college, 10, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male, 0, 1876, 45, Cambodia, <=50K
37, Private, 286026, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
36, Private, 370767, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 2377, 60, United-States, <=50K
69, Private, 197080, 12th, 8, Married-civ-spouse, Transport-moving, Husband, White, Male, 9386, 0, 60, United-States, >50K
51, State-gov, 243631, 10th, 6, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, <=50K
62, Private, 141308, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
31, ?, 99483, HS-grad, 9, Never-married, ?, Own-child, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, <=50K
59, Private, 127728, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, >50K
47, Self-emp-not-inc, 83064, Bachelors, 13, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 60, United-States, <=50K
24, Private, 201179, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K
29, Private, 113870, 1st-4th, 2, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, ?, <=50K
40, Self-emp-inc, 37997, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 50, United-States, <=50K
24, Private, 32311, Some-college, 10, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 40, United-States, <=50K
45, Local-gov, 331482, Assoc-acdm, 12, Divorced, Tech-support, Own-child, White, Male, 0, 0, 40, United-States, <=50K
27, Private, 113464, 1st-4th, 2, Never-married, Other-service, Own-child, Other, Male, 0, 0, 35, Dominican-Republic, <=50K
59, Private, 115414, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
31, Private, 182896, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
33, Private, 351810, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 45, Mexico, <=50K
64, Local-gov, 202738, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 35, United-States, <=50K
19, Private, 376240, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 42, United-States, <=50K
53, Private, 156843, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 1564, 54, United-States, >50K
28, Private, 278736, 5th-6th, 3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Mexico, <=50K
35, Private, 178322, Assoc-voc, 11, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, Germany, >50K
37, Private, 401998, HS-grad, 9, Widowed, Machine-op-inspct, Unmarried, White, Female, 0, 0, 20, United-States, <=50K
27, Private, 134566, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
34, Private, 306215, Assoc-voc, 11, Never-married, Handlers-cleaners, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
38, Private, 78247, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
29, Private, 201022, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 50, United-States, >50K
19, Self-emp-inc, 148955, Some-college, 10, Never-married, Other-service, Own-child, Asian-Pac-Islander, Female, 0, 0, 35, South, <=50K
46, Private, 192768, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States, <=50K
27, State-gov, 249362, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 3411, 0, 40, United-States, <=50K
38, Private, 172927, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, <=50K
39, Private, 48093, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
49, Private, 62546, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
41, Private, 332703, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, Other, Female, 0, 625, 40, United-States, <=50K
52, ?, 252903, HS-grad, 9, Divorced, ?, Not-in-family, White, Male, 0, 0, 45, United-States, >50K
26, Self-emp-not-inc, 219897, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
61, Private, 101265, 12th, 8, Widowed, Machine-op-inspct, Unmarried, White, Female, 0, 0, 40, Italy, <=50K
31, Private, 128493, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K
71, ?, 116165, Some-college, 10, Widowed, ?, Not-in-family, White, Female, 0, 0, 14, Canada, <=50K
45, Local-gov, 181758, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
30, Private, 209691, 7th-8th, 4, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
23, Private, 81281, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
19, ?, 62534, Bachelors, 13, Never-married, ?, Own-child, Black, Female, 0, 0, 40, Jamaica, <=50K
62, ?, 250091, Bachelors, 13, Divorced, ?, Not-in-family, White, Male, 0, 0, 5, United-States, <=50K
40, Private, 55508, 7th-8th, 4, Divorced, Farming-fishing, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
36, Private, 183081, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
26, Private, 142689, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 45, ?, <=50K
23, Private, 184400, 10th, 6, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male, 0, 0, 30, ?, <=50K
49, Private, 54260, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
39, Private, 30673, Some-college, 10, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 50, United-States, >50K
23, Private, 45317, Some-college, 10, Separated, Sales, Own-child, White, Female, 0, 0, 40, United-States, <=50K
27, Private, 204098, 10th, 6, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K
34, Self-emp-not-inc, 175697, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 75, United-States, <=50K
29, Private, 180299, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 35, United-States, <=50K
53, Private, 114758, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 65, United-States, >50K
47, Self-emp-not-inc, 182752, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 35, Iran, <=50K
35, Private, 38245, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, United-States, <=50K
51, Private, 137253, HS-grad, 9, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, >50K
43, Private, 307767, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
47, Private, 155509, HS-grad, 9, Separated, Other-service, Other-relative, Black, Female, 0, 0, 35, United-States, <=50K
56, ?, 119254, 10th, 6, Divorced, ?, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
33, Private, 146440, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1740, 40, United-States, <=50K
28, Private, 441620, Bachelors, 13, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 43, Mexico, <=50K
38, Private, 234901, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 60, United-States, >50K
33, Private, 117983, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 41, United-States, <=50K
37, Self-emp-not-inc, 138940, 11th, 7, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 37, United-States, <=50K
19, Private, 160033, Some-college, 10, Never-married, Protective-serv, Own-child, White, Female, 0, 0, 30, United-States, <=50K
52, Private, 119111, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
26, Private, 225279, Some-college, 10, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 1602, 40, ?, <=50K
38, Private, 225707, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Cuba, >50K
76, ?, 201986, 11th, 7, Widowed, ?, Other-relative, White, Female, 0, 0, 16, United-States, <=50K
54, Private, 133050, Some-college, 10, Never-married, Sales, Not-in-family, Black, Male, 0, 0, 41, United-States, <=50K
58, Private, 371064, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 20, United-States, <=50K
30, Private, 231620, Bachelors, 13, Never-married, Sales, Not-in-family, White, Female, 0, 0, 40, Mexico, <=50K
45, Private, 201865, Bachelors, 13, Married-spouse-absent, Exec-managerial, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
72, Private, 497280, 9th, 5, Widowed, Other-service, Unmarried, Black, Female, 0, 0, 20, United-States, <=50K
26, Private, 166666, Some-college, 10, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
25, State-gov, 261979, HS-grad, 9, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
58, Self-emp-inc, 89922, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 40, United-States, >50K
31, Private, 147215, 12th, 8, Divorced, Other-service, Unmarried, White, Female, 0, 0, 21, United-States, <=50K
23, Private, 26248, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
29, Private, 273051, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 52, Yugoslavia, >50K
44, Private, 105936, Assoc-acdm, 12, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
48, Self-emp-not-inc, 139212, Some-college, 10, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
26, State-gov, 152457, HS-grad, 9, Never-married, Protective-serv, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
35, Private, 98986, 7th-8th, 4, Never-married, Machine-op-inspct, Own-child, White, Female, 0, 0, 30, United-States, <=50K
52, Private, 173987, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
51, Private, 74784, Bachelors, 13, Divorced, Sales, Not-in-family, White, Female, 0, 0, 60, United-States, <=50K
51, Private, 259323, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
30, Private, 131699, HS-grad, 9, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
35, Private, 170263, Some-college, 10, Never-married, Tech-support, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
40, Private, 280362, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 35, United-States, <=50K
26, Private, 159759, Bachelors, 13, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K
30, Private, 79712, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, Other, Male, 0, 0, 40, United-States, <=50K
29, Private, 250967, Assoc-voc, 11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 1887, 48, United-States, >50K
53, Private, 104413, HS-grad, 9, Widowed, Other-service, Unmarried, Black, Female, 0, 0, 20, United-States, <=50K
52, Private, 99602, HS-grad, 9, Separated, Craft-repair, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
19, Private, 44797, Some-college, 10, Never-married, Farming-fishing, Not-in-family, White, Female, 0, 0, 15, United-States, <=50K
34, Private, 27153, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
39, Private, 370795, HS-grad, 9, Never-married, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
70, Self-emp-not-inc, 139889, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 2653, 0, 70, United-States, <=50K
22, Private, 218886, 12th, 8, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, <=50K
44, Private, 279183, Some-college, 10, Married-civ-spouse, Other-service, Own-child, White, Female, 0, 0, 40, United-States, >50K
19, Private, 190817, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, <=50K
55, Private, 377061, Bachelors, 13, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States, >50K
29, Private, 357781, 7th-8th, 4, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 109005, Some-college, 10, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 40, United-States, <=50K
39, Private, 176335, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7688, 0, 65, United-States, >50K
40, Private, 184682, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
48, Self-emp-inc, 148995, Bachelors, 13, Divorced, Sales, Not-in-family, White, Male, 0, 0, 60, United-States, >50K
24, Private, 185821, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, <=50K
35, Private, 81232, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 15024, 0, 50, United-States, >50K
38, Private, 359001, Assoc-voc, 11, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 42, United-States, <=50K
20, Private, 103840, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Female, 0, 0, 42, United-States, <=50K
39, Private, 297449, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
29, Private, 166210, HS-grad, 9, Divorced, Handlers-cleaners, Own-child, White, Male, 0, 0, 50, United-States, <=50K
23, Private, 238092, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 40, United-States, <=50K
45, Private, 44791, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
31, Private, 87891, Assoc-acdm, 12, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, <=50K
22, Private, 199555, Some-college, 10, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 25, United-States, <=50K
44, Private, 171424, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
71, Private, 157909, Some-college, 10, Never-married, Other-service, Not-in-family, White, Female, 2964, 0, 60, United-States, <=50K
47, Private, 207140, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K
44, Local-gov, 101950, Prof-school, 15, Separated, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
51, Private, 106819, 7th-8th, 4, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 19, United-States, <=50K
39, Self-emp-inc, 116358, Bachelors, 13, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male, 7688, 0, 40, ?, >50K
24, Private, 125905, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
43, State-gov, 270721, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 55, United-States, >50K
29, Private, 24562, Bachelors, 13, Divorced, Other-service, Unmarried, Other, Female, 0, 0, 40, United-States, <=50K
43, Federal-gov, 95902, Assoc-acdm, 12, Married-civ-spouse, Prof-specialty, Wife, Black, Female, 0, 0, 40, United-States, <=50K
58, Private, 178644, HS-grad, 9, Widowed, Craft-repair, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
20, Private, 216472, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 25, United-States, <=50K
46, Self-emp-not-inc, 43348, Prof-school, 15, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 55, United-States, >50K
49, Private, 98092, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
47, Private, 162034, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 70, United-States, <=50K
49, State-gov, 247378, Some-college, 10, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K
24, Private, 283806, Some-college, 10, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
32, Private, 212276, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
20, ?, 206671, Some-college, 10, Never-married, ?, Own-child, White, Male, 1055, 0, 50, United-States, <=50K
32, Local-gov, 186993, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
29, Private, 31935, HS-grad, 9, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
24, Private, 211129, Bachelors, 13, Never-married, Sales, Own-child, White, Female, 0, 0, 35, United-States, <=50K
48, Federal-gov, 96854, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K
24, Private, 186221, 11th, 7, Divorced, Sales, Unmarried, White, Female, 0, 0, 35, United-States, <=50K
49, Private, 181363, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
74, Federal-gov, 181508, HS-grad, 9, Widowed, Other-service, Not-in-family, White, Male, 0, 0, 17, United-States, <=50K
59, Self-emp-not-inc, 178353, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
25, ?, 394820, Some-college, 10, Separated, ?, Unmarried, White, Female, 0, 0, 20, United-States, <=50K
31, Private, 83425, Some-college, 10, Never-married, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
57, State-gov, 254949, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
22, Private, 105043, Some-college, 10, Never-married, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
47, Self-emp-inc, 105779, Bachelors, 13, Never-married, Sales, Own-child, White, Male, 0, 0, 40, United-States, >50K
35, Private, 339772, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, United-States, <=50K
21, ?, 509629, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 35, United-States, <=50K
42, Self-emp-not-inc, 195897, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
43, Private, 160943, HS-grad, 9, Married-civ-spouse, Other-service, Husband, Black, Male, 0, 0, 40, United-States, >50K
41, Private, 223548, 1st-4th, 2, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Mexico, <=50K
29, Federal-gov, 339002, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
30, Private, 164190, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
30, Private, 248588, 12th, 8, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
37, Federal-gov, 197284, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K
45, Federal-gov, 283037, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
25, Private, 124111, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K
58, ?, 353244, Bachelors, 13, Widowed, ?, Unmarried, White, Female, 27828, 0, 50, United-States, >50K
31, Local-gov, 192565, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 90, United-States, >50K
46, Private, 191204, Assoc-voc, 11, Never-married, Exec-managerial, Own-child, White, Female, 0, 0, 40, United-States, <=50K
41, Private, 113491, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
39, Private, 22245, Bachelors, 13, Married-civ-spouse, Prof-specialty, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K
