31, Private, 409622, Bachelors, 13, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male, 0, 0, 36, Mexico, <=50K
26, Private, 167350, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 50, United-States, <=50K
33, Federal-gov, 117963, Bachelors, 13, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 38, United-States, <=50K
51, Private, 68882, 1st-4th, 2, Widowed, Other-service, Unmarried, White, Female, 0, 0, 35, Portugal, <=50K
28, Private, 535978, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
33, Self-emp-not-inc, 192256, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K
41, Private, 113823, Bachelors, 13, Divorced, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
21, Private, 191444, 11th, 7, Never-married, Farming-fishing, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
33, Private, 90668, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
54, Private, 210736, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
40, State-gov, 26598, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
21, Private, 244312, 9th, 5, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 30, El-Salvador, <=50K
32, Private, 190228, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K
45, Private, 102076, Some-college, 10, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 32, United-States, <=50K
41, Private, 96635, HS-grad, 9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 60, United-States, <=50K
26, Private, 203777, Some-college, 10, Never-married, Sales, Not-in-family, Black, Female, 0, 0, 37, United-States, <=50K
51, State-gov, 231495, Doctorate, 16, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7688, 0, 55, United-States, >50K
25, Private, 557082, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K
30, Private, 193298, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 45, United-States, <=50K
39, Private, 209867, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 13550, 0, 45, United-States, >50K
22, Private, 416165, Some-college, 10, Never-married, Sales, Unmarried, White, Female, 0, 0, 32, United-States, <=50K
40, Self-emp-not-inc, 335549, Prof-school, 15, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 2444, 45, United-States, >50K
28, Private, 114158, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 26, United-States, <=50K
37, Private, 340614, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
56, Self-emp-inc, 211804, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 15024, 0, 50, United-States, >50K
55, Self-emp-not-inc, 283635, Prof-school, 15, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
90, Private, 88991, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, England, >50K
22, Private, 222993, HS-grad, 9, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 54, United-States, <=50K
51, Self-emp-not-inc, 199005, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, >50K
52, Self-emp-not-inc, 146579, HS-grad, 9, Divorced, Sales, Unmarried, Black, Male, 0, 0, 40, United-States, <=50K
26, Self-emp-not-inc, 34307, Assoc-voc, 11, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 65, United-States, <=50K
23, State-gov, 142547, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
46, Private, 214955, Assoc-acdm, 12, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
62, Private, 65868, HS-grad, 9, Widowed, Sales, Not-in-family, White, Female, 0, 0, 43, United-States, <=50K
62, State-gov, 159699, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 38, United-States, <=50K
36, Private, 334366, 11th, 7, Separated, Exec-managerial, Not-in-family, White, Female, 0, 0, 32, United-States, <=50K
50, Federal-gov, 36489, Some-college, 10, Divorced, Exec-managerial, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
51, Self-emp-not-inc, 141388, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 55, United-States, <=50K
32, Private, 205528, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
43, State-gov, 254817, Some-college, 10, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
32, Private, 231413, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, >50K
22, Private, 138768, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K
25, Self-emp-not-inc, 176756, HS-grad, 9, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 35, United-States, <=50K
24, Private, 216984, Some-college, 10, Married-civ-spouse, Other-service, Own-child, Asian-Pac-Islander, Female, 0, 0, 35, United-States, <=50K
17, Private, 27032, 10th, 6, Never-married, Sales, Own-child, White, Female, 0, 0, 12, United-States, <=50K
46, Private, 148738, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 1740, 35, United-States, <=50K
55, Private, 177484, 11th, 7, Married-civ-spouse, Other-service, Husband, Black, Male, 0, 1672, 40, United-States, <=50K
79, Local-gov, 146244, Doctorate, 16, Widowed, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
25, Private, 173062, Bachelors, 13, Never-married, Handlers-cleaners, Unmarried, Black, Male, 0, 0, 40, United-States, <=50K
37, Private, 213008, Assoc-voc, 11, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, Japan, <=50K
41, Private, 262038, 5th-6th, 3, Married-spouse-absent, Farming-fishing, Not-in-family, White, Male, 0, 0, 35, Mexico, <=50K
20, State-gov, 177787, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 20, United-States, <=50K
32, Federal-gov, 82393, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 56, United-States, >50K
53, Private, 225768, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 40, United-States, >50K
46, Private, 128796, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 44, United-States, >50K
46, Federal-gov, 213140, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1977, 40, United-States, >50K
55, Private, 129762, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
50, Private, 95469, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 7298, 0, 45, United-States, >50K
35, Federal-gov, 49657, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7298, 0, 40, United-States, >50K
23, Private, 217961, Some-college, 10, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 15, United-States, <=50K
26, Private, 335533, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 20, United-States, <=50K
26, Private, 73689, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 55, United-States, <=50K
44, Private, 128354, Masters, 14, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
40, Private, 116218, Some-college, 10, Separated, Adm-clerical, Unmarried, White, Female, 0, 0, 45, United-States, <=50K
37, Self-emp-not-inc, 352882, HS-grad, 9, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 70, South, >50K
43, Local-gov, 117022, HS-grad, 9, Married-spouse-absent, Farming-fishing, Unmarried, Black, Male, 0, 0, 40, United-States, <=50K
41, Private, 207578, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, 50, India, >50K
36, State-gov, 76767, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 39, United-States, <=50K
41, Self-emp-inc, 94113, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
19, Private, 199480, 10th, 6, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 25, United-States, <=50K
28, Self-emp-not-inc, 227890, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, Black, Male, 0, 0, 50, United-States, >50K
38, Private, 131461, 9th, 5, Married-civ-spouse, Other-service, Wife, Black, Female, 0, 0, 24, Haiti, <=50K
64, Private, 379062, Some-college, 10, Widowed, Adm-clerical, Unmarried, White, Female, 0, 0, 12, United-States, <=50K
27, Private, 167737, 12th, 8, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
55, Private, 174478, 10th, 6, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 29, United-States, <=50K
36, Private, 287658, HS-grad, 9, Never-married, Adm-clerical, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
35, Private, 953588, HS-grad, 9, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, >50K
20, ?, 210781, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 10, United-States, <=50K
44, Private, 123572, 9th, 5, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, 0, 0, 40, United-States, <=50K
25, Private, 248990, 10th, 6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Guatemala, <=50K
35, Federal-gov, 185053, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 40, United-States, <=50K
43, Private, 108945, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
36, Private, 30267, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, <=50K
30, Private, 215441, Some-college, 10, Never-married, Adm-clerical, Not-in-family, Other, Male, 0, 0, 40, ?, <=50K
42, Private, 219591, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 55, United-States, >50K
58, Self-emp-not-inc, 154537, Bachelors, 13, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K
53, Self-emp-inc, 96062, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1902, 48, United-States, >50K
43, Private, 200835, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
66, Private, 146454, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 5556, 0, 40, United-States, >50K
45, Private, 127111, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, >50K
42, Private, 245317, 10th, 6, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, <=50K
43, State-gov, 165309, HS-grad, 9, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States, <=50K
28, Self-emp-not-inc, 38079, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 55, United-States, <=50K
44, Private, 183342, Prof-school, 15, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 55, United-States, >50K
49, Private, 169042, HS-grad, 9, Separated, Prof-specialty, Unmarried, White, Female, 0, 625, 40, Puerto-Rico, <=50K
36, Self-emp-not-inc, 295127, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 84, United-States, <=50K
34, Private, 98283, Prof-school, 15, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Male, 0, 1564, 40, India, >50K
29, Federal-gov, 360527, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
18, Private, 243313, HS-grad, 9, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, <=50K
33, Private, 166961, 11th, 7, Separated, Sales, Own-child, White, Female, 0, 0, 20, United-States, <=50K
31, Private, 185732, HS-grad, 9, Never-married, Other-service, Own-child, White, Female, 0, 0, 30, United-States, <=50K
24, Private, 192766, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 305379, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
24, ?, 247734, Bachelors, 13, Never-married, ?, Own-child, White, Male, 0, 0, 30, United-States, <=50K
23, State-gov, 110128, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K
31, Private, 177675, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
39, ?, 204756, Some-college, 10, Divorced, ?, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K
60, Private, 166386, 11th, 7, Married-civ-spouse, Machine-op-inspct, Wife, Asian-Pac-Islander, Female, 0, 0, 30, Hong, <=50K
32, Private, 101709, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 40, United-States, >50K
35, Private, 144937, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 42, United-States, <=50K
33, ?, 190027, HS-grad, 9, Never-married, ?, Unmarried, Black, Female, 0, 0, 20, United-States, <=50K
36, Private, 188540, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
38, Private, 40319, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 42, United-States, <=50K
38, Private, 193961, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Philippines, >50K
24, State-gov, 154432, Bachelors, 13, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 35, United-States, <=50K
52, Private, 137658, 11th, 7, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male, 0, 0, 40, Dominican-Republic, <=50K
34, Private, 229732, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
40, State-gov, 184018, Assoc-voc, 11, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 38, United-States, >50K
36, Local-gov, 28996, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
23, Private, 53245, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 1602, 12, United-States, <=50K
74, Private, 211075, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
34, Private, 79637, Bachelors, 13, Never-married, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female, 0, 0, 40, United-States, <=50K
48, Private, 398843, Some-college, 10, Separated, Sales, Unmarried, Black, Female, 0, 0, 35, United-States, <=50K
73, Federal-gov, 127858, Some-college, 10, Widowed, Tech-support, Not-in-family, White, Female, 3273, 0, 40, United-States, <=50K
19, Private, 158343, Some-college, 10, Never-married, Tech-support, Own-child, White, Female, 0, 0, 40, ?, <=50K
32, Private, 107218, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 40, United-States, <=50K
31, Private, 206046, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
44, Private, 173888, 7th-8th, 4, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 80, United-States, >50K
37, Private, 340599, 11th, 7, Separated, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
24, Private, 186213, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 50, United-States, >50K
36, Self-emp-not-inc, 90159, Some-college, 10, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 40, United-States, <=50K
29, Private, 220692, Assoc-voc, 11, Never-married, Exec-managerial, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
45, Local-gov, 93535, Masters, 14, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
29, Private, 272913, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 30, Mexico, <=50K
25, Private, 308144, Bachelors, 13, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, Mexico, <=50K
72, Private, 157913, Bachelors, 13, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 17, United-States, <=50K
61, Federal-gov, 230545, HS-grad, 9, Never-married, Adm-clerical, Unmarried, White, Female, 0, 0, 35, Puerto-Rico, <=50K
22, Private, 136873, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
30, Private, 169186, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 60, United-States, <=50K
33, Local-gov, 70164, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male, 0, 0, 60, United-States, <=50K
26, Private, 157249, 11th, 7, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
38, Private, 169104, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K
22, Private, 193586, HS-grad, 9, Never-married, Sales, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K
43, Private, 115562, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 42, United-States, >50K
38, ?, 155676, HS-grad, 9, Divorced, ?, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
55, Private, 173093, Some-college, 10, Divorced, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 40, United-States, <=50K
57, Private, 204816, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K
35, Private, 172571, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, <=50K
23, Private, 376416, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 40, United-States, <=50K
54, Federal-gov, 27432, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, >50K
21, Private, 40767, Some-college, 10, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
27, Self-emp-inc, 243871, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 45, United-States, <=50K
35, Private, 189092, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
68, Self-emp-not-inc, 261897, 10th, 6, Widowed, Farming-fishing, Unmarried, White, Male, 0, 0, 20, United-States, <=50K
47, Private, 183522, Some-college, 10, Married-civ-spouse, Exec-managerial, Wife, Black, Female, 0, 0, 40, United-States, >50K
48, Local-gov, 493862, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 7298, 0, 38, United-States, >50K
24, Private, 19410, HS-grad, 9, Divorced, Sales, Unmarried, Amer-Indian-Eskimo, Female, 0, 0, 48, United-States, <=50K
27, Private, 164607, Bachelors, 13, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
24, Private, 199444, Bachelors, 13, Never-married, Exec-managerial, Own-child, White, Female, 0, 0, 15, United-States, <=50K
17, Private, 245918, 11th, 7, Never-married, Other-service, Own-child, White, Male, 0, 0, 12, United-States, <=50K
32, Private, 227669, Some-college, 10, Never-married, Machine-op-inspct, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
57, Self-emp-not-inc, 413373, Doctorate, 16, Married-civ-spouse, Sales, Husband, White, Male, 0, 1902, 40, United-States, >50K
29, Private, 274010, Some-college, 10, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
31, Private, 257644, HS-grad, 9, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 43, United-States, <=50K
54, Private, 197481, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
20, Private, 206681, 12th, 8, Never-married, Sales, Not-in-family, White, Female, 0, 0, 55, United-States, <=50K
35, Private, 240458, 11th, 7, Divorced, Craft-repair, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
61, ?, 347089, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 16, United-States, <=50K
60, Self-emp-not-inc, 261119, HS-grad, 9, Divorced, Craft-repair, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
45, Local-gov, 192684, Some-college, 10, Divorced, Adm-clerical, Unmarried, Black, Female, 0, 0, 38, United-States, <=50K
36, Private, 108997, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
56, Private, 257555, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
55, State-gov, 117357, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 70, ?, >50K
23, Private, 227915, HS-grad, 9, Never-married, Craft-repair, Unmarried, White, Female, 0, 0, 33, United-States, <=50K
49, Local-gov, 219021, Some-college, 10, Divorced, Exec-managerial, Unmarried, White, Male, 0, 0, 48, United-States, >50K
