39, Federal-gov,129573, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
40, Local-gov,243580, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
21, ?,188535, Some-college,10, Never-married, ?, Own-child, White
32, Private,63910, HS-grad,9, Divorced, Adm-clerical, Own-child, Asian-Pac-Islander
23, Private,219535, HS-grad,9, Never-married, Exec-managerial, Own-child, White
44, State-gov,180609, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
37, Private,59313, Some-college,10, Separated, Other-service, Not-in-family, Black
70, Private,170428, Bachelors,13, Widowed, Prof-specialty, Unmarried, White
51, Private,102615, Masters,14, Married-civ-spouse, Protective-serv, Husband, White
66, Private,193132, 9th,5, Separated, Other-service, Not-in-family, Black
57, Self-emp-inc,124137, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
36, Private,136629, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
48, Self-emp-inc,148995, Bachelors,13, Divorced, Sales, Not-in-family, White
24, ?,203076, HS-grad,9, Married-civ-spouse, ?, Husband, White
51, Private,63424, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White
43, Private,241895, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
27, Private,266973, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
32, Private,188048, Bachelors,13, Never-married, Adm-clerical, Own-child, White
20, Private,366929, Some-college,10, Never-married, Adm-clerical, Own-child, White
33, Private,214129, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
19, Private,250818, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
32, Local-gov,240979, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
35, Private,98283, Prof-school,15, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander
26, Private,104746, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
39, Private,103710, HS-grad,9, Never-married, Sales, Unmarried, White
24, Private,159580, Bachelors,13, Never-married, Other-service, Own-child, Black
45, Private,117409, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
20, Private,140001, Some-college,10, Never-married, Adm-clerical, Own-child, White
49, State-gov,31650, Bachelors,13, Married-civ-spouse, Prof-specialty, Other-relative, White
35, State-gov,80771, Masters,14, Never-married, Prof-specialty, Not-in-family, White
30, Private,66278, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
23, Private,107801, Some-college,10, Never-married, Adm-clerical, Own-child, White
33, Private,206609, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
35, Private,282461, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
31, Private,188246, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
20, Private,279763, 11th,7, Never-married, Craft-repair, Not-in-family, Black
44, Private,467799, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
33, Self-emp-not-inc,137674, HS-grad,9, Married-civ-spouse, Other-service, Husband, Black
50, Private,158284, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
25, Private,204219, HS-grad,9, Never-married, Adm-clerical, Unmarried, White
28, State-gov,210498, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
60, Federal-gov,63526, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, Black
38, Federal-gov,216924, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
38, Private,372559, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black
57, Federal-gov,199114, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
50, Private,168539, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
39, Local-gov,189911, 11th,7, Divorced, Adm-clerical, Unmarried, White
69, Local-gov,61958, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
51, State-gov,68898, Assoc-voc,11, Divorced, Tech-support, Not-in-family, White
42, Private,204450, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black
53, Private,311350, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
37, Private,113750, Bachelors,13, Married-civ-spouse, Handlers-cleaners, Husband, White
37, Private,359591, 10th,6, Married-civ-spouse, Craft-repair, Husband, White
38, Private,132879, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
20, Private,301199, Some-college,10, Never-married, Other-service, Own-child, White
38, State-gov,267540, Some-college,10, Separated, Adm-clerical, Unmarried, Black
52, Private,185407, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
48, Self-emp-inc,191277, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White
30, Private,78980, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White
37, Self-emp-not-inc,241463, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
47, Private,216999, HS-grad,9, Married-civ-spouse, Sales, Husband, White
33, Local-gov,120508, Bachelors,13, Divorced, Protective-serv, Unmarried, White
33, Private,122612, HS-grad,9, Married-spouse-absent, Other-service, Not-in-family, Asian-Pac-Islander
20, Private,94057, Some-college,10, Never-married, Other-service, Own-child, White
41, State-gov,197558, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White
32, Private,351869, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
54, Self-emp-not-inc,121761, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander
36, Federal-gov,184556, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White
46, Private,268281, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
45, Private,235646, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
18, Private,186909, Some-college,10, Never-married, Other-service, Own-child, White
62, Private,35783, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
33, Private,188861, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
42, Private,363591, HS-grad,9, Divorced, Craft-repair, Unmarried, White
18, Private,469921, Some-college,10, Never-married, Prof-specialty, Own-child, White
32, Private,51150, Assoc-voc,11, Divorced, Adm-clerical, Unmarried, White
43, Private,174325, 7th-8th,4, Married-civ-spouse, Transport-moving, Husband, Black
20, Private,347530, HS-grad,9, Never-married, Other-service, Unmarried, Black
50, Private,72351, Bachelors,13, Divorced, Sales, Not-in-family, White
42, Local-gov,185129, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White
36, Private,188571, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
22, Private,255252, HS-grad,9, Never-married, Craft-repair, Own-child, White
30, Private,291951, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black
33, Self-emp-not-inc,223046, HS-grad,9, Never-married, Craft-repair, Not-in-family, White
43, Local-gov,37937, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White
38, Private,295127, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
34, Local-gov,183801, Bachelors,13, Never-married, Other-service, Not-in-family, White
40, Private,116218, Some-college,10, Separated, Adm-clerical, Unmarried, White
40, Private,143069, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
41, Local-gov,235951, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
57, Private,112840, Some-college,10, Married-civ-spouse, Sales, Husband, White
65, Local-gov,146454, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
52, Federal-gov,43705, Some-college,10, Married-civ-spouse, Other-service, Husband, White
59, Private,122283, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
18, Private,376647, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
48, Private,101299, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White
45, Private,96798, 5th-6th,3, Divorced, Transport-moving, Unmarried, White
24, Private,194654, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
27, State-gov,206889, Assoc-acdm,12, Never-married, Protective-serv, Not-in-family, White
40, Private,226902, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
44, State-gov,150755, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
24, Private,200679, HS-grad,9, Never-married, Farming-fishing, Own-child, Black
71, Private,183678, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
17, Private,33138, 12th,8, Never-married, Sales, Own-child, White
57, Self-emp-not-inc,57071, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
71, ?,35303, Bachelors,13, Married-civ-spouse, ?, Husband, White
37, Private,188576, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
33, Private,169496, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
41, Private,58124, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
25, Private,356344, Bachelors,13, Never-married, Adm-clerical, Own-child, White
42, Self-emp-not-inc,444134, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
18, ?,340117, 11th,7, Never-married, ?, Unmarried, Black
34, Private,219619, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White
57, ?,334585, 10th,6, Married-civ-spouse, ?, Wife, White
27, Local-gov,331046, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
46, ?,443179, Bachelors,13, Divorced, ?, Not-in-family, White
64, ?,239529, 11th,7, Widowed, ?, Not-in-family, White
24, Private,100345, Bachelors,13, Never-married, Prof-specialty, Own-child, White
23, Private,205653, Bachelors,13, Never-married, Handlers-cleaners, Own-child, White
33, Private,112383, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
58, Self-emp-inc,21626, Assoc-voc,11, Divorced, Sales, Not-in-family, White
25, Private,135568, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White
44, Private,190532, Masters,14, Never-married, Prof-specialty, Not-in-family, White
53, Federal-gov,266598, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White
38, Local-gov,116608, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
36, Private,353263, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
25, State-gov,157617, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White
54, Federal-gov,21698, Bachelors,13, Divorced, Exec-managerial, Unmarried, White
31, Private,77143, 12th,8, Separated, Transport-moving, Unmarried, Black
18, State-gov,342852, HS-grad,9, Never-married, Adm-clerical, Own-child, White
40, Private,176602, HS-grad,9, Divorced, Other-service, Not-in-family, Black
26, Private,146343, Some-college,10, Married-civ-spouse, Sales, Wife, Black
68, ?,146645, Doctorate,16, Married-civ-spouse, ?, Husband, White
33, Private,221966, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
22, Private,215546, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White
50, State-gov,173020, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
24, ?,247734, Bachelors,13, Never-married, ?, Own-child, White
44, Private,252202, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
37, Private,497300, HS-grad,9, Never-married, Other-service, Unmarried, Black
34, Self-emp-not-inc,426431, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
45, Federal-gov,162410, Some-college,10, Widowed, Tech-support, Not-in-family, White
77, ?,143516, Masters,14, Married-civ-spouse, ?, Husband, White
25, Private,190350, 10th,6, Married-civ-spouse, Other-service, Own-child, White
20, Private,194504, Some-college,10, Separated, Sales, Unmarried, Black
46, Federal-gov,110884, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Amer-Indian-Eskimo
26, Private,187652, Assoc-acdm,12, Never-married, Tech-support, Own-child, White
45, Private,81400, 1st-4th,2, Married-civ-spouse, Other-service, Wife, White
70, ?,97831, HS-grad,9, Widowed, ?, Unmarried, White
57, Private,180920, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
28, Private,189186, Assoc-voc,11, Never-married, Sales, Not-in-family, White
35, ?,144172, Assoc-acdm,12, Married-civ-spouse, ?, Wife, White
36, Private,607848, Some-college,10, Married-civ-spouse, Sales, Husband, White
32, Private,207301, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White
29, Private,293073, Bachelors,13, Never-married, Sales, Not-in-family, White
36, Private,210452, Bachelors,13, Divorced, Prof-specialty, Unmarried, White
19, Private,41400, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
27, Private,164170, Bachelors,13, Never-married, Tech-support, Unmarried, Asian-Pac-Islander
48, Private,112906, Masters,14, Married-civ-spouse, Transport-moving, Husband, White
49, Self-emp-not-inc,126268, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
55, Private,208311, Masters,14, Married-civ-spouse, Tech-support, Husband, White
61, Private,28291, HS-grad,9, Divorced, Farming-fishing, Not-in-family, White
42, Local-gov,121998, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
42, Federal-gov,31621, Assoc-acdm,12, Divorced, Adm-clerical, Not-in-family, White
30, Local-gov,108386, Assoc-voc,11, Married-civ-spouse, Protective-serv, Husband, White
32, Self-emp-not-inc,134727, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
37, Private,208391, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
35, Private,112271, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
30, Private,173350, Assoc-voc,11, Married-spouse-absent, Adm-clerical, Not-in-family, White
30, Private,243190, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
55, Private,185436, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
36, Private,290409, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
33, Private,80058, HS-grad,9, Never-married, Other-service, Own-child, White
56, Local-gov,370045, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
26, Private,36936, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
37, Private,231180, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
28, Private,119793, HS-grad,9, Never-married, Sales, Own-child, White
38, Private,102178, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
76, ?,135039, HS-grad,9, Married-civ-spouse, ?, Husband, White
35, ?,317780, Some-college,10, Never-married, ?, Unmarried, Black
48, Private,232840, Some-college,10, Widowed, Adm-clerical, Unmarried, White
35, Private,33975, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White
39, Local-gov,256997, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
64, Private,298301, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
22, Private,310380, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black
45, Local-gov,182100, Bachelors,13, Married-civ-spouse, Sales, Husband, White
27, Private,501172, 5th-6th,3, Married-civ-spouse, Transport-moving, Husband, White
43, State-gov,143939, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
23, Private,85088, Some-college,10, Never-married, Other-service, Own-child, White
25, Private,282313, 10th,6, Never-married, Handlers-cleaners, Own-child, Black
39, Private,230054, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
63, Private,236338, HS-grad,9, Married-civ-spouse, Sales, Wife, White
37, Private,321943, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
26, Federal-gov,218782, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Other
33, Private,191385, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
45, Self-emp-inc,185497, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, Asian-Pac-Islander
28, Private,126129, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
20, Private,199268, Some-college,10, Never-married, Other-service, Own-child, White
34, Private,255693, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
34, Private,203488, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
41, Private,203233, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
38, Private,203836, Some-college,10, Married-civ-spouse, Sales, Husband, White
36, Private,187847, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
38, Private,116358, Some-college,10, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander
46, Self-emp-inc,198660, Bachelors,13, Married-civ-spouse, Sales, Husband, White
43, Self-emp-not-inc,89636, Bachelors,13, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander
49, Private,120629, Some-college,10, Widowed, Sales, Unmarried, White
26, Local-gov,150226, Bachelors,13, Never-married, Prof-specialty, Own-child, White
28, Private,137898, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
54, Self-emp-inc,146574, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
53, Private,88725, HS-grad,9, Never-married, Craft-repair, Not-in-family, Other
24, Private,142022, Some-college,10, Never-married, Handlers-cleaners, Own-child, White
23, Private,284898, Some-college,10, Never-married, Exec-managerial, Own-child, White
55, Local-gov,212448, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
58, Self-emp-not-inc,203039, 9th,5, Separated, Craft-repair, Not-in-family, White
26, Private,227489, HS-grad,9, Never-married, Tech-support, Other-relative, Black
19, Private,105289, 10th,6, Never-married, Other-service, Other-relative, Black
28, ?,223745, Some-college,10, Never-married, ?, Unmarried, White
45, Private,242994, Some-college,10, Never-married, Sales, Not-in-family, White
30, Private,196385, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
76, Private,116202, HS-grad,9, Widowed, Other-service, Unmarried, White
47, Private,140045, HS-grad,9, Separated, Adm-clerical, Unmarried, White
34, Private,133503, Some-college,10, Divorced, Transport-moving, Not-in-family, White
40, Private,226585, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White
24, Private,85041, HS-grad,9, Separated, Other-service, Unmarried, White
30, Private,162442, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White
67, Private,279980, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
24, Private,216563, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White
43, Local-gov,231964, Some-college,10, Divorced, Adm-clerical, Unmarried, White
29, Private,263855, 12th,8, Never-married, Craft-repair, Unmarried, White
40, Private,124915, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
61, Federal-gov,178312, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
45, Local-gov,215862, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White
