61, Self-emp-not-inc, 163174, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 35, United-States, >50K
33, Private, 164707, Assoc-acdm, 12, Never-married, Exec-managerial, Unmarried, White, Female, 2174, 0, 55, ?, <=50K
68, Private, 225612, Bachelors, 13, Widowed, Sales, Not-in-family, White, Male, 0, 0, 35, United-States, >50K
45, Private, 151518, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, <=50K
43, Private, 188696, Assoc-voc, 11, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
27, Private, 110648, Bachelors, 13, Never-married, Tech-support, Own-child, White, Male, 0, 0, 40, United-States, <=50K
32, State-gov, 131588, Some-college, 10, Never-married, Tech-support, Unmarried, Black, Female, 0, 0, 20, United-States, <=50K
49, Private, 149949, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 1876, 40, United-States, <=50K
20, Private, 249956, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 10, United-States, <=50K
57, Private, 61761, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1672, 45, United-States, <=50K
42, Private, 288154, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 89, United-States, >50K
56, Private, 235197, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K
34, Private, 154548, Some-college, 10, Never-married, Adm-clerical, Unmarried, White, Female, 0, 0, 38, United-States, <=50K
36, Private, 224531, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
22, Private, 239954, Some-college, 10, Never-married, Adm-clerical, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
61, Private, 139391, Some-college, 10, Never-married, Tech-support, Own-child, White, Male, 0, 0, 16, United-States, <=50K
34, Private, 157165, Some-college, 10, Divorced, Other-service, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
23, Private, 192812, Bachelors, 13, Never-married, Tech-support, Own-child, White, Female, 0, 0, 40, United-States, <=50K
63, Private, 196725, HS-grad, 9, Widowed, Other-service, Unmarried, White, Female, 0, 0, 24, United-States, <=50K
24, Private, 268525, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 32, United-States, <=50K
67, ?, 163726, 5th-6th, 3, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 49, United-States, <=50K
43, Local-gov, 143828, Masters, 14, Divorced, Prof-specialty, Unmarried, Black, Female, 9562, 0, 40, United-States, >50K
35, Private, 498216, Bachelors, 13, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
19, Private, 248339, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 35, United-States, <=50K
24, Private, 102323, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 410543, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
41, Private, 210259, Some-college, 10, Divorced, Adm-clerical, Unmarried, Black, Female, 0, 0, 37, United-States, <=50K
54, Private, 177927, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, <=50K
31, Private, 193215, Some-college, 10, Married-civ-spouse, Exec-managerial, Own-child, White, Male, 0, 0, 50, United-States, <=50K
38, Self-emp-not-inc, 164526, Prof-school, 15, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 2824, 45, United-States, >50K
23, Private, 109199, 5th-6th, 3, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, Mexico, <=50K
35, Local-gov, 199674, HS-grad, 9, Never-married, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
37, Private, 259882, Assoc-voc, 11, Never-married, Sales, Unmarried, Black, Female, 0, 0, 6, United-States, <=50K
58, Private, 78141, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
31, Self-emp-not-inc, 36592, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 91, United-States, <=50K
18, Private, 194059, 12th, 8, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K
41, Self-emp-inc, 60949, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 55, United-States, <=50K
42, Self-emp-not-inc, 174216, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 38, United-States, >50K
20, Private, 224059, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
23, Private, 37072, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
50, Private, 150876, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 1887, 55, United-States, >50K
38, Private, 216845, HS-grad, 9, Never-married, Sales, Unmarried, White, Male, 0, 0, 42, United-States, <=50K
32, Private, 177675, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
38, Self-emp-not-inc, 140583, Masters, 14, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 70, United-States, <=50K
26, Private, 48718, 10th, 6, Never-married, Adm-clerical, Not-in-family, White, Female, 2907, 0, 40, United-States, <=50K
54, Private, 123011, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
43, Private, 188199, 9th, 5, Divorced, Handlers-cleaners, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
51, Private, 220019, Assoc-acdm, 12, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
29, Private, 157308, 11th, 7, Married-civ-spouse, Handlers-cleaners, Wife, Asian-Pac-Islander, Female, 2829, 0, 14, Philippines, <=50K
48, State-gov, 55863, Doctorate, 16, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 1902, 46, United-States, >50K
27, Private, 175262, Bachelors, 13, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 40, United-States, <=50K
29, Private, 116613, Bachelors, 13, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, Portugal, <=50K
30, State-gov, 54318, 11th, 7, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
18, ?, 163085, HS-grad, 9, Separated, ?, Own-child, White, Male, 0, 0, 20, United-States, <=50K
22, Private, 309178, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 40, United-States, <=50K
24, Private, 418405, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
45, Private, 189564, Bachelors, 13, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 42, United-States, >50K
59, Private, 170148, Some-college, 10, Divorced, Other-service, Unmarried, White, Female, 0, 0, 32, United-States, <=50K
25, Private, 174545, HS-grad, 9, Never-married, Adm-clerical, Unmarried, White, Female, 0, 0, 46, United-States, <=50K
32, Self-emp-not-inc, 34572, HS-grad, 9, Divorced, Farming-fishing, Not-in-family, White, Male, 0, 0, 65, United-States, <=50K
20, Private, 284317, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 35, United-States, <=50K
34, Private, 299635, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1902, 50, United-States, >50K
33, Private, 205950, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K
47, Private, 244025, HS-grad, 9, Never-married, Machine-op-inspct, Unmarried, Amer-Indian-Eskimo, Male, 0, 0, 56, Puerto-Rico, <=50K
30, Private, 242460, HS-grad, 9, Separated, Craft-repair, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
29, Private, 413227, Bachelors, 13, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 35, United-States, <=50K
53, ?, 158352, Masters, 14, Never-married, ?, Not-in-family, White, Female, 8614, 0, 35, United-States, >50K
30, Private, 26543, Bachelors, 13, Divorced, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
41, Self-emp-not-inc, 196001, HS-grad, 9, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 20, United-States, <=50K
50, Private, 213290, Assoc-voc, 11, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 1887, 36, United-States, >50K
38, Self-emp-not-inc, 184456, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 3464, 0, 80, Italy, <=50K
23, Private, 76432, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
56, Private, 238806, 7th-8th, 4, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 26, United-States, <=50K
38, Private, 32271, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
46, Private, 178829, Masters, 14, Married-spouse-absent, Exec-managerial, Not-in-family, White, Male, 0, 0, 70, United-States, >50K
20, Private, 190423, Some-college, 10, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K
20, Private, 228686, 11th, 7, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
44, Private, 194049, Some-college, 10, Divorced, Other-service, Unmarried, Black, Female, 0, 0, 35, United-States, <=50K
47, Private, 187440, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 5178, 0, 40, United-States, >50K
59, ?, 424468, Bachelors, 13, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, >50K
26, ?, 256141, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 40, United-States, <=50K
20, Private, 157595, Some-college, 10, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
30, State-gov, 218640, Some-college, 10, Married-civ-spouse, Prof-specialty, Wife, Black, Female, 0, 0, 40, United-States, >50K
39, Self-emp-not-inc, 202027, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1977, 50, United-States, >50K
54, Private, 425804, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 45, United-States, >50K
50, Private, 118058, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, <=50K
46, Private, 459189, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1902, 50, United-States, >50K
32, Private, 205019, Assoc-acdm, 12, Never-married, Sales, Not-in-family, Black, Male, 0, 0, 50, United-States, <=50K
35, ?, 273558, Some-college, 10, Never-married, ?, Not-in-family, Black, Male, 0, 0, 30, United-States, <=50K
49, State-gov, 131302, Assoc-voc, 11, Divorced, Adm-clerical, Not-in-family, Black, Female, 0, 0, 44, United-States, <=50K
34, Private, 609789, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 30, ?, <=50K
38, Private, 233194, HS-grad, 9, Married-civ-spouse, Sales, Husband, Black, Male, 0, 0, 40, United-States, >50K
65, Private, 154171, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 20051, 0, 60, United-States, >50K
21, Private, 186648, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 20, United-States, <=50K
30, Private, 251825, Assoc-acdm, 12, Never-married, Machine-op-inspct, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
24, Private, 399449, Bachelors, 13, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, <=50K
38, Private, 80303, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, >50K
36, Private, 51838, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
34, Private, 188246, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
59, Private, 108496, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
49, Self-emp-inc, 101722, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
37, Private, 192939, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
20, Private, 447488, 9th, 5, Never-married, Other-service, Unmarried, White, Male, 0, 0, 30, Mexico, <=50K
50, Private, 184424, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 1902, 38, United-States, >50K
64, Self-emp-not-inc, 192695, 5th-6th, 3, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 70, Canada, <=50K
51, Private, 153870, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 2603, 40, United-States, <=50K
38, Private, 198216, Some-college, 10, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
44, Private, 187322, Bachelors, 13, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
39, Private, 272338, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 25, United-States, <=50K
65, Private, 420277, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 40, United-States, <=50K
46, State-gov, 27802, Assoc-acdm, 12, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 38, United-States, >50K
43, Private, 122975, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female, 0, 0, 21, Trinadad&Tobago, <=50K
29, Self-emp-not-inc, 125190, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 147258, 9th, 5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 50, United-States, >50K
54, Self-emp-not-inc, 28186, Bachelors, 13, Divorced, Farming-fishing, Not-in-family, White, Male, 27828, 0, 50, United-States, >50K
37, Private, 294919, Some-college, 10, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
50, Private, 147629, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 15024, 0, 45, United-States, >50K
34, Private, 111746, HS-grad, 9, Separated, Craft-repair, Not-in-family, White, Male, 0, 0, 45, Portugal, <=50K
25, Local-gov, 197728, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K
34, Private, 186346, HS-grad, 9, Separated, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
33, Private, 262439, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 35, United-States, >50K
44, ?, 109912, Bachelors, 13, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 16, United-States, >50K
52, Private, 137658, 11th, 7, Married-civ-spouse, Machine-op-inspct, Husband, Other, Male, 0, 0, 40, Dominican-Republic, <=50K
34, Private, 209691, Assoc-voc, 11, Married-civ-spouse, Prof-specialty, Husband, White, Male, 4386, 0, 50, United-States, >50K
19, Private, 64112, 12th, 8, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
34, Private, 45522, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
50, Self-emp-inc, 293196, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7298, 0, 40, United-States, >50K
36, State-gov, 116554, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
36, Self-emp-not-inc, 408427, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
30, Private, 114691, Bachelors, 13, Never-married, Adm-clerical, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
36, Federal-gov, 51089, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 50, United-States, >50K
46, Private, 380162, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, Black, Male, 0, 0, 40, United-States, >50K
50, Local-gov, 46401, Bachelors, 13, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 50, United-States, <=50K
34, Private, 101345, Bachelors, 13, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 40, United-States, >50K
55, Private, 189933, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 84, United-States, <=50K
24, Private, 176580, 5th-6th, 3, Married-spouse-absent, Farming-fishing, Not-in-family, White, Male, 0, 0, 40, Mexico, <=50K
46, Private, 423222, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 3103, 0, 60, United-States, >50K
51, Private, 240988, 11th, 7, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Philippines, <=50K
26, Private, 122999, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 8614, 0, 40, United-States, >50K
69, Local-gov, 122850, 10th, 6, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 20, United-States, <=50K
43, Self-emp-inc, 150533, Assoc-acdm, 12, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, <=50K
25, Private, 88922, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 40, United-States, <=50K
34, Private, 242984, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 48, United-States, <=50K
36, Private, 275653, 7th-8th, 4, Married-spouse-absent, Machine-op-inspct, Unmarried, White, Female, 2977, 0, 40, Puerto-Rico, <=50K
32, Private, 152940, Assoc-acdm, 12, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 30, United-States, <=50K
35, State-gov, 172327, Bachelors, 13, Separated, Exec-managerial, Not-in-family, White, Male, 0, 0, 42, United-States, <=50K
55, ?, 376058, 9th, 5, Never-married, ?, Own-child, White, Female, 0, 0, 45, United-States, <=50K
65, Private, 149811, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 2206, 59, Canada, <=50K
53, Self-emp-not-inc, 302847, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 35, United-States, <=50K
46, Local-gov, 216214, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 35, United-States, >50K
19, Private, 148392, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 30, United-States, <=50K
36, State-gov, 422275, 5th-6th, 3, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, Mexico, <=50K
19, Private, 138153, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 10, United-States, <=50K
47, Private, 329144, Some-college, 10, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 48, United-States, >50K
47, Private, 362835, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, >50K
30, Private, 370183, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, <=50K
43, Private, 76460, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
22, ?, 196280, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 20, United-States, <=50K
39, Private, 343403, HS-grad, 9, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 36, United-States, <=50K
33, Self-emp-not-inc, 222162, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
25, Private, 189219, Bachelors, 13, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, <=50K
38, Private, 320305, 7th-8th, 4, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
62, Private, 159908, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 38, United-States, >50K
17, Self-emp-not-inc, 60116, 10th, 6, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 10, United-States, <=50K
50, Local-gov, 153064, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 5178, 0, 40, United-States, >50K
32, Private, 127895, Some-college, 10, Never-married, Adm-clerical, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
39, Private, 339442, HS-grad, 9, Separated, Machine-op-inspct, Not-in-family, Black, Male, 2176, 0, 40, United-States, <=50K
61, ?, 253101, Bachelors, 13, Divorced, ?, Not-in-family, White, Female, 0, 0, 24, United-States, <=50K
51, Private, 284211, HS-grad, 9, Widowed, Prof-specialty, Unmarried, White, Female, 0, 0, 35, United-States, <=50K
62, Private, 252668, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 70, United-States, <=50K
21, Private, 451996, HS-grad, 9, Never-married, Sales, Own-child, White, Male, 0, 0, 40, United-States, <=50K
42, Federal-gov, 284403, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
59, Private, 66356, 7th-8th, 4, Never-married, Farming-fishing, Unmarried, White, Male, 4865, 0, 40, United-States, <=50K
