39, Private, 236391, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, >50K
39, Private, 176186, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, >50K
39, Private, 77146, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1887, 50, United-States, >50K
39, Private, 237943, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 99999, 0, 70, United-States, >50K
18, Private, 25837, 11th, 7, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 15, United-States, <=50K
30, Private, 79712, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, Other, Male, 0, 0, 40, United-States, <=50K
72, Private, 116640, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 3471, 0, 20, United-States, <=50K
41, Private, 107276, Assoc-voc, 11, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
52, Private, 71768, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
32, Private, 29312, 10th, 6, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 80, United-States, >50K
33, Private, 159888, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
23, Private, 70919, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
30, Private, 345522, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 3103, 0, 70, United-States, >50K
48, Private, 149640, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
26, Private, 132749, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 45, United-States, <=50K
31, Federal-gov, 294870, Assoc-acdm, 12, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
34, Self-emp-not-inc, 320194, Prof-school, 15, Separated, Prof-specialty, Unmarried, White, Male, 0, 0, 48, United-States, >50K
57, Private, 109638, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1672, 45, United-States, <=50K
28, Private, 328949, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, <=50K
41, Private, 139907, 10th, 6, Never-married, Handlers-cleaners, Unmarried, White, Male, 0, 0, 50, United-States, <=50K
38, Private, 99156, HS-grad, 9, Separated, Other-service, Own-child, White, Male, 0, 0, 35, United-States, <=50K
42, Private, 212737, 9th, 5, Separated, Craft-repair, Unmarried, Black, Male, 0, 0, 40, United-States, <=50K
18, ?, 163085, HS-grad, 9, Separated, ?, Own-child, White, Male, 0, 0, 20, United-States, <=50K
51, Local-gov, 153908, Masters, 14, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
29, Private, 207064, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
23, Private, 396099, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K
33, Private, 192002, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7298, 0, 60, Canada, >50K
36, Self-emp-inc, 184456, Bachelors, 13, Never-married, Tech-support, Not-in-family, White, Male, 27828, 0, 55, United-States, >50K
57, Federal-gov, 170066, Assoc-voc, 11, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
29, Self-emp-inc, 187450, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
21, Private, 182823, Bachelors, 13, Never-married, Sales, Own-child, White, Male, 0, 0, 30, United-States, <=50K
23, Private, 65481, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 0, 0, 40, United-States, >50K
37, Private, 127918, Some-college, 10, Never-married, Transport-moving, Unmarried, White, Female, 0, 0, 20, Puerto-Rico, <=50K
26, Private, 380674, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 52, United-States, <=50K
59, Self-emp-not-inc, 241297, Some-college, 10, Widowed, Farming-fishing, Not-in-family, White, Female, 6849, 0, 40, United-States, <=50K
26, Private, 167848, HS-grad, 9, Never-married, Machine-op-inspct, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
41, Local-gov, 185057, HS-grad, 9, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
39, Self-emp-not-inc, 188571, 11th, 7, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 225294, HS-grad, 9, Never-married, Other-service, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
22, ?, 243190, Some-college, 10, Never-married, ?, Own-child, Asian-Pac-Islander, Male, 0, 0, 40, China, <=50K
49, Private, 193047, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, >50K
34, Private, 188096, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 36, United-States, <=50K
31, Private, 279015, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 2415, 70, Taiwan, >50K
35, Private, 142616, HS-grad, 9, Separated, Other-service, Own-child, Black, Female, 0, 0, 30, United-States, <=50K
19, Federal-gov, 234151, HS-grad, 9, Never-married, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
19, Private, 354104, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 30, United-States, <=50K
51, Private, 204322, Assoc-voc, 11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, >50K
27, Private, 195681, Some-college, 10, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 48, ?, <=50K
34, Private, 261799, Assoc-voc, 11, Married-civ-spouse, Adm-clerical, Husband, Black, Male, 0, 0, 45, United-States, >50K
37, Self-emp-not-inc, 24106, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 30, United-States, <=50K
20, Private, 283499, Some-college, 10, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 30, United-States, <=50K
30, Private, 188798, Some-college, 10, Divorced, Other-service, Own-child, White, Female, 0, 0, 20, United-States, <=50K
33, Private, 133503, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 1977, 45, United-States, >50K
28, Private, 37933, HS-grad, 9, Never-married, Other-service, Not-in-family, Black, Female, 0, 0, 48, United-States, <=50K
19, Private, 178147, Some-college, 10, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 10, United-States, <=50K
46, Private, 73019, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
19, Private, 198663, HS-grad, 9, Never-married, Tech-support, Own-child, White, Male, 0, 0, 40, United-States, <=50K
27, Private, 175821, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 34, United-States, <=50K
54, Self-emp-inc, 383365, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 70, United-States, >50K
30, ?, 103651, 11th, 7, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 35, United-States, <=50K
44, Private, 96249, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, >50K
40, Private, 184655, Assoc-acdm, 12, Never-married, Other-service, Other-relative, White, Male, 0, 0, 25, United-States, <=50K
31, Private, 121768, Assoc-acdm, 12, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 35, Poland, <=50K
78, Self-emp-inc, 237294, HS-grad, 9, Widowed, Sales, Not-in-family, White, Male, 0, 0, 45, United-States, >50K
37, Private, 365465, HS-grad, 9, Separated, Craft-repair, Unmarried, White, Male, 0, 0, 70, Philippines, <=50K
25, Self-emp-not-inc, 368115, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 13550, 0, 35, United-States, >50K
30, Private, 186932, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 5178, 0, 75, United-States, >50K
41, Self-emp-not-inc, 100800, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7298, 0, 70, United-States, >50K
20, Private, 94744, HS-grad, 9, Never-married, Adm-clerical, Own-child, Black, Female, 0, 0, 20, United-States, <=50K
20, Private, 386643, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 40, United-States, <=50K
32, Private, 279231, Assoc-voc, 11, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, Italy, <=50K
26, Local-gov, 46097, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
29, Self-emp-not-inc, 96718, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 37, United-States, <=50K
43, Private, 143368, HS-grad, 9, Divorced, Farming-fishing, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
63, ?, 46907, Bachelors, 13, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 8, United-States, >50K
66, Private, 127921, HS-grad, 9, Never-married, Transport-moving, Not-in-family, White, Male, 2050, 0, 55, United-States, <=50K
25, Private, 130793, Some-college, 10, Divorced, Other-service, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K
43, Private, 37937, Masters, 14, Divorced, Exec-managerial, Unmarried, White, Male, 0, 0, 50, United-States, <=50K
32, Local-gov, 127651, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
34, Private, 157289, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
29, Private, 330132, Bachelors, 13, Never-married, Sales, Not-in-family, White, Female, 0, 0, 60, United-States, <=50K
22, ?, 177902, Some-college, 10, Never-married, ?, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 25, United-States, <=50K
31, Private, 106753, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1740, 40, United-States, <=50K
29, Private, 376680, HS-grad, 9, Never-married, Tech-support, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
54, ?, 95329, Some-college, 10, Divorced, ?, Own-child, White, Male, 0, 0, 50, United-States, <=50K
60, Private, 202226, Some-college, 10, Divorced, Craft-repair, Own-child, White, Male, 0, 0, 44, United-States, >50K
71, ?, 250263, Some-college, 10, Married-civ-spouse, ?, Husband, White, Male, 3432, 0, 30, United-States, <=50K
63, Private, 225102, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, ?, <=50K
51, Private, 43354, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
34, Self-emp-not-inc, 213226, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1485, 35, ?, <=50K
32, Private, 48520, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
31, Private, 258849, Assoc-voc, 11, Never-married, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
55, Private, 106740, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
30, Self-emp-not-inc, 455995, 11th, 7, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 45, United-States, >50K
52, Private, 183618, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
36, Private, 103323, Assoc-acdm, 12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 2829, 0, 40, United-States, <=50K
45, Self-emp-not-inc, 298130, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 25, United-States, <=50K
45, Private, 191914, HS-grad, 9, Divorced, Transport-moving, Unmarried, White, Female, 0, 0, 55, United-States, <=50K
40, Federal-gov, 118686, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
32, Private, 171637, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
32, ?, 158784, 7th-8th, 4, Widowed, ?, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
39, Private, 270059, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 35, United-States, <=50K
35, Private, 112077, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 5013, 0, 40, United-States, <=50K
28, Private, 185647, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, <=50K
31, Private, 212235, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
59, Private, 127728, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, >50K
39, Self-emp-not-inc, 193689, HS-grad, 9, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 65, United-States, <=50K
61, Private, 238611, 7th-8th, 4, Widowed, Other-service, Unmarried, Black, Female, 0, 0, 38, United-States, <=50K
24, State-gov, 155775, HS-grad, 9, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, <=50K
27, Private, 184477, 12th, 8, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
36, Private, 106964, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
38, Private, 122952, HS-grad, 9, Separated, Craft-repair, Unmarried, White, Female, 0, 0, 35, United-States, <=50K
22, State-gov, 24395, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 20, United-States, <=50K
30, Private, 130078, Bachelors, 13, Never-married, Sales, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
33, Private, 170651, HS-grad, 9, Never-married, Other-service, Own-child, White, Female, 1055, 0, 40, United-States, <=50K
33, Private, 345360, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
39, Private, 316211, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
30, State-gov, 119422, 10th, 6, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
22, Private, 239806, Assoc-voc, 11, Never-married, Other-service, Other-relative, White, Female, 0, 0, 40, Mexico, <=50K
44, Private, 205706, HS-grad, 9, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
24, State-gov, 165201, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 45, United-States, <=50K
35, Local-gov, 102938, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
49, Private, 148398, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
29, Private, 119170, Some-college, 10, Separated, Tech-support, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
35, Private, 290226, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 189674, Bachelors, 13, Separated, Exec-managerial, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
26, Private, 138152, 12th, 8, Never-married, Craft-repair, Other-relative, Other, Male, 0, 0, 48, Guatemala, <=50K
39, Private, 186130, Prof-school, 15, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 55, United-States, >50K
48, Private, 28497, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
33, State-gov, 150657, Bachelors, 13, Never-married, Prof-specialty, Other-relative, Black, Female, 0, 0, 40, United-States, <=50K
34, Private, 155343, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1848, 50, United-States, >50K
19, Private, 268392, HS-grad, 9, Never-married, Sales, Unmarried, Black, Female, 0, 0, 30, United-States, <=50K
35, Private, 107160, 12th, 8, Separated, Other-service, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K
24, Private, 198148, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 30, United-States, <=50K
61, Private, 716416, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 44, United-States, >50K
51, Private, 56915, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, <=50K
25, Private, 632834, HS-grad, 9, Never-married, Craft-repair, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
26, Private, 57512, HS-grad, 9, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
41, Private, 290660, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 7688, 0, 55, United-States, >50K
22, Private, 180060, Bachelors, 13, Never-married, Exec-managerial, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
29, ?, 339100, 11th, 7, Divorced, ?, Not-in-family, White, Female, 3418, 0, 48, United-States, <=50K
32, Private, 95885, 11th, 7, Never-married, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male, 13550, 0, 60, United-States, >50K
38, Private, 257416, 9th, 5, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 40, United-States, <=50K
26, Private, 236008, Assoc-voc, 11, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
18, Private, 401051, 10th, 6, Never-married, Sales, Own-child, White, Female, 0, 0, 35, United-States, <=50K
41, Self-emp-not-inc, 143129, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
47, Federal-gov, 20956, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1740, 40, United-States, <=50K
26, Private, 184026, Some-college, 10, Never-married, Prof-specialty, Not-in-family, Other, Male, 0, 0, 50, United-States, <=50K
35, Private, 202397, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Philippines, >50K
23, Private, 205653, Bachelors, 13, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 30, United-States, <=50K
18, ?, 156608, 11th, 7, Never-married, ?, Own-child, White, Female, 0, 0, 25, United-States, <=50K
34, Private, 167893, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 64, United-States, >50K
46, Private, 105444, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, >50K
27, Private, 423250, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, <=50K
29, Private, 40295, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
40, Local-gov, 33155, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K
69, Private, 174474, 10th, 6, Separated, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 28, Peru, <=50K
37, Private, 202950, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, >50K
49, Private, 125421, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 38, United-States, <=50K
50, Private, 160572, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 3137, 0, 47, United-States, <=50K
42, Private, 97142, 7th-8th, 4, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
48, Private, 130812, HS-grad, 9, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, <=50K
31, Private, 196791, Prof-school, 15, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 45, United-States, >50K
27, Private, 298635, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Hong, >50K
41, Private, 202508, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 48, United-States, <=50K
35, Private, 30381, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 45, United-States, >50K
60, Private, 139391, Some-college, 10, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 50, United-States, >50K
48, Private, 148995, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
27, Private, 177057, HS-grad, 9, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
66, ?, 149422, 7th-8th, 4, Never-married, ?, Not-in-family, White, Male, 0, 0, 4, United-States, <=50K
25, Private, 53903, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
28, Private, 31842, Bachelors, 13, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 40, United-States, <=50K
33, Private, 164707, Assoc-acdm, 12, Never-married, Exec-managerial, Unmarried, White, Female, 2174, 0, 55, ?, <=50K
40, Private, 91836, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
34, Private, 325658, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
53, Federal-gov, 186087, HS-grad, 9, Divorced, Tech-support, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
62, Private, 202242, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 48, United-States, <=50K
18, Private, 146378, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 40, ?, <=50K
44, ?, 91949, HS-grad, 9, Never-married, ?, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
30, Private, 234919, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 40, El-Salvador, <=50K
40, Private, 343068, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
18, Private, 285013, HS-grad, 9, Never-married, Sales, Own-child, White, Male, 0, 0, 10, United-States, <=50K
43, Local-gov, 188291, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 15024, 0, 45, United-States, >50K
28, Private, 107411, HS-grad, 9, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
29, Local-gov, 251854, HS-grad, 9, Never-married, Protective-serv, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
62, ?, 302142, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 2961, 0, 30, United-States, <=50K
23, ?, 196816, HS-grad, 9, Never-married, ?, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K
77, Local-gov, 177550, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 3818, 0, 14, United-States, <=50K
44, Private, 30126, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
19, Private, 175083, HS-grad, 9, Never-married, Sales, Own-child, White, Female, 0, 0, 8, United-States, <=50K
44, Private, 145160, HS-grad, 9, Never-married, Craft-repair, Other-relative, White, Male, 0, 0, 58, United-States, <=50K
39, Private, 214117, Some-college, 10, Divorced, Craft-repair, Unmarried, Black, Male, 0, 0, 40, United-States, <=50K
40, Private, 73025, HS-grad, 9, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male, 0, 0, 30, China, <=50K
