21, State-gov,39236, Some-college,10, Never-married, Tech-support, Not-in-family, White
22, State-gov,121471, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
36, Private,198237, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
27, Private,280758, 11th,7, Never-married, Craft-repair, Other-relative, White
40, Private,191544, HS-grad,9, Never-married, Other-service, Not-in-family, White
30, Private,261023, Some-college,10, Divorced, Machine-op-inspct, Unmarried, White
30, State-gov,231043, Assoc-voc,11, Married-civ-spouse, Protective-serv, Husband, White
30, Private,340917, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
35, Private,167140, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
39, Private,370795, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black
39, Federal-gov,209609, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
74, Private,209454, 5th-6th,3, Married-civ-spouse, Transport-moving, Husband, Black
32, Self-emp-inc,78530, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
25, Private,88922, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black
64, Private,86972, Some-college,10, Divorced, Exec-managerial, Unmarried, White
47, Self-emp-not-inc,165468, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
37, Private,134367, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White
47, Private,199058, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
33, Private,183612, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
40, Private,191982, Assoc-voc,11, Divorced, Prof-specialty, Unmarried, White
22, Private,514033, HS-grad,9, Never-married, Other-service, Not-in-family, Black
56, Private,172364, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
37, Private,190105, HS-grad,9, Never-married, Adm-clerical, Own-child, White
30, Self-emp-inc,119422, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
20, Private,236592, 12th,8, Never-married, Prof-specialty, Not-in-family, White
53, State-gov,43952, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
43, Private,194636, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
23, Private,235853, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
43, Self-emp-not-inc,150528, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
30, Private,213722, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
20, Private,41432, Some-college,10, Never-married, Adm-clerical, Own-child, White
22, Private,285775, Assoc-voc,11, Never-married, Craft-repair, Own-child, White
38, Private,470663, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
54, Self-emp-not-inc,114520, Some-college,10, Married-civ-spouse, Sales, Husband, White
23, Private,113466, HS-grad,9, Never-married, Craft-repair, Not-in-family, White
46, Private,224559, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black
59, Private,186385, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White
28, ?,167094, 10th,6, Divorced, ?, Not-in-family, White
18, ?,216508, 12th,8, Never-married, ?, Not-in-family, White
41, Local-gov,384236, Assoc-voc,11, Never-married, Other-service, Not-in-family, White
42, Private,181265, Assoc-voc,11, Married-civ-spouse, Transport-moving, Husband, White
58, Private,190997, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
24, Private,98287, HS-grad,9, Married-civ-spouse, Sales, Husband, White
39, Private,103456, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
28, Private,184723, Bachelors,13, Never-married, Tech-support, Not-in-family, White
25, Private,165622, Masters,14, Never-married, Sales, Not-in-family, White
29, Private,101597, Some-college,10, Divorced, Sales, Unmarried, White
53, Private,146378, 5th-6th,3, Married-civ-spouse, Craft-repair, Husband, White
63, Local-gov,152163, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
26, State-gov,106812, Assoc-voc,11, Divorced, Exec-managerial, Not-in-family, White
21, Private,148211, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White
45, Private,187581, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
29, Private,135296, Assoc-voc,11, Never-married, Adm-clerical, Own-child, White
72, Local-gov,144515, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White
51, Private,210736, 10th,6, Married-spouse-absent, Craft-repair, Other-relative, White
21, Private,210165, 9th,5, Married-spouse-absent, Handlers-cleaners, Own-child, White
38, Private,224584, Some-college,10, Divorced, Sales, Unmarried, Black
38, Private,80771, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White
46, Private,164733, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
31, Self-emp-not-inc,119411, Bachelors,13, Divorced, Exec-managerial, Unmarried, White
68, Local-gov,177596, 10th,6, Separated, Other-service, Not-in-family, Black
43, ?,396116, HS-grad,9, Married-civ-spouse, ?, Husband, White
21, Private,185251, HS-grad,9, Never-married, Sales, Own-child, White
44, Private,173590, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
56, Federal-gov,196307, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
20, ?,293091, HS-grad,9, Never-married, ?, Own-child, White
36, Private,175232, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
21, Private,51047, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
21, Private,334618, Some-college,10, Never-married, Protective-serv, Not-in-family, Black
52, Local-gov,152795, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
56, Self-emp-inc,205601, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
52, Private,129177, Bachelors,13, Widowed, Other-service, Not-in-family, White
51, Self-emp-not-inc,121548, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
29, Private,244566, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, White
36, Private,75073, Some-college,10, Never-married, Craft-repair, Not-in-family, Black
29, Private,179008, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
21, Private,170800, HS-grad,9, Never-married, Sales, Own-child, White
58, Private,373344, 1st-4th,2, Married-civ-spouse, Farming-fishing, Husband, White
37, Private,127961, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White
50, Private,99392, Some-college,10, Divorced, Craft-repair, Not-in-family, Black
30, Private,392812, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White
29, Private,262478, HS-grad,9, Never-married, Farming-fishing, Own-child, Black
48, Self-emp-not-inc,32825, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
50, Self-emp-not-inc,167380, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White
39, Private,203204, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, White
35, Federal-gov,105138, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
54, Private,145714, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White
24, Private,182276, HS-grad,9, Married-civ-spouse, Other-service, Wife, White
20, Private,275385, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, White
30, Self-emp-not-inc,292472, Some-college,10, Married-civ-spouse, Sales, Husband, Amer-Indian-Eskimo
19, Self-emp-not-inc,73514, HS-grad,9, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander
26, Private,199600, HS-grad,9, Never-married, Sales, Not-in-family, Black
38, Private,111499, HS-grad,9, Married-civ-spouse, Sales, Husband, White
25, Private,202560, Some-college,10, Never-married, Other-service, Not-in-family, White
33, Private,99309, Some-college,10, Divorced, Craft-repair, Unmarried, White
60, Local-gov,124987, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
30, Private,287986, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White
30, Private,119411, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
19, Private,198668, 7th-8th,4, Never-married, Other-service, Not-in-family, White
23, Private,117583, HS-grad,9, Never-married, Craft-repair, Own-child, White
27, Private,234664, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
20, ?,114357, Some-college,10, Never-married, ?, Not-in-family, White
39, State-gov,176949, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White
33, Private,189710, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White
65, Private,205309, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
34, Private,195576, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
20, Private,216825, HS-grad,9, Never-married, Sales, Own-child, White
23, ?,329174, Some-college,10, Never-married, ?, Not-in-family, White
25, Private,197036, 10th,6, Never-married, Craft-repair, Own-child, White
28, Private,181291, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
31, Private,206512, 11th,7, Never-married, Handlers-cleaners, Own-child, White
28, State-gov,38309, Bachelors,13, Never-married, Prof-specialty, Own-child, White
37, Private,312766, HS-grad,9, Divorced, Other-service, Not-in-family, White
52, Private,139671, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
66, Federal-gov,38621, Assoc-voc,11, Widowed, Other-service, Unmarried, Black
31, Private,124827, HS-grad,9, Never-married, Other-service, Not-in-family, White
37, Private,77820, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
45, Federal-gov,56904, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
45, Private,190115, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White
44, Private,106682, HS-grad,9, Married-civ-spouse, Sales, Husband, White
32, Local-gov,42596, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White
35, Private,143058, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
53, Private,102615, 11th,7, Divorced, Transport-moving, Not-in-family, White
54, Private,139703, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
43, Private,240124, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
30, Private,132565, Some-college,10, Never-married, Craft-repair, Unmarried, White
49, Private,323798, Some-college,10, Divorced, Exec-managerial, Not-in-family, White
52, Private,96359, Doctorate,16, Married-civ-spouse, Exec-managerial, Husband, White
20, Private,165201, Some-college,10, Never-married, Adm-clerical, Own-child, White
60, Federal-gov,165630, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White
45, Private,264526, Assoc-acdm,12, Divorced, Machine-op-inspct, Own-child, White
48, Private,102359, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
28, Private,37359, Bachelors,13, Married-civ-spouse, Sales, Husband, White
61, ?,232618, Prof-school,15, Married-civ-spouse, ?, Husband, White
48, Local-gov,115497, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
32, Private,157747, Some-college,10, Married-civ-spouse, Tech-support, Husband, White
27, Self-emp-not-inc,41099, HS-grad,9, Never-married, Craft-repair, Not-in-family, White
38, Private,472604, Bachelors,13, Married-civ-spouse, Other-service, Husband, White
33, Private,348618, 5th-6th,3, Married-spouse-absent, Transport-moving, Unmarried, Other
43, Private,135606, Masters,14, Divorced, Exec-managerial, Not-in-family, White
36, Private,248445, HS-grad,9, Separated, Transport-moving, Other-relative, White
38, Private,112093, 11th,7, Married-civ-spouse, Transport-moving, Husband, White
24, Local-gov,197552, HS-grad,9, Never-married, Tech-support, Not-in-family, White
22, Private,303822, 10th,6, Never-married, Craft-repair, Own-child, White
30, Private,288566, Bachelors,13, Never-married, Other-service, Not-in-family, White
55, ?,487411, Masters,14, Married-civ-spouse, ?, Husband, White
46, Self-emp-not-inc,43348, Prof-school,15, Married-civ-spouse, Exec-managerial, Husband, White
39, State-gov,239409, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
50, Private,337606, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
34, Private,32528, Assoc-voc,11, Married-spouse-absent, Adm-clerical, Unmarried, White
47, State-gov,118447, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
46, Private,234690, HS-grad,9, Married-civ-spouse, Sales, Husband, White
23, ?,141003, HS-grad,9, Never-married, ?, Own-child, White
43, Private,216042, Some-college,10, Divorced, Tech-support, Own-child, White
45, Private,190482, HS-grad,9, Divorced, Machine-op-inspct, Unmarried, White
55, Private,381965, Bachelors,13, Married-civ-spouse, Craft-repair, Other-relative, White
68, Private,186943, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
39, Private,142707, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White
39, Private,53447, HS-grad,9, Divorced, Farming-fishing, Not-in-family, White
37, Private,127772, Bachelors,13, Never-married, Craft-repair, Not-in-family, White
19, Private,344414, Some-college,10, Never-married, Transport-moving, Own-child, White
20, Private,194138, 11th,7, Never-married, Craft-repair, Own-child, White
49, ?,558183, Assoc-voc,11, Married-spouse-absent, ?, Unmarried, White
33, Private,150154, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
21, Private,306114, HS-grad,9, Never-married, Other-service, Not-in-family, White
72, ?,177121, Bachelors,13, Married-civ-spouse, ?, Husband, White
58, Local-gov,368797, Masters,14, Widowed, Prof-specialty, Unmarried, White
43, Self-emp-inc,175715, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Black
62, Private,416829, 11th,7, Separated, Other-service, Not-in-family, Black
21, Private,350001, Some-college,10, Never-married, Farming-fishing, Own-child, White
26, Private,339952, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
27, Private,114967, 9th,5, Married-civ-spouse, Craft-repair, Husband, White
34, Private,164190, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
49, Local-gov,166039, HS-grad,9, Divorced, Other-service, Unmarried, White
28, Private,250135, HS-grad,9, Never-married, Prof-specialty, Other-relative, White
34, Self-emp-not-inc,234960, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black
29, Private,103628, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White
58, Private,430005, 10th,6, Married-civ-spouse, Transport-moving, Husband, White
45, Self-emp-inc,106517, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White
47, Self-emp-not-inc,162236, Bachelors,13, Never-married, Craft-repair, Not-in-family, White
53, Private,92430, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
52, Local-gov,40641, 10th,6, Married-civ-spouse, Craft-repair, Husband, White
47, Private,169388, 11th,7, Divorced, Other-service, Unmarried, White
36, Local-gov,410034, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
48, Private,237525, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
35, Private,150057, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
49, Private,148549, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
43, Private,75742, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
33, Private,177675, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
49, Local-gov,193249, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White
17, Private,266072, 10th,6, Never-married, Other-service, Not-in-family, White
28, ?,80165, Some-college,10, Divorced, ?, Not-in-family, White
25, Private,339324, Bachelors,13, Never-married, Tech-support, Not-in-family, White
69, ?,111238, 9th,5, Married-civ-spouse, ?, Husband, White
41, Self-emp-not-inc,284086, Assoc-voc,11, Divorced, Sales, Not-in-family, White
31, Private,206051, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
57, Private,426263, Masters,14, Divorced, Exec-managerial, Unmarried, White
49, Private,102583, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
40, Private,277647, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
55, Private,124808, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White
47, Private,193061, Some-college,10, Divorced, Exec-managerial, Not-in-family, White
50, Private,121411, 12th,8, Divorced, Transport-moving, Not-in-family, White
36, Private,89202, Bachelors,13, Never-married, Prof-specialty, Own-child, White
17, Private,232900, 11th,7, Never-married, Handlers-cleaners, Own-child, White
30, Local-gov,319280, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
79, ?,165209, HS-grad,9, Married-civ-spouse, ?, Husband, White
