29, Private,319149, 12th,8, Married-civ-spouse, Transport-moving, Husband, White
31, Private,150309, Bachelors,13, Separated, Exec-managerial, Not-in-family, White
47, Self-emp-not-inc,83064, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White
60, Self-emp-not-inc,376973, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
75, Private,311184, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
43, Local-gov,159449, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White
18, Private,168288, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
25, Private,74883, Bachelors,13, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander
20, Private,275190, HS-grad,9, Never-married, Adm-clerical, Own-child, White
32, Private,189838, HS-grad,9, Never-married, Sales, Not-in-family, White
57, Self-emp-inc,101338, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
43, Private,331894, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
18, Self-emp-not-inc,40293, HS-grad,9, Never-married, Farming-fishing, Other-relative, White
41, Local-gov,88904, Bachelors,13, Separated, Prof-specialty, Unmarried, Black
48, Private,145041, HS-grad,9, Never-married, Machine-op-inspct, Other-relative, White
35, Private,46385, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
41, State-gov,363591, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White
23, Private,183327, HS-grad,9, Never-married, Craft-repair, Own-child, Black
32, State-gov,182556, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White
33, Private,267859, HS-grad,9, Never-married, Craft-repair, Own-child, White
58, Private,190747, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
22, Private,162869, Some-college,10, Never-married, Sales, Other-relative, White
33, Private,141229, Some-college,10, Divorced, Other-service, Not-in-family, White
42, Self-emp-not-inc,174216, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
25, Private,366416, HS-grad,9, Never-married, Adm-clerical, Own-child, White
39, Private,172538, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White
35, Private,193026, Bachelors,13, Married-civ-spouse, Sales, Husband, White
50, Private,184424, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White
49, Local-gov,337768, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
25, Local-gov,179059, Bachelors,13, Never-married, Prof-specialty, Own-child, White
47, Federal-gov,99549, Some-college,10, Divorced, Adm-clerical, Unmarried, Black
46, Private,72619, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White
42, State-gov,55764, Assoc-acdm,12, Divorced, Prof-specialty, Not-in-family, Black
37, Private,30267, 11th,7, Never-married, Transport-moving, Not-in-family, White
25, Private,308144, Bachelors,13, Never-married, Craft-repair, Not-in-family, White
29, Private,206351, 10th,6, Married-civ-spouse, Craft-repair, Husband, White
26, Private,282304, Some-college,10, Never-married, Sales, Not-in-family, White
26, ?,176077, Some-college,10, Never-married, ?, Unmarried, White
45, Self-emp-inc,142719, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
34, Private,114973, HS-grad,9, Separated, Exec-managerial, Unmarried, White
33, Federal-gov,159548, Assoc-acdm,12, Never-married, Adm-clerical, Unmarried, Black
43, Private,91209, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
28, Private,196564, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
51, Self-emp-not-inc,149220, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
21, Private,169699, Some-college,10, Never-married, Other-service, Not-in-family, White
23, Private,218215, Assoc-acdm,12, Never-married, Other-service, Own-child, White
30, Private,156718, HS-grad,9, Never-married, Tech-support, Not-in-family, White
46, Private,55720, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
38, Self-emp-inc,257250, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White
20, Private,194630, HS-grad,9, Never-married, Sales, Not-in-family, White
36, Private,398931, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
37, Self-emp-not-inc,362062, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
44, Local-gov,101593, Masters,14, Never-married, Prof-specialty, Not-in-family, White
33, Private,196266, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
45, Local-gov,197332, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
47, Private,97842, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
54, Private,86837, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander
17, Private,57324, 10th,6, Never-married, Other-service, Own-child, White
43, Private,116852, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White
45, Private,154430, Bachelors,13, Widowed, Prof-specialty, Not-in-family, White
37, Private,38468, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
44, Local-gov,188808, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
55, Local-gov,177163, Masters,14, Widowed, Prof-specialty, Unmarried, White
41, Private,187322, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
23, Private,107578, Bachelors,13, Never-married, Adm-clerical, Own-child, White
38, Private,168680, Some-college,10, Never-married, Adm-clerical, Own-child, Black
23, Private,256755, Bachelors,13, Never-married, Handlers-cleaners, Other-relative, White
35, Private,360799, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
18, Private,188476, 11th,7, Never-married, Exec-managerial, Own-child, White
47, Private,30457, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White
25, Private,252752, Some-college,10, Never-married, Prof-specialty, Not-in-family, White
41, Self-emp-not-inc,443508, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
23, Private,244408, Some-college,10, Never-married, Adm-clerical, Other-relative, Asian-Pac-Islander
41, Private,178983, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
26, Private,143068, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
30, Local-gov,247328, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
42, Private,201732, Some-college,10, Married-civ-spouse, Sales, Husband, White
35, Private,246829, HS-grad,9, Divorced, Exec-managerial, Unmarried, White
28, ?,290267, Bachelors,13, Never-married, ?, Not-in-family, White
29, Private,119170, Some-college,10, Separated, Tech-support, Unmarried, White
21, Private,207923, Some-college,10, Married-spouse-absent, Adm-clerical, Own-child, White
48, State-gov,170142, Masters,14, Divorced, Prof-specialty, Not-in-family, White
44, Self-emp-not-inc,187164, HS-grad,9, Divorced, Transport-moving, Unmarried, White
34, Local-gov,303867, 9th,5, Never-married, Other-service, Own-child, White
19, Private,291429, HS-grad,9, Never-married, Other-service, Own-child, White
32, Private,213179, Some-college,10, Divorced, Craft-repair, Own-child, White
31, State-gov,111843, Assoc-acdm,12, Separated, Other-service, Unmarried, Black
25, Private,297154, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
47, Federal-gov,68493, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black
46, Federal-gov,340718, 11th,7, Widowed, Adm-clerical, Not-in-family, White
18, Private,194059, 12th,8, Never-married, Adm-clerical, Own-child, White
31, Private,47296, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White
28, State-gov,286310, HS-grad,9, Married-civ-spouse, Adm-clerical, Own-child, White
38, Private,207202, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
33, Self-emp-inc,132601, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
17, ?,139183, 10th,6, Never-married, ?, Own-child, White
41, Private,160785, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White
46, Private,117849, Some-college,10, Married-civ-spouse, Sales, Husband, White
38, Local-gov,225605, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
24, Private,190290, Bachelors,13, Never-married, Sales, Not-in-family, White
49, Private,164799, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
60, Federal-gov,21876, Some-college,10, Divorced, Prof-specialty, Not-in-family, Amer-Indian-Eskimo
44, Private,160785, Bachelors,13, Married-civ-spouse, Sales, Husband, White
63, Self-emp-inc,272425, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White
40, Private,168538, HS-grad,9, Married-civ-spouse, Sales, Husband, White
45, Self-emp-inc,204205, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
49, Private,142287, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White
36, Private,169926, HS-grad,9, Divorced, Sales, Not-in-family, White
65, Local-gov,205024, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
41, Private,374764, Bachelors,13, Widowed, Exec-managerial, Unmarried, White
25, Private,108779, Masters,14, Separated, Other-service, Own-child, White
20, ?,293136, Some-college,10, Never-married, ?, Own-child, White
60, Private,227332, Assoc-voc,11, Widowed, Adm-clerical, Not-in-family, White
17, Local-gov,246308, 11th,7, Never-married, Prof-specialty, Own-child, White
28, Private,51331, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Wife, White
31, Private,153078, Assoc-acdm,12, Never-married, Craft-repair, Own-child, Other
47, Private,169180, Masters,14, Never-married, Prof-specialty, Not-in-family, White
45, Self-emp-not-inc,193451, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
51, Private,305147, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
23, Private,138892, HS-grad,9, Never-married, Machine-op-inspct, Own-child, Black
44, Self-emp-not-inc,402397, Masters,14, Married-civ-spouse, Exec-managerial, Wife, White
34, Private,223267, HS-grad,9, Never-married, Exec-managerial, Other-relative, White
19, Private,29250, Some-college,10, Never-married, Prof-specialty, Own-child, White
51, ?,203953, HS-grad,9, Married-civ-spouse, ?, Husband, White
46, State-gov,29696, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
30, Private,315640, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
37, Private,632613, 10th,6, Married-civ-spouse, Farming-fishing, Husband, White
56, Private,282023, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
29, Private,77760, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
46, Self-emp-not-inc,148599, Masters,14, Married-civ-spouse, Craft-repair, Husband, White
55, Private,414994, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
45, Private,339863, Bachelors,13, Divorced, Sales, Not-in-family, White
34, Private,499249, HS-grad,9, Married-spouse-absent, Handlers-cleaners, Not-in-family, White
45, ?,144354, 9th,5, Separated, ?, Own-child, Black
41, Private,252058, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
22, ?,99543, Some-college,10, Never-married, ?, Own-child, White
34, Private,117963, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
27, Private,194652, HS-grad,9, Never-married, Craft-repair, Own-child, Black
29, Private,299705, Some-college,10, Never-married, Handlers-cleaners, Unmarried, Black
19, Federal-gov,27433, 12th,8, Never-married, Other-service, Own-child, White
47, Local-gov,39986, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
43, Self-emp-inc,135342, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
52, Private,270142, Assoc-voc,11, Separated, Exec-managerial, Unmarried, Black
33, Self-emp-not-inc,118267, Assoc-acdm,12, Divorced, Sales, Not-in-family, White
29, Private,266043, 9th,5, Married-civ-spouse, Transport-moving, Husband, White
23, Private,35633, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
23, Private,74568, Some-college,10, Never-married, Exec-managerial, Not-in-family, White
39, Private,214816, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
43, Private,222971, 5th-6th,3, Never-married, Machine-op-inspct, Unmarried, White
31, Private,259425, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
47, Self-emp-inc,212120, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
26, Private,245880, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
58, Local-gov,54947, Some-college,10, Never-married, Prof-specialty, Not-in-family, White
47, Self-emp-inc,79627, Prof-school,15, Divorced, Prof-specialty, Not-in-family, White
55, Private,151474, Bachelors,13, Never-married, Tech-support, Other-relative, White
26, Private,132661, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White
28, Private,161674, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White
36, Private,62346, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Black
40, Private,227236, HS-grad,9, Married-civ-spouse, Sales, Husband, White
19, Private,283033, 11th,7, Never-married, Other-service, Not-in-family, White
63, Self-emp-not-inc,298249, Bachelors,13, Married-civ-spouse, Sales, Husband, White
42, Private,251229, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White
76, Private,199949, 9th,5, Married-civ-spouse, Protective-serv, Husband, White
23, State-gov,305498, Assoc-voc,11, Never-married, Tech-support, Not-in-family, White
38, Self-emp-not-inc,203836, 5th-6th,3, Never-married, Transport-moving, Not-in-family, White
33, State-gov,79440, Masters,14, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander
48, Local-gov,142719, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
56, Private,119859, Some-college,10, Divorced, Transport-moving, Not-in-family, White
32, Private,141410, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black
44, Local-gov,202872, Some-college,10, Divorced, Prof-specialty, Unmarried, White
27, Private,198813, HS-grad,9, Divorced, Adm-clerical, Own-child, Black
33, Federal-gov,129707, Some-college,10, Never-married, Exec-managerial, Not-in-family, White
22, Private,445758, 5th-6th,3, Never-married, Handlers-cleaners, Not-in-family, White
18, ?,30246, Some-college,10, Never-married, ?, Own-child, White
44, Private,173981, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
42, Private,108506, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Amer-Indian-Eskimo
34, Private,134886, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
45, Federal-gov,181970, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
57, Self-emp-inc,282913, HS-grad,9, Married-civ-spouse, Sales, Husband, White
59, Local-gov,196013, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
33, Federal-gov,348491, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Black
52, Private,416164, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, Other
17, Private,121037, 12th,8, Never-married, Sales, Own-child, White
29, Private,103111, HS-grad,9, Never-married, Other-service, Own-child, White
63, Self-emp-not-inc,147589, Bachelors,13, Married-civ-spouse, Sales, Husband, White
20, Private,24008, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White
42, Self-emp-inc,123838, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
50, Self-emp-not-inc,175456, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
55, Private,84774, HS-grad,9, Married-civ-spouse, Priv-house-serv, Wife, White
27, Private,194590, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, Black
28, Private,134566, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
55, Private,211678, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White
44, Federal-gov,44822, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
53, State-gov,144586, Some-college,10, Never-married, Protective-serv, Not-in-family, White
23, Private,119156, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
25, Private,371987, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
44, State-gov,144125, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White
55, Private,31905, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
48, Self-emp-not-inc,121124, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
46, Private,58126, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
26, Private,318518, Some-college,10, Never-married, Transport-moving, Not-in-family, White
30, Private,296509, 7th-8th,4, Separated, Farming-fishing, Not-in-family, White
32, Private,473133, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
52, Private,155434, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
52, Private,99185, HS-grad,9, Married-civ-spouse, Sales, Husband, White
39, Private,56648, HS-grad,9, Separated, Sales, Not-in-family, White
57, Local-gov,118481, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
21, Private,321666, HS-grad,9, Never-married, Craft-repair, Own-child, White
22, State-gov,119838, Some-college,10, Never-married, Other-service, Own-child, White
26, Private,330695, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
26, State-gov,58039, Some-college,10, Married-civ-spouse, Other-service, Husband, White
44, Private,313022, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, Black
42, Private,178134, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
40, Private,165309, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
22, Private,216181, 11th,7, Never-married, Craft-repair, Own-child, White
62, Private,178745, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
44, Private,111067, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
18, ?,163788, Some-college,10, Never-married, ?, Own-child, White
33, Self-emp-not-inc,295591, 1st-4th,2, Married-spouse-absent, Craft-repair, Not-in-family, White
45, Private,123075, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
18, Private,78045, 11th,7, Married-civ-spouse, Handlers-cleaners, Own-child, White
32, Local-gov,255004, Some-college,10, Never-married, Craft-repair, Not-in-family, White
33, Private,254221, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White
20, Private,174714, Some-college,10, Never-married, Prof-specialty, Own-child, White
68, Self-emp-not-inc,450580, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
61, Private,128230, 7th-8th,4, Married-civ-spouse, Sales, Husband, White
48, Private,192894, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
45, Private,325390, HS-grad,9, Married-civ-spouse, Sales, Husband, White
36, Self-emp-not-inc,20333, HS-grad,9, Married-civ-spouse, Sales, Wife, White
32, Federal-gov,128714, HS-grad,9, Never-married, Other-service, Own-child, Black
35, Private,170797, Bachelors,13, Divorced, Other-service, Not-in-family, White
39, Private,269186, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
53, Private,127671, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White
30, Private,211840, Some-college,10, Separated, Sales, Unmarried, Black
37, Private,163392, HS-grad,9, Never-married, Transport-moving, Other-relative, Asian-Pac-Islander
40, Private,201495, Bachelors,13, Divorced, Protective-serv, Not-in-family, White
25, Private,251854, Some-college,10, Never-married, Adm-clerical, Not-in-family, Black
41, Private,279297, HS-grad,9, Never-married, Sales, Not-in-family, Black
52, Self-emp-not-inc,195462, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
33, Private,170769, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
28, Private,142443, HS-grad,9, Never-married, Craft-repair, Own-child, White
25, Self-emp-not-inc,182809, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
53, Private,121441, Some-college,10, Married-civ-spouse, Sales, Husband, White
44, Private,275094, 1st-4th,2, Never-married, Other-service, Own-child, White
35, Private,170263, HS-grad,9, Divorced, Exec-managerial, Unmarried, White
38, Private,172571, Some-college,10, Divorced, Craft-repair, Own-child, White
34, Private,178615, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
33, Private,279524, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White
24, State-gov,165201, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White
65, Local-gov,323006, HS-grad,9, Widowed, Other-service, Unmarried, Black
29, Private,235168, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White
39, Self-emp-inc,114844, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
46, Local-gov,216414, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White
