49, Private,168216, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White
47, Federal-gov,34845, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
22, Private,206861, Some-college,10, Never-married, Adm-clerical, Own-child, White
49, Self-emp-inc,349230, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White
20, Private,130840, HS-grad,9, Never-married, Craft-repair, Own-child, White
19, Private,415354, 10th,6, Divorced, Other-service, Not-in-family, White
27, Private,132191, HS-grad,9, Never-married, Craft-repair, Not-in-family, White
42, Private,202466, Assoc-acdm,12, Divorced, Prof-specialty, Unmarried, White
27, ?,224421, Some-college,10, Divorced, ?, Own-child, White
23, Self-emp-not-inc,236804, Some-college,10, Never-married, Farming-fishing, Own-child, White
20, Private,107658, Some-college,10, Never-married, Tech-support, Not-in-family, White
47, Private,102771, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
17, Private,221403, 12th,8, Never-married, Other-service, Own-child, Black
76, ?,211574, 10th,6, Married-civ-spouse, ?, Husband, White
39, Private,52645, Some-college,10, Divorced, Sales, Unmarried, White
25, Private,276310, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White
31, Private,134613, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Wife, Black
44, Private,215479, HS-grad,9, Divorced, Transport-moving, Not-in-family, Black
53, Private,266529, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White
34, Private,265807, Some-college,10, Separated, Craft-repair, Not-in-family, White
45, Self-emp-not-inc,67716, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
34, Private,178951, HS-grad,9, Married-civ-spouse, Sales, Husband, White
35, Private,241126, Masters,14, Married-civ-spouse, Sales, Husband, White
36, Private,176544, Some-college,10, Never-married, Other-service, Not-in-family, White
45, Private,169180, Some-college,10, Widowed, Other-service, Unmarried, White
37, Self-emp-not-inc,282461, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
53, Private,157069, Assoc-acdm,12, Married-civ-spouse, Machine-op-inspct, Husband, White
35, Private,99357, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White
38, Self-emp-not-inc,414991, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
65, Self-emp-inc,338316, Some-college,10, Married-civ-spouse, Sales, Husband, White
49, Self-emp-not-inc,59612, 10th,6, Divorced, Farming-fishing, Unmarried, White
24, Private,220426, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White
54, Private,115912, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
17, Private,27032, 10th,6, Never-married, Sales, Own-child, White
19, Private,170720, 12th,8, Never-married, Other-service, Own-child, White
60, Private,183162, HS-grad,9, Widowed, Machine-op-inspct, Not-in-family, White
46, Private,192360, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
78, ?,165694, Masters,14, Widowed, ?, Not-in-family, White
26, Private,128553, Some-college,10, Never-married, Exec-managerial, Own-child, Black
58, Private,209423, 1st-4th,2, Married-civ-spouse, Other-service, Husband, White
37, Self-emp-not-inc,121510, HS-grad,9, Divorced, Exec-managerial, Unmarried, White
41, Private,93793, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
30, Private,133602, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White
19, Private,391329, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
48, Private,96359, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
22, Private,203894, Some-college,10, Never-married, Transport-moving, Not-in-family, White
50, Private,196193, Masters,14, Married-spouse-absent, Prof-specialty, Other-relative, White
25, Private,195994, 1st-4th,2, Never-married, Priv-house-serv, Not-in-family, White
18, Private,50879, 10th,6, Never-married, Other-service, Own-child, White
21, Private,186849, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
47, Private,201127, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
33, Private,110998, HS-grad,9, Never-married, Other-service, Other-relative, Amer-Indian-Eskimo
39, Private,190466, HS-grad,9, Divorced, Craft-repair, Own-child, White
67, Self-emp-not-inc,173935, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
19, Private,167140, Some-college,10, Never-married, Other-service, Own-child, White
18, Private,110230, 10th,6, Never-married, Other-service, Own-child, White
36, Private,287658, HS-grad,9, Never-married, Adm-clerical, Own-child, Black
23, Private,224954, Some-college,10, Never-married, Machine-op-inspct, Own-child, White
25, ?,394820, Some-college,10, Separated, ?, Unmarried, White
40, Private,37618, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
73, Self-emp-not-inc,29306, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
35, Private,37314, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
31, Private,420749, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White
20, Private,482732, 10th,6, Never-married, Machine-op-inspct, Not-in-family, White
20, Private,206215, HS-grad,9, Never-married, Adm-clerical, Own-child, White
27, Private,101364, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
66, Self-emp-inc,185369, 10th,6, Married-civ-spouse, Sales, Husband, White
66, Private,216856, Masters,14, Married-civ-spouse, Sales, Husband, White
64, Private,256019, Masters,14, Never-married, Prof-specialty, Not-in-family, White
48, Private,348144, Some-college,10, Divorced, Transport-moving, Not-in-family, White
24, Private,190293, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
51, Self-emp-not-inc,25932, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
25, Private,176729, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
33, Private,166961, 11th,7, Separated, Sales, Own-child, White
50, Private,86373, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
51, Private,320513, 7th-8th,4, Married-spouse-absent, Craft-repair, Not-in-family, Black
34, State-gov,190290, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
41, Local-gov,111891, 7th-8th,4, Never-married, Other-service, Unmarried, Black
30, Self-emp-not-inc,45796, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
59, Private,108496, Some-college,10, Divorced, Craft-repair, Not-in-family, White
41, Self-emp-not-inc,120539, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
36, Self-emp-not-inc,164526, Masters,14, Never-married, Sales, Not-in-family, White
37, Private,323155, 1st-4th,2, Married-civ-spouse, Farming-fishing, Husband, White
28, Private,65389, HS-grad,9, Never-married, Other-service, Not-in-family, Amer-Indian-Eskimo
19, Private,414871, HS-grad,9, Never-married, Craft-repair, Own-child, White
28, Private,161607, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
62, Private,224953, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, Black
36, Private,261382, Masters,14, Married-civ-spouse, Sales, Husband, White
58, Self-emp-not-inc,231818, 10th,6, Never-married, Craft-repair, Not-in-family, White
42, Self-emp-inc,184018, HS-grad,9, Divorced, Sales, Unmarried, White
43, Self-emp-inc,133060, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
29, Private,35032, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
32, State-gov,304212, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White
64, Local-gov,50442, 9th,5, Never-married, Adm-clerical, Other-relative, White
39, Private,146091, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White
26, Private,267431, Bachelors,13, Never-married, Sales, Own-child, Black
19, Private,121240, HS-grad,9, Never-married, Other-service, Not-in-family, White
21, Private,192572, HS-grad,9, Never-married, Adm-clerical, Own-child, White
32, Private,211028, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
30, Local-gov,346122, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White
26, Private,202203, Bachelors,13, Never-married, Adm-clerical, Other-relative, White
20, Private,159297, Some-college,10, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander
19, Private,310158, Some-college,10, Never-married, Transport-moving, Own-child, White
33, Federal-gov,193246, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White
23, Private,200089, Some-college,10, Married-civ-spouse, Craft-repair, Other-relative, White
29, Private,38353, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
42, Private,76280, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White
30, Self-emp-not-inc,243665, HS-grad,9, Married-civ-spouse, Sales, Husband, White
63, Private,68872, HS-grad,9, Married-civ-spouse, Transport-moving, Wife, Asian-Pac-Islander
34, Private,103596, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
60, Self-emp-not-inc,88055, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
48, Private,186203, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
25, Private,257910, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
27, Private,200227, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, Black
55, Self-emp-not-inc,124975, HS-grad,9, Divorced, Craft-repair, Unmarried, White
32, Private,227669, Some-college,10, Never-married, Machine-op-inspct, Own-child, Black
22, Private,117210, Some-college,10, Never-married, Adm-clerical, Own-child, White
25, Private,76144, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White
18, Private,98667, 11th,7, Never-married, Other-service, Own-child, White
24, Local-gov,155818, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White
29, Private,283760, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
73, ?,281907, 11th,7, Married-civ-spouse, ?, Husband, White
39, Private,186183, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
33, Self-emp-inc,202153, Masters,14, Married-civ-spouse, Craft-repair, Husband, White
57, Private,365683, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White
22, Private,187538, 10th,6, Separated, Other-service, Unmarried, White
33, ?,209432, HS-grad,9, Separated, ?, Unmarried, White
33, Private,126950, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
42, Private,110028, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
43, Private,104660, Bachelors,13, Separated, Prof-specialty, Unmarried, White
57, Self-emp-not-inc,437281, Some-college,10, Married-civ-spouse, Tech-support, Husband, White
42, Private,259643, Masters,14, Divorced, Prof-specialty, Not-in-family, White
22, Private,217961, Some-college,10, Never-married, Transport-moving, Own-child, White
21, ?,134746, Some-college,10, Never-married, ?, Own-child, White
42, Self-emp-not-inc,120539, Bachelors,13, Married-civ-spouse, Sales, Husband, White
39, Private,25803, Some-college,10, Married-civ-spouse, Sales, Husband, White
41, Private,63596, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White
20, Local-gov,325493, HS-grad,9, Never-married, Handlers-cleaners, Own-child, Black
47, Private,211239, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
44, Private,206686, Some-college,10, Divorced, Adm-clerical, Unmarried, White
29, Private,427965, Bachelors,13, Never-married, Adm-clerical, Not-in-family, Black
52, Private,218550, Some-college,10, Married-spouse-absent, Adm-clerical, Not-in-family, White
71, Private,163385, Some-college,10, Widowed, Sales, Not-in-family, White
52, Private,124993, HS-grad,9, Never-married, Craft-repair, Own-child, White
36, Private,107410, HS-grad,9, Married-civ-spouse, Sales, Husband, White
53, Private,152373, Some-college,10, Divorced, Craft-repair, Not-in-family, White
37, Private,161226, HS-grad,9, Married-civ-spouse, Other-service, Wife, White
26, Private,213799, 10th,6, Never-married, Handlers-cleaners, Not-in-family, White
34, Private,204461, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
35, Private,377798, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
20, Private,116375, 9th,5, Never-married, Sales, Own-child, White
34, Local-gov,210164, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
56, Self-emp-not-inc,258752, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
39, Private,327435, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White
24, Private,301199, Some-college,10, Never-married, Tech-support, Own-child, White
24, Private,186221, 11th,7, Divorced, Sales, Unmarried, White
23, Private,203924, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
27, Private,192236, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
25, Private,152035, HS-grad,9, Never-married, Adm-clerical, Unmarried, White
29, Private,201454, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
42, Private,156580, Some-college,10, Married-civ-spouse, Machine-op-inspct, Wife, White
51, Private,115851, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
31, Private,106753, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
59, Private,359292, 1st-4th,2, Married-civ-spouse, Machine-op-inspct, Husband, White
29, Private,83003, HS-grad,9, Married-civ-spouse, Other-service, Wife, White
18, Private,78817, HS-grad,9, Never-married, Adm-clerical, Own-child, White
24, Private,200967, HS-grad,9, Married-civ-spouse, Craft-repair, Wife, White
38, State-gov,107164, Some-college,10, Separated, Exec-managerial, Own-child, White
36, Private,189674, HS-grad,9, Never-married, Priv-house-serv, Unmarried, Black
34, Self-emp-not-inc,90614, HS-grad,9, Separated, Exec-managerial, Not-in-family, White
42, Self-emp-not-inc,323790, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
45, Self-emp-not-inc,242552, 12th,8, Divorced, Craft-repair, Other-relative, Black
21, Private,90935, Assoc-voc,11, Never-married, Transport-moving, Own-child, White
64, Self-emp-inc,165667, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
32, Private,162604, HS-grad,9, Never-married, Machine-op-inspct, Other-relative, Black
45, Private,205424, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
53, Private,97411, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander
42, Private,184857, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
32, Private,165226, HS-grad,9, Divorced, Other-service, Not-in-family, White
49, Private,115784, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
62, Private,368476, 5th-6th,3, Married-civ-spouse, Farming-fishing, Husband, White
28, Private,53063, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
29, ?,134566, Doctorate,16, Married-civ-spouse, ?, Husband, White
32, Private,153471, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White
37, Self-emp-inc,107164, 10th,6, Never-married, Transport-moving, Not-in-family, White
38, Private,180303, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander
44, Local-gov,236321, HS-grad,9, Divorced, Transport-moving, Own-child, White
19, Private,141868, HS-grad,9, Never-married, Transport-moving, Own-child, White
22, ?,367655, Some-college,10, Never-married, ?, Own-child, White
24, Private,203518, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
58, Private,119558, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
56, Private,108276, Bachelors,13, Widowed, Other-service, Not-in-family, White
37, Private,385452, 10th,6, Divorced, Craft-repair, Unmarried, White
43, Private,162003, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, White
32, Private,349028, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
34, Private,45114, Bachelors,13, Never-married, Sales, Own-child, Black
44, Private,112797, 9th,5, Divorced, Other-service, Own-child, White
28, Private,183639, HS-grad,9, Never-married, Handlers-cleaners, Unmarried, White
35, Private,177121, HS-grad,9, Divorced, Other-service, Not-in-family, White
38, Private,239755, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
26, Private,150361, Some-college,10, Never-married, Tech-support, Own-child, White
20, Private,293091, 11th,7, Never-married, Transport-moving, Own-child, White
24, Private,200089, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
40, Private,91836, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
23, Private,324960, HS-grad,9, Never-married, Craft-repair, Other-relative, White
