40, Private, 173858, 7th-8th, 4, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander, Male, 0, 0, 42, Cambodia, <=50K
24, Private, 83141, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
23, Private, 120910, HS-grad, 9, Never-married, Other-service, Unmarried, White, Female, 0, 0, 35, United-States, <=50K
40, Private, 240124, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
52, State-gov, 314627, Masters, 14, Divorced, Prof-specialty, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 40, United-States, <=50K
24, Private, 417668, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 30, United-States, <=50K
26, Private, 43408, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
24, Local-gov, 184678, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
24, Private, 233419, HS-grad, 9, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
21, Private, 294295, HS-grad, 9, Never-married, Adm-clerical, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
30, Private, 162442, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 7688, 0, 50, United-States, >50K
34, Private, 120461, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
50, Private, 172942, Some-college, 10, Divorced, Other-service, Own-child, White, Male, 0, 0, 28, United-States, <=50K
27, Private, 318639, 10th, 6, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 60, Mexico, <=50K
34, Private, 111567, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 40, United-States, <=50K
32, Self-emp-not-inc, 56328, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 8, United-States, >50K
21, Private, 451996, HS-grad, 9, Never-married, Sales, Own-child, White, Male, 0, 0, 40, United-States, <=50K
35, Private, 308691, Masters, 14, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 48, United-States, <=50K
22, Private, 223019, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 20, United-States, <=50K
33, Private, 204742, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 44, United-States, <=50K
48, Private, 234504, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, <=50K
54, ?, 133963, HS-grad, 9, Widowed, ?, Own-child, White, Female, 0, 0, 40, United-States, <=50K
40, Private, 32627, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, <=50K
58, ?, 361870, HS-grad, 9, Married-civ-spouse, ?, Husband, Black, Male, 0, 0, 30, United-States, <=50K
28, Private, 377095, Bachelors, 13, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, <=50K
40, Private, 223277, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 50, United-States, >50K
17, Local-gov, 39815, 10th, 6, Never-married, Other-service, Own-child, White, Female, 0, 0, 25, United-States, <=50K
29, Private, 134566, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 20, United-States, <=50K
36, Private, 189404, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 1977, 35, United-States, >50K
36, Private, 81896, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
35, Private, 139086, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
46, ?, 280030, 5th-6th, 3, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, Mexico, <=50K
19, Private, 560804, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 30, United-States, <=50K
63, ?, 301611, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 20, United-States, <=50K
74, Private, 211075, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
19, Private, 35865, Some-college, 10, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K
49, Private, 153536, Some-college, 10, Divorced, Prof-specialty, Not-in-family, White, Male, 14084, 0, 44, United-States, >50K
29, Private, 215504, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
21, ?, 253190, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 48, United-States, <=50K
33, Private, 477106, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 40, United-States, <=50K
61, ?, 222395, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, <=50K
25, Private, 283515, Some-college, 10, Never-married, Protective-serv, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K
30, Private, 169186, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 60, United-States, <=50K
59, Self-emp-not-inc, 188003, Bachelors, 13, Widowed, Prof-specialty, Not-in-family, White, Female, 0, 0, 50, United-States, >50K
40, Private, 201495, Bachelors, 13, Divorced, Protective-serv, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
47, Private, 199058, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
31, Private, 175548, HS-grad, 9, Never-married, Other-service, Not-in-family, Other, Female, 0, 0, 35, United-States, <=50K
56, Private, 245215, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, <=50K
23, Private, 1038553, HS-grad, 9, Never-married, Exec-managerial, Not-in-family, Black, Male, 0, 0, 45, United-States, <=50K
28, Federal-gov, 183151, Assoc-acdm, 12, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 60, United-States, <=50K
31, Private, 255004, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 1741, 38, United-States, <=50K
38, Local-gov, 172855, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, Black, Female, 0, 1887, 40, United-States, >50K
47, Private, 228583, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, ?, <=50K
32, Private, 222548, HS-grad, 9, Divorced, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
30, State-gov, 193380, Bachelors, 13, Never-married, Prof-specialty, Other-relative, White, Male, 0, 0, 35, United-States, <=50K
36, Private, 218015, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 48, United-States, <=50K
73, ?, 123345, HS-grad, 9, Widowed, ?, Not-in-family, White, Female, 0, 0, 65, United-States, <=50K
49, Private, 115613, 9th, 5, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
18, Private, 107277, 11th, 7, Never-married, Sales, Own-child, White, Female, 0, 0, 20, United-States, <=50K
40, Private, 145160, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 43, United-States, <=50K
26, Private, 156805, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, 0, 0, 40, United-States, <=50K
20, Private, 266467, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 25, United-States, <=50K
30, Private, 345122, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, <=50K
29, Private, 250679, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
21, ?, 213055, Some-college, 10, Never-married, ?, Unmarried, Other, Female, 0, 0, 40, United-States, <=50K
27, Private, 333990, Assoc-voc, 11, Never-married, Exec-managerial, Own-child, White, Female, 0, 0, 40, United-States, <=50K
34, Private, 164190, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1902, 38, United-States, >50K
33, Local-gov, 292217, HS-grad, 9, Divorced, Protective-serv, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
26, Private, 247006, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 52, United-States, <=50K
23, Private, 200207, HS-grad, 9, Divorced, Handlers-cleaners, Own-child, White, Male, 0, 0, 44, United-States, <=50K
42, Private, 29702, 10th, 6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
23, Private, 257509, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 25, United-States, <=50K
47, Private, 184402, HS-grad, 9, Divorced, Other-service, Not-in-family, White, Male, 0, 0, 32, United-States, <=50K
22, Private, 318915, HS-grad, 9, Never-married, Other-service, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
45, Private, 210875, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
24, Private, 91999, Assoc-acdm, 12, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 20, United-States, <=50K
41, State-gov, 33126, Bachelors, 13, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, >50K
30, Local-gov, 145692, Some-college, 10, Never-married, Protective-serv, Not-in-family, Black, Male, 0, 1974, 40, United-States, <=50K
32, Private, 128016, HS-grad, 9, Married-spouse-absent, Other-service, Unmarried, White, Female, 0, 0, 20, United-States, <=50K
39, State-gov, 171482, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
31, Private, 118710, Masters, 14, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 1902, 40, United-States, >50K
29, Private, 413297, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 3411, 0, 70, Mexico, <=50K
47, Private, 121836, Masters, 14, Married-civ-spouse, Adm-clerical, Wife, White, Female, 7688, 0, 38, United-States, >50K
45, Self-emp-not-inc, 193451, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 45, United-States, <=50K
48, Private, 176026, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
38, Self-emp-not-inc, 152621, Bachelors, 13, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 99, United-States, <=50K
32, Local-gov, 19302, Assoc-acdm, 12, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 56, England, >50K
35, Private, 139647, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
35, Private, 35330, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 160920, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 45, United-States, <=50K
22, Private, 217363, HS-grad, 9, Separated, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
39, Private, 103456, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 45, United-States, >50K
37, Local-gov, 244803, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, ?, <=50K
40, ?, 161285, Some-college, 10, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 25, United-States, <=50K
42, Self-emp-not-inc, 185129, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1887, 40, United-States, >50K
21, Private, 179720, HS-grad, 9, Never-married, Other-service, Other-relative, White, Female, 0, 0, 30, United-States, <=50K
22, ?, 199426, Some-college, 10, Never-married, ?, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
28, Federal-gov, 42003, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, >50K
27, Private, 168138, HS-grad, 9, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 40, United-States, <=50K
49, Private, 104455, Bachelors, 13, Married-spouse-absent, Other-service, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 40, Philippines, <=50K
40, Federal-gov, 406463, Masters, 14, Never-married, Tech-support, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
22, Private, 168187, Some-college, 10, Never-married, Other-service, Unmarried, White, Female, 0, 0, 50, United-States, <=50K
50, Private, 121038, Assoc-voc, 11, Married-civ-spouse, Other-service, Wife, Black, Female, 0, 0, 40, United-States, <=50K
20, Private, 103840, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Female, 0, 0, 42, United-States, <=50K
30, Private, 108023, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
25, Private, 359985, 5th-6th, 3, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 33, Mexico, <=50K
31, Private, 45604, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 54, United-States, <=50K
35, Private, 255702, HS-grad, 9, Never-married, Other-service, Own-child, White, Female, 0, 0, 27, United-States, <=50K
27, Private, 492263, 10th, 6, Separated, Machine-op-inspct, Own-child, White, Male, 0, 0, 35, Mexico, <=50K
54, Private, 249322, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 7688, 0, 50, United-States, >50K
18, Private, 318082, Some-college, 10, Never-married, Sales, Own-child, White, Male, 0, 0, 35, United-States, <=50K
63, Private, 187635, HS-grad, 9, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
33, Private, 235847, Prof-school, 15, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, >50K
55, State-gov, 169482, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, >50K
17, Private, 202344, 10th, 6, Never-married, Other-service, Own-child, White, Male, 0, 0, 25, United-States, <=50K
19, Private, 38619, 11th, 7, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 10, United-States, <=50K
21, Private, 104981, Some-college, 10, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 48, United-States, <=50K
19, ?, 199609, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 40, United-States, <=50K
18, Private, 173585, HS-grad, 9, Never-married, Sales, Own-child, Black, Female, 0, 0, 18, United-States, <=50K
21, Private, 177526, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K
43, Self-emp-not-inc, 33521, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 70, United-States, >50K
23, Private, 269687, Assoc-voc, 11, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
32, Private, 272376, Assoc-acdm, 12, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
46, Private, 91608, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, >50K
36, Private, 111499, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 14084, 0, 40, United-States, >50K
30, Private, 100734, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States, <=50K
35, Private, 407068, 1st-4th, 2, Married-spouse-absent, Other-service, Not-in-family, White, Male, 0, 0, 40, Guatemala, <=50K
32, Private, 222221, Assoc-voc, 11, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7298, 0, 42, United-States, >50K
31, Self-emp-inc, 113530, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
19, Self-emp-not-inc, 30800, 10th, 6, Married-spouse-absent, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female, 0, 0, 40, United-States, <=50K
67, Private, 171584, Bachelors, 13, Married-civ-spouse, Protective-serv, Husband, White, Male, 6514, 0, 7, United-States, >50K
29, Private, 145592, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, Guatemala, <=50K
26, Private, 365289, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
72, Federal-gov, 217864, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, >50K
29, Self-emp-not-inc, 229341, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 50, United-States, >50K
41, Self-emp-inc, 236021, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 15024, 0, 40, United-States, >50K
22, Private, 272615, 11th, 7, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
47, Private, 332727, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
23, Private, 169104, Some-college, 10, Never-married, Sales, Own-child, Asian-Pac-Islander, Male, 0, 0, 25, United-States, <=50K
62, Private, 69867, Assoc-voc, 11, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7298, 0, 50, United-States, >50K
26, Private, 300290, 11th, 7, Divorced, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
20, Private, 171398, 10th, 6, Never-married, Sales, Not-in-family, Other, Male, 0, 0, 40, United-States, <=50K
21, Local-gov, 38771, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K
51, Private, 87205, Bachelors, 13, Married-civ-spouse, Adm-clerical, Wife, White, Female, 7688, 0, 20, United-States, >50K
28, Private, 209205, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 60, United-States, >50K
46, Private, 194698, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 60, United-States, <=50K
28, Private, 312372, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 15024, 0, 40, United-States, >50K
38, Private, 119177, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 55, United-States, >50K
39, Private, 129495, Some-college, 10, Separated, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
20, Private, 333843, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
30, Private, 326199, 9th, 5, Married-civ-spouse, Craft-repair, Husband, White, Male, 2580, 0, 40, United-States, <=50K
38, Private, 86551, Bachelors, 13, Divorced, Sales, Not-in-family, White, Male, 0, 0, 48, United-States, >50K
74, Private, 161387, HS-grad, 9, Divorced, Handlers-cleaners, Not-in-family, White, Female, 0, 0, 16, United-States, <=50K
31, State-gov, 151763, Masters, 14, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 25, United-States, <=50K
41, ?, 230020, 5th-6th, 3, Married-civ-spouse, ?, Husband, Other, Male, 0, 0, 40, United-States, <=50K
18, Private, 162840, 12th, 8, Never-married, Sales, Own-child, White, Female, 0, 0, 20, United-States, <=50K
40, Private, 208277, Some-college, 10, Never-married, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
31, Private, 199655, Masters, 14, Divorced, Other-service, Not-in-family, Other, Female, 0, 0, 30, United-States, <=50K
28, Private, 478315, Bachelors, 13, Never-married, Prof-specialty, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
42, Private, 154374, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 2415, 60, United-States, >50K
28, Private, 132686, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
19, ?, 124884, 9th, 5, Never-married, ?, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K
38, ?, 129150, 10th, 6, Separated, ?, Own-child, White, Male, 0, 0, 35, United-States, <=50K
31, Private, 446512, Some-college, 10, Separated, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
76, Private, 97077, 10th, 6, Widowed, Sales, Unmarried, Black, Female, 0, 0, 12, United-States, <=50K
50, Local-gov, 97449, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 48, United-States, <=50K
55, Private, 61708, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 6418, 0, 50, United-States, >50K
25, Local-gov, 90730, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1977, 40, United-States, >50K
62, Private, 201928, HS-grad, 9, Widowed, Craft-repair, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
33, Private, 171215, Masters, 14, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K
68, ?, 229016, HS-grad, 9, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 25, United-States, <=50K
38, Private, 210438, 7th-8th, 4, Divorced, Sales, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
32, Private, 132601, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
32, Private, 226883, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, Germany, <=50K
31, Private, 373432, 9th, 5, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 43, United-States, <=50K
45, Private, 174533, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 7298, 0, 50, United-States, >50K
24, Private, 153542, Some-college, 10, Never-married, Sales, Other-relative, White, Male, 0, 0, 35, United-States, <=50K
23, Private, 330571, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 16, United-States, <=50K
49, Private, 30219, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 1669, 40, United-States, <=50K
35, Private, 23621, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 70, United-States, <=50K
40, Private, 124915, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
54, Local-gov, 182388, HS-grad, 9, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 35, United-States, <=50K
23, Private, 218445, 5th-6th, 3, Never-married, Priv-house-serv, Unmarried, White, Female, 0, 0, 12, Mexico, <=50K
27, Private, 142712, Masters, 14, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 40, ?, <=50K
30, Self-emp-not-inc, 404062, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 1977, 15, United-States, >50K
23, Private, 107882, Bachelors, 13, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
32, Private, 204567, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 99999, 0, 60, United-States, >50K
38, Private, 439592, Some-college, 10, Never-married, Other-service, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
