27, Private, 221366, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 3103, 0, 50, United-States, >50K
33, Private, 285131, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
61, Private, 232308, 10th, 6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
52, Private, 168381, HS-grad, 9, Widowed, Other-service, Unmarried, Asian-Pac-Islander, Female, 0, 0, 40, India, >50K
29, Private, 152461, Bachelors, 13, Never-married, Prof-specialty, Unmarried, White, Female, 14344, 0, 50, United-States, >50K
42, Local-gov, 117227, Masters, 14, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 45, United-States, <=50K
32, Self-emp-not-inc, 116508, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 50, United-States, >50K
32, Private, 174215, Some-college, 10, Divorced, Sales, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
38, Private, 254439, 10th, 6, Widowed, Transport-moving, Unmarried, Black, Male, 114, 0, 40, United-States, <=50K
34, ?, 24504, HS-grad, 9, Never-married, ?, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
69, Self-emp-not-inc, 170877, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 48, United-States, <=50K
40, Federal-gov, 26358, Assoc-acdm, 12, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
30, Local-gov, 211654, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
20, Private, 132320, Some-college, 10, Separated, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 201743, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 26, United-States, <=50K
58, Private, 145574, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
19, ?, 124884, 9th, 5, Never-married, ?, Not-in-family, White, Female, 0, 0, 25, United-States, <=50K
44, Local-gov, 145178, HS-grad, 9, Married-civ-spouse, Other-service, Wife, Black, Female, 0, 0, 38, Jamaica, >50K
33, Private, 236818, Assoc-voc, 11, Never-married, Prof-specialty, Unmarried, Black, Female, 0, 0, 26, United-States, <=50K
35, Private, 30916, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, >50K
34, Private, 178951, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 45, United-States, <=50K
50, Private, 112351, HS-grad, 9, Divorced, Exec-managerial, Unmarried, White, Male, 0, 0, 38, United-States, <=50K
31, Private, 118966, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 18, United-States, <=50K
36, Private, 214378, HS-grad, 9, Divorced, Prof-specialty, Own-child, White, Female, 0, 0, 40, United-States, >50K
32, Private, 101283, HS-grad, 9, Never-married, Handlers-cleaners, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
22, Private, 410439, HS-grad, 9, Married-spouse-absent, Sales, Not-in-family, White, Male, 0, 0, 55, United-States, <=50K
27, Private, 372500, 5th-6th, 3, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 45, Mexico, <=50K
18, Private, 300379, 12th, 8, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 12, United-States, <=50K
40, Private, 139193, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
39, Private, 89419, Assoc-voc, 11, Divorced, Other-service, Not-in-family, Amer-Indian-Eskimo, Female, 0, 0, 40, Columbia, <=50K
18, Private, 91525, HS-grad, 9, Never-married, Sales, Other-relative, White, Male, 0, 0, 25, United-States, <=50K
25, Private, 104439, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
36, Private, 188571, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
22, Private, 157145, Assoc-voc, 11, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 50, United-States, <=50K
38, Private, 52738, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
41, Private, 108681, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States, <=50K
27, Private, 216481, Some-college, 10, Widowed, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
30, Self-emp-not-inc, 261943, 11th, 7, Married-spouse-absent, Craft-repair, Not-in-family, White, Male, 0, 0, 30, Honduras, <=50K
28, Private, 264498, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
62, Private, 24515, 9th, 5, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 182668, 10th, 6, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 35, United-States, <=50K
32, Private, 313729, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 342768, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
18, Private, 98667, 11th, 7, Never-married, Other-service, Own-child, White, Female, 0, 0, 16, United-States, <=50K
47, Private, 335973, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
53, State-gov, 123011, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K
20, State-gov, 334113, Some-college, 10, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
41, Local-gov, 227644, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
56, Private, 37394, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 260093, HS-grad, 9, Never-married, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
32, Private, 175856, Bachelors, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 1902, 40, United-States, >50K
20, Private, 243178, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 28, United-States, <=50K
60, Local-gov, 93272, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
59, Private, 21792, HS-grad, 9, Widowed, Other-service, Not-in-family, White, Female, 0, 0, 10, United-States, <=50K
46, Private, 29696, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
35, Private, 64922, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7688, 0, 50, United-States, >50K
18, Private, 83492, 7th-8th, 4, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 40, United-States, <=50K
41, Federal-gov, 192589, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
24, Private, 164529, 12th, 8, Never-married, Farming-fishing, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
48, Private, 224870, HS-grad, 9, Divorced, Machine-op-inspct, Other-relative, Other, Female, 0, 0, 38, Ecuador, <=50K
25, Private, 63062, Some-college, 10, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 60, United-States, <=50K
52, State-gov, 109600, Masters, 14, Married-spouse-absent, Exec-managerial, Unmarried, White, Female, 4787, 0, 44, United-States, >50K
20, Private, 204226, 11th, 7, Never-married, Other-service, Own-child, White, Female, 0, 0, 40, United-States, <=50K
28, Self-emp-not-inc, 227890, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, Black, Male, 0, 0, 50, United-States, >50K
32, Private, 261059, Some-college, 10, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
20, ?, 84375, HS-grad, 9, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 45, United-States, <=50K
22, Private, 243178, Bachelors, 13, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 20, United-States, <=50K
23, Private, 478994, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 40, United-States, <=50K
54, Self-emp-inc, 147239, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
24, Private, 124242, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
46, Local-gov, 36228, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1902, 40, United-States, <=50K
21, Private, 225890, Some-college, 10, Never-married, Other-service, Other-relative, White, Female, 0, 0, 30, United-States, <=50K
23, Private, 145111, HS-grad, 9, Never-married, Transport-moving, Unmarried, White, Male, 0, 0, 50, United-States, <=50K
64, Private, 169604, 11th, 7, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 35309, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
73, ?, 135601, Bachelors, 13, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 10, United-States, <=50K
39, Private, 61343, 10th, 6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 60, United-States, <=50K
44, Private, 82601, Bachelors, 13, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
30, Private, 194141, Some-college, 10, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 1617, 40, United-States, <=50K
39, Private, 190719, Some-college, 10, Divorced, Sales, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
20, Private, 406641, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 30, United-States, <=50K
33, Private, 301867, Some-college, 10, Never-married, Adm-clerical, Unmarried, Asian-Pac-Islander, Female, 0, 0, 35, United-States, <=50K
17, Private, 132636, 11th, 7, Never-married, Sales, Own-child, White, Female, 0, 0, 15, United-States, <=50K
50, Private, 88842, Bachelors, 13, Married-civ-spouse, Transport-moving, Husband, White, Male, 7298, 0, 40, United-States, >50K
29, Private, 150861, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
57, Private, 46699, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States, <=50K
58, Self-emp-inc, 258883, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
18, ?, 156608, 11th, 7, Never-married, ?, Own-child, White, Female, 0, 0, 25, United-States, <=50K
74, Private, 180455, Bachelors, 13, Widowed, Other-service, Not-in-family, White, Female, 0, 0, 8, United-States, <=50K
45, Private, 114032, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
46, Private, 389843, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, Germany, >50K
24, Private, 267706, Some-college, 10, Never-married, Craft-repair, Own-child, White, Female, 0, 0, 45, United-States, <=50K
24, Private, 205844, Bachelors, 13, Never-married, Exec-managerial, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
38, Private, 155222, Some-college, 10, Divorced, Machine-op-inspct, Not-in-family, Black, Female, 0, 0, 28, United-States, <=50K
45, Private, 246392, HS-grad, 9, Never-married, Priv-house-serv, Unmarried, Black, Female, 0, 0, 30, United-States, <=50K
18, Private, 201554, Some-college, 10, Never-married, Machine-op-inspct, Not-in-family, White, Female, 0, 0, 15, United-States, <=50K
32, Private, 46746, Some-college, 10, Divorced, Craft-repair, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
25, Private, 441210, HS-grad, 9, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 40, United-States, <=50K
32, Federal-gov, 82393, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 56, United-States, >50K
74, Self-emp-not-inc, 104001, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
23, Private, 204641, 10th, 6, Never-married, Handlers-cleaners, Unmarried, White, Male, 0, 0, 50, United-States, <=50K
28, Private, 120475, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 20, United-States, <=50K
22, Private, 304602, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, <=50K
26, Private, 173992, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, >50K
21, Private, 452640, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
38, Private, 255941, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 10520, 0, 50, United-States, >50K
37, Private, 308691, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, >50K
35, Private, 150125, Assoc-voc, 11, Divorced, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
23, Private, 240137, 5th-6th, 3, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 55, Mexico, <=50K
56, Private, 158752, Masters, 14, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 50, United-States, <=50K
22, Private, 218215, Some-college, 10, Never-married, Exec-managerial, Own-child, White, Female, 0, 0, 40, United-States, <=50K
42, Private, 134220, Assoc-voc, 11, Divorced, Exec-managerial, Own-child, Amer-Indian-Eskimo, Female, 0, 0, 40, United-States, <=50K
27, Private, 240172, Bachelors, 13, Married-spouse-absent, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
52, Private, 221936, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
23, Private, 72887, HS-grad, 9, Never-married, Craft-repair, Own-child, Asian-Pac-Islander, Male, 0, 0, 1, Vietnam, <=50K
44, Private, 32000, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 18, United-States, >50K
43, Private, 233851, Bachelors, 13, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
62, Private, 159841, HS-grad, 9, Widowed, Other-service, Not-in-family, White, Female, 0, 0, 24, United-States, <=50K
60, Private, 252413, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, Other, Male, 0, 0, 32, United-States, >50K
47, Private, 341471, HS-grad, 9, Divorced, Priv-house-serv, Not-in-family, White, Female, 0, 0, 4, United-States, <=50K
62, ?, 83439, 7th-8th, 4, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 202950, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, >50K
27, State-gov, 291196, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
51, Private, 90363, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 15024, 0, 40, United-States, >50K
56, Private, 143266, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
20, Private, 236592, 12th, 8, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 35, Italy, <=50K
22, Private, 161532, Some-college, 10, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 35, United-States, <=50K
20, Private, 70708, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 60, United-States, <=50K
25, Private, 66622, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 25, United-States, <=50K
46, Private, 243743, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
27, Private, 167031, Bachelors, 13, Never-married, Prof-specialty, Unmarried, Other, Female, 0, 0, 33, United-States, <=50K
27, Private, 144133, Bachelors, 13, Married-civ-spouse, Exec-managerial, Other-relative, White, Male, 0, 0, 50, United-States, <=50K
32, Private, 185732, 11th, 7, Divorced, Other-service, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
38, Private, 38312, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 65, United-States, >50K
32, Private, 83253, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 60, United-States, <=50K
23, Private, 200318, Assoc-acdm, 12, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K
52, Local-gov, 40641, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 5013, 0, 40, United-States, <=50K
37, Local-gov, 89491, Masters, 14, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
42, Private, 166740, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
22, Private, 51136, Some-college, 10, Never-married, Tech-support, Not-in-family, White, Female, 0, 0, 60, United-States, <=50K
69, ?, 168794, 7th-8th, 4, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 48, United-States, <=50K
47, Private, 264052, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 50, United-States, >50K
46, Private, 148738, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 1740, 35, United-States, <=50K
23, Private, 181820, Some-college, 10, Never-married, Farming-fishing, Unmarried, White, Male, 0, 0, 45, United-States, <=50K
34, Private, 96483, Assoc-acdm, 12, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female, 8614, 0, 60, United-States, >50K
32, Private, 207937, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
69, Federal-gov, 143849, 11th, 7, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 20, United-States, <=50K
46, Private, 127089, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 5178, 0, 38, United-States, >50K
74, State-gov, 117017, Some-college, 10, Separated, Sales, Not-in-family, White, Male, 0, 0, 16, United-States, <=50K
51, Private, 53838, Bachelors, 13, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
45, Private, 51664, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
43, Private, 211860, HS-grad, 9, Never-married, Other-service, Unmarried, Black, Female, 0, 0, 24, United-States, <=50K
43, Self-emp-inc, 286750, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, Black, Male, 0, 0, 99, United-States, >50K
44, Private, 317535, 1st-4th, 2, Married-civ-spouse, Protective-serv, Other-relative, White, Male, 0, 0, 40, Mexico, <=50K
35, Private, 82622, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K
31, Self-emp-not-inc, 204052, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
32, State-gov, 182556, Bachelors, 13, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 1887, 45, United-States, >50K
20, Private, 379198, HS-grad, 9, Never-married, Other-service, Other-relative, Other, Male, 0, 0, 40, Mexico, <=50K
43, Private, 160369, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 40, United-States, <=50K
66, Private, 134130, Bachelors, 13, Widowed, Other-service, Not-in-family, White, Male, 0, 0, 12, United-States, <=50K
68, ?, 133758, 7th-8th, 4, Widowed, ?, Not-in-family, Black, Male, 0, 0, 10, United-States, <=50K
20, ?, 133061, 9th, 5, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States, <=50K
33, State-gov, 111994, Some-college, 10, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 45, United-States, <=50K
49, Private, 187454, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 99999, 0, 65, United-States, >50K
55, Private, 60193, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
19, Private, 323810, 10th, 6, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 544091, HS-grad, 9, Married-AF-spouse, Adm-clerical, Wife, White, Female, 0, 0, 25, United-States, <=50K
24, ?, 33339, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 20, United-States, <=50K
60, Self-emp-not-inc, 127805, 7th-8th, 4, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, >50K
47, Federal-gov, 98726, Bachelors, 13, Married-spouse-absent, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
21, ?, 138575, HS-grad, 9, Never-married, ?, Other-relative, White, Male, 0, 0, 60, United-States, <=50K
