53, Private,104501, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
43, Private,174575, Some-college,10, Divorced, Prof-specialty, Unmarried, White
62, Self-emp-not-inc,82388, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
30, Private,207253, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
83, ?,251951, HS-grad,9, Widowed, ?, Not-in-family, White
39, Private,746786, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
41, Private,308296, HS-grad,9, Married-civ-spouse, Transport-moving, Wife, White
49, Private,101825, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White
25, Private,109009, 11th,7, Married-civ-spouse, Craft-repair, Husband, White
48, Private,413363, 11th,7, Married-civ-spouse, Transport-moving, Husband, White
59, ?,117751, Assoc-acdm,12, Divorced, ?, Not-in-family, White
44, State-gov,296326, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
36, Private,208358, 9th,5, Divorced, Handlers-cleaners, Not-in-family, White
40, Private,120277, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
21, Private,193219, HS-grad,9, Never-married, Adm-clerical, Own-child, Black
41, Private,86399, Some-college,10, Separated, Adm-clerical, Not-in-family, White
24, Private,215251, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
67, Self-emp-not-inc,124470, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
24, Private,228649, Bachelors,13, Never-married, Adm-clerical, Own-child, White
50, Self-emp-not-inc,386397, Bachelors,13, Married-civ-spouse, Sales, Husband, White
48, Private,96798, Masters,14, Divorced, Sales, Not-in-family, White
55, ?,106707, Assoc-acdm,12, Married-civ-spouse, ?, Husband, Black
29, Private,159768, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White
50, Private,139464, Bachelors,13, Divorced, Prof-specialty, Unmarried, White
64, State-gov,550848, 10th,6, Married-civ-spouse, Exec-managerial, Husband, White
49, Private,68505, 9th,5, Divorced, Other-service, Not-in-family, Black
20, Private,122215, HS-grad,9, Never-married, Other-service, Own-child, Black
30, Private,159442, HS-grad,9, Separated, Adm-clerical, Not-in-family, White
37, Private,80638, Bachelors,13, Married-civ-spouse, Other-service, Husband, Asian-Pac-Islander
52, Private,192390, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
22, Private,191324, Some-college,10, Never-married, Protective-serv, Own-child, White
77, ?,147284, HS-grad,9, Widowed, ?, Not-in-family, White
19, State-gov,73009, Some-college,10, Never-married, Adm-clerical, Own-child, White
52, Private,177858, HS-grad,9, Divorced, Craft-repair, Other-relative, White
42, Private,163003, Bachelors,13, Married-spouse-absent, Tech-support, Own-child, Asian-Pac-Islander
35, Private,95551, HS-grad,9, Separated, Exec-managerial, Not-in-family, White
27, Private,125298, Some-college,10, Never-married, Adm-clerical, Unmarried, White
54, State-gov,198186, HS-grad,9, Never-married, Other-service, Not-in-family, Black
37, Private,295949, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
37, Private,182668, 10th,6, Married-civ-spouse, Transport-moving, Husband, White
28, Private,124905, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White
63, Private,171635, Bachelors,13, Married-civ-spouse, Sales, Husband, White
19, Private,376240, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White
28, Private,157391, Bachelors,13, Never-married, Sales, Own-child, White
23, ?,114357, Some-college,10, Never-married, ?, Not-in-family, White
44, Private,178134, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White
31, Private,207201, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
35, Private,124483, Bachelors,13, Never-married, Sales, Not-in-family, Asian-Pac-Islander
64, Private,102103, HS-grad,9, Divorced, Priv-house-serv, Not-in-family, White
40, Private,92036, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
59, Local-gov,236426, Assoc-acdm,12, Divorced, Prof-specialty, Not-in-family, White
22, Private,400966, Some-college,10, Never-married, Adm-clerical, Own-child, White
40, Private,404573, Some-college,10, Never-married, Sales, Not-in-family, White
35, Private,227571, 7th-8th,4, Married-civ-spouse, Handlers-cleaners, Husband, White
20, Private,145917, Some-college,10, Never-married, Adm-clerical, Own-child, White
35, Local-gov,190226, HS-grad,9, Never-married, Protective-serv, Own-child, White
28, Private,356555, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
28, Private,66473, HS-grad,9, Divorced, Machine-op-inspct, Own-child, White
37, ?,172256, Some-college,10, Married-civ-spouse, ?, Husband, White
72, ?,118902, Doctorate,16, Married-civ-spouse, ?, Husband, White
25, Self-emp-inc,163039, Assoc-acdm,12, Never-married, Sales, Not-in-family, White
37, Private,89559, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
19, ?,35507, Some-college,10, Never-married, ?, Own-child, White
31, Private,163303, Assoc-voc,11, Divorced, Sales, Own-child, White
41, Private,192712, HS-grad,9, Never-married, Adm-clerical, Other-relative, White
31, Private,381153, 10th,6, Married-civ-spouse, Tech-support, Husband, White
44, Private,222434, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
20, Private,34706, Some-college,10, Never-married, Exec-managerial, Not-in-family, Black
57, Self-emp-not-inc,47857, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
26, Private,195216, HS-grad,9, Divorced, Other-service, Not-in-family, White
44, Self-emp-inc,103643, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
29, Local-gov,329426, HS-grad,9, Never-married, Protective-serv, Not-in-family, White
36, Private,183612, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White
40, Private,184105, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White
21, Private,211385, Assoc-acdm,12, Never-married, Other-service, Not-in-family, Black
21, Private,61777, Some-college,10, Never-married, Craft-repair, Not-in-family, White
34, Self-emp-not-inc,320194, Prof-school,15, Separated, Prof-specialty, Unmarried, White
24, Private,199444, Bachelors,13, Never-married, Exec-managerial, Own-child, White
28, Private,312588, 10th,6, Divorced, Other-service, Not-in-family, White
35, Private,168675, HS-grad,9, Separated, Transport-moving, Own-child, White
35, Private,87556, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
38, State-gov,220421, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
44, Federal-gov,404599, HS-grad,9, Divorced, Adm-clerical, Unmarried, Black
39, Private,99065, Bachelors,13, Married-civ-spouse, Handlers-cleaners, Wife, White
57, Local-gov,109973, HS-grad,9, Divorced, Other-service, Not-in-family, White
19, Private,246652, Some-college,10, Never-married, Sales, Own-child, White
29, Private,57423, Assoc-voc,11, Married-civ-spouse, Machine-op-inspct, Husband, White
23, Private,291248, HS-grad,9, Never-married, Machine-op-inspct, Other-relative, Black
50, Private,163708, HS-grad,9, Widowed, Other-service, Unmarried, White
51, Self-emp-not-inc,240358, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
28, Private,25955, Assoc-voc,11, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo
44, Private,101593, Bachelors,13, Married-civ-spouse, Sales, Husband, White
29, Self-emp-not-inc,227890, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black
31, Private,225053, HS-grad,9, Divorced, Transport-moving, Not-in-family, White
27, Private,228472, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White
34, Private,245378, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
50, Self-emp-inc,156623, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
27, Private,35032, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White
31, Private,258849, Assoc-voc,11, Never-married, Adm-clerical, Unmarried, Black
46, Private,190115, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White
39, Private,63910, Some-college,10, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander
40, Private,510072, Bachelors,13, Married-civ-spouse, Sales, Husband, White
28, Private,210867, 11th,7, Divorced, Sales, Own-child, White
18, Private,263024, HS-grad,9, Never-married, Sales, Own-child, White
51, Private,306785, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
58, Self-emp-inc,104333, HS-grad,9, Divorced, Sales, Not-in-family, White
66, Private,340734, HS-grad,9, Married-civ-spouse, Sales, Husband, White
36, Self-emp-not-inc,288585, HS-grad,9, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander
38, Private,241765, 11th,7, Divorced, Handlers-cleaners, Not-in-family, White
25, Private,111058, Assoc-acdm,12, Never-married, Exec-managerial, Own-child, White
25, Private,104662, HS-grad,9, Never-married, Other-service, Unmarried, White
90, Private,313986, 11th,7, Never-married, Handlers-cleaners, Own-child, White
41, Local-gov,52037, Some-college,10, Divorced, Adm-clerical, Unmarried, White
34, ?,146589, HS-grad,9, Never-married, ?, Unmarried, Black
33, Private,131776, Bachelors,13, Divorced, Prof-specialty, Unmarried, White
33, Private,254221, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
35, Private,152909, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
39, Self-emp-not-inc,211785, HS-grad,9, Never-married, Craft-repair, Own-child, Black
59, Private,160362, HS-grad,9, Married-civ-spouse, Sales, Husband, White
19, Private,387215, Some-college,10, Never-married, Tech-support, Own-child, White
39, Private,187046, HS-grad,9, Married-civ-spouse, Sales, Husband, White
19, ?,208874, Some-college,10, Never-married, ?, Own-child, White
27, Private,169631, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
52, Private,202956, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White
59, Self-emp-not-inc,80467, HS-grad,9, Divorced, Other-service, Own-child, White
28, Private,407672, Some-college,10, Divorced, Craft-repair, Unmarried, White
37, Private,243425, HS-grad,9, Divorced, Other-service, Other-relative, White
50, ?,174964, 10th,6, Married-civ-spouse, ?, Husband, White
36, Private,347491, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
34, Private,146161, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
23, Private,449432, Some-college,10, Never-married, Adm-clerical, Own-child, White
19, ?,175499, 11th,7, Never-married, ?, Own-child, White
33, Private,288825, HS-grad,9, Divorced, Craft-repair, Not-in-family, White
27, Local-gov,134813, Masters,14, Never-married, Prof-specialty, Own-child, White
31, Local-gov,190401, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
21, Private,260617, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White
31, Private,45604, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
59, Private,67841, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
40, Local-gov,244522, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White
19, Private,430471, 11th,7, Never-married, Handlers-cleaners, Own-child, White
47, Private,194698, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
34, Private,94235, Bachelors,13, Never-married, Craft-repair, Unmarried, White
57, Private,188330, HS-grad,9, Married-civ-spouse, Other-service, Husband, White
51, Local-gov,146181, 9th,5, Married-civ-spouse, Transport-moving, Husband, Black
21, Private,177125, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White
30, Self-emp-inc,68330, Some-college,10, Married-civ-spouse, Sales, Husband, White
46, Private,95636, Some-college,10, Divorced, Handlers-cleaners, Not-in-family, White
40, Private,238329, Bachelors,13, Never-married, Sales, Not-in-family, White
52, Private,416129, Preschool,1, Married-civ-spouse, Other-service, Not-in-family, White
23, Private,285004, Bachelors,13, Never-married, Sales, Not-in-family, Asian-Pac-Islander
90, ?,256514, Bachelors,13, Widowed, ?, Other-relative, White
25, Private,186294, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White
43, Private,188786, Some-college,10, Divorced, Transport-moving, Not-in-family, White
38, State-gov,31352, Some-college,10, Divorced, Protective-serv, Unmarried, Amer-Indian-Eskimo
22, Private,197613, Assoc-voc,11, Never-married, Other-service, Not-in-family, White
33, Local-gov,161942, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White
34, Private,275438, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
65, Private,361721, Assoc-voc,11, Married-civ-spouse, Transport-moving, Husband, White
50, Private,144968, HS-grad,9, Never-married, Tech-support, Own-child, White
29, Private,190539, Bachelors,13, Never-married, Sales, Not-in-family, White
25, Private,178037, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
54, Private,306985, Some-college,10, Divorced, Adm-clerical, Not-in-family, White
49, Private,87928, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
44, Private,242619, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White
24, Private,154165, 9th,5, Divorced, Other-service, Own-child, White
25, Private,511331, Bachelors,13, Never-married, Sales, Not-in-family, White
65, Local-gov,221026, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
56, Self-emp-not-inc,222182, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Black
39, Self-emp-not-inc,126569, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
23, Private,202344, Bachelors,13, Never-married, Prof-specialty, Own-child, White
20, Private,190423, Some-college,10, Never-married, Other-service, Not-in-family, White
24, Private,238917, 5th-6th,3, Never-married, Craft-repair, Unmarried, White
41, Private,221947, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
40, Self-emp-inc,37997, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
55, Private,147098, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
38, Private,278253, HS-grad,9, Divorced, Adm-clerical, Unmarried, White
23, Private,195411, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black
44, Private,76196, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
45, Private,120131, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
20, Self-emp-not-inc,186014, Some-college,10, Never-married, Adm-clerical, Own-child, White
29, Private,205903, HS-grad,9, Never-married, Other-service, Own-child, White
43, State-gov,125405, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
30, Private,219838, 12th,8, Divorced, Machine-op-inspct, Not-in-family, White
28, State-gov,19395, Some-college,10, Never-married, Adm-clerical, Not-in-family, White
31, Private,223327, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
52, Private,114062, HS-grad,9, Divorced, Craft-repair, Unmarried, White
36, Private,95654, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White
38, Private,177305, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
66, ?,299616, Some-college,10, Married-civ-spouse, ?, Husband, White
63, Self-emp-not-inc,117681, Assoc-voc,11, Married-civ-spouse, Farming-fishing, Husband, White
21, Private,237651, Some-college,10, Never-married, Other-service, Own-child, White
33, State-gov,150570, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
46, State-gov,106705, Some-college,10, Divorced, Prof-specialty, Unmarried, White
20, ?,174714, Some-college,10, Never-married, ?, Own-child, White
47, Self-emp-inc,175958, Bachelors,13, Never-married, Sales, Not-in-family, White
33, Private,144064, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White
66, ?,107112, 7th-8th,4, Never-married, ?, Other-relative, Black
20, Private,54152, Some-college,10, Never-married, Adm-clerical, Own-child, White
28, Private,152951, HS-grad,9, Divorced, Handlers-cleaners, Not-in-family, White
46, Private,190487, HS-grad,9, Divorced, Priv-house-serv, Unmarried, White
25, Private,306666, Some-college,10, Married-civ-spouse, Sales, Husband, Black
37, Private,195148, HS-grad,9, Married-civ-spouse, Craft-repair, Own-child, White
31, Self-emp-not-inc,226624, 9th,5, Married-civ-spouse, Craft-repair, Husband, White
49, Private,157569, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
22, State-gov,22966, Some-college,10, Married-spouse-absent, Tech-support, Unmarried, White
52, Private,379682, Assoc-voc,11, Married-civ-spouse, Other-service, Wife, White
29, Private,446559, Assoc-acdm,12, Married-civ-spouse, Exec-managerial, Wife, White
18, Private,41794, 11th,7, Never-married, Other-service, Own-child, White
31, Local-gov,90409, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
23, Private,125491, Some-college,10, Never-married, Other-service, Not-in-family, Asian-Pac-Islander
27, ?,129661, Assoc-voc,11, Married-civ-spouse, ?, Wife, Amer-Indian-Eskimo
54, Self-emp-not-inc,104748, 10th,6, Married-civ-spouse, Sales, Husband, White
50, Local-gov,169182, HS-grad,9, Divorced, Other-service, Unmarried, White
46, Private,324655, Masters,14, Married-civ-spouse, Tech-support, Husband, White
24, Private,122272, Bachelors,13, Never-married, Farming-fishing, Own-child, White
17, ?,114798, 11th,7, Never-married, ?, Own-child, White
49, Self-emp-inc,289707, HS-grad,9, Separated, Other-service, Not-in-family, White
54, Local-gov,137691, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
41, Private,84610, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
49, Private,166789, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
36, Local-gov,348728, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
23, Private,348092, HS-grad,9, Never-married, Transport-moving, Own-child, Black
63, Private,154526, Some-college,10, Widowed, Other-service, Not-in-family, White
67, Private,288371, HS-grad,9, Married-civ-spouse, Sales, Husband, White
23, Private,182342, HS-grad,9, Never-married, Craft-repair, Not-in-family, White
22, Private,244366, Bachelors,13, Never-married, Prof-specialty, Own-child, White
66, Private,102423, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Husband, White
25, Private,259688, 11th,7, Married-civ-spouse, Craft-repair, Husband, White
30, Private,98733, Some-college,10, Divorced, Machine-op-inspct, Unmarried, White
35, Private,174856, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
67, Self-emp-not-inc,141797, 7th-8th,4, Married-civ-spouse, Exec-managerial, Husband, White
30, Private,327202, 12th,8, Never-married, Craft-repair, Not-in-family, Black
26, Private,76996, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, Black
34, Private,260560, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
21, Private,370990, Some-college,10, Never-married, Sales, Own-child, White
18, Private,129010, 12th,8, Never-married, Craft-repair, Own-child, White
21, Private,452640, HS-grad,9, Never-married, Craft-repair, Not-in-family, White
76, Self-emp-inc,120796, 9th,5, Married-civ-spouse, Prof-specialty, Husband, White
51, Federal-gov,45334, Some-college,10, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander
26, Private,229523, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White
18, Private,127388, 12th,8, Never-married, Other-service, Not-in-family, White
