43, Private,295510, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
32, Private,339773, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White
31, Federal-gov,210926, HS-grad,9, Separated, Handlers-cleaners, Unmarried, White
29, Private,199499, Assoc-voc,11, Never-married, Other-service, Not-in-family, Black
46, Federal-gov,190729, Some-college,10, Married-civ-spouse, Other-service, Husband, White
32, Self-emp-inc,191385, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White
61, Private,193479, HS-grad,9, Widowed, Adm-clerical, Unmarried, White
43, Self-emp-not-inc,225165, 11th,7, Married-civ-spouse, Craft-repair, Husband, White
35, Private,346766, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White
39, State-gov,152307, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
18, ?,79990, 11th,7, Never-married, ?, Own-child, White
42, Self-emp-not-inc,170649, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
23, Private,197207, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
32, Private,229732, Bachelors,13, Married-civ-spouse, Sales, Husband, White
52, Private,204402, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
36, Private,181065, Assoc-acdm,12, Married-civ-spouse, Tech-support, Husband, White
38, Private,179579, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
50, Private,237729, HS-grad,9, Widowed, Sales, Not-in-family, White
23, ?,164574, Assoc-acdm,12, Never-married, ?, Own-child, White
71, Private,179574, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White
27, Private,191782, HS-grad,9, Never-married, Other-service, Other-relative, Black
56, Private,146660, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
28, Self-emp-not-inc,115945, Some-college,10, Never-married, Prof-specialty, Unmarried, White
45, Private,210875, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
28, Private,137898, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White
28, Local-gov,216965, Some-college,10, Married-civ-spouse, Protective-serv, Husband, White
18, Private,201554, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White
62, Private,57970, 7th-8th,4, Divorced, Handlers-cleaners, Not-in-family, White
35, Private,208378, 12th,8, Separated, Machine-op-inspct, Unmarried, White
39, Private,61343, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White
24, Private,283872, Some-college,10, Never-married, Adm-clerical, Not-in-family, Black
58, Private,225603, 9th,5, Divorced, Farming-fishing, Not-in-family, Black
48, Private,401333, HS-grad,9, Divorced, Sales, Not-in-family, White
57, Private,278228, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
31, Private,145377, Bachelors,13, Married-civ-spouse, Sales, Husband, White
25, Private,120238, HS-grad,9, Married-civ-spouse, Sales, Husband, White
34, Private,187215, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White
29, Self-emp-not-inc,144063, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White
38, Private,238721, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, Black
21, Private,164920, Some-college,10, Never-married, Other-service, Own-child, White
34, Self-emp-not-inc,152493, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
50, Private,92968, Bachelors,13, Never-married, Sales, Unmarried, White
50, Private,136836, HS-grad,9, Divorced, Prof-specialty, Unmarried, Black
49, Federal-gov,216453, Assoc-voc,11, Divorced, Exec-managerial, Unmarried, Black
30, Private,349148, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
29, State-gov,309620, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander
22, State-gov,347803, Some-college,10, Never-married, Adm-clerical, Not-in-family, Other
42, Private,85995, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
19, ?,167428, Some-college,10, Never-married, ?, Own-child, White
31, Private,164569, Some-college,10, Divorced, Other-service, Unmarried, White
42, Self-emp-not-inc,308279, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
20, Private,56322, Some-college,10, Never-married, Other-service, Own-child, White
51, ?,203015, HS-grad,9, Married-civ-spouse, ?, Husband, White
50, Private,211654, 10th,6, Married-civ-spouse, Craft-repair, Husband, White
27, Self-emp-inc,120126, 9th,5, Never-married, Craft-repair, Own-child, White
26, Private,239043, 11th,7, Never-married, Other-service, Not-in-family, White
61, ?,179761, HS-grad,9, Married-civ-spouse, ?, Husband, White
20, Private,312017, Some-college,10, Never-married, Protective-serv, Own-child, White
51, Private,257485, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
52, Private,49243, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
33, Private,229716, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White
31, Private,341672, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander
24, Private,32311, Some-college,10, Married-civ-spouse, Other-service, Wife, White
56, Private,275236, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, White
19, ?,400356, Some-college,10, Never-married, ?, Own-child, White
29, Private,184596, 11th,7, Married-civ-spouse, Craft-repair, Husband, White
18, Private,186909, HS-grad,9, Never-married, Sales, Other-relative, White
43, Private,152420, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Black
43, State-gov,261929, Doctorate,16, Married-spouse-absent, Prof-specialty, Unmarried, White
21, Private,235442, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White
51, Private,161691, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
20, ?,173945, 11th,7, Married-civ-spouse, ?, Other-relative, White
41, Private,355918, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White
45, State-gov,198660, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
20, Private,122649, HS-grad,9, Never-married, Other-service, Not-in-family, White
28, Private,421967, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White
50, Local-gov,259377, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White
47, Private,74305, Bachelors,13, Divorced, Craft-repair, Not-in-family, White
80, Self-emp-not-inc,34340, 7th-8th,4, Widowed, Farming-fishing, Not-in-family, White
47, Self-emp-not-inc,182752, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White
19, ?,48393, Some-college,10, Never-married, ?, Own-child, White
45, Private,34248, HS-grad,9, Married-civ-spouse, Sales, Husband, White
17, Private,186677, 11th,7, Never-married, Handlers-cleaners, Own-child, White
37, Private,167851, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
27, Private,146460, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White
17, Private,209650, 12th,8, Never-married, Other-service, Own-child, White
18, Self-emp-not-inc,132986, HS-grad,9, Never-married, Farming-fishing, Own-child, White
57, Private,94429, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White
26, Private,252406, HS-grad,9, Separated, Adm-clerical, Unmarried, White
26, Private,174592, Masters,14, Never-married, Exec-managerial, Own-child, White
36, Self-emp-not-inc,151322, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
51, Private,37237, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White
38, Private,101192, Some-college,10, Never-married, Other-service, Not-in-family, White
77, ?,152900, 5th-6th,3, Married-civ-spouse, ?, Husband, White
51, Private,94081, HS-grad,9, Never-married, Craft-repair, Not-in-family, White
24, Private,329408, 11th,7, Never-married, Handlers-cleaners, Not-in-family, White
35, Private,106028, HS-grad,9, Divorced, Farming-fishing, Not-in-family, White
35, ?,164866, 10th,6, Divorced, ?, Not-in-family, White
51, Self-emp-inc,167793, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
28, Private,138692, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
37, Private,173968, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White
43, Private,228320, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White
23, Private,96585, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White
42, Private,156580, Bachelors,13, Married-civ-spouse, Sales, Wife, White
58, Private,210673, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White
52, Local-gov,137753, HS-grad,9, Married-civ-spouse, Other-service, Wife, Black
29, Private,29865, HS-grad,9, Divorced, Sales, Not-in-family, Amer-Indian-Eskimo
27, Private,196044, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
28, Private,308995, Some-college,10, Never-married, Adm-clerical, Own-child, Black
59, Private,159008, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White
28, Private,362491, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
24, Private,94395, Some-college,10, Never-married, Craft-repair, Not-in-family, White
20, Private,320047, 10th,6, Married-spouse-absent, Handlers-cleaners, Not-in-family, White
54, Private,98535, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White
65, Private,183170, HS-grad,9, Divorced, Other-service, Not-in-family, White
18, ?,331511, Some-college,10, Never-married, ?, Own-child, White
38, Private,195686, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
29, Private,178244, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White
27, Private,127833, HS-grad,9, Never-married, Adm-clerical, Own-child, Black
36, Private,269722, Masters,14, Married-civ-spouse, Other-service, Husband, White
55, State-gov,136819, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White
22, Private,205604, 5th-6th,3, Never-married, Machine-op-inspct, Not-in-family, White
28, Private,132078, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White
20, Private,234880, Some-college,10, Never-married, Sales, Own-child, White
24, Private,196816, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White
36, Private,237943, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
68, Self-emp-inc,140852, HS-grad,9, Married-civ-spouse, Sales, Husband, White
49, Self-emp-not-inc,105614, HS-grad,9, Divorced, Sales, Not-in-family, White
18, Private,83492, 7th-8th,4, Never-married, Machine-op-inspct, Own-child, White
50, Self-emp-not-inc,225772, Doctorate,16, Divorced, Prof-specialty, Not-in-family, White
37, Private,242713, 12th,8, Separated, Priv-house-serv, Unmarried, Black
60, Private,355865, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White
43, Private,173316, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
43, Self-emp-inc,35662, Doctorate,16, Married-civ-spouse, Prof-specialty, Wife, White
17, Private,297246, 11th,7, Never-married, Priv-house-serv, Own-child, White
43, Private,108945, Some-college,10, Never-married, Exec-managerial, Not-in-family, White
39, Private,112158, Some-college,10, Married-civ-spouse, Sales, Husband, White
21, Self-emp-not-inc,57298, Some-college,10, Never-married, Adm-clerical, Own-child, White
42, Self-emp-not-inc,115323, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White
48, Self-emp-not-inc,164582, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White
56, Private,295067, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White
21, Private,177265, Assoc-acdm,12, Never-married, Other-service, Own-child, White
28, Local-gov,336543, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander
39, Self-emp-not-inc,52870, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
40, Private,316820, 7th-8th,4, Married-civ-spouse, Sales, Husband, White
38, Local-gov,200153, Assoc-acdm,12, Never-married, Prof-specialty, Not-in-family, White
59, Private,453067, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White
51, Federal-gov,27166, HS-grad,9, Married-civ-spouse, Tech-support, Husband, White
19, Private,299598, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White
23, Private,122048, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White
31, Private,345277, Bachelors,13, Divorced, Prof-specialty, Not-in-family, White
42, Private,113147, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, Black
43, Private,34007, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White
45, Private,255014, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White
