53, ?, 29231, 7th-8th, 4, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 35, United-States, <=50K
26, Private, 157028, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 55, United-States, >50K
58, Private, 220789, Bachelors, 13, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
21, Private, 216129, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 35, United-States, <=50K
25, Local-gov, 31873, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
31, Private, 187203, HS-grad, 9, Never-married, Sales, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
25, Federal-gov, 27142, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
26, Private, 138152, 12th, 8, Never-married, Craft-repair, Other-relative, Other, Male, 0, 0, 48, Guatemala, <=50K
27, Private, 198813, HS-grad, 9, Divorced, Adm-clerical, Own-child, Black, Female, 0, 0, 40, United-States, <=50K
40, Private, 51290, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
45, Private, 168262, Masters, 14, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
24, Private, 327518, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, <=50K
48, Private, 125892, Bachelors, 13, Divorced, Exec-managerial, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
64, Private, 210082, HS-grad, 9, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
40, Private, 115932, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, Ireland, >50K
59, Private, 159937, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 48, United-States, <=50K
22, Private, 122272, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
35, Private, 199753, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 48, United-States, <=50K
26, Private, 139116, Some-college, 10, Never-married, Other-service, Own-child, Black, Female, 0, 0, 50, United-States, <=50K
29, Private, 358124, HS-grad, 9, Never-married, Other-service, Other-relative, Black, Female, 0, 0, 52, United-States, <=50K
26, Private, 137658, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
28, Federal-gov, 42003, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, >50K
39, State-gov, 218249, Some-college, 10, Separated, Prof-specialty, Unmarried, Black, Female, 0, 0, 37, United-States, <=50K
37, Local-gov, 217689, Some-college, 10, Married-civ-spouse, Other-service, Husband, Amer-Indian-Eskimo, Male, 0, 0, 32, United-States, <=50K
25, Private, 346159, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
31, Private, 164870, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, Mexico, <=50K
32, Private, 227931, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
53, Private, 95864, HS-grad, 9, Never-married, Adm-clerical, Other-relative, White, Male, 0, 0, 35, United-States, <=50K
47, Private, 209320, HS-grad, 9, Separated, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
23, Private, 136824, Some-college, 10, Never-married, Other-service, Own-child, White, Male, 0, 0, 20, United-States, <=50K
66, ?, 206560, HS-grad, 9, Widowed, ?, Not-in-family, Other, Female, 0, 0, 35, Puerto-Rico, <=50K
46, Private, 99385, Bachelors, 13, Separated, Exec-managerial, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
68, ?, 76371, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 35, United-States, <=50K
54, Private, 171924, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 70, United-States, <=50K
26, Private, 243560, Some-college, 10, Never-married, Sales, Unmarried, White, Female, 0, 0, 40, ?, <=50K
32, Private, 177531, 10th, 6, Divorced, Other-service, Unmarried, Black, Female, 0, 0, 23, United-States, <=50K
47, Private, 120131, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, >50K
49, Private, 185385, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
38, Private, 193026, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
36, Private, 176335, Some-college, 10, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
54, ?, 124993, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, >50K
23, Private, 391171, Some-college, 10, Never-married, Other-service, Not-in-family, Black, Male, 0, 0, 25, United-States, <=50K
63, Private, 30813, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
49, ?, 407495, HS-grad, 9, Married-spouse-absent, ?, Not-in-family, White, Male, 0, 0, 70, United-States, <=50K
41, Self-emp-not-inc, 197176, Bachelors, 13, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 75, United-States, >50K
31, Private, 136651, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, Mexico, <=50K
27, Private, 156266, 9th, 5, Married-civ-spouse, Farming-fishing, Husband, Amer-Indian-Eskimo, Male, 0, 0, 40, United-States, <=50K
53, Private, 126592, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, Black, Male, 7688, 0, 40, United-States, >50K
43, Local-gov, 108945, Bachelors, 13, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 48, United-States, <=50K
74, Private, 101590, Prof-school, 15, Widowed, Adm-clerical, Not-in-family, Black, Female, 0, 0, 20, United-States, <=50K
24, Private, 214542, Some-college, 10, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 60, Canada, <=50K
34, Self-emp-inc, 343789, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7688, 0, 55, United-States, >50K
28, Private, 175431, 9th, 5, Divorced, Prof-specialty, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
33, Private, 143851, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
40, Private, 184655, Assoc-acdm, 12, Never-married, Other-service, Other-relative, White, Male, 0, 0, 25, United-States, <=50K
23, Private, 31606, HS-grad, 9, Never-married, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
18, ?, 78181, HS-grad, 9, Never-married, ?, Own-child, White, Female, 0, 0, 20, United-States, <=50K
25, Self-emp-not-inc, 463667, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 8, United-States, <=50K
35, Private, 117381, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 8614, 0, 45, United-States, >50K
27, Private, 19395, Some-college, 10, Married-civ-spouse, Handlers-cleaners, Wife, White, Female, 0, 0, 35, United-States, <=50K
51, Private, 92463, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
29, Private, 161097, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, 0, 0, 40, United-States, >50K
27, ?, 189399, Some-college, 10, Divorced, ?, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
42, Private, 157367, HS-grad, 9, Never-married, Adm-clerical, Unmarried, Black, Female, 0, 0, 35, ?, <=50K
59, Private, 108765, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, <=50K
54, Private, 343242, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 44, United-States, >50K
54, Federal-gov, 128378, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
27, Private, 205440, 10th, 6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
28, ?, 230704, HS-grad, 9, Never-married, ?, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
38, Private, 99138, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K
39, Local-gov, 57424, Bachelors, 13, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 35, United-States, <=50K
30, Private, 149531, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, <=50K
23, Private, 177526, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
21, Private, 206891, 7th-8th, 4, Never-married, Farming-fishing, Own-child, White, Female, 0, 0, 38, United-States, <=50K
29, Private, 206250, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, <=50K
31, Local-gov, 50442, Some-college, 10, Never-married, Adm-clerical, Own-child, Amer-Indian-Eskimo, Female, 0, 0, 25, United-States, <=50K
19, Private, 219189, 12th, 8, Never-married, Other-service, Own-child, White, Male, 0, 0, 25, United-States, <=50K
45, Private, 362883, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 5013, 0, 40, United-States, <=50K
22, Private, 416165, Some-college, 10, Never-married, Sales, Unmarried, White, Female, 0, 0, 32, United-States, <=50K
58, Self-emp-not-inc, 204021, HS-grad, 9, Widowed, Exec-managerial, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
29, Private, 71860, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 60, United-States, <=50K
37, Private, 174150, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
53, Local-gov, 216691, Doctorate, 16, Divorced, Prof-specialty, Not-in-family, White, Female, 10520, 0, 40, United-States, >50K
22, Private, 254547, Some-college, 10, Never-married, Exec-managerial, Unmarried, Black, Female, 0, 0, 40, Jamaica, <=50K
59, Private, 188041, HS-grad, 9, Divorced, Handlers-cleaners, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
46, Private, 167915, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
56, ?, 32855, HS-grad, 9, Divorced, ?, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
56, Private, 174533, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 45, United-States, >50K
44, Private, 326232, Bachelors, 13, Divorced, Exec-managerial, Unmarried, White, Male, 0, 2547, 50, United-States, >50K
21, ?, 301853, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States, <=50K
47, Private, 341762, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 33, United-States, <=50K
78, Private, 135566, HS-grad, 9, Widowed, Sales, Unmarried, White, Female, 2329, 0, 12, United-States, <=50K
37, Self-emp-not-inc, 154410, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
