31, Private, 574005, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 44, United-States, >50K
59, Private, 195835, 7th-8th, 4, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
29, Local-gov, 116751, Assoc-voc, 11, Divorced, Protective-serv, Unmarried, White, Male, 0, 0, 56, United-States, <=50K
46, Private, 35969, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 51, United-States, <=50K
28, Private, 139568, 11th, 7, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
25, Private, 371987, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
36, Federal-gov, 47310, Some-college, 10, Divorced, Exec-managerial, Unmarried, Black, Female, 0, 0, 40, United-States, >50K
40, Self-emp-not-inc, 33658, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
41, Private, 119266, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
30, Private, 432565, Assoc-voc, 11, Married-civ-spouse, Tech-support, Other-relative, White, Female, 0, 0, 40, Canada, >50K
69, Self-emp-not-inc, 170877, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 48, United-States, <=50K
47, Private, 160474, HS-grad, 9, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 30, United-States, >50K
45, Private, 174794, Bachelors, 13, Separated, Prof-specialty, Unmarried, White, Female, 0, 0, 56, Germany, <=50K
46, Private, 102308, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 56, United-States, >50K
41, Private, 191451, Masters, 14, Divorced, Exec-managerial, Unmarried, Black, Female, 0, 0, 60, United-States, >50K
41, Private, 183105, HS-grad, 9, Separated, Machine-op-inspct, Unmarried, White, Female, 0, 0, 44, Cuba, <=50K
23, Private, 447488, 9th, 5, Never-married, Machine-op-inspct, Other-relative, White, Male, 0, 0, 35, Mexico, <=50K
51, Local-gov, 123325, Prof-school, 15, Widowed, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
25, Private, 224361, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
44, Private, 267521, Bachelors, 13, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
33, Private, 164707, Assoc-acdm, 12, Never-married, Exec-managerial, Unmarried, White, Female, 2174, 0, 55, ?, <=50K
39, Private, 207185, Some-college, 10, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 35, Puerto-Rico, >50K
31, Private, 144064, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 48, United-States, >50K
31, Private, 288983, Some-college, 10, Never-married, Protective-serv, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
50, Private, 129956, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 48, United-States, >50K
19, Local-gov, 202184, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 15, United-States, <=50K
24, Private, 196678, Preschool, 1, Never-married, Machine-op-inspct, Own-child, White, Female, 0, 0, 30, United-States, <=50K
28, Local-gov, 100270, Bachelors, 13, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
20, ?, 168863, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 20, United-States, <=50K
46, Private, 145290, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
20, Private, 127185, Some-college, 10, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 15, United-States, <=50K
31, Self-emp-not-inc, 204052, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
28, Self-emp-not-inc, 183523, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, Hungary, <=50K
31, Private, 196125, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
22, State-gov, 262819, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
36, Private, 181322, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
65, Self-emp-not-inc, 139960, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 10605, 0, 60, United-States, >50K
32, Private, 29312, 10th, 6, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 80, United-States, >50K
54, Private, 284952, 10th, 6, Separated, Sales, Unmarried, White, Female, 0, 0, 43, Italy, <=50K
47, Private, 120131, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
28, Private, 46868, Masters, 14, Never-married, Tech-support, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
64, Private, 218490, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, White, Male, 27828, 0, 55, United-States, >50K
52, Private, 145271, Bachelors, 13, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, 0, 0, 40, United-States, <=50K
22, Private, 322674, Some-college, 10, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 40, United-States, <=50K
28, Private, 55191, Assoc-acdm, 12, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
55, State-gov, 111130, Assoc-acdm, 12, Divorced, Adm-clerical, Own-child, Asian-Pac-Islander, Male, 0, 0, 40, United-States, <=50K
61, Private, 232308, 10th, 6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
48, Self-emp-not-inc, 383384, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
30, Private, 293512, Assoc-voc, 11, Never-married, Prof-specialty, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
58, Private, 110844, Masters, 14, Widowed, Sales, Not-in-family, White, Female, 0, 0, 27, United-States, <=50K
41, Private, 242586, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
30, Private, 103649, Bachelors, 13, Married-civ-spouse, Adm-clerical, Wife, Black, Female, 0, 0, 40, United-States, >50K
25, ?, 196627, 11th, 7, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States, <=50K
50, Self-emp-not-inc, 99894, 5th-6th, 3, Never-married, Tech-support, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 15, United-States, <=50K
55, Private, 419732, Some-college, 10, Divorced, Other-service, Unmarried, White, Female, 0, 0, 38, United-States, <=50K
50, ?, 87263, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 55, United-States, >50K
42, Private, 20809, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Male, 0, 0, 75, United-States, >50K
46, Self-emp-not-inc, 233974, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 35, United-States, <=50K
30, Private, 201624, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, Black, Male, 0, 0, 45, ?, <=50K
43, Private, 306440, Prof-school, 15, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 66, France, <=50K
35, Private, 171327, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
47, Local-gov, 93618, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 33, United-States, <=50K
82, Private, 147729, 5th-6th, 3, Widowed, Other-service, Unmarried, White, Male, 0, 0, 20, United-States, <=50K
35, State-gov, 237873, HS-grad, 9, Never-married, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
37, Private, 133328, HS-grad, 9, Divorced, Sales, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
60, ?, 174073, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, <=50K
17, Private, 297246, 11th, 7, Never-married, Priv-house-serv, Own-child, White, Female, 0, 0, 9, United-States, <=50K
52, Self-emp-not-inc, 135339, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, 0, 0, 40, ?, >50K
46, Private, 403911, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 1902, 40, United-States, >50K
26, Private, 302097, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 3464, 0, 48, United-States, <=50K
23, Private, 285004, Bachelors, 13, Never-married, Sales, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 50, Taiwan, <=50K
27, Private, 704108, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
21, Private, 25265, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
25, Private, 308144, Bachelors, 13, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, Mexico, <=50K
78, ?, 27979, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 2228, 0, 32, United-States, <=50K
25, Private, 141876, Masters, 14, Never-married, Prof-specialty, Unmarried, White, Male, 0, 0, 45, ?, <=50K
44, Private, 223194, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 1485, 40, Haiti, <=50K
19, Private, 93604, 7th-8th, 4, Never-married, Craft-repair, Own-child, White, Male, 0, 1602, 32, United-States, <=50K
23, Private, 32950, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
28, Private, 113987, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female, 0, 0, 40, United-States, <=50K
58, Private, 172618, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, >50K
17, Private, 167658, 12th, 8, Never-married, Sales, Own-child, White, Female, 0, 0, 6, United-States, <=50K
17, Private, 165918, 11th, 7, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 20, Peru, <=50K
30, Self-emp-not-inc, 172748, 7th-8th, 4, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
18, ?, 152641, 10th, 6, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States, <=50K
69, Private, 512992, 11th, 7, Married-civ-spouse, Prof-specialty, Husband, Black, Male, 0, 0, 45, United-States, <=50K
51, Self-emp-not-inc, 205100, HS-grad, 9, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 0, 40, United-States, <=50K
33, Self-emp-not-inc, 134737, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 35, United-States, <=50K
80, Private, 157778, Masters, 14, Widowed, Prof-specialty, Not-in-family, White, Female, 0, 0, 10, United-States, <=50K
29, Private, 385092, Some-college, 10, Divorced, Prof-specialty, Own-child, White, Female, 0, 0, 36, United-States, <=50K
48, Private, 141511, 10th, 6, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, >50K
40, State-gov, 390781, HS-grad, 9, Divorced, Other-service, Not-in-family, Black, Female, 0, 0, 48, United-States, <=50K
65, Private, 153522, HS-grad, 9, Widowed, Other-service, Unmarried, White, Female, 0, 0, 17, United-States, <=50K
29, Private, 130438, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
61, Private, 191417, 9th, 5, Widowed, Exec-managerial, Not-in-family, Black, Male, 0, 0, 65, United-States, <=50K
28, Self-emp-inc, 201186, HS-grad, 9, Married-civ-spouse, Sales, Husband, Black, Male, 99999, 0, 40, United-States, >50K
19, Private, 87653, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 25, United-States, <=50K
44, Federal-gov, 280362, Assoc-acdm, 12, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, >50K
27, Private, 36851, Bachelors, 13, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 41, United-States, <=50K
22, Federal-gov, 65547, Some-college, 10, Never-married, Exec-managerial, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
34, Private, 196164, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
48, State-gov, 224474, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
19, Private, 372483, Some-college, 10, Never-married, Other-service, Other-relative, Black, Male, 0, 0, 35, United-States, <=50K
23, Private, 139012, Assoc-voc, 11, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male, 0, 0, 40, South, <=50K
54, Local-gov, 279452, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 40, United-States, <=50K
36, Private, 185099, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 70, United-States, >50K
56, Private, 31782, 10th, 6, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
32, Private, 316470, 5th-6th, 3, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, Mexico, <=50K
28, Private, 213276, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, United-States, <=50K
31, Private, 188108, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 4101, 0, 40, United-States, <=50K
24, Private, 113515, HS-grad, 9, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
54, Local-gov, 135840, 10th, 6, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 45, United-States, <=50K
36, Self-emp-not-inc, 36270, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 1977, 65, United-States, >50K
54, Private, 133050, Some-college, 10, Never-married, Sales, Not-in-family, Black, Male, 0, 0, 41, United-States, <=50K
30, Private, 206512, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 44, United-States, <=50K
29, Private, 116662, Bachelors, 13, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
36, Local-gov, 224947, Bachelors, 13, Never-married, Prof-specialty, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
23, Private, 84648, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 25, United-States, <=50K
23, Local-gov, 287988, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
52, Private, 194259, HS-grad, 9, Divorced, Sales, Not-in-family, White, Female, 0, 0, 40, Germany, <=50K
53, Private, 151864, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
64, Private, 133144, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 16, United-States, <=50K
24, State-gov, 275421, Some-college, 10, Never-married, Machine-op-inspct, Own-child, White, Female, 0, 0, 40, United-States, <=50K
32, Private, 141490, Assoc-voc, 11, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 50, United-States, <=50K
25, Private, 198632, Some-college, 10, Married-spouse-absent, Sales, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
36, Private, 33983, Assoc-voc, 11, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 42, United-States, >50K
36, Private, 166509, HS-grad, 9, Divorced, Craft-repair, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
47, Self-emp-not-inc, 168109, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 15024, 0, 50, United-States, >50K
56, Private, 77415, 11th, 7, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 50, United-States, <=50K
26, Private, 300290, 11th, 7, Divorced, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
57, Private, 220871, 7th-8th, 4, Widowed, Machine-op-inspct, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
46, Private, 127089, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 5178, 0, 38, United-States, >50K
24, Private, 124242, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 40, United-States, <=50K
59, Self-emp-not-inc, 195835, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, <=50K
49, Self-emp-inc, 362654, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 15024, 0, 50, United-States, >50K
33, Private, 171876, Some-college, 10, Divorced, Other-service, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
37, Private, 123833, Some-college, 10, Never-married, Sales, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K
37, State-gov, 160402, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, >50K
43, Private, 219307, 9th, 5, Divorced, Transport-moving, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
39, Self-emp-not-inc, 152587, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
23, Local-gov, 210029, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 20, United-States, <=50K
17, Private, 207791, 10th, 6, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 20, United-States, <=50K
23, Private, 214542, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 20, United-States, <=50K
37, Private, 342768, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
31, Private, 168782, HS-grad, 9, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
36, Private, 268292, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 41, United-States, <=50K
46, Private, 102542, 7th-8th, 4, Never-married, Other-service, Own-child, White, Male, 0, 0, 52, United-States, <=50K
34, Self-emp-not-inc, 312197, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 75, Mexico, >50K
61, Private, 163393, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 20, United-States, <=50K
63, Private, 200127, HS-grad, 9, Widowed, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
30, Private, 228406, HS-grad, 9, Separated, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
42, Federal-gov, 460214, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, >50K
23, State-gov, 103588, Some-college, 10, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 25, United-States, <=50K
56, Private, 200316, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 35, United-States, <=50K
26, Private, 97153, Assoc-acdm, 12, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 5178, 0, 40, United-States, >50K
67, Private, 318533, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 35, United-States, <=50K
71, Private, 138145, 9th, 5, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
46, Private, 62793, HS-grad, 9, Divorced, Sales, Other-relative, White, Female, 0, 0, 40, United-States, <=50K
43, Private, 254146, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1902, 40, United-States, >50K
34, Private, 24529, HS-grad, 9, Widowed, Adm-clerical, Unmarried, White, Male, 0, 0, 15, United-States, <=50K
43, Private, 237993, Some-college, 10, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, >50K
26, Private, 154966, Some-college, 10, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
34, Federal-gov, 112115, Some-college, 10, Never-married, Craft-repair, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
43, Federal-gov, 114537, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
20, Private, 148709, Some-college, 10, Never-married, Prof-specialty, Unmarried, White, Female, 0, 0, 25, United-States, <=50K
19, ?, 124651, 11th, 7, Never-married, ?, Own-child, Black, Male, 0, 0, 25, United-States, <=50K
63, Private, 196725, HS-grad, 9, Widowed, Other-service, Unmarried, White, Female, 0, 0, 24, United-States, <=50K
46, State-gov, 106705, Masters, 14, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K
42, Self-emp-inc, 119281, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K
18, Private, 161063, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K
51, Local-gov, 33863, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 45, United-States, <=50K
32, Private, 177531, 10th, 6, Divorced, Other-service, Unmarried, Black, Female, 0, 0, 23, United-States, <=50K
21, Private, 221157, HS-grad, 9, Never-married, Other-service, Own-child, Black, Female, 0, 0, 30, United-States, <=50K
22, Private, 130356, Some-college, 10, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 48, United-States, <=50K
26, Private, 164583, HS-grad, 9, Divorced, Sales, Unmarried, White, Female, 0, 0, 30, United-States, <=50K
40, Local-gov, 196234, HS-grad, 9, Divorced, Craft-repair, Own-child, White, Female, 0, 0, 40, Puerto-Rico, <=50K
26, Private, 107827, HS-grad, 9, Never-married, Other-service, Unmarried, White, Male, 0, 0, 25, United-States, <=50K
58, Self-emp-not-inc, 35551, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 70, United-States, >50K
34, Self-emp-not-inc, 313729, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 50, United-States, <=50K
53, Self-emp-inc, 128272, Doctorate, 16, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 70, United-States, >50K
28, Private, 31801, HS-grad, 9, Never-married, Handlers-cleaners, Other-relative, White, Male, 0, 0, 60, United-States, <=50K
34, Private, 340940, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 7298, 0, 60, United-States, >50K
52, Private, 156953, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, >50K
38, Private, 372559, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, Black, Male, 0, 0, 40, United-States, <=50K
28, Private, 243762, 11th, 7, Separated, Craft-repair, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
43, Private, 238530, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
46, Local-gov, 14878, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Philippines, >50K
25, Private, 215384, 11th, 7, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
48, Private, 116641, HS-grad, 9, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 45, United-States, <=50K
19, Private, 168601, 11th, 7, Never-married, Other-service, Other-relative, White, Male, 0, 0, 30, United-States, <=50K
51, Private, 155408, HS-grad, 9, Married-spouse-absent, Sales, Not-in-family, Black, Female, 0, 0, 38, United-States, <=50K
35, Private, 230054, 7th-8th, 4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Mexico, <=50K
42, State-gov, 436006, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, Black, Male, 0, 0, 40, United-States, <=50K
90, Private, 171956, Some-college, 10, Separated, Adm-clerical, Own-child, White, Female, 0, 0, 40, Puerto-Rico, <=50K
23, Private, 293565, 10th, 6, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
57, State-gov, 39380, HS-grad, 9, Separated, Other-service, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
40, ?, 224361, 9th, 5, Divorced, ?, Unmarried, White, Female, 0, 0, 5, Cuba, <=50K
46, Self-emp-inc, 200949, Bachelors, 13, Widowed, Exec-managerial, Not-in-family, White, Female, 0, 0, 50, ?, <=50K
27, Private, 176683, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 48, United-States, <=50K
18, Private, 128086, 12th, 8, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 18, United-States, <=50K
55, Private, 135803, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, Other, Male, 0, 1579, 35, India, <=50K
41, Private, 222504, Prof-school, 15, Divorced, Prof-specialty, Unmarried, White, Female, 0, 0, 38, United-States, <=50K
33, Private, 403552, HS-grad, 9, Never-married, Other-service, Not-in-family, Black, Male, 0, 0, 32, United-States, <=50K
24, Private, 200089, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 60, Mexico, >50K
60, Self-emp-inc, 336188, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 2415, 80, United-States, >50K
55, Self-emp-not-inc, 158315, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
40, Self-emp-not-inc, 335549, Prof-school, 15, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 2444, 45, United-States, >50K
21, Private, 317175, HS-grad, 9, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K
30, State-gov, 46144, HS-grad, 9, Married-AF-spouse, Adm-clerical, Own-child, White, Female, 0, 0, 38, United-States, <=50K
57, Private, 205708, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, Poland, <=50K
