30, ?, 205418, HS-grad, 9, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 20, United-States, <=50K
56, Private, 121362, Bachelors, 13, Divorced, Other-service, Not-in-family, White, Female, 0, 0, 32, United-States, <=50K
47, Private, 196707, Prof-school, 15, Divorced, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
24, Private, 199011, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
38, Private, 108907, HS-grad, 9, Divorced, Machine-op-inspct, Unmarried, White, Male, 0, 0, 40, ?, <=50K
23, Private, 236994, HS-grad, 9, Never-married, Sales, Own-child, White, Male, 0, 0, 60, United-States, <=50K
36, Private, 127573, HS-grad, 9, Separated, Adm-clerical, Not-in-family, White, Female, 0, 0, 38, United-States, <=50K
70, Private, 262345, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 6, United-States, <=50K
30, Private, 248584, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
28, Private, 108574, Some-college, 10, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
40, Private, 174395, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
50, Self-emp-not-inc, 105010, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 2051, 20, United-States, <=50K
22, Private, 304710, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female, 0, 0, 10, Vietnam, <=50K
56, Self-emp-inc, 205601, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 99999, 0, 70, United-States, >50K
29, Private, 183627, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 3137, 0, 48, Ireland, <=50K
38, Private, 193026, HS-grad, 9, Never-married, Other-service, Unmarried, White, Male, 0, 1408, 40, ?, <=50K
21, Private, 307315, Some-college, 10, Never-married, Adm-clerical, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
44, ?, 191982, Some-college, 10, Divorced, ?, Unmarried, White, Female, 0, 0, 10, Poland, <=50K
54, Self-emp-not-inc, 108435, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 2829, 0, 30, United-States, <=50K
61, Private, 198078, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, >50K
22, Private, 73266, Some-college, 10, Never-married, Transport-moving, Own-child, Asian-Pac-Islander, Male, 0, 0, 40, United-States, <=50K
40, Private, 305846, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States, >50K
21, Private, 122322, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 60, United-States, <=50K
28, Private, 116531, HS-grad, 9, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
59, Private, 106748, 7th-8th, 4, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 99, United-States, <=50K
22, Private, 162282, Assoc-voc, 11, Never-married, Exec-managerial, Own-child, White, Male, 0, 0, 40, United-States, <=50K
30, Private, 183620, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 45, United-States, <=50K
57, ?, 188877, 9th, 5, Divorced, ?, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
20, Private, 190457, HS-grad, 9, Never-married, Other-service, Own-child, White, Female, 0, 0, 30, United-States, <=50K
27, Self-emp-not-inc, 116613, Some-college, 10, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 50, United-States, <=50K
39, Private, 348960, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
72, Local-gov, 259762, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 2290, 0, 10, United-States, <=50K
18, Private, 119655, 12th, 8, Never-married, Adm-clerical, Own-child, White, Female, 0, 0, 12, United-States, <=50K
54, Private, 222882, HS-grad, 9, Widowed, Exec-managerial, Unmarried, White, Female, 0, 0, 45, United-States, <=50K
51, Self-emp-not-inc, 32372, 12th, 8, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 99, United-States, <=50K
26, Private, 133756, HS-grad, 9, Divorced, Farming-fishing, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 40, Philippines, <=50K
28, Private, 190391, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
30, ?, 411560, HS-grad, 9, Married-civ-spouse, ?, Husband, Black, Male, 0, 0, 40, United-States, <=50K
20, Private, 173736, 9th, 5, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 40, United-States, <=50K
45, Private, 44489, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 45, United-States, <=50K
60, Private, 216690, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, ?, <=50K
24, Private, 140001, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
54, Private, 285854, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, >50K
19, Private, 98605, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 20, United-States, <=50K
32, Private, 231043, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 5178, 0, 48, United-States, >50K
23, ?, 148751, Some-college, 10, Never-married, ?, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
31, Self-emp-not-inc, 340939, Bachelors, 13, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
54, Federal-gov, 114674, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
31, Private, 118941, Some-college, 10, Divorced, Other-service, Own-child, White, Female, 0, 0, 20, United-States, <=50K
43, Private, 252519, Bachelors, 13, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male, 0, 0, 40, Haiti, >50K
22, Private, 364342, Assoc-voc, 11, Never-married, Sales, Not-in-family, Black, Female, 0, 0, 25, United-States, <=50K
31, Private, 318647, 11th, 7, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
31, Self-emp-not-inc, 182177, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1902, 40, United-States, >50K
41, Federal-gov, 356934, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 44, United-States, >50K
31, Private, 197672, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
29, Private, 212102, HS-grad, 9, Separated, Other-service, Unmarried, Black, Female, 0, 0, 30, United-States, <=50K
39, Local-gov, 167864, 11th, 7, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 30, United-States, <=50K
51, Self-emp-not-inc, 176240, Assoc-acdm, 12, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
20, Private, 27337, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male, 0, 0, 48, United-States, <=50K
46, Local-gov, 36228, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1902, 40, United-States, <=50K
30, Private, 29662, Assoc-acdm, 12, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 25, United-States, >50K
56, Private, 285730, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 66, United-States, <=50K
68, Private, 128472, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, >50K
29, ?, 188675, Some-college, 10, Divorced, ?, Own-child, Black, Male, 0, 0, 40, United-States, <=50K
43, Private, 240124, Assoc-voc, 11, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
31, Private, 272856, HS-grad, 9, Never-married, Craft-repair, Own-child, Black, Male, 0, 0, 50, England, <=50K
57, Private, 109638, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 1672, 45, United-States, <=50K
41, Private, 242619, Assoc-acdm, 12, Divorced, Prof-specialty, Not-in-family, White, Male, 0, 0, 80, United-States, <=50K
41, Private, 204046, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
41, Private, 372682, Some-college, 10, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States, >50K
43, Private, 81243, Bachelors, 13, Divorced, Tech-support, Not-in-family, White, Male, 0, 1876, 40, United-States, <=50K
34, Private, 294064, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, France, <=50K
64, Private, 321166, Bachelors, 13, Divorced, Sales, Not-in-family, White, Female, 0, 0, 5, United-States, <=50K
25, Private, 297154, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 2407, 0, 40, United-States, <=50K
25, Self-emp-inc, 86745, Bachelors, 13, Never-married, Adm-clerical, Own-child, Asian-Pac-Islander, Female, 0, 0, 40, United-States, <=50K
17, Private, 51939, 11th, 7, Never-married, Sales, Own-child, White, Female, 0, 0, 15, United-States, <=50K
53, Private, 97005, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 46, United-States, >50K
26, Local-gov, 73392, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, Amer-Indian-Eskimo, Male, 0, 0, 30, United-States, <=50K
39, State-gov, 99156, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
39, Self-emp-not-inc, 326400, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
30, Self-emp-not-inc, 115932, HS-grad, 9, Never-married, Craft-repair, Not-in-family, White, Male, 99999, 0, 50, United-States, >50K
27, Local-gov, 105830, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 60, United-States, <=50K
35, Private, 208106, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, Ecuador, <=50K
50, Private, 163948, Masters, 14, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, >50K
32, ?, 216908, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 24, United-States, <=50K
26, Self-emp-not-inc, 34307, Assoc-voc, 11, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 65, United-States, <=50K
23, ?, 211601, Assoc-voc, 11, Never-married, ?, Own-child, Black, Female, 0, 0, 15, United-States, <=50K
64, Private, 149044, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 0, 2057, 60, China, <=50K
34, Private, 116677, Some-college, 10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
32, Private, 211028, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
36, ?, 504871, HS-grad, 9, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, >50K
28, Private, 126129, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
45, State-gov, 35969, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 60, United-States, >50K
67, ?, 212759, 10th, 6, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 2, United-States, <=50K
58, Private, 234481, 10th, 6, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
47, Private, 125120, Bachelors, 13, Divorced, Craft-repair, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
38, Private, 229180, Bachelors, 13, Never-married, Exec-managerial, Unmarried, White, Female, 0, 0, 40, Cuba, <=50K
66, Self-emp-inc, 179951, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 70, United-States, <=50K
46, Private, 357338, Bachelors, 13, Married-civ-spouse, Tech-support, Husband, White, Male, 0, 0, 40, United-States, <=50K
42, Self-emp-not-inc, 183765, Assoc-acdm, 12, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, ?, <=50K
52, Private, 253784, 11th, 7, Divorced, Other-service, Unmarried, White, Female, 0, 0, 20, United-States, <=50K
50, Federal-gov, 306707, HS-grad, 9, Never-married, Adm-clerical, Unmarried, Black, Female, 0, 0, 12, United-States, <=50K
30, Private, 167476, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 60, United-States, <=50K
42, Self-emp-inc, 125846, 1st-4th, 2, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, ?, <=50K
50, Self-emp-inc, 293196, HS-grad, 9, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7298, 0, 40, United-States, >50K
63, Private, 226422, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
52, Private, 169785, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
