30, Private, 112115, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 60, Ireland, >50K
25, Private, 131463, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
26, ?, 208994, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 12, United-States, <=50K
36, Private, 140583, HS-grad, 9, Divorced, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
32, ?, 282622, HS-grad, 9, Divorced, ?, Unmarried, White, Female, 0, 0, 28, United-States, <=50K
38, Private, 54317, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 60, United-States, <=50K
20, Private, 195411, HS-grad, 9, Never-married, Sales, Own-child, Black, Female, 0, 0, 20, United-States, <=50K
50, Federal-gov, 98980, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 7298, 0, 40, United-States, >50K
44, Self-emp-not-inc, 120539, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 50, United-States, >50K
35, Private, 465326, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
40, Private, 83953, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, >50K
53, Self-emp-inc, 110445, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 60, United-States, <=50K
26, Local-gov, 287233, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, Black, Female, 0, 0, 40, United-States, >50K
59, Self-emp-not-inc, 165315, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 99999, 0, 43, United-States, >50K
20, Private, 157541, Some-college, 10, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
57, Local-gov, 190748, Some-college, 10, Divorced, Exec-managerial, Unmarried, White, Female, 0, 0, 35, United-States, <=50K
50, Private, 213296, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 48, United-States, >50K
55, Private, 208019, 5th-6th, 3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, Mexico, <=50K
35, Private, 30673, 12th, 8, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 84, United-States, <=50K
25, Private, 251915, Bachelors, 13, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, <=50K
48, Private, 108557, Bachelors, 13, Married-civ-spouse, Tech-support, Wife, White, Female, 99999, 0, 40, United-States, >50K
19, Private, 187352, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
48, Private, 267912, Bachelors, 13, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 50, Mexico, >50K
32, Private, 236770, Some-college, 10, Divorced, Sales, Not-in-family, White, Male, 0, 0, 50, United-States, <=50K
44, Private, 194924, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 35, United-States, >50K
26, Private, 226288, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
34, Private, 473133, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 60, United-States, <=50K
33, Private, 219034, 11th, 7, Never-married, Sales, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
58, Private, 306233, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 15024, 0, 40, United-States, >50K
32, Private, 251243, Some-college, 10, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 50, United-States, >50K
31, Private, 234500, Bachelors, 13, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States, <=50K
22, ?, 219233, HS-grad, 9, Never-married, ?, Own-child, Black, Male, 0, 1602, 30, United-States, <=50K
26, Private, 212793, HS-grad, 9, Never-married, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
62, Federal-gov, 159165, HS-grad, 9, Widowed, Exec-managerial, Not-in-family, White, Female, 0, 0, 36, United-States, <=50K
49, Private, 185041, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
33, Self-emp-not-inc, 134886, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 50, United-States, >50K
35, Private, 24106, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
43, Private, 135606, Masters, 14, Divorced, Exec-managerial, Not-in-family, White, Female, 0, 0, 50, United-States, >50K
54, State-gov, 188809, Doctorate, 16, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 50, United-States, >50K
53, Private, 224894, 5th-6th, 3, Married-civ-spouse, Priv-house-serv, Wife, Black, Female, 0, 0, 10, Haiti, <=50K
30, Private, 156464, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 45, United-States, >50K
36, Private, 116608, HS-grad, 9, Divorced, Machine-op-inspct, Unmarried, White, Female, 0, 0, 38, United-States, <=50K
32, Private, 159589, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 50, United-States, <=50K
39, Local-gov, 214284, Bachelors, 13, Widowed, Prof-specialty, Unmarried, Asian-Pac-Islander, Female, 0, 0, 10, Japan, <=50K
41, Private, 327723, HS-grad, 9, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
34, Self-emp-not-inc, 320194, Prof-school, 15, Separated, Prof-specialty, Unmarried, White, Male, 0, 0, 48, United-States, >50K
48, Private, 240629, HS-grad, 9, Divorced, Transport-moving, Not-in-family, White, Male, 0, 0, 65, United-States, <=50K
41, Private, 194636, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 60, United-States, >50K
36, Private, 361888, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 45, United-States, >50K
30, Private, 177675, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
38, Private, 192939, HS-grad, 9, Divorced, Craft-repair, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
64, Self-emp-not-inc, 103643, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 15, United-States, >50K
42, Self-emp-not-inc, 54202, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
35, Private, 328466, 9th, 5, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, Mexico, <=50K
30, Self-emp-not-inc, 117944, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 25, United-States, <=50K
63, Private, 287277, HS-grad, 9, Divorced, Protective-serv, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 225775, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 45, Mexico, <=50K
37, Private, 112660, 9th, 5, Divorced, Craft-repair, Own-child, White, Male, 0, 0, 35, United-States, <=50K
20, Private, 184779, Some-college, 10, Never-married, Tech-support, Own-child, White, Female, 0, 0, 20, United-States, <=50K
25, Private, 188488, HS-grad, 9, Never-married, Machine-op-inspct, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
41, Local-gov, 183009, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 40, United-States, >50K
48, Private, 109275, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
67, Private, 217028, Masters, 14, Never-married, Other-service, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
37, Private, 191342, 1st-4th, 2, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Cambodia, <=50K
29, State-gov, 106972, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 35, United-States, <=50K
41, Private, 22201, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male, 0, 0, 40, Japan, >50K
38, Private, 168322, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 60, United-States, <=50K
34, Local-gov, 105540, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 2051, 40, United-States, <=50K
48, Private, 207982, Some-college, 10, Never-married, Other-service, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
49, Private, 151584, Some-college, 10, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 32, United-States, <=50K
30, Private, 214063, Some-college, 10, Never-married, Farming-fishing, Other-relative, Black, Male, 0, 0, 72, United-States, <=50K
27, Private, 207213, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, <=50K
26, Local-gov, 197764, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
62, Private, 134768, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, White, Male, 7688, 0, 40, ?, >50K
22, ?, 57827, Some-college, 10, Never-married, ?, Own-child, White, Male, 0, 0, 40, United-States, <=50K
48, Self-emp-not-inc, 379883, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, Mexico, >50K
52, Local-gov, 152795, Some-college, 10, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
34, Private, 195136, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 1887, 40, United-States, >50K
54, Private, 37237, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
39, Private, 356838, HS-grad, 9, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 12, United-States, <=50K
22, Private, 188274, HS-grad, 9, Never-married, Transport-moving, Own-child, White, Male, 0, 0, 40, United-States, <=50K
51, Private, 137815, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 7298, 0, 40, United-States, >50K
37, Private, 188774, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
70, Self-emp-inc, 207938, Some-college, 10, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 5, United-States, <=50K
39, Private, 114544, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 45, United-States, >50K
23, Private, 580248, HS-grad, 9, Never-married, Tech-support, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
40, Private, 193882, Assoc-voc, 11, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 40, United-States, <=50K
44, Self-emp-inc, 116358, Bachelors, 13, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male, 0, 0, 50, ?, >50K
33, Self-emp-inc, 201763, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
18, Private, 334427, 10th, 6, Never-married, Farming-fishing, Own-child, White, Male, 0, 0, 36, United-States, <=50K
53, Local-gov, 236873, Masters, 14, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 0, 40, United-States, >50K
21, Private, 213015, HS-grad, 9, Never-married, Handlers-cleaners, Other-relative, Black, Male, 2176, 0, 40, United-States, <=50K
33, Private, 99339, Assoc-acdm, 12, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 880, 40, United-States, <=50K
37, Self-emp-not-inc, 362062, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 99999, 0, 50, United-States, >50K
65, ?, 197883, 10th, 6, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 70, United-States, <=50K
20, State-gov, 432052, Some-college, 10, Never-married, Handlers-cleaners, Not-in-family, White, Male, 0, 0, 15, United-States, <=50K
21, Private, 312017, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
34, Private, 136862, 1st-4th, 2, Never-married, Other-service, Other-relative, White, Female, 0, 0, 40, Guatemala, <=50K
47, Private, 161558, 10th, 6, Married-spouse-absent, Transport-moving, Not-in-family, Black, Male, 0, 0, 45, United-States, <=50K
39, Private, 192702, Masters, 14, Never-married, Craft-repair, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
18, Private, 234428, 11th, 7, Never-married, Other-service, Own-child, White, Male, 0, 0, 20, United-States, <=50K
18, Private, 327612, 10th, 6, Never-married, Other-service, Own-child, White, Female, 0, 0, 20, United-States, <=50K
48, Private, 345831, HS-grad, 9, Divorced, Machine-op-inspct, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
55, ?, 106707, Assoc-acdm, 12, Married-civ-spouse, ?, Husband, Black, Male, 0, 0, 20, United-States, >50K
29, Private, 194864, HS-grad, 9, Married-civ-spouse, Sales, Wife, White, Female, 0, 0, 18, United-States, <=50K
30, Private, 117963, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, >50K
55, Private, 184882, Assoc-voc, 11, Married-civ-spouse, Transport-moving, Husband, White, Male, 5178, 0, 50, United-States, >50K
54, Private, 96792, HS-grad, 9, Widowed, Other-service, Unmarried, White, Female, 0, 0, 32, United-States, <=50K
30, Private, 109117, Assoc-voc, 11, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 45, United-States, <=50K
58, State-gov, 110517, Doctorate, 16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male, 4064, 0, 40, India, <=50K
76, Private, 208843, 7th-8th, 4, Widowed, Protective-serv, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K
35, Private, 238342, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, United-States, <=50K
43, Private, 160369, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 98776, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 15, United-States, <=50K
47, Private, 370119, Prof-school, 15, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
39, Private, 172855, HS-grad, 9, Divorced, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
37, Private, 549174, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 50, United-States, >50K
43, Federal-gov, 262233, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, >50K
55, Private, 26716, 10th, 6, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K
31, Private, 234387, HS-grad, 9, Divorced, Exec-managerial, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
54, Private, 260052, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
39, Private, 191227, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, White, Female, 13550, 0, 50, United-States, >50K
38, Private, 102945, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 52, United-States, >50K
47, Local-gov, 93476, Bachelors, 13, Separated, Prof-specialty, Not-in-family, White, Female, 0, 0, 70, United-States, <=50K
26, Private, 350853, 5th-6th, 3, Never-married, Transport-moving, Not-in-family, White, Male, 0, 0, 40, ?, <=50K
28, Private, 138692, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
20, ?, 162667, 11th, 7, Never-married, ?, Unmarried, White, Male, 0, 0, 40, El-Salvador, <=50K
26, Private, 179772, Bachelors, 13, Never-married, Exec-managerial, Not-in-family, White, Female, 0, 0, 45, United-States, <=50K
37, Local-gov, 80680, Bachelors, 13, Divorced, Prof-specialty, Unmarried, White, Female, 1151, 0, 35, United-States, <=50K
46, Private, 389843, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, Germany, >50K
39, Federal-gov, 103984, Bachelors, 13, Divorced, Exec-managerial, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
52, Private, 321959, Some-college, 10, Married-civ-spouse, Tech-support, Husband, Black, Male, 0, 0, 40, United-States, >50K
18, Private, 240330, 12th, 8, Never-married, Other-service, Own-child, White, Male, 0, 0, 18, United-States, <=50K
24, Private, 258700, 5th-6th, 3, Never-married, Farming-fishing, Other-relative, Black, Male, 0, 0, 40, Mexico, <=50K
32, Private, 317219, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 1590, 40, United-States, <=50K
49, State-gov, 55938, Bachelors, 13, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, >50K
47, Federal-gov, 31339, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, <=50K
24, Private, 32311, Some-college, 10, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 40, United-States, <=50K
17, Private, 169155, 12th, 8, Never-married, Other-service, Own-child, White, Male, 0, 0, 35, United-States, <=50K
20, Private, 205895, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 20, United-States, <=50K
66, ?, 357750, 11th, 7, Widowed, ?, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
83, Private, 195507, HS-grad, 9, Widowed, Protective-serv, Not-in-family, White, Male, 0, 0, 55, United-States, <=50K
50, Private, 234373, Masters, 14, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 1485, 40, United-States, <=50K
41, Federal-gov, 168294, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 5178, 0, 40, United-States, >50K
66, ?, 376028, HS-grad, 9, Married-civ-spouse, ?, Wife, White, Female, 0, 0, 20, United-States, <=50K
37, Local-gov, 117760, Assoc-voc, 11, Never-married, Protective-serv, Not-in-family, White, Male, 4650, 0, 40, United-States, <=50K
33, Private, 159574, 7th-8th, 4, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 45, United-States, <=50K
29, Private, 84366, 10th, 6, Married-spouse-absent, Adm-clerical, Unmarried, White, Female, 0, 0, 40, Mexico, <=50K
27, Private, 150025, 5th-6th, 3, Never-married, Handlers-cleaners, Other-relative, White, Male, 0, 0, 40, Guatemala, <=50K
47, Private, 188195, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
19, Private, 405526, HS-grad, 9, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, <=50K
26, Private, 191648, Assoc-acdm, 12, Never-married, Machine-op-inspct, Other-relative, White, Female, 0, 0, 15, United-States, <=50K
41, Federal-gov, 193882, HS-grad, 9, Never-married, Adm-clerical, Own-child, White, Male, 0, 0, 40, United-States, <=50K
26, Private, 190330, Bachelors, 13, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 30, United-States, <=50K
53, Private, 303462, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 30, United-States, <=50K
43, Local-gov, 143828, Masters, 14, Divorced, Prof-specialty, Unmarried, Black, Female, 9562, 0, 40, United-States, >50K
45, Local-gov, 224474, Bachelors, 13, Divorced, Prof-specialty, Unmarried, White, Female, 4934, 0, 50, United-States, >50K
18, Private, 165754, Some-college, 10, Never-married, Other-service, Own-child, White, Female, 0, 0, 30, United-States, <=50K
19, ?, 35507, Some-college, 10, Never-married, ?, Own-child, White, Female, 0, 0, 45, United-States, <=50K
39, Private, 150057, Masters, 14, Never-married, Sales, Not-in-family, White, Male, 0, 0, 50, United-States, >50K
42, Self-emp-not-inc, 207392, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 12, United-States, <=50K
34, Private, 245378, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 45, United-States, <=50K
28, ?, 37215, Bachelors, 13, Never-married, ?, Own-child, White, Male, 0, 0, 45, United-States, <=50K
45, Local-gov, 334039, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, >50K
17, Private, 187308, 10th, 6, Never-married, Other-service, Own-child, White, Female, 0, 0, 15, United-States, <=50K
55, Self-emp-not-inc, 51499, Some-college, 10, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 72, United-States, <=50K
37, ?, 102541, Assoc-voc, 11, Married-civ-spouse, ?, Wife, Amer-Indian-Eskimo, Female, 0, 0, 40, United-States, <=50K
20, Private, 444554, 10th, 6, Never-married, Handlers-cleaners, Own-child, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 125550, HS-grad, 9, Divorced, Sales, Not-in-family, White, Female, 0, 0, 60, United-States, <=50K
59, Private, 368005, 11th, 7, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
20, ?, 326624, HS-grad, 9, Never-married, ?, Own-child, White, Female, 0, 0, 40, United-States, <=50K
25, Private, 120450, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
31, Private, 269654, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 48, United-States, <=50K
57, Private, 180920, 10th, 6, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 43, United-States, <=50K
69, Private, 122850, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 16, United-States, <=50K
80, Self-emp-not-inc, 34340, 7th-8th, 4, Widowed, Farming-fishing, Not-in-family, White, Male, 0, 0, 35, United-States, <=50K
34, Self-emp-inc, 209538, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, >50K
68, Self-emp-not-inc, 116903, Assoc-voc, 11, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 2149, 40, United-States, <=50K
63, Self-emp-not-inc, 106551, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
55, Private, 141877, Bachelors, 13, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
53, Private, 95864, HS-grad, 9, Never-married, Adm-clerical, Other-relative, White, Male, 0, 0, 35, United-States, <=50K
38, Private, 173968, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, <=50K
18, Private, 232082, HS-grad, 9, Never-married, Machine-op-inspct, Own-child, White, Male, 0, 0, 40, United-States, <=50K
54, Private, 377701, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 32, Mexico, <=50K
23, Private, 320294, HS-grad, 9, Never-married, Exec-managerial, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
32, Private, 51150, Assoc-voc, 11, Divorced, Adm-clerical, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
64, ?, 169917, 7th-8th, 4, Widowed, ?, Not-in-family, White, Female, 0, 0, 4, United-States, <=50K
50, Federal-gov, 69614, 10th, 6, Separated, Craft-repair, Not-in-family, White, Male, 0, 0, 56, United-States, <=50K
48, Private, 273435, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1579, 40, United-States, <=50K
