27, Private, 189974, Some-college, 10, Divorced, Adm-clerical, Own-child, White, Female, 0, 0, 20, United-States, <=50K
18, Private, 131033, 11th, 7, Never-married, Other-service, Other-relative, Black, Male, 0, 0, 15, United-States, <=50K
32, Private, 38797, Assoc-voc, 11, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
43, Private, 557349, 10th, 6, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 40, Yugoslavia, <=50K
54, Federal-gov, 27432, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 40, United-States, >50K
21, Private, 182117, Bachelors, 13, Never-married, Other-service, Other-relative, White, Male, 0, 0, 20, United-States, <=50K
24, Private, 438839, Bachelors, 13, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
48, Private, 186539, Some-college, 10, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
21, Private, 216129, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 35, United-States, <=50K
33, Private, 221324, Assoc-voc, 11, Never-married, Machine-op-inspct, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
55, Private, 217802, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, Black, Male, 0, 0, 25, United-States, <=50K
30, Federal-gov, 321990, Some-college, 10, Married-civ-spouse, Adm-clerical, Husband, White, Male, 7298, 0, 48, Cuba, >50K
48, Private, 273435, HS-grad, 9, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 1579, 40, United-States, <=50K
48, Private, 248164, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 4386, 0, 50, United-States, >50K
29, Federal-gov, 37933, Some-college, 10, Never-married, Adm-clerical, Unmarried, Black, Female, 2174, 0, 40, United-States, <=50K
25, Private, 104662, HS-grad, 9, Never-married, Other-service, Unmarried, White, Female, 0, 0, 22, United-States, <=50K
58, Self-emp-inc, 190763, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
26, Local-gov, 202286, Bachelors, 13, Never-married, Tech-support, Own-child, White, Male, 0, 0, 40, United-States, <=50K
44, Private, 178134, Prof-school, 15, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 40, United-States, >50K
64, Private, 270333, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, >50K
19, Private, 129620, 10th, 6, Never-married, Other-service, Other-relative, White, Female, 0, 0, 30, United-States, <=50K
59, Private, 157303, Some-college, 10, Divorced, Prof-specialty, Not-in-family, White, Female, 0, 0, 48, United-States, <=50K
46, Private, 394860, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
57, Private, 191983, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, White, Male, 0, 0, 50, United-States, <=50K
28, Private, 64307, 7th-8th, 4, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, United-States, <=50K
37, Private, 201319, Some-college, 10, Separated, Other-service, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
31, State-gov, 358461, Some-college, 10, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male, 0, 0, 40, United-States, <=50K
38, Private, 102178, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 50, United-States, <=50K
41, Self-emp-not-inc, 195124, HS-grad, 9, Never-married, Sales, Not-in-family, White, Male, 0, 0, 50, ?, <=50K
28, Local-gov, 25864, HS-grad, 9, Never-married, Exec-managerial, Unmarried, Amer-Indian-Eskimo, Female, 0, 0, 35, United-States, <=50K
33, Local-gov, 422718, HS-grad, 9, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 40, United-States, <=50K
29, Private, 185127, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, <=50K
18, Private, 126071, HS-grad, 9, Never-married, Craft-repair, Own-child, White, Male, 0, 0, 40, United-States, <=50K
25, Private, 130302, HS-grad, 9, Never-married, Handlers-cleaners, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
36, Private, 127306, Bachelors, 13, Never-married, Exec-managerial, Own-child, White, Female, 0, 0, 40, United-States, <=50K
23, Private, 125106, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 40, United-States, <=50K
39, Private, 206298, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
38, Private, 80771, Bachelors, 13, Married-civ-spouse, Prof-specialty, Wife, White, Female, 0, 0, 40, United-States, >50K
30, Private, 271710, Bachelors, 13, Married-civ-spouse, Sales, Husband, White, Male, 7298, 0, 50, United-States, >50K
46, Private, 130364, HS-grad, 9, Never-married, Craft-repair, Unmarried, White, Male, 0, 0, 40, United-States, <=50K
70, ?, 167358, 9th, 5, Widowed, ?, Unmarried, White, Female, 1111, 0, 15, United-States, <=50K
58, Private, 244605, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Husband, White, Male, 3908, 0, 40, United-States, <=50K
35, Federal-gov, 38905, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
54, Private, 447555, 10th, 6, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 40, United-States, <=50K
37, Private, 415500, Some-college, 10, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male, 0, 0, 40, United-States, >50K
64, Self-emp-inc, 142166, Bachelors, 13, Divorced, Sales, Not-in-family, White, Male, 0, 0, 45, United-States, <=50K
17, Private, 342752, 11th, 7, Never-married, Other-service, Own-child, White, Male, 0, 0, 15, United-States, <=50K
39, Local-gov, 139364, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 35, United-States, >50K
35, Private, 119992, Assoc-acdm, 12, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 45, United-States, <=50K
54, ?, 180211, Some-college, 10, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male, 0, 0, 60, South, >50K
49, Private, 371299, HS-grad, 9, Never-married, Adm-clerical, Unmarried, White, Female, 0, 0, 35, United-States, <=50K
29, Private, 47429, HS-grad, 9, Married-civ-spouse, Adm-clerical, Wife, White, Female, 0, 0, 40, United-States, >50K
29, Private, 290740, Assoc-acdm, 12, Never-married, Priv-house-serv, Not-in-family, White, Female, 0, 0, 50, United-States, <=50K
32, Private, 86808, HS-grad, 9, Divorced, Adm-clerical, Other-relative, White, Female, 0, 0, 40, United-States, <=50K
57, Private, 103540, 5th-6th, 3, Married-civ-spouse, Transport-moving, Husband, Black, Male, 0, 0, 50, United-States, <=50K
52, Private, 225317, 5th-6th, 3, Married-civ-spouse, Craft-repair, Husband, White, Male, 0, 0, 40, Mexico, <=50K
27, Self-emp-not-inc, 70657, Some-college, 10, Never-married, Craft-repair, Not-in-family, White, Male, 0, 0, 35, United-States, <=50K
19, State-gov, 354104, Some-college, 10, Never-married, Prof-specialty, Own-child, White, Male, 0, 0, 10, United-States, <=50K
43, Private, 210844, Bachelors, 13, Divorced, Exec-managerial, Not-in-family, Black, Female, 0, 0, 40, United-States, >50K
65, Federal-gov, 23494, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, Black, Male, 0, 2174, 40, United-States, >50K
17, Private, 270587, 11th, 7, Never-married, Other-service, Own-child, White, Male, 0, 0, 20, England, <=50K
37, Self-emp-not-inc, 48063, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 55, United-States, >50K
34, Private, 127610, Bachelors, 13, Never-married, Prof-specialty, Own-child, White, Female, 0, 0, 15, United-States, <=50K
63, Self-emp-not-inc, 420629, Assoc-voc, 11, Married-civ-spouse, Other-service, Husband, White, Male, 0, 0, 45, United-States, <=50K
28, Private, 66473, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 40, United-States, <=50K
39, Private, 225605, HS-grad, 9, Married-civ-spouse, Farming-fishing, Husband, White, Male, 0, 0, 24, United-States, <=50K
40, Local-gov, 112362, Masters, 14, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 40, United-States, <=50K
42, Private, 412379, HS-grad, 9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
21, Private, 234108, HS-grad, 9, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
46, Private, 164379, Bachelors, 13, Divorced, Sales, Unmarried, Black, Female, 0, 0, 35, United-States, >50K
59, ?, 372020, Bachelors, 13, Married-civ-spouse, ?, Husband, White, Male, 0, 0, 40, United-States, >50K
29, Private, 200511, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 50, United-States, <=50K
27, Private, 136448, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, Black, Female, 0, 0, 40, United-States, <=50K
65, Private, 242580, Some-college, 10, Divorced, Prof-specialty, Not-in-family, White, Male, 11678, 0, 50, United-States, >50K
34, Private, 199227, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 55, United-States, <=50K
54, Self-emp-not-inc, 108435, Some-college, 10, Married-civ-spouse, Transport-moving, Husband, White, Male, 2829, 0, 30, United-States, <=50K
37, Private, 103323, Assoc-acdm, 12, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 40, United-States, <=50K
32, Private, 168906, Assoc-acdm, 12, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
45, Private, 200471, HS-grad, 9, Married-civ-spouse, Adm-clerical, Husband, White, Male, 0, 0, 35, United-States, <=50K
49, Private, 71195, Masters, 14, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 60, United-States, <=50K
41, Private, 352812, Some-college, 10, Married-civ-spouse, Exec-managerial, Wife, White, Female, 0, 1902, 40, United-States, >50K
41, Private, 154194, HS-grad, 9, Never-married, Sales, Own-child, White, Female, 0, 0, 40, United-States, <=50K
55, State-gov, 337599, Some-college, 10, Divorced, Adm-clerical, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
40, Private, 194360, 9th, 5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, <=50K
57, Self-emp-inc, 61885, HS-grad, 9, Married-civ-spouse, Prof-specialty, Husband, Black, Male, 0, 0, 60, United-States, >50K
19, Private, 127491, HS-grad, 9, Never-married, Other-service, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
59, Private, 247187, HS-grad, 9, Divorced, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
42, Self-emp-not-inc, 344920, Some-college, 10, Married-civ-spouse, Farming-fishing, Wife, White, Female, 0, 0, 50, United-States, <=50K
62, Private, 94318, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
35, Local-gov, 231180, HS-grad, 9, Married-civ-spouse, Transport-moving, Husband, White, Male, 0, 0, 45, United-States, <=50K
55, Private, 160662, Doctorate, 16, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 80, United-States, >50K
28, Private, 190367, HS-grad, 9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, 0, 0, 45, United-States, <=50K
52, Private, 109413, HS-grad, 9, Never-married, Sales, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
39, Self-emp-not-inc, 122353, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
43, Private, 226902, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 80, United-States, >50K
77, Self-emp-inc, 192230, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
39, Private, 196673, HS-grad, 9, Married-civ-spouse, Other-service, Wife, White, Female, 5013, 0, 40, United-States, <=50K
54, Federal-gov, 175083, HS-grad, 9, Never-married, Adm-clerical, Unmarried, White, Female, 0, 0, 20, United-States, <=50K
40, Private, 220589, Assoc-acdm, 12, Never-married, Adm-clerical, Not-in-family, White, Female, 0, 0, 40, United-States, <=50K
29, Local-gov, 214706, HS-grad, 9, Never-married, Other-service, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
70, Private, 105376, Some-college, 10, Never-married, Tech-support, Other-relative, White, Male, 0, 0, 40, United-States, <=50K
21, Local-gov, 309348, Some-college, 10, Never-married, Adm-clerical, Not-in-family, White, Female, 594, 0, 4, United-States, <=50K
38, Private, 164050, Some-college, 10, Married-civ-spouse, Protective-serv, Husband, Black, Male, 0, 0, 40, United-States, >50K
34, Private, 111415, HS-grad, 9, Married-civ-spouse, Sales, Husband, White, Male, 0, 0, 70, United-States, <=50K
30, Self-emp-inc, 119422, Some-college, 10, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 70, United-States, <=50K
54, Private, 244770, HS-grad, 9, Never-married, Adm-clerical, Other-relative, White, Female, 0, 0, 40, United-States, <=50K
28, State-gov, 70100, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Male, 0, 0, 20, United-States, <=50K
34, ?, 330301, 7th-8th, 4, Separated, ?, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
57, Private, 73051, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 40, United-States, <=50K
45, Private, 98881, 11th, 7, Married-civ-spouse, Other-service, Wife, White, Female, 0, 0, 32, United-States, <=50K
44, Local-gov, 197919, Some-college, 10, Divorced, Other-service, Unmarried, White, Female, 0, 0, 40, United-States, <=50K
41, Self-emp-not-inc, 229148, HS-grad, 9, Never-married, Other-service, Not-in-family, Black, Male, 0, 0, 60, Jamaica, <=50K
60, Private, 227266, HS-grad, 9, Divorced, Sales, Not-in-family, White, Female, 0, 0, 33, United-States, <=50K
40, Private, 315321, HS-grad, 9, Divorced, Exec-managerial, Unmarried, White, Female, 0, 625, 52, United-States, <=50K
36, Local-gov, 305714, HS-grad, 9, Never-married, Other-service, Unmarried, Black, Female, 0, 0, 70, United-States, <=50K
38, Private, 213260, HS-grad, 9, Separated, Protective-serv, Not-in-family, Black, Male, 0, 0, 40, United-States, <=50K
32, Private, 169589, Assoc-voc, 11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male, 0, 0, 40, United-States, >50K
39, Federal-gov, 257175, Bachelors, 13, Divorced, Tech-support, Unmarried, Black, Female, 0, 625, 40, United-States, <=50K
19, Private, 100009, Some-college, 10, Never-married, Sales, Own-child, White, Female, 0, 0, 15, United-States, <=50K
39, Private, 99452, Bachelors, 13, Married-civ-spouse, Prof-specialty, Husband, White, Male, 0, 0, 50, United-States, >50K
21, Private, 243921, HS-grad, 9, Never-married, Other-service, Own-child, White, Male, 0, 0, 40, United-States, <=50K
47, Self-emp-inc, 120131, Bachelors, 13, Married-civ-spouse, Exec-managerial, Husband, White, Male, 0, 0, 50, Cuba, >50K
22, Private, 34918, Bachelors, 13, Never-married, Prof-specialty, Not-in-family, White, Female, 0, 0, 15, Germany, <=50K
31, Private, 98639, Bachelors, 13, Never-married, Tech-support, Not-in-family, White, Male, 0, 0, 40, United-States, <=50K
36, Private, 218542, HS-grad, 9, Separated, Adm-clerical, Unmarried, Black, Female, 0, 0, 40, United-States, <=50K
17, Private, 209949, 11th, 7, Never-married, Sales, Own-child, White, Female, 0, 1602, 12, United-States, <=50K
